,Concept_ID,hu,ca
0,Auge::N,szem,ull
1,Ohr::N,fül,orella
2,Nase::N,orr,nas
3,Mund::N,száj,boca
4,Zahn::N,fog,dent
5,Zunge::N,nyelv,llēngua
6,Lippe::N,ajak,llavi
7,Wange::N,orca,galta
8,Gesicht::N,arc,cara
9,Stirn::N,homlok,front
10,Haar::N,haj,cabēll
11,Schnurrbart::N,bajusz,bigoti
12,Bart::N,szakáll,barba
13,Kinn::N,áll,mentó
14,Kinn::N,áll,barbeta
15,Kiefer[Anatomie]::N,állkapocs,queix
16,Kiefer[Anatomie]::N,állkapocs,mandíbula
17,Kehle::N,gége,gola
18,Kehle::N,gége,gorja
19,Kehle::N,torok,gola
20,Kehle::N,torok,gorja
21,Hals::N,nyak,coll
22,Genick::N,tarkó,nuca
23,Kopf::N,fő,cap
24,Kopf::N,fej,cap
25,Rücken::N,hát,esquena
26,Bauch::N,has,panxa
27,Nabel::N,köldök,llombrígol
28,Busen::N,mell,pit
29,Busen::N,mell,mama
30,Busen::N,kebel,pit
31,Busen::N,kebel,mama
32,Brust::N,mell,pit
33,Schulter::N,váll,espatlla
34,Arm::N,kar,braç
35,Ellenbogen::N,könyök,colze
36,Hand::N,kéz,mà
37,Handfläche::N,tenyér,palma
38,Finger::N,ujj,dit
39,Fingernagel::N,köröm,ungla
40,Nagel[Anatomie]::N,köröm,ungla
41,Zeh::N,lábujj,dit del peu
42,Fuß::N,láb,peu
43,Ferse::N,sarok,taló
44,Knie::N,térd,genoll
45,Oberschenkel::N,comb,cuixa
46,Bein::N,láb,cama
47,Bein::N,lábszár,cama
48,Körper::N,test,cos
49,Haut::N,bőr,pell
50,Blut::N,vér,sang
51,Ader::N,ér,vena
52,Sehne::N,ín,tendó
53,Knochen::N,csont,os
54,Gehirn::N,agy,cervell
55,Gehirn::N,agyvelő,cervell
56,Herz::N,szív,cor
57,Magen::N,gyomor,estómac
58,Leber::N,máj,fetge
59,Atem::N,lehelet,alè
60,Atem::N,lehelet,hàlit
61,Atem::N,lélegzet,alè
62,Atem::N,lélegzet,hàlit
63,Hunger::N,éhség,fam
64,Hunger::N,éhség,gana
65,Träne::N,könny,llàgrima
66,Geschmack::N,íz,gust
67,Geschmack::N,íz,sabor
68,Geruch::N,szag,olor
69,Schlaf::N,álom,son
70,Schlaf::N,alvás,son
71,Traum::N,álom,somni
72,Himmel::N,ég,celm
73,Himmel::N,menny,celm
74,Sonne::N,nap,sol
75,Mond::N,hold,lluna
76,Stern::N,csillag,estel
77,Stern::N,csillag,estrella
78,Luft::N,levegő,aire
79,Wind::N,szél,vent
80,Welle::N,hullám,ona
81,Wasser::N,víz,āigua
82,Stein::N,kő,pedra
83,Boden::N,föld,sòl
84,Boden::N,talaj,sòl
85,Erde::N,föld,terra
86,Staub::N,por,pols
87,Rauch::N,füst,fum
88,Funke::N,szikra,guspira
89,Funke::N,szikra,centella
90,Feuer::N,tűz,foc
91,Licht::N,fény,llum
92,Schatten::N,árnyék,ombra
93,Wetter::N,idő,temps
94,Wetter::N,időjárás,temps
95,Nebel::N,köd,boira
96,Wolke::N,felhő,núvol
97,Regen::N,eső,pluja
98,Schnee::N,hó,neu
99,Eis::N,jég,gel
100,Eis::N,jég,glaç
101,Frost::N,fagy,glaçada
102,Kälte::N,hideg,fred
103,Hitze::N,hő,calor
104,Hitze::N,hőség,calor
105,Raureif::N,zúzmara,gebre
106,Regenbogen::N,szivárvány,arc iris
107,Donner::N,dörgés,tro
108,Donner::N,mennydörgés,tro
109,Strömung::N,áramlat,corrent
110,Tropfen::N,csepp,gota
111,Schaum::N,hab,escuma
112,Schaum::N,tajték,escuma
113,Schmutz::N,piszok,brutícia
114,See::N,tó,llac
115,Sumpf::N,mocsár,pantà
116,Moor::N,láp,pantà
117,Wiese::N,rét,prat
118,Wiese::N,rét,prada
119,Wiese::N,mező,prat
120,Wiese::N,mező,prada
121,Wald::N,erdő,bosc
122,Hügel::N,domb,puig
123,Hügel::N,domb,pujol
124,Anhöhe::N,magaslat,turó
125,Berg::N,hegy,muntanya
126,Gipfel::N,csúcs,cim
127,Höhle::N,barlang,cova
128,Abhang::N,lejtő,coster
129,Quelle::N,forrás,font
130,Bach::N,patak,riera
131,Fluss::N,folyó,riu
132,Ufer::N,part,riba
133,Küste::N,tengerpart,costa
134,Festland::N,szárazföld,terra ferma
135,Meer::N,tenger,mar
136,Bucht::N,öböl,cala
137,Bucht::N,öböl,badia
138,Insel::N,sziget,illa
139,Blume::N,virág,flor
140,Gras::N,fű,herba
141,Wurzel::N,gyökér,rel
142,Wurzel::N,gyökér,arrel
143,Baum::N,fa,arbre
144,Stamm::N,tő,tronc
145,Stamm::N,törzs,tronc
146,Rinde::N,kéreg,escorça
147,Ast::N,ág,branca
148,Zweig::N,gally,ram
149,Blatt::N,levél,fulla
150,Birke::N,nyír,bedoll
151,Kiefer[Baum]::N,fenyő,pi
152,Weide[Baum]::N,fűz,salze
153,Tanne::N,fenyő,avet
154,Horn::N,szarv,corn
155,Horn::N,szarv,banya
156,Feder::N,toll,ploma
157,Fell::N,szőr,pell
158,Fell::N,bunda,pell
159,Flügel::N,szárny,ala
160,Klaue::N,köröm,urpa
161,Kralle::N,karom,grapa
162,Schwanz::N,farok,cua
163,Ei::N,tojás,ou
164,Nest::N,fészek,niu
165,Bau::N,odú,cau
166,Tier::N,állat,animāl
167,Herde::N,nyáj,ramat
168,Herde::N,csorda,ramat
169,Kuh::N,tehén,vaca
170,Bulle::N,bika,toro
171,Pferd::N,ló,cavāll
172,Schaf::N,juh,be
173,Schaf::N,juh,ovella
174,Schaf::N,birka,be
