,Concept_ID,zh,la
0,Auge::N,眼睛,oculus
1,Ohr::N,耳朵,auris
2,Nase::N,鼻子,nasus
3,Mund::N,嘴,os
4,Zahn::N,牙齿,dens
5,Zunge::N,舌头,lingua
6,Lippe::N,嘴唇,labrum
7,Wange::N,面颊,gena
8,Gesicht::N,脸,vultus
9,Stirn::N,额,frons
10,Haar::N,头发,capillus
11,Schnurrbart::N,髭须,barba labri superioris
12,Bart::N,胡子,barba
13,Kinn::N,下巴,mentum
14,Kiefer[Anatomie]::N,颌,mala
15,Kehle::N,嗓子,iugulums
16,Hals::N,颈,collum
17,Genick::N,后颈,cervices
18,Kopf::N,头,caput
19,Rücken::N,背,tergum
20,Bauch::N,肚子,venter
21,Nabel::N,肚脐,umbilicus
22,Busen::N,胸脯,sinus
23,Brust::N,胸,pectus
24,Schulter::N,肩膀,umerus
25,Arm::N,臂膀,bracchium
26,Ellenbogen::N,肘,cubitum
27,Hand::N,手,manus
28,Handfläche::N,手掌,palma
29,Finger::N,手指,digitus
30,Fingernagel::N,指甲,unguiculus
31,Nagel[Anatomie]::N,指甲,unguis
32,Zeh::N,脚趾,digitus
33,Fuß::N,脚,pes
34,Ferse::N,后跟,calx
35,Knie::N,膝,genu
36,Oberschenkel::N,大腿,femur
37,Bein::N,腿,crus
38,Körper::N,身体,corpus
39,Haut::N,皮肤,cutis
40,Haut::N,皮肤,pellis
41,Blut::N,血,sanguis
42,Ader::N,血管,vena
43,Sehne::N,腱,nervus
44,Knochen::N,骨,os
45,Gehirn::N,脑,cerebrum
46,Herz::N,心,cor
47,Herz::N,心,animus
48,Magen::N,胃,stomachus
49,Leber::N,肝,iecur
50,Atem::N,呼吸,spiritus
51,Hunger::N,饿,fames
52,Träne::N,眼泪,lacrima
53,Geschmack::N,味道,sapor
54,Geschmack::N,味道,gustus
55,Geruch::N,气味,odor
56,Schlaf::N,睡眠,somnus
57,Traum::N,梦,somnium
58,Himmel::N,天空,caelum
59,Sonne::N,太阳,sol
60,Mond::N,月亮,luna
61,Stern::N,星,sidus
62,Stern::N,星,stella
63,Luft::N,空气,aer
64,Wind::N,风,ventus
65,Welle::N,波,unda
66,Wasser::N,水,aqua
67,Stein::N,石头,lapis
68,Boden::N,地面,solum
69,Erde::N,地,terra
70,Staub::N,灰尘,pulvis
71,Rauch::N,烟,fumus
72,Funke::N,火花,scintilla
73,Feuer::N,火,ignis
74,Licht::N,光,lux
75,Licht::N,光,lumen
76,Schatten::N,影子,umbra
77,Wetter::N,天气,caelum
78,Wetter::N,天气,tempestas
79,Nebel::N,雾,nebula
80,Wolke::N,云,nubes
81,Regen::N,雨,imber
82,Regen::N,雨,pluvia
83,Schnee::N,雪,nix
84,Eis::N,冰,glacies
85,Frost::N,霜冻,gelu
86,Kälte::N,寒冷,frigus
87,Hitze::N,炎热,calor
88,Hitze::N,炎热,aestus
89,Raureif::N,霜,pruina
90,Regenbogen::N,虹,arcus
91,Donner::N,雷,tonitrus
92,Strömung::N,水流,fluctus
93,Tropfen::N,滴,gutta
94,Schaum::N,泡沫,spuma
95,Schmutz::N,赃物,sordes
96,Schmutz::N,赃物,squalor
97,See::N,湖,lacus
98,Sumpf::N,沼泽,palus
99,Moor::N,沼泽,palus
100,Wiese::N,草地,pratum
101,Wald::N,森林,silva
102,Hügel::N,丘陵,collis
103,Anhöhe::N,山丘,specula
104,Berg::N,山,mons
105,Gipfel::N,峰,vertex
106,Höhle::N,洞穴,caverna
107,Höhle::N,洞穴,spelunca
108,Abhang::N,斜坡,declivum
109,Quelle::N,泉,fons
110,Bach::N,溪,rivus
111,Fluss::N,河流,flumen
112,Ufer::N,岸,ripa
113,Küste::N,海岸,litus
114,Festland::N,大陆,continens
115,Meer::N,海,mare
116,Bucht::N,海湾,sinus
117,Insel::N,岛,insula
118,Blume::N,花,flos
119,Gras::N,草,herba
120,Gras::N,草,gramen
121,Wurzel::N,根,radix
122,Baum::N,树,arbor
123,Stamm::N,树干,truncus
124,Rinde::N,树皮,cortex
125,Ast::N,树枝,ramus
126,Zweig::N,树枝,ramus
127,Blatt::N,叶子,folium
128,Birke::N,桦木,betulla
129,Kiefer[Baum]::N,松树,pinus
130,Weide[Baum]::N,柳树,salix
131,Tanne::N,冷杉,abies
132,Horn::N,角,cornu
133,Feder::N,羽毛,penna
134,Fell::N,皮毛,pellis
135,Flügel::N,翅膀,ala
136,Klaue::N,爪子,unguis
137,Kralle::N,爪子,unguis
138,Schwanz::N,尾巴,cauda
139,Ei::N,蛋,ovum
140,Nest::N,巢,nidus
141,Bau::N,穴,cavum
142,Bau::N,穴,latibulum
143,Tier::N,动物,bestia
144,Herde::N,群,grex
145,Kuh::N,母牛,vacca
146,Bulle::N,公牛,taurus
147,Pferd::N,马,equus
148,Schaf::N,羊,ovis
149,Schwein::N,猪,sus
150,Schwein::N,猪,porcus
151,Hund::N,狗,canis
152,Katze::N,猫,felis
153,Bär::N,熊,ursus
154,Eichhörnchen::N,松鼠,sciurus
155,Elch::N,麋鹿,alces
156,Fuchs::N,狐狸,vulpes
157,Hase::N,兔子,lepus
158,Maus::N,老鼠,mus
159,Wolf::N,狼,lupus
160,Vogel::N,鸟,avis
161,Schwarm::N,群,examen
162,Huhn::N,鸡,gallina
163,Hahn::N,公鸡,gallus
164,Gans::N,鹅,anser
165,Adler::N,鹰,aquila
166,Ente::N,鸭,anas
167,Eule::N,猫头鹰,ulula
168,Eule::N,猫头鹰,noctua
169,Kranich::N,鹤,grus
170,Krähe::N,乌鸦,cornix
171,Kuckuck::N,布谷鸟,cuculus
172,Schwan::N,天鹅,olor
173,Schwan::N,天鹅,cycnus
174,Fisch::N,鱼,piscis
175,Barsch::N,鲈鱼,perca
176,Hecht::N,狗鱼,esox
177,Schlange[Tier]::N,蛇,serpens
178,Wurm::N,蠕虫,vermis
179,Spinne::N,蜘蛛,aranea
180,Ameise::N,蚂蚁,formica
181,Laus::N,虱子,pediculus
182,Mücke::N,蚊子,culex
183,Fliege::N,苍蝇,musca
184,Schmetterling::N,蝴蝶,papilio
185,Beere::N,将果,baca
186,Apfel::N,苹果,malum
187,Pilz::N,蘑菇,fungus
188,Zwiebel::N,洋葱,cepa
189,Saat::N,种子,seges
190,Korn::N,谷粒,granum
191,Heu::N,干草,faenum
192,Schale::N,壳,putamen
193,Grube::N,坑,fovea
194,Falle::N,圈套,pedica
195,Schlinge::N,活扣,laqueus
196,Spur::N,踪迹,vestigium
197,Asche::N,灰烬,cinis
198,Dreck::N,污垢,lutum
199,Eisen::N,铁,ferrum
200,Gold::N,金子,aurum
201,Silber::N,银,argentum
202,Kohle::N,煤,carbo
203,Glas::N,玻璃,vitrum
204,Lehm::N,粘土,lutum
205,Sand::N,沙,arena
206,Mensch::N,人,homo
207,Mann::N,男子,vir
208,Frau::N,妇女,mulier
209,Kind::N,小孩,puer
210,Kind::N,小孩,infans
211,Junge::N,男孩,puer
212,Mädchen::N,女孩,puella
213,Familie::N,家庭,familia
214,Großvater::N,祖父,avus
215,Großmutter::N,祖母,avia
216,Eltern::N,父母,parentes
217,Vater::N,父亲,pater
218,Mutter::N,母亲,mater
219,Sohn::N,儿子,filius
220,Tochter::N,女儿,filia
221,Bruder::N,兄弟,frater
222,Schwester::N,姐妹,soror
223,Onkel::N,伯父,patruus
224,Onkel::N,伯父,avunculus
225,Tante::N,阿姨,amita
226,Ehemann::N,丈夫,maritus
227,Ehefrau::N,妻子,uxor
228,Freude::N,愉快,gaudium
229,Freude::N,愉快,laetitia
230,Gelächter::N,大笑,risus
231,Glück::N,运气,felicitas
232,Kummer::N,苦恼,aegritudo
233,Wunsch::N,愿望,voluntas
234,Wunsch::N,愿望,desiderium
235,Lust::N,乐趣,libido
236,Lust::N,乐趣,voluptas
237,Geist::N,精神,mens
238,Geist::N,精神,animus
239,Gedanke::N,思想,sententia
240,Gedächtnis::N,记性,memoria
241,Verstand::N,理智,ratio
242,Verstand::N,理智,ingenium
243,Sinn::N,感觉,sensus
244,Grund::N,理由,causa
245,Wahrheit::N,真理,veritas
246,Gespräch::N,谈话,sermo
247,Märchen::N,童话,fabula
248,Erzählung::N,故事,fabula
249,Erzählung::N,故事,narratio
250,Nachricht::N,消息,nuntius
251,Neuigkeit::N,新闻,novitas
252,Name::N,名字,nomen
253,Rätsel::N,谜语,aenigma
254,Rede::N,讲话,oratio
255,Sprache::N,语言,lingua
256,Stimme::N,声音,vox
257,Wort::N,词,verbum
258,Wort::N,词,vocabulum
259,Zeichen::N,标记,signum
260,Ruf::N,呼喊,clamor
261,Lärm::N,噪音,strepitus
262,Laut::N,响声,sonus
263,Ton::N,声音,sonus
