,Concept_ID,se,sk
0,Auge::N,tjelmie,oko
1,Auge::N,tjalmme,oko
2,Auge::N,čalbmi,oko
3,Auge::N,čalme,oko
4,Auge::N,čâ´lmm,oko
5,Auge::N,ча̄лльм,oko
6,Ohr::N,bieljie,ucho
7,Ohr::N,biellje,ucho
8,Ohr::N,beallji,ucho
9,Ohr::N,pelji,ucho
10,Ohr::N,pe´llj,ucho
11,Ohr::N,пе̄лльй,ucho
12,Nase::N,njuenie,nos
13,Nase::N,njunnje,nos
14,Nase::N,njunni,nos
15,Nase::N,njuṇe,nos
16,Nase::N,njuu´nn,nos
17,Nase::N,нюннҍ,nos
18,Mund::N,njaelmie,ústa
19,Mund::N,njálmme,ústa
20,Mund::N,njálbmi,ústa
21,Mund::N,njälmi,ústa
22,Mund::N,njä´lmm,ústa
23,Mund::N,ня̄лльм,ústa
24,Zahn::N,baenie,zub
25,Zahn::N,bádne,zub
26,Zahn::N,bátni,zub
27,Zahn::N,pääṇi,zub
28,Zahn::N,pää´nn,zub
29,Zahn::N,па̄ннҍ,zub
30,Zunge::N,njoektjeme,jazyk
31,Zunge::N,njuovtjav,jazyk
32,Zunge::N,njuovčča,jazyk
33,Zunge::N,njuovčâ,jazyk
34,Zunge::N,njuhččâm,jazyk
35,Zunge::N,нюхчем,jazyk
36,Lippe::N,bangseme,pera
37,Lippe::N,njálmmerabdda,pera
38,Lippe::N,bavssa,pera
39,Lippe::N,poovsâ,pera
40,Lippe::N,põõus,pera
41,Lippe::N,пэ̄кс,pera
42,Wange::N,skiehrie,líce
43,Wange::N,nierra,líce
44,Wange::N,muohtu,líce
45,Wange::N,nieṛâ,líce
46,Wange::N,njiõrr,líce
47,Wange::N,нӣрр,líce
48,Gesicht::N,ååredæjja,tvár
49,Gesicht::N,ååredæjja,obličaj
50,Gesicht::N,muohto,tvár
51,Gesicht::N,muohto,obličaj
52,Gesicht::N,muođut,tvár
53,Gesicht::N,muođut,obličaj
54,Gesicht::N,ámadadju,tvár
55,Gesicht::N,ámadadju,obličaj
56,Gesicht::N,muáđuh,tvár
57,Gesicht::N,muáđuh,obličaj
58,Gesicht::N,muâđ,tvár
59,Gesicht::N,muâđ,obličaj
60,Gesicht::N,ка̄ссв,tvár
61,Gesicht::N,ка̄ссв,obličaj
62,Stirn::N,gaalloe,čelo
63,Stirn::N,gállo,čelo
64,Stirn::N,gállu,čelo
65,Stirn::N,kállu,čelo
66,Stirn::N,käll,čelo
67,Stirn::N,вуэххьц,čelo
68,Haar::N,voepte,vlas
69,Haar::N,vuoppta,vlas
70,Haar::N,vuokta,vlas
71,Haar::N,vuop'tâ,vlas
72,Haar::N,vuõpt,vlas
73,Haar::N,вӯппт,vlas
74,Schnurrbart::N,bijjie-skaavtjoe,fúzy
75,Schnurrbart::N,njunjevuolskávttjá,fúzy
76,Schnurrbart::N,seamu,fúzy
77,Schnurrbart::N,siämu,fúzy
78,Schnurrbart::N,ää´bben,fúzy
79,Schnurrbart::N,о̄а̄бпан,fúzy
80,Bart::N,skaavtja,brada
81,Bart::N,skaavtjoe,brada
82,Bart::N,skávttjá,brada
83,Bart::N,seamu,brada
84,Bart::N,siämu,brada
85,Bart::N,seäm,brada
86,Bart::N,ся̄м,brada
87,Kinn::N,gaejpie,brada
88,Kinn::N,gájbbe,brada
89,Kinn::N,gáibi,brada
90,Kinn::N,käibi,brada
91,Kinn::N,käi´bb,brada
92,Kinn::N,ка̄ййп,brada
93,Kiefer[Anatomie]::N,gaejpie,čeľusť
94,Kiefer[Anatomie]::N,oalol,čeľusť
95,Kiefer[Anatomie]::N,oaloldákte,čeľusť
96,Kiefer[Anatomie]::N,gáibi,čeľusť
97,Kiefer[Anatomie]::N,uá'lultähti,čeľusť
98,Kiefer[Anatomie]::N,vuâl'lõš,čeľusť
99,Kiefer[Anatomie]::N,вуаллнешш,čeľusť
100,Kehle::N,gealoe,hrdlo
101,Kehle::N,tjåttå,hrdlo
102,Kehle::N,njiello,hrdlo
103,Kehle::N,čotta,hrdlo
104,Kehle::N,čuudâ,hrdlo
105,Kehle::N,čoodd,hrdlo
106,Kehle::N,чонт,hrdlo
107,Kehle::N,кэ̄ҏс,hrdlo
108,Hals::N,tjeapohke,krk
109,Hals::N,tjiebet,krk
110,Hals::N,čeabet,krk
111,Hals::N,čiäppát,krk
112,Hals::N,čeäppat,krk
113,Hals::N,ча̄пэх,krk
114,Genick::N,tjovrese,väzy
115,Genick::N,nisske,väzy
116,Genick::N,niehkki,väzy
117,Genick::N,niski,väzy
118,Genick::N,niek'ki,väzy
119,Genick::N,nji´šǩǩmaadd,väzy
120,Genick::N,нышшькмоант,väzy
121,Kopf::N,åejjie,hlava
122,Kopf::N,oajvve,hlava
123,Kopf::N,oaivi,hlava
124,Kopf::N,uái'vi,hlava
125,Kopf::N,vuei´vv,hlava
126,Kopf::N,вуэййв,hlava
127,Rücken::N,rudtje,chrbát
128,Rücken::N,hárddo,chrbát
129,Rücken::N,tjavelk,chrbát
130,Rücken::N,sealgi,chrbát
131,Rücken::N,selgi,chrbát
132,Rücken::N,čielgi,chrbát
133,Rücken::N,seä´lǧǧ,chrbát
134,Rücken::N,се̄лльк,chrbát
135,Bauch::N,tjåejjie,brucho
136,Bauch::N,tjoajvve,brucho
137,Bauch::N,čoavji,brucho
138,Bauch::N,čuáv'ji,brucho
139,Bauch::N,čåu´jj,brucho
140,Bauch::N,чо̄ввьй,brucho
141,Nabel::N,naepie,pupok
142,Nabel::N,náhpe,pupok
143,Nabel::N,náhpi,pupok
144,Nabel::N,nääpi,pupok
145,Nabel::N,nää´pp,pupok
146,Nabel::N,на̄бпь,pupok
147,Busen::N,boenge,prsia
148,Busen::N,bållå,prsia
149,Busen::N,čižži,prsia
150,Busen::N,njamma,prsia
151,Busen::N,njižže,prsia
152,Busen::N,nje´ǯǯ,prsia
153,Busen::N,раннҍт,prsia
154,Brust::N,mïelke,hruď
155,Brust::N,radde,hruď
156,Brust::N,mielgga,hruď
157,Brust::N,raddi,hruď
158,Brust::N,radde,hruď
159,Brust::N,râ´dd,hruď
160,Brust::N,раннҍт,hruď
161,Schulter::N,åelkie,plece
162,Schulter::N,oalgge,plece
163,Schulter::N,hárdu,plece
164,Schulter::N,ärdee,plece
165,Schulter::N,uál'gi,plece
166,Schulter::N,a´rddi,plece
167,Schulter::N,vuä´lǧǧ,plece
168,Schulter::N,вуэллык,plece
169,Arm::N,gïete,rameno
170,Arm::N,giehta,rameno
171,Arm::N,giehta,rameno
172,Arm::N,kietâ,rameno
