,Concept_ID,mhr,hu
0,Auge::N,шинча́,szem
1,Ohr::N,пы́лыш,fül
2,Nase::N,нер,orr
3,Mund::N,умша́,száj
4,Zahn::N,пӱй,fog
5,Zunge::N,йы́лме,nyelv
6,Lippe::N,тӱ́рвӧ,ajak
7,Wange::N,шӱ́ргӧ,orca
8,Gesicht::N,чури́й,arc
9,Stirn::N,саҥга́,homlok
10,Haar::N,ӱп,haj
11,Schnurrbart::N,ӧ́рыш,bajusz
12,Bart::N,понда́ш,szakáll
13,Kinn::N,оҥыла́ш,áll
14,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,állkapocs
15,Kiefer[Anatomie]::N,пӱйората́,állkapocs
16,Kehle::N,лога́р,gége
17,Kehle::N,лога́р,torok
18,Hals::N,шӱй,nyak
19,Genick::N,шӱйло́дыш,tarkó
20,Kopf::N,вуй,fő
21,Kopf::N,вуй,fej
22,Rücken::N,туп,hát
23,Bauch::N,мӱ́шкыр,has
24,Nabel::N,кы́лымде,köldök
25,Busen::N,чы́зе,mell
26,Busen::N,чы́зе,kebel
27,Brust::N,оҥ,mell
28,Schulter::N,ва́че,váll
29,Arm::N,кид,kar
30,Ellenbogen::N,кынерву́й,könyök
31,Hand::N,кид,kéz
32,Hand::N,копа́,kéz
33,Handfläche::N,со́во,tenyér
34,Finger::N,парня́,ujj
35,Fingernagel::N,кидкӱ́ч,köröm
36,Fingernagel::N,парнягӱ́ч,köröm
37,Nagel[Anatomie]::N,кӱч,köröm
38,Zeh::N,йолварня́,lábujj
39,Fuß::N,йол,láb
40,Fuß::N,йолкопа́,láb
41,Ferse::N,тага́н,sarok
42,Knie::N,пулву́й,térd
43,Oberschenkel::N,э́рде,comb
44,Bein::N,йол,láb
45,Bein::N,йол,lábszár
46,Körper::N,кап,test
47,Haut::N,кова́ште,bőr
48,Blut::N,вӱр,vér
49,Ader::N,шӧн,ér
50,Sehne::N,шӧн,ín
51,Sehne::N,кӱсе́н,ín
52,Knochen::N,лу,csont
53,Gehirn::N,вем,agy
54,Gehirn::N,вем,agyvelő
55,Gehirn::N,вуйве́м,agy
56,Gehirn::N,вуйве́м,agyvelő
57,Herz::N,шӱм,szív
58,Magen::N,пага́р,gyomor
59,Leber::N,мокш,máj
60,Atem::N,шӱ́лыш,lehelet
61,Atem::N,шӱ́лыш,lélegzet
62,Hunger::N,шужыма́ш,éhség
63,Träne::N,шинчавӱ́д,könny
64,Geschmack::N,там,íz
65,Geruch::N,пуш,szag
66,Schlaf::N,о́мо,álom
67,Schlaf::N,о́мо,alvás
68,Traum::N,йӱдо́мо,álom
69,Himmel::N,кава́,ég
70,Himmel::N,кава́,menny
71,Sonne::N,ке́че,nap
72,Mond::N,ты́лзе,hold
73,Stern::N,шӱ́дыр,csillag
74,Luft::N,юж,levegő
75,Wind::N,марде́ж,szél
76,Welle::N,то́лкын,hullám
77,Wasser::N,вӱд,víz
78,Stein::N,кӱ,kő
79,Boden::N,рок,föld
80,Boden::N,рок,talaj
81,Erde::N,мла́нде,föld
82,Staub::N,пура́к,por
83,Rauch::N,шикш,füst
84,Funke::N,сеске́м,szikra
85,Funke::N,тулйы́п,szikra
86,Feuer::N,тул,tűz
87,Licht::N,со́то,fény
88,Schatten::N,ӱ́мыл,árnyék
89,Wetter::N,иге́че,idő
90,Wetter::N,иге́че,időjárás
91,Nebel::N,тӱтыра́,köd
92,Wolke::N,пыл,felhő
93,Regen::N,йӱр,eső
94,Schnee::N,лум,hó
95,Eis::N,ий,jég
96,Frost::N,чатлама́,fagy
97,Kälte::N,йӱ́штӧ,hideg
98,Hitze::N,шо́кшо,hő
99,Hitze::N,шо́кшо,hőség
100,Raureif::N,пӧрш,zúzmara
101,Raureif::N,по́кшым,zúzmara
102,Regenbogen::N,шонанпы́л,szivárvány
103,Donner::N,кӱ́дырчӧ,dörgés
104,Donner::N,кӱ́дырчӧ,mennydörgés
105,Strömung::N,йо́гын,áramlat
106,Tropfen::N,чӱча́лтыш,csepp
107,Schaum::N,шоҥ,hab
108,Schaum::N,шоҥ,tajték
109,Schmutz::N,лавыра́,piszok
110,See::N,ер,tó
111,Sumpf::N,лӱ́кӧ,mocsár
112,Moor::N,куп,láp
113,Wiese::N,о́лык,rét
114,Wiese::N,о́лык,mező
115,Wald::N,чодыра́,erdő
116,Hügel::N,арка́,domb
117,Anhöhe::N,тӧва́,magaslat
118,Anhöhe::N,кӱкшака́,magaslat
119,Berg::N,ку́рык,hegy
120,Gipfel::N,чаҥга́,csúcs
121,Gipfel::N,курыкву́й,csúcs
122,Höhle::N,пеще́р,barlang
123,Höhle::N,курыкпо́мыш,barlang
124,Abhang::N,та́йыл,lejtő
125,Quelle::N,важ,forrás
126,Quelle::N,вӱдшинча́,forrás
127,Bach::N,изэҥе́р,patak
128,Fluss::N,эҥе́р,folyó
129,Ufer::N,сер,part
130,Küste::N,вӱдтӱ́р,tengerpart
131,Festland::N,мла́нде,szárazföld
132,Meer::N,те́ҥыз,tenger
133,Bucht::N,икса́,öböl
134,Insel::N,отро́,sziget
135,Blume::N,пеле́дыш,virág
136,Gras::N,шу́до,fű
137,Wurzel::N,вож,gyökér
138,Baum::N,пуше́ҥге,fa
139,Stamm::N,йы́тыр,tő
140,Stamm::N,йы́тыр,törzs
141,Rinde::N,шӱм,kéreg
142,Ast::N,укш,ág
143,Zweig::N,торма́к,gally
144,Blatt::N,лышта́ш,levél
145,Birke::N,куэ́,nyír
146,Kiefer[Baum]::N,пӱ́нчӧ,fenyő
147,Weide[Baum]::N,уа́,fűz
148,Tanne::N,кож,fenyő
149,Horn::N,шур,szarv
150,Feder::N,пы́стыл,toll
151,Fell::N,кова́ште,szőr
152,Fell::N,кова́ште,bunda
153,Flügel::N,шу́лдыр,szárny
154,Klaue::N,кӱч,köröm
155,Kralle::N,ла́па,karom
156,Kralle::N,копа́,karom
157,Schwanz::N,поч,farok
158,Ei::N,му́но,tojás
159,Nest::N,пыжа́ш,fészek
160,Bau::N,пыжа́ш,odú
161,Tier::N,я́нлык,állat
162,Tier::N,живо́тный,állat
163,Herde::N,кӱ́тӱ,nyáj
164,Herde::N,кӱ́тӱ,csorda
165,Herde::N,тӱшка́,nyáj
166,Herde::N,тӱшка́,csorda
167,Kuh::N,ушка́л,tehén
