,Concept_ID,fr,lv
0,Auge::N,œil,син
1,Auge::N,œil,acs
2,Ohr::N,oreille,пель
3,Ohr::N,oreille,auss
4,Nase::N,nez,ныр
5,Nase::N,nez,deguns
6,Mund::N,bouche,вом
7,Mund::N,bouche,mute
8,Zahn::N,dent,пинь
9,Zahn::N,dent,zobs
10,Zunge::N,langue,кыв
11,Zunge::N,langue,mēle
12,Lippe::N,lèvre,вом дор
13,Lippe::N,lèvre,lūpa
14,Wange::N,joue,бан
15,Wange::N,joue,vaigs
16,Gesicht::N,face,чужӧм
17,Gesicht::N,face,seja
18,Gesicht::N,face,ģīmis
19,Gesicht::N,visage,чужӧм
20,Gesicht::N,visage,seja
21,Gesicht::N,visage,ģīmis
22,Stirn::N,front,плеш
23,Stirn::N,front,кымӧс
24,Stirn::N,front,piere
25,Haar::N,cheveu,си
26,Haar::N,cheveu,юрси
27,Haar::N,cheveu,mats
28,Schnurrbart::N,moustache,ус
29,Schnurrbart::N,moustache,пыртсим
30,Schnurrbart::N,moustache,ūsas
31,Bart::N,barbe,тош
32,Bart::N,barbe,bārda
33,Kinn::N,menton,тшӧка
34,Kinn::N,menton,zods
35,Kinn::N,menton,smakrs
36,Kiefer[Anatomie]::N,mâchoire,черлы
37,Kiefer[Anatomie]::N,mâchoire,алака лы
38,Kiefer[Anatomie]::N,mâchoire,вомкӧтш лы
39,Kiefer[Anatomie]::N,mâchoire,žoklis
40,Kehle::N,gorge,голя
41,Kehle::N,gorge,rīkle
42,Hals::N,cou,сьылі
43,Hals::N,cou,kakls
44,Genick::N,nuque,юрбӧр
45,Genick::N,nuque,балябӧж
46,Genick::N,nuque,sprands
47,Kopf::N,tête,юр
48,Kopf::N,tête,galva
49,Rücken::N,dos,мыш
50,Rücken::N,dos,mugura
51,Bauch::N,ventre,рушку
52,Bauch::N,ventre,vēders
53,Nabel::N,nombril,гӧг
54,Nabel::N,nombril,naba
55,Busen::N,sein,морӧс
56,Busen::N,sein,krūts
57,Brust::N,poitrine,морӧс
58,Brust::N,poitrine,krūts
59,Schulter::N,épaule,пельпом
60,Schulter::N,épaule,plecs
61,Arm::N,bras,ки
62,Arm::N,bras,roka
63,Arm::N,bras,delms
64,Ellenbogen::N,coude,гырддза
65,Ellenbogen::N,coude,elkonis
66,Hand::N,main,ки
67,Hand::N,main,roka
68,Hand::N,main,plauksta
69,Handfläche::N,paume,ки пыдӧс
70,Handfläche::N,paume,delna
71,Handfläche::N,paume,plauksta
72,Finger::N,doigt,чунь
73,Finger::N,doigt,pirksts
74,Fingernagel::N,ongle,гыж
75,Fingernagel::N,ongle,nags
76,Nagel[Anatomie]::N,ongle,гыж
77,Nagel[Anatomie]::N,ongle,nags
78,Zeh::N,orteil,кок чунь
79,Zeh::N,orteil,pirksts
80,Zeh::N,doigt de pied,кок чунь
81,Zeh::N,doigt de pied,pirksts
82,Fuß::N,pied,кок
83,Fuß::N,pied,kāja
84,Ferse::N,talon,кокбӧр
85,Ferse::N,talon,papēdis
86,Knie::N,genou,пидзӧс
87,Knie::N,genou,celis
88,Oberschenkel::N,cuisse,лядьвей
89,Oberschenkel::N,cuisse,бек
90,Oberschenkel::N,cuisse,ciska
91,Oberschenkel::N,cuisse,augšstilbs
92,Bein::N,jambe,кок
93,Bein::N,jambe,kāja
94,Körper::N,corps,туша
95,Körper::N,corps,вывтыр
96,Körper::N,corps,miesa
97,Körper::N,corps,ķermenis
98,Haut::N,peau,ку
99,Haut::N,peau,āda
100,Blut::N,sang,вир
101,Blut::N,sang,asins
102,Ader::N,veine,сӧн
103,Ader::N,veine,asinsvads
104,Sehne::N,tendon,вез
105,Sehne::N,tendon,dzīsla
106,Knochen::N,os,лы
107,Knochen::N,os,kauls
108,Gehirn::N,cerveau,вем
109,Gehirn::N,cerveau,smadzenes
110,Herz::N,cœur,сьӧлӧм
111,Herz::N,cœur,sirds
112,Magen::N,estomac,кынӧм
113,Magen::N,estomac,kuņģis
114,Leber::N,foie,мус
115,Leber::N,foie,aknas
116,Atem::N,haleine,лов
117,Atem::N,haleine,elpa
118,Hunger::N,faim,тшыг
119,Hunger::N,faim,bads
120,Hunger::N,faim,izsalkums
121,Träne::N,larme,синва
122,Träne::N,larme,asara
123,Geschmack::N,goût,кӧр
124,Geschmack::N,goût,чӧсмӧс
125,Geschmack::N,goût,garša
126,Geschmack::N,saveur,кӧр
127,Geschmack::N,saveur,чӧсмӧс
128,Geschmack::N,saveur,garša
129,Geruch::N,odeur,зын
130,Geruch::N,odeur,дук
131,Geruch::N,odeur,smaka
132,Schlaf::N,sommeil,узьӧм
133,Schlaf::N,sommeil,miegs
134,Traum::N,songe,вӧт
135,Traum::N,songe,вӧтасьӧм
136,Traum::N,songe,sapnis
137,Himmel::N,ciel,енэж
138,Himmel::N,ciel,debess
139,Sonne::N,soleil,шонді
140,Sonne::N,soleil,saule
141,Mond::N,lune,тӧлысь
142,Mond::N,lune,mēness
143,Stern::N,étoile,кодзув
144,Stern::N,étoile,zvaigzne
145,Luft::N,air,сынӧд
146,Luft::N,air,gaiss
147,Wind::N,vent,тӧв
