,Concept_ID,ab,et
0,Auge::N,ала,silm
1,Ohr::N,алымҳа,kõrv
2,Nase::N,аҧынҵа,nina
3,Mund::N,аҧышə,suu
4,Zahn::N,ахаҧыц,hammas
5,Zunge::N,абз,keel
6,Lippe::N,ақьышə,huul
7,Wange::N,аӡамҩа,põsk
8,Gesicht::N,аҿы,nägu
9,Stirn::N,алахь,otsmik
10,Haar::N,ахəыц,juus
11,Schnurrbart::N,аҧаҵа,vurrud
12,Schnurrbart::N,аҧаҵа,vuntsid
13,Bart::N,ажакьа,habe
14,Kinn::N,ацламкəыгə,lõug
15,Kiefer[Anatomie]::N,ацламҳəа,lõualuu
16,Kehle::N,ахəда,kõri
17,Hals::N,ахəда,kael
18,Genick::N,ахəдаџьал,kukal
19,Kopf::N,ахы,pea
20,Rücken::N,азқəа,selg
21,Bauch::N,амгəа,kõht
22,Nabel::N,аҷапан,naba
23,Busen::N,агəыҧҳəы,rind
24,Brust::N,агəышҧы,rind
25,Schulter::N,ажəҩахыр,õlg
26,Arm::N,амахəар,käsivars
27,Ellenbogen::N,амашьхəылҵ,küünarnukk
28,Hand::N,анапы,käsi
29,Handfläche::N,анапсаргəыҵа,pihk
30,Finger::N,анацəа,sõrm
31,Fingernagel::N,анапхыц,küüs
32,Nagel[Anatomie]::N,ашьапхыц,küüs
33,Zeh::N,ашьацəа,varvas
34,Fuß::N,ашьапсыргəыҵа,jalg
35,Ferse::N,ашьхəа,kand
36,Knie::N,ашьамхы,põlv
37,Oberschenkel::N,ауаҭəа,reis
38,Bein::N,ашьапы,jalg
39,Körper::N,ацəеижь,ihu
40,Körper::N,ацəеижь,keha
41,Haut::N,ацəа,nahk
42,Blut::N,ашьа,veri
43,Ader::N,ада,veen
44,Sehne::N,адаш,kõõlus
45,Knochen::N,абаҩ,luu
46,Gehirn::N,ахшлыбаҩ,aju
47,Gehirn::N,ахшыбаҩ,aju
48,Herz::N,агəы,süda
49,Magen::N,аца,magu
50,Magen::N,ацар,magu
51,Leber::N,агəаҵəа,maks
52,Atem::N,аҧсыҧлагаҩгара,hingeõhk
53,Atem::N,аҧсыҧлагаҩгара,hingamine
54,Hunger::N,амла,nälg
55,Träne::N,алабжыш,pisar
56,Geschmack::N,агьама,maitse
57,Geruch::N,афҩы,lõhn
58,Schlaf::N,ацəа,uni
59,Traum::N,аҧхыӡ,unenägu
60,Himmel::N,ажəҩан,taevas
61,Sonne::N,амра,päike
62,Mond::N,амза,kuu
63,Stern::N,аеҵəа,täht
64,Luft::N,аҳаир,õhk
65,Wind::N,аҧша,tuul
66,Welle::N,ацəқəырҧа,laine
67,Wasser::N,аӡы,vesi
68,Stein::N,ахаҳə,kivi
69,Boden::N,адгьыл,maa
70,Boden::N,адгьыл,pinnas
71,Erde::N,адгьыл,maa
72,Staub::N,асаба,põrm
73,Rauch::N,алҩа,suits
74,Funke::N,акəиц,säde
75,Funke::N,ацҧхь,säde
76,Feuer::N,амца,tuli
77,Licht::N,алашара,valgus
78,Schatten::N,ашəшьыра,vari
79,Wetter::N,амш,ilm
80,Nebel::N,анаҟəа,udu
81,Wolke::N,аҧсҭҳəа,pilv
82,Regen::N,ақəа,sadu
83,Schnee::N,асы,lumi
84,Eis::N,аҵаа,jää
85,Frost::N,аҵаа,pakane
86,Kälte::N,ахьҭа,külm
87,Kälte::N,ахьҭа,külmus
88,Hitze::N,ашоура,kuumus
89,Hitze::N,ашоура,palavus
90,Raureif::N,аҵааҧшқа,härmatis
91,Regenbogen::N,ацəаҟəа,vikerkaar
92,Donner::N,адыд,kõu
93,Donner::N,адыд,müristamine
94,Strömung::N,аиасра,voolus
95,Strömung::N,аиасра,jõevool
96,Strömung::N,амҩасра,voolus
97,Strömung::N,амҩасра,jõevool
