,Concept_ID,ady,ka
0,Auge::N,нэ,თვალი
1,Ohr::N,тхьакӏу́м,ყური
2,Nase::N,пэ,ცხვირი
3,Mund::N,жэ,პირი
4,Zahn::N,цэ,კბილი
5,Zunge::N,бзэгу,ენა
6,Lippe::N,ӏупшӏэ́,ბაგე
7,Wange::N,нэкӏу́шъу,ლოყა
8,Gesicht::N,нэ́гу,სახე
9,Stirn::N,натӏэ́,შუბლი
10,Haar::N,шъхьацы́,თმა
11,Bart::N,жакӏэ́,წვერი
12,Kinn::N,жэкӏэпэпкъ,ნიკაპი
13,Kiefer[Anatomie]::N,жэпкъы́,ყბა
14,Kehle::N,чый,ყელი
15,Hals::N,пшъэ,ყელი
16,Hals::N,пшъэ,კისერი
17,Genick::N,шъхьэпхэтыку,კეფა
18,Kopf::N,шъхьэ́,თავი
19,Rücken::N,кӏыбы́,ზურგი
20,Bauch::N,ныбэ́,მუცელი
21,Busen::N,бгъэ́,ძუძუ
22,Brust::N,бгъэ́,მკერდი
23,Schulter::N,блыпкъ,მხარი
24,Schulter::N,блыпкъ,მკლავი
25,Arm::N,ӏэ,ხელი
26,Ellenbogen::N,ӏэнтэ́гъу,იდაყვი
27,Hand::N,ӏэтхьэцу,ხელი
28,Handfläche::N,ӏэ́гу,ნები
29,Handfläche::N,ӏэ́гу,ხელისგული
30,Finger::N,ӏэхъуа́мб,თითი
31,Fingernagel::N,ӏэбжъа́н,ფრჩხილი
32,Nagel[Anatomie]::N,ӏэбжъа́н,ფრჩხილი
33,Zeh::N,ӏэхъуа́мб,ფეხის თითი
34,Fuß::N,лъэгу,ტერფი
35,Fuß::N,лъэгу,ფეხისგული
36,Ferse::N,лъэдакъэ,ქუსლი
37,Knie::N,лъагуа́ндж,მუხლი
38,Oberschenkel::N,ко,ბარძაყი
39,Bein::N,лъакъо́,ფეხი
40,Körper::N,пкъышъол,ტანი
41,Körper::N,пкъышъол,სხეული
42,Haut::N,кӏы́шъу,კანი
43,Blut::N,лъы,სისხლი
44,Ader::N,льытф,ძარღვი
45,Sehne::N,фэ,მყესი
46,Knochen::N,къупшъхьэ́,ძვალი
47,Gehirn::N,куцӏы,ტვინი
48,Herz::N,гу,გული
49,Magen::N,мышкӏу,კუჭი
50,Leber::N,шӏу,ღვიძლი
51,Atem::N,къэщэныр,სუნთქვა
52,Hunger::N,гъаблэ́,შიმშილი
53,Träne::N,нэпсы,ცრემლი
54,Geschmack::N,ӏэшӏугъа́кӏ,გემო
55,Geruch::N,мэ,სუნი
56,Schlaf::N,пчыхьы́пӏ,ძილი
57,Traum::N,пчыхьы́пӏ,სიზმარი
58,Himmel::N,уашъо́,ცა
59,Sonne::N,тыгъэ,მზე
60,Mond::N,мазэ,მთვარე
61,Stern::N,жъуагъо́,ვარსკვლავი
62,Luft::N,жьы,ჰაერი
63,Wind::N,жьыбгъэ́,ქარი
64,Welle::N,ор,ტალღა
65,Welle::N,оры,ტალღა
66,Wasser::N,псы,წყალი
67,Stein::N,мыжъо́,ქვა
68,Boden::N,чӏ́ыгу,მიწა
69,Erde::N,чӏ́ыгу,ნიადაგი
70,Staub::N,сап,მტვერი
71,Rauch::N,ӏугъо́,ბოლი
72,Rauch::N,ӏугъо́,კვამლი
73,Funke::N,мэшӏуа́ч,ნაკვესი
74,Feuer::N,машӏо́,ცეცხლი
75,Licht::N,нэфы,შუქი
76,Licht::N,нэфы,სინათლე
77,Licht::N,нэфын,შუქი
78,Licht::N,нэфын,სინათლე
79,Schatten::N,жьау́,ლანდი
80,Schatten::N,жьау́,ჩრდილი
81,Schatten::N,ныбжьыкъу,ლანდი
82,Schatten::N,ныбжьыкъу,ჩრდილი
83,Nebel::N,пща́гъу,ნისლი
84,Wolke::N,ошъуапщэ,ღრუბელი
85,Regen::N,ощхы,წვიმა
86,Schnee::N,осы́,თოვლი
87,Eis::N,мылы,თოში
88,Eis::N,мылы,ყინული
89,Kälte::N,чъыӏэ́,სიცივე
90,Hitze::N,фэба́е,სიცხე
91,Regenbogen::N, лэгъупэкъо́пс,ცისარტყელა
92,Donner::N,шыблэ́,ქუხილი
93,Strömung::N,ток,დინება
94,Tropfen::N,ткӏопс,წვეთი
95,Tropfen::N,гъуаткӏу,წვეთი
96,Schaum::N,тхъурбэ,ქაფი
97,Schaum::N,тхъурбэ,დორბლი
98,Schmutz::N,псынжъы,ჭუჭყი
99,Schmutz::N,псынжъы,ტალახი
100,See::N,хыку́м,ტბა
101,See::N,псыхъура́й,ტბა
102,Sumpf::N,орыжъ,ჭაობი
103,Moor::N,орыжъ,ტორფნარი
104,Wiese::N,хъупӏэ́,ველი
105,Wiese::N,хъупӏэ́,მდელო
106,Wiese::N,мэкъупӏ,ველი
107,Wiese::N,мэкъупӏ,მდელო
108,Wald::N,мэзы́,ტყე
109,Hügel::N,ӏуашъхь,ბორცვი
110,Anhöhe::N,чӏыӏэтыгъ,მაღლობი
111,Berg::N,къушъхьэ́,მთა
112,Gipfel::N,шыгу,მწვერვალი
113,Höhle::N,гъочӏэгъ,მღვიმე
114,Höhle::N,гъочӏэгъ,გამოქვებული
115,Abhang::N,чапэ,ფერდობი
116,Quelle::N,псынэчэ́чъ,წყარო
117,Quelle::N,псынэчэ́чъ,სათავე
118,Bach::N,псышкуашку,რუ
119,Bach::N,псышкуашку,ნაკადული
120,Fluss::N,псыхъо́,მდინარე
121,Ufer::N,нэпкъы,კიდე
122,Ufer::N,нэпкъы,ნაპირი
123,Küste::N,ӏушъо,ნაპირი
124,Festland::N,чӏл́ыгу,ხმელეთი
125,Meer::N,хы,ზღვა
126,Bucht::N,хыблыгу,ყურე
127,Insel::N,хыгъэхъу́н,კუნძული
128,Blume::N,къэгъа́гь,ყვავილი
129,Gras::N,уцы́,ბალახი
130,Wurzel::N,лъапсэ́,ძირი
131,Wurzel::N,лъапсэ́,ფესვი
132,Baum::N,чъыгы́,ხე
133,Stamm::N,пкъы,ტანი
134,Rinde::N,пхъашъо́,ქერქი
135,Ast::N,куамэ,ტოტი
136,Zweig::N,къутамэ́,შტო
137,Blatt::N,тхьап,ფოთოლი
138,Birke::N,пчэн,არყი
139,Kiefer[Baum]::N,сэснэй,ფიჭვი
140,Weide[Baum]::N,пце́л,ტირიფი
141,Tanne::N,ель,ნაძვი
142,Horn::N,бжъэ,რქა
143,Feder::N,къамӏы́й,ფრთა
144,Fell::N,шъо,ტყავი
145,Flügel::N,тамэ́,ფრთა
146,Klaue::N,лъэбжъа́н,კლანჭი
147,Kralle::N,лъакъо,ტორი
148,Schwanz::N,кӏэ,კუდი
149,Ei::N,кӏэнкӏэ́,კვერცხი
150,Nest::N,набгъо́,ბუდე
151,Bau::N,гъу,სორო
152,Bau::N,бы,სორო
153,Tier::N,псэу́шъхь,ნადირი
154,Tier::N,псэу́шъхь,ცხოველი
155,Herde::N,ӏэхъогъу,ფარა
156,Kuh::N,чэмы́,ფური
157,Kuh::N,чэмы́,ძროხა
158,Bulle::N,цу,ხარი
159,Pferd::N,шы,რაში
160,Pferd::N,шы,ცხენი
161,Schaf::N,мэлы́,ცხვარი
162,Schwein::N,къо,ღორი
163,Hund::N,бьэ,ძაღლი
164,Katze::N,чэты́у,კატა
165,Bär::N,мышъэ́,დათვი
166,Eichhörnchen::N,цызэ́,ციყვი
167,Elch::N,лось,ცხენ-ირემი
168,Fuchs::N,баджэ́,მელა
169,Hase::N,тхьакӏумкӏы́хь,კურდღელი
170,Maus::N,цыгъо́,თაგვი
171,Wolf::N,тыгъу́жъ,მგელი
172,Vogel::N,бзы́у,ჩიტი
173,Vogel::N,бзы́у,ფრინველი
174,Schwarm::N,отэр,გუნდი
175,Huhn::N,чэты́,დედალი
176,Hahn::N,атакъэ́,მამალი
177,Gans::N,къа́з,ბატი
178,Ente::N,псычэ́т,იხვი
179,Eule::N,тыгъурыгъу,ბუ
180,Kranich::N,къэрэ́у,წერო
181,Krähe::N,къолэ́жъ,ყვავი
182,Kuckuck::N,куку́у,გუგული
183,Fisch::N,пцэжъы́й,თევზი
184,Barsch::N,тхыкъэц,ქორჭილა
185,Hecht::N,лэнд,ქარიყლაპია
186,Schlange[Tier]::N,блэ́,გველი
187,Wurm::N,хьамлыу,ჭია
188,Spinne::N,бэдж,ობობა
189,Ameise::N,къамзэ́гу,ჭიანჭველა
190,Laus::N,цӏэ,ტილი
191,Laus::N,цӏэ,მკბენარი
192,Mücke::N,аргъо́й,კოღო
193,Fliege::N,бадзэ́,ბუზი
194,Schmetterling::N,хьампӏыра́шъу,პეპელა
195,Beere::N,маткӏо,კენკრა
196,Apfel::N,мыӏэры́с,ვაშლი
197,Pilz::N,хьаӏу,სოკო
198,Zwiebel::N,бжьыны́,ხახვი
199,Saat::N,чылапхъ,თესლი
200,Korn::N,цэ,მარცვალი
201,Heu::N,мэкъу,თივა
202,Schale::N,кӏы́шъу,ჩენჩო
203,Grube::N,машэ́,ორმო
204,Falle::N,зэраубытырэ́ ӏэмэпсы́м,ხაფანგი
205,Schlinge::N,бзыуубыт,მახე
206,Spur::N,ужы,კვალი
207,Spur::N,лъэуж,კვალი
208,Asche::N,яжьэ́,ფერფლი
209,Dreck::N,псынжъы,ტალახი
210,Dreck::N,псынжъы,სიბინძურე
211,Eisen::N,гыучӏы́,რკინა
212,Eisen::N,къэнджа́л,რკინა
213,Gold::N,дышъэ́,ოქრო
214,Silber::N,тыжьы́н,ვერცხლი
215,Kohle::N,шӏомыкӏ,ნახშირი
216,Glas::N,апч,მინა
217,Lehm::N,етӏагъо́,თიხა
218,Sand::N,пшахъо,ქვიშა
219,Mensch::N,цӏыфы́,ადამიანი
220,Mann::N,хъулъфы́гъ,კაცი
221,Frau::N,бӏылъфыгъэ́,ქალი
222,Kind::N,кӏэлэцӏы́кӏу,ბავშვი
223,Junge::N,кӏэлэцӏы́кӏу,ვაჟი
224,Mädchen::N,пшъэшъэжъый,გოგო
225,Familie::N,быны́,ოჯახი
226,Familie::N,уна́гъу,ოჯახი
227,Großvater::N,тэтэ́жъ,პაპა
228,Großvater::N,тэтэ́жъ,ბაბუა
