,Concept_ID,eu,sq
0,Auge::N,begi,sy
1,Ohr::N,belarri,vesh
2,Nase::N,sudur,hundë
3,Mund::N,aho,gojë
4,Zahn::N,hortz,dhëmb
5,Zunge::N,mihi,gjuhë
6,Lippe::N,ezpain,buzë
7,Wange::N,masail,faqe
8,Wange::N,masail,mollëz
9,Gesicht::N,aurpegi,fytyrë
10,Stirn::N,bekoki,ballë
11,Haar::N,ile,flokë
12,Haar::N,bilo,flokë
13,Schnurrbart::N,bibote,mustaqe
14,Schnurrbart::N,sudurpeko,mustaqe
15,Bart::N,bizar,mjekër
16,Kinn::N,kokots,mjekër
17,Kiefer[Anatomie]::N,masailezur,nofull
18,Kehle::N,eztarri,fyt
19,Kehle::N,eztarri,grykë
20,Hals::N,sama,qafë
21,Genick::N,garondo,arrëz
22,Kopf::N,buru,kokë
23,Rücken::N,bizkar,kurriz
24,Bauch::N,sabel,bark
25,Nabel::N,zilbor,kërthizë
26,Busen::N,titi,gji
27,Busen::N,ugatz,gji
28,Brust::N,bular,gjoks
29,Brust::N,bular,kraharor
30,Schulter::N,besaburu,sup
31,Schulter::N,besaburu,krah
32,Arm::N,beso,krah
33,Ellenbogen::N,ukondo,bërryl
34,Hand::N,esku,dorë
35,Handfläche::N,ahur,pëllëmbë
36,Finger::N,hatz,gisht
37,Fingernagel::N,azazkal,thua
38,Nagel[Anatomie]::N,azazkal,thua
39,Zeh::N,behatz,gisht i këmbës
40,Fuß::N,oin,këmbë
41,Ferse::N,orpo,thembër
42,Ferse::N,oinburu,thembër
43,Knie::N,belaun,gju
44,Oberschenkel::N,izter,kofshë
45,Bein::N,zango,këmbë
46,Körper::N,soin,trup
47,Haut::N,azal,lëkurë
48,Blut::N,odol,gjak
49,Ader::N,zain,venë
50,Sehne::N,gihar-zain,dell
51,Knochen::N,hezur,asht
52,Knochen::N,hezur,kockë
53,Gehirn::N,garun,tru
54,Gehirn::N,burmuin,tru
55,Herz::N,bihotz,zemër
56,Magen::N,urdail,stomak
57,Leber::N,gibel,mëlçi
58,Atem::N,hats,frymë
59,Atem::N,arnasa,frymë
60,Hunger::N,gose,uri
61,Träne::N,malko,lot
62,Geschmack::N,dasta,shije
63,Geruch::N,usain,erë
64,Schlaf::N,lo,gjumë
65,Traum::N,amets,ëndërr
66,Himmel::N,zeru,qiell
67,Sonne::N,eguzki,diell
68,Mond::N,ilargi,hënë
69,Stern::N,izar,yll
70,Luft::N,aire,ajër
71,Wind::N,haize,erë
72,Welle::N,uhin,valë
73,Welle::N,uhin,dallgë
74,Welle::N,olatu,valë
75,Welle::N,olatu,dallgë
76,Wasser::N,ur,ujë
77,Stein::N,harri,gur
78,Boden::N,lur,tokë
79,Boden::N,lur,truall
80,Boden::N,zoru,tokë
81,Boden::N,zoru,truall
82,Erde::N,lur,dhe
83,Erde::N,lur,baltë
84,Staub::N,hauts,pluhur
85,Rauch::N,ke,tym
86,Funke::N,zirta,xixë
87,Funke::N,zirta,shkëndijë
88,Funke::N,txinparta,xixë
89,Funke::N,txinparta,shkëndijë
90,Feuer::N,su,zjarr
91,Licht::N,argi,dritë
92,Schatten::N,itzal,hije
93,Schatten::N,geriza,hije
94,Wetter::N,eguraldi,mot
95,Nebel::N,laino,mjegull
96,Wolke::N,hodei,re
97,Regen::N,euri,shi
98,Schnee::N,elur,borë
99,Eis::N,horma,akull
100,Frost::N,izotzaldi,ngricë
101,Kälte::N,hotz,të ftohtë
102,Hitze::N,bero,vapë
103,Hitze::N,bero,nxehtësi
104,Raureif::N,antzigar,cikmë
105,Regenbogen::N,ostadar,ylber
106,Regenbogen::N,ortzadar,ylber
107,Donner::N,ostots,gjëmim
108,Donner::N,ostots,bubullimë
109,Donner::N,ihurtzuri,gjëmim
110,Donner::N,ihurtzuri,bubullimë
111,Strömung::N,laster,rrymë
112,Tropfen::N,xorta,pikë
113,Schaum::N,bits,shkumë
114,Schmutz::N,lohi,baltë
115,Schmutz::N,zikin,baltë
116,See::N,laku,liqen
117,See::N,aintzira,liqen
118,Sumpf::N,zingira,batak
119,Moor::N,zohikaztegi,kënetë
120,Wiese::N,larre,livadh
121,Wiese::N,belardi,livadh
122,Wald::N,baso,pyll
123,Wald::N,oihan,pyll
124,Hügel::N,muino,kodër
125,Hügel::N,pentoka,kodër
126,Anhöhe::N,garai,bregore
127,Anhöhe::N,goragune,bregore
128,Berg::N,mendi,mal
129,Gipfel::N,gain,kulm
130,Gipfel::N,tontor,kulm
131,Höhle::N,kobazulo,shpellë
132,Höhle::N,kobazulo,zgafelle
133,Abhang::N,aldapa,shpat
134,Abhang::N,aldapa,tatëpjetë
135,Quelle::N,iturri,krua
136,Quelle::N,iturri,burim
137,Quelle::N,iturbegi,krua
138,Quelle::N,iturbegi,burim
139,Bach::N,lats,virua
140,Bach::N,erreka,virua
141,Fluss::N,ibai,lumë
142,Fluss::N,uhaitz,lumë
143,Ufer::N,bazter,breg
144,Küste::N,itsasalde,anëdet
145,Küste::N,itsasalde,bregdet
146,Festland::N,lehor,kontinent
147,Meer::N,itsaso,det
148,Bucht::N,golko,gji deti
149,Insel::N,irla,ishull
150,Insel::N,irla,ujdhesë
151,Insel::N,uharte,ishull
152,Insel::N,uharte,ujdhesë
153,Blume::N,lili,lule
154,Gras::N,belar,bar
155,Wurzel::N,zuztar,rrënjë
156,Wurzel::N,sustrai,rrënjë
157,Baum::N,zuhaitz,pemë
158,Stamm::N,enbor,trung
159,Rinde::N,azal,lëvore
160,Ast::N,adar,degë
161,Zweig::N,abar,bisk
162,Blatt::N,hosto,fletë
163,Blatt::N,hosto,gjethe
164,Birke::N,urki,mështekën
165,Kiefer[Baum]::N,ler,pishë
166,Weide[Baum]::N,zume,shelg
167,Weide[Baum]::N,sahats,shelg
168,Tanne::N,izei,bredh
169,Horn::N,adar,bri
170,Feder::N,luma,pupël
171,Feder::N,hegaki,pupël
172,Fell::N,ile,lëkurë
173,Fell::N,larru,lëkurë
174,Flügel::N,hego,krah
175,Flügel::N,hego,fletë
176,Klaue::N,atzapar,kthetër
177,Kralle::N,erpe,thua
178,Kralle::N,erpe,kthetër
179,Kralle::N,atzapar,thua
180,Kralle::N,atzapar,kthetër
181,Schwanz::N,isats,bisht
182,Schwanz::N,buztan,bisht
183,Ei::N,arrautza,vezë
184,Nest::N,habia,fole
185,Bau::N,ohantze,strofkë
186,Tier::N,abere,kafshë
187,Tier::N,piztia,kafshë
188,Herde::N,saldo,kope
189,Herde::N,saldo,grigjë
190,Herde::N,abere talde,kope
191,Herde::N,abere talde,grigjë
192,Kuh::N,behi,lopë
193,Bulle::N,zezen,dem
194,Pferd::N,zaldi,kalë
195,Schaf::N,ardi,dele
196,Schwein::N,urde,derr
197,Schwein::N,txerri,derr
198,Hund::N,txakur,qen
199,Katze::N,katu,mace
200,Bär::N,hartz,ari
201,Eichhörnchen::N,urtxintxa,ketër
202,Elch::N,altze,dre brilopatë
203,Fuchs::N,azeri,dhelpër
204,Hase::N,erbi,lepur
205,Maus::N,sagu,mi
206,Wolf::N,otso,ujk
207,Vogel::N,txori,zog
208,Vogel::N,txori,shpend
209,Vogel::N,hegazti,zog
210,Vogel::N,hegazti,shpend
211,Schwarm::N,aldra,luzmë
212,Huhn::N,oilo,pulë
213,Hahn::N,oilar,gjel
214,Hahn::N,oilar,këndes
215,Gans::N,antzara,patë
216,Adler::N,arrano,shqiponjë
217,Ente::N,ahate,rosë
218,Eule::N,hontza,buf
219,Kranich::N,kurrilo,lejlek
220,Kranich::N,kurrilo,kurrillë
221,Krähe::N,bele,sorrë
222,Kuckuck::N,kuku,qyqe
223,Schwan::N,beltxarga,mjellmë
224,Fisch::N,arrain,peshk
225,Barsch::N,perka,purtekë
226,Hecht::N,lutxo,mlysh
227,Schlange[Tier]::N,suge,gjarpër
228,Wurm::N,har,krimb
229,Spinne::N,armiarma,marimangë
230,Ameise::N,inurri,thnegël
231,Ameise::N,inurri,milingonë
232,Laus::N,zorri,morr
233,Mücke::N,eltxo,kunup
234,Mücke::N,eltxo,mushkonjë
235,Fliege::N,euli,mizë
236,Schmetterling::N,pinpirin,flutur
237,Schmetterling::N,tximeleta,flutur
238,Beere::N,baia,frutë
239,Beere::N,baia,manaferrë
240,Apfel::N,sagar,mollë
241,Pilz::N,onddo,kërpudhë
242,Pilz::N,perretxiko,kërpudhë
243,Zwiebel::N,tipula,qepë
244,Saat::N,haziak,farë
245,Korn::N,ale,grurë
246,Korn::N,ale,kokërr
247,Korn::N,pikor,grurë
248,Korn::N,pikor,kokërr
249,Heu::N,belar ondu,sanë
250,Schale::N,azal,lëkurë
251,Grube::N,hobi,gropë
252,Falle::N,harrapagailu,kurth
253,Falle::N,harrapagailu,grackë
254,Schlinge::N,bilur,nyjë
255,Schlinge::N,xedera,nyjë
256,Spur::N,lorratz,gjurmë
257,Asche::N,errauts,hi
258,Dreck::N,satsukeria,baltë
259,Eisen::N,burdina,hekur
260,Gold::N,urre,ar
261,Gold::N,urre,flori
262,Gold::N,urregorri,ar
263,Gold::N,urregorri,flori
264,Silber::N,zilar,argjend
265,Silber::N,urrezuri,argjend
266,Kohle::N,ikatz,qymyr
267,Glas::N,beira,qelq
268,Lehm::N,buztin,argjilë
269,Sand::N,harea,rërë
270,Sand::N,hondar,rërë
271,Mensch::N,gizaki,njeri
272,Mann::N,gizon,burrë
273,Mann::N,gizon,mashkull
274,Frau::N,andere,grua
275,Frau::N,andere,femër
276,Frau::N,emakume,grua
277,Frau::N,emakume,femër
278,Kind::N,haur,kalama
279,Junge::N,mutil,djalë
280,Mädchen::N,neska,gocë
281,Mädchen::N,neska,vajzë
282,Familie::N,sendi,familje
283,Familie::N,familia,familje
284,Großvater::N,aitona,gjysh
285,Großvater::N,aitatxi,gjysh
286,Großmutter::N,amona,gjyshe
287,Großmutter::N,amatxi,gjyshe
288,Eltern::N,gurasoak,prindër
289,Vater::N,aita,atë
290,Mutter::N,ama,nënë
291,Sohn::N,seme,bir
292,Tochter::N,alaba,bijë
293,Bruder::N,neba,vëlla
294,Bruder::N,anaia,vëlla
295,Schwester::N,ahizpa,motër
296,Onkel::N,osaba,dajë
297,Onkel::N,osaba,xhaxha
298,Tante::N,izeba,teze
299,Tante::N,izeba,hallë
300,Ehemann::N,senar,burrë
301,Ehemann::N,senar,bashkëshort
302,Ehefrau::N,emazte,grua
303,Ehefrau::N,emazte,bashkëshorte
304,Freude::N,poz,gaz
305,Freude::N,poz,gëzim
306,Freude::N,pozkari,gaz
307,Freude::N,pozkari,gëzim
308,Gelächter::N,barre,qeshje
309,Gelächter::N,karkara,qeshje
310,Glück::N,zori,lumturi
311,Kummer::N,xangrin,brengë
312,Kummer::N,xangrin,pikëllim
313,Kummer::N,atsekabe,brengë
314,Kummer::N,atsekabe,pikëllim
315,Wunsch::N,nahi,dëshirë
316,Wunsch::N,nahikunde,dëshirë
317,Lust::N,gogo,epsh
318,Lust::N,gogo,dashuri
319,Geist::N,gogo,frymë
320,Geist::N,gogo,shpirt
321,Gedanke::N,gogoeta,ide
322,Gedanke::N,gogoeta,mendim
323,Gedächtnis::N,oroimen,kujtesë
324,Gedächtnis::N,gogoramen,kujtesë
325,Verstand::N,adimen,mend
326,Verstand::N,ulermen,mend
327,Sinn::N,zentzu,kuptim
328,Grund::N,zergati,arsye
329,Wahrheit::N,egia,vërtetë
330,Gespräch::N,hizketa,bisedim
331,Gespräch::N,elkarrizketa,bisedim
332,Märchen::N,ipuin,përrallë
333,Erzählung::N,edesti,tregim
334,Erzählung::N,kontakizun,tregim
335,Nachricht::N,albiste,lajm
336,Neuigkeit::N,berri,risi
337,Name::N,izen,emër
338,Rätsel::N,asmakizun,gjëzë
339,Rätsel::N,asmakizun,gjëegjëzë
340,Rede::N,hitzaldi,fjalim
341,Rede::N,mintzaldi,fjalim
342,Sprache::N,hizkuntza,gjuhë
343,Stimme::N,ahots,zë
344,Wort::N,hitz,fjalë
345,Zeichen::N,agerbide,shenjë
346,Zeichen::N,agergarri,shenjë
347,Ruf::N,dei,thirrmë
348,Lärm::N,zarata,zhurmë
349,Lärm::N,harrabots,zhurmë
350,Laut::N,hots,tingull
351,Ton::N,tonu,ton
352,Ton::N,soinu,ton
353,Lied::N,abesti,këngë
354,Ruhe::N,nasaitasun,qetësi
355,Leute::N,jende,botë
356,Leute::N,jende,njerëz
357,Volk::N,herri,popull
358,Volk::N,populu,popull
359,Arbeit::N,lan,punë
360,Gast::N,arrotz,mik
361,Gast::N,arrotz,mysafir
362,Gast::N,apopilo,mik
363,Gast::N,apopilo,mysafir
364,Geschenk::N,opari,dhuratë
365,Geschenk::N,opari,peshqesh
366,Spiel::N,jolas,lojë
367,Gesellschaft::N,gizarte,shoqëri
368,Hilfe::N,helpide,ndihmë
369,Hilfe::N,laguntza,ndihmë
370,Freund::N,lagun,mik
371,Kamerad::N,adiskide,shok
372,Kamerad::N,lagunkide,shok
373,Angelegenheit::N,afera,punë
374,Anzahl::N,kopuru,sasi
375,Art::N,mota,lloj
376,Stück::N,puska,copë
377,Teil::N,atal,pjesë
378,Hälfte::N,erdi,gjysmë
379,Kreis::N,biribilki,qark
380,Kreis::N,biribilki,rreth
381,Kreuz::N,gurutze,kryq
382,Linie::N,linea,vijë
383,Strich::N,marra,vizë
384,Abstand::N,tarte,distancë
385,Entfernung::N,urrunera,largim
386,Gegend::N,alderdi,vise
387,Gegend::N,alderdi,krahinë
388,Gegend::N,eskualde,vise
389,Gegend::N,eskualde,krahinë
390,Platz::N,leku,shesh
391,Ort::N,toki,vend
392,Seite::N,albo,anë
393,Mitte::N,erdi,mes
394,Gegenstand::N,gauzaki,send
395,Sache::N,gauza,gjë
396,Sache::N,gauza,send
397,Rand::N,ertz,qoshe
398,Kante::N,ertz,teh
399,Ecke::N,kantoi,qoshe
400,Spitze::N,punta,majë
401,Ende::N,buru,skaj
402,Ende::N,buru,bisht
403,Ende::N,mutur,skaj
404,Ende::N,mutur,bisht
405,Loch::N,zulo,vrimë
406,Winkel::N,zoko,kënd
407,Winkel::N,bazter,kënd
408,Muster::N,eredu,mostër
409,Muster::N,marrazki,mostër
410,Größe::N,kaizu,madhësi
411,Größe::N,tamaina,madhësi
412,Länge::N,luzera,gjatësi
413,Höhe::N,goiera,lartësi
414,Höhe::N,garaiera,lartësi
415,Gewicht::N,hazta,peshë
416,Menge::N,kopuru,sasi
417,Haufen::N,pila,grumbull
418,Haufen::N,mendoi,grumbull
419,Reihe::N,ilara,radhë
420,Reihe::N,ilara,rresht
421,Reihe::N,errenkada,radhë
422,Reihe::N,errenkada,rresht
423,Boot::N,potin,barkë
424,Boot::N,potin,lundër
425,Boot::N,txalupa,barkë
426,Boot::N,txalupa,lundër
427,Ruder::N,arraun,rrem
428,Schlitten::N,lera,sajë
429,Schlitten::N,narra,sajë
430,Ski::N,eski,ski
431,Lagerfeuer::N,su,flakadan
432,Lagerfeuer::N,su,zjarr i madh
433,Last::N,zama,barrë
434,Last::N,karga,barrë
435,Gang::N,ibilera,ecje
436,Schritt::N,pauso,hap
437,Schritt::N,urrats,hap
438,Norden::N,ipar,veri
439,Norden::N,iparralde,veri
440,Süden::N,hego,jug
441,Süden::N,hegoalde,jug
442,Westen::N,sartalde,perëndim
443,Westen::N,mendebalde,perëndim
444,Osten::N,ekialde,lindje
445,Osten::N,sortalde,lindje
446,Holz::N,zur,dru
447,Brett::N,ohol,dërrasë
448,Platte::N,lauza,pllakë
449,Stütze::N,irozgarri,shtyllë
450,Stütze::N,irozgarri,mbështetesë
451,Stütze::N,bermagailu,shtyllë
452,Stütze::N,bermagailu,mbështetesë
453,Stange::N,haga,shufër
454,Stock::N,makila,dajak
455,Stab::N,makila,shkop
456,Rohr::N,hodi,tub
457,Haus::N,etxe,shtëpi
458,Heim::N,etxe,konak
459,Heim::N,etxe,shtëpi
460,Heim::N,etxaleku,konak
461,Heim::N,etxaleku,shtëpi
462,Ofen::N,berogailu,sobë
463,Ofen::N,berogailu,stufë
464,Fußboden::N,zoru,dysheme
465,Tisch::N,mahai,tryezë
466,Stuhl::N,aulki,karrige
467,Wiege::N,kuma,djep
468,Wiege::N,sehaska,djep
469,Bett::N,ohe,shtrat
470,Bett::N,ohatze,shtrat
471,Regal::N,apalategi,raft
472,Kiste::N,kutxa,kuti
473,Fenster::N,leiho,dritare
474,Tür::N,ate,derë
475,Tor::N,atari,portë
476,Zaun::N,hesi,gardh
477,Dach::N,teilatu,çati
478,Leiter::N,zurubi,shkallë
479,Besen::N,erratz,fshesë
480,Spaten::N,burdinpala,lopatë
481,Schaufel::N,pala,qyrek
482,Gabel::N,sardexka,pirun
483,Löffel::N,koilara,lugë
484,Messer::N,aizto,thikë
485,Nagel::N,iltze,gozhdë
486,Netz::N,sare,rrjetë
487,Haken::N,mako,grep
488,Haken::N,mako,grremç
489,Griff::N,eskutoki,dorak
490,Griff::N,eskutoki,dorezë
491,Schloss::N,sarraila,bravë
492,Bild::N,irudi,tablo
493,Bild::N,irudi,pikturë
494,Figur::N,figura,figurë
495,Puppe::N,panpina,kukull
496,Puppe::N,andrakila,kukull
497,Beutel::N,zorro,qese
498,Beutel::N,zorro,trastë
499,Bündel::N,azao,deng
500,Bündel::N,espal,deng
