,Concept_ID,ady,be
0,Auge::N,нэ,вока
1,Ohr::N,тхьакӏу́м,вуха
2,Nase::N,пэ,нос
3,Mund::N,жэ,рот
4,Zahn::N,цэ,зуб
5,Zunge::N,бзэгу,язык
6,Lippe::N,ӏупшӏэ́,губа
7,Wange::N,нэкӏу́шъу,шчака
8,Gesicht::N,нэ́гу,твар
9,Stirn::N,натӏэ́,лоб
10,Haar::N,шъхьацы́,волас
11,Haar::N,шъхьацы́,валасы
12,Bart::N,жакӏэ́,барада
13,Kinn::N,жэкӏэпэпкъ,падбародак
14,Kiefer[Anatomie]::N,жэпкъы́,сківіца
15,Kehle::N,чый,горла
16,Hals::N,пшъэ,шыя
17,Genick::N,шъхьэпхэтыку,патыліца
18,Kopf::N,шъхьэ́,галава
19,Rücken::N,кӏыбы́,спіна
20,Bauch::N,ныбэ́,жывот
21,Busen::N,бгъэ́,грудзі
22,Brust::N,бгъэ́,грудзі
23,Schulter::N,блыпкъ,плячо
24,Arm::N,ӏэ,рука
25,Ellenbogen::N,ӏэнтэ́гъу,локаць
26,Hand::N,ӏэтхьэцу,кісць
27,Handfläche::N,ӏэ́гу,далонь
28,Finger::N,ӏэхъуа́мб,палец
29,Fingernagel::N,ӏэбжъа́н,ногаць
30,Nagel[Anatomie]::N,ӏэбжъа́н,ногаць
31,Zeh::N,ӏэхъуа́мб,палец
32,Fuß::N,лъэгу,нага
33,Ferse::N,лъэдакъэ,пята
34,Ferse::N,лъэдакъэ,пятка
35,Knie::N,лъагуа́ндж,калена
36,Oberschenkel::N,ко,бядро
37,Oberschenkel::N,ко,сцягно
38,Bein::N,лъакъо́,нага
39,Körper::N,пкъышъол,цела
40,Haut::N,кӏы́шъу,скура
41,Blut::N,лъы,кроў
42,Ader::N,льытф,вена
43,Ader::N,льытф,сасуд
44,Sehne::N,фэ,жыла
45,Sehne::N,фэ,цеціва
46,Sehne::N,фэ,сухажылле
47,Knochen::N,къупшъхьэ́,косць
48,Gehirn::N,куцӏы,мозг
49,Herz::N,гу,сэрца
50,Magen::N,мышкӏу,страўнік
51,Leber::N,шӏу,печань
52,Atem::N,къэщэныр,дыханне
53,Hunger::N,гъаблэ́,голад
54,Träne::N,нэпсы,сляза
55,Geschmack::N,ӏэшӏугъа́кӏ,смак
56,Geruch::N,мэ,пах
57,Schlaf::N,пчыхьы́пӏ,сон
58,Traum::N,пчыхьы́пӏ,сон
59,Himmel::N,уашъо́,неба
60,Sonne::N,тыгъэ,сонца
61,Mond::N,мазэ,месяц
62,Stern::N,жъуагъо́,зорка
63,Luft::N,жьы,паветра
64,Wind::N,жьыбгъэ́,вецер
65,Welle::N,ор,хваля
66,Welle::N,оры,хваля
67,Wasser::N,псы,вада
68,Stein::N,мыжъо́,камень
69,Boden::N,чӏ́ыгу,глеба
70,Erde::N,чӏ́ыгу,зямля
71,Staub::N,сап,пыл
72,Rauch::N,ӏугъо́,дым
73,Funke::N,мэшӏуа́ч,іскра
74,Feuer::N,машӏо́,агонь
75,Licht::N,нэфы,святло
76,Licht::N,нэфын,святло
77,Schatten::N,жьау́,цень
78,Schatten::N,ныбжьыкъу,цень
79,Nebel::N,пща́гъу,туман
80,Wolke::N,ошъуапщэ,воблака
81,Regen::N,ощхы,дождж
82,Schnee::N,осы́,снег
83,Eis::N,мылы,лёд
84,Kälte::N,чъыӏэ́,холад
85,Hitze::N,фэба́е,спёка
86,Regenbogen::N, лэгъупэкъо́пс,вясёлка
87,Donner::N,шыблэ́,гром
88,Strömung::N,ток,цячэнне
89,Tropfen::N,ткӏопс,кропля
90,Tropfen::N,гъуаткӏу,кропля
91,Schaum::N,тхъурбэ,пена
92,Schmutz::N,псынжъы,гразь
93,See::N,хыку́м,возера
94,See::N,псыхъура́й,возера
95,Sumpf::N,орыжъ,багна
96,Moor::N,орыжъ,балота
97,Wiese::N,хъупӏэ́,луг
98,Wiese::N,мэкъупӏ,луг
99,Wald::N,мэзы́,лес
100,Hügel::N,ӏуашъхь,узгорак
101,Anhöhe::N,чӏыӏэтыгъ,узвышша
102,Berg::N,къушъхьэ́,гара
103,Gipfel::N,шыгу,вяршыня
104,Höhle::N,гъочӏэгъ,пячора
105,Abhang::N,чапэ,схіл
106,Quelle::N,псынэчэ́чъ,крыніца
107,Bach::N,псышкуашку,ручай
