,Concept_ID,fr,sah
0,Auge::N,œil,харах
1,Ohr::N,oreille,кулгаах
2,Nase::N,nez,мурун
3,Mund::N,bouche,айах
4,Zahn::N,dent,тиис
5,Zunge::N,langue,тыл
6,Lippe::N,lèvre,уос
7,Wange::N,joue,иэдэс
8,Gesicht::N,face,сирэй
9,Gesicht::N,visage,сирэй
10,Stirn::N,front,сүүс
11,Haar::N,cheveu,баттах
12,Schnurrbart::N,moustache,уос бытыга
13,Bart::N,barbe,сэҥийэ бытыга
14,Kinn::N,menton,сэҥийэ
15,Kiefer[Anatomie]::N,mâchoire,сыҥаах
16,Kehle::N,gorge,тамах
17,Kehle::N,gorge,күөмэй
18,Hals::N,cou,моой
19,Genick::N,nuque,кэтэх
20,Kopf::N,tête,бас
21,Rücken::N,dos,көҕүс
22,Bauch::N,ventre,ис
23,Nabel::N,nombril,киин
24,Busen::N,sein,эмиий
25,Brust::N,poitrine,түөс
26,Schulter::N,épaule,сарын
27,Arm::N,bras,илии
28,Ellenbogen::N,coude,тоҕонох
29,Hand::N,main,илии
30,Handfläche::N,paume,ытыс
31,Finger::N,doigt,тарбах
32,Fingernagel::N,ongle,тыҥырах
33,Nagel[Anatomie]::N,ongle,тыҥырах
34,Zeh::N,orteil,тарбах
35,Zeh::N,doigt de pied,тарбах
36,Fuß::N,pied,уллуҥах
37,Ferse::N,talon,тилэх
38,Knie::N,genou,тобук
39,Knie::N,genou,дьилбэк
40,Oberschenkel::N,cuisse,уллук
41,Oberschenkel::N,cuisse,өттүк
42,Bein::N,jambe,атах
43,Körper::N,corps,бэйэ
44,Haut::N,peau,тирии
45,Blut::N,sang,хаан
46,Ader::N,veine,вена
47,Ader::N,veine,күөх_тымыр
48,Sehne::N,tendon,иҥиир
49,Knochen::N,os,уҥуох
50,Knochen::N,os,уҥгуох
51,Gehirn::N,cerveau,мэйии
52,Herz::N,cœur,сүрэх
53,Magen::N,estomac,куртах
54,Leber::N,foie,быар
55,Atem::N,haleine,тыын
56,Hunger::N,faim,аас
57,Träne::N,larme,харах уута
58,Geschmack::N,goût,амтан
59,Geschmack::N,saveur,амтан
60,Geruch::N,odeur,сыт
61,Schlaf::N,sommeil,утуйуу
62,Traum::N,songe,түүл
63,Himmel::N,ciel,халлаан
64,Sonne::N,soleil,күн
65,Mond::N,lune,ый
66,Stern::N,étoile,сулус
67,Luft::N,air,салгын
68,Wind::N,vent,тыал
69,Welle::N,vague,долгун
70,Welle::N,vague,балхаан
71,Wasser::N,eau,уу
72,Stein::N,pierre,таас
73,Boden::N,sol,сир
74,Boden::N,terrain,сир
75,Erde::N,terre,буор
76,Staub::N,poussière,быыл
77,Rauch::N,fumée,буруо
78,Funke::N,étincelle,кыым
79,Feuer::N,feu,уот
80,Licht::N,lumière,уот
81,Schatten::N,ombre,күлүк
82,Wetter::N,temps,күн-дьыл
83,Nebel::N,brume,туман
84,Nebel::N,brouillard,туман
85,Wolke::N,nuage,былыт
86,Regen::N,pluie,самыыр
87,Schnee::N,neige,хаар
88,Eis::N,glace,муус
89,Frost::N,gel,тымныы
90,Frost::N,gelée,тымныы
91,Kälte::N,froid,тымныы
92,Hitze::N,chaleur,куйаас
93,Raureif::N,givre,кырыа
94,Regenbogen::N,arc-en-ciel,кустук
95,Donner::N,tonnerre,этиҥ
96,Strömung::N,courant,сүүрүк
97,Tropfen::N,goutte,таммах
98,Tropfen::N,goutte,хааппыла
99,Schaum::N,écume,күүгэн
100,Schaum::N,mousse,күүгэн
101,Schmutz::N,boue,кир
102,Schmutz::N,saleté,кир
103,See::N,lac,күөл
104,Sumpf::N,marais,бадараан
105,Sumpf::N,marécage,бадараан
106,Moor::N,tourbière,дьэбэрэ
107,Wiese::N,pré,ходуһа
108,Wald::N,bois,ойуур
109,Wald::N,forêt,ойуур
110,Hügel::N,coteau,булгунньах
111,Hügel::N,colline,булгунньах
112,Anhöhe::N,éminence,үрдэл
113,Anhöhe::N,élévation,үрдэл
114,Berg::N,mont,хайа
115,Berg::N,montagne,хайа
116,Gipfel::N,cime,чыпчаал
117,Gipfel::N,sommet,чыпчаал
118,Höhle::N,caverne,хайа_хаспаҕа
119,Höhle::N,caverne,көҥүс
120,Abhang::N,pente,эниэ
121,Abhang::N,versant,эниэ
122,Quelle::N,source,дьүүктэ
123,Quelle::N,fontaine,дьүүктэ
124,Bach::N,ruisseau,үрүйэ
125,Fluss::N,fleuve,өрүс
126,Fluss::N,rivière,өрүс
127,Ufer::N,bord,биэрэк
128,Ufer::N,rivage,биэрэк
129,Küste::N,côte,кытыл
130,Festland::N,terre ferme,кураанах сир
131,Meer::N,mer,муора
132,Bucht::N,baie,хомо
133,Bucht::N,baie,бухта
134,Insel::N,île,арыы
135,Blume::N,fleur,сибэкки
136,Gras::N,herbe,от
137,Wurzel::N,racine,силис
138,Baum::N,arbre,мас
139,Stamm::N,tronc,умнас
140,Rinde::N,écorce,хатырык
141,Ast::N,branche,мутук
142,Zweig::N,rameau,лабаа
143,Blatt::N,feuille,сэбирдэх
144,Birke::N,bouleau,хатыҥ
145,Kiefer[Baum]::N,pin,бэс
146,Weide[Baum]::N,saule,үөт
147,Weide[Baum]::N,saule,талах
148,Tanne::N,sapin,харыйа
149,Horn::N,corne,муос
150,Feder::N,plume,куорсун
151,Fell::N,peau,тирии
152,Flügel::N,aile,кынат
153,Klaue::N,serre,тыҥырах
154,Kralle::N,ongle,баппаҕай
155,Kralle::N,griffe,баппаҕай
156,Schwanz::N,queue,кутурук
157,Ei::N,œuf,сымыыт
158,Nest::N,nid,уйа
159,Bau::N,terrier,хороон
160,Tier::N,animal,кыыл
161,Tier::N,animal,харамай
162,Herde::N,troupeau,үөр
163,Kuh::N,vache,ынах
164,Bulle::N,taureau,оҕус
165,Pferd::N,cheval,сылгы
166,Schaf::N,mouton,овца
167,Schwein::N,porc,сибиинньэ
168,Schwein::N,cochon,сибиинньэ
169,Hund::N,chien,ыт
170,Katze::N,chat,куоска
171,Bär::N,ours,эһэ
172,Eichhörnchen::N,écureuil,тииҥ
173,Elch::N,élan,тайах
174,Fuchs::N,renard,саһыл
175,Hase::N,lièvre,куобах
176,Maus::N,souris,кутуйах
177,Wolf::N,loup,бөрө
178,Vogel::N,oiseau,көтөр
179,Schwarm::N,nuée,бөлөх
180,Schwarm::N,volée,бөлөх
181,Huhn::N,poule,куурусса
182,Hahn::N,coq,бөтүүк
183,Gans::N,oie,хаас
184,Adler::N,aigle,хотой
185,Ente::N,canard,кус
186,Eule::N,hibou,мэкчиргэ
187,Kranich::N,grue,туруйа
188,Krähe::N,corneille,тураах
189,Kuckuck::N,coucou,кэҕэ
190,Schwan::N,cygne,куба
191,Fisch::N,poisson,балык
192,Barsch::N,perche,алыһар
193,Hecht::N,brochet,сордон
194,Schlange[Tier]::N,serpent,моҕой
195,Schlange[Tier]::N,serpent,эриэн үөн
196,Wurm::N,ver,үөн
197,Spinne::N,araignée,ооҕуй
198,Ameise::N,fourmi,кымырдаҕас
199,Laus::N,pou,быт
200,Mücke::N,moucheron,кумаар
201,Fliege::N,mouche,сахсырҕа
202,Schmetterling::N,papillon,лыах
203,Schmetterling::N,papillon,үрүмэччи
204,Beere::N,baie,отон
205,Apfel::N,pomme,яблоко
206,Pilz::N,champignon,тэллэй
207,Zwiebel::N,oignon,луук
208,Saat::N,semence,сиэмэ
209,Korn::N,grain,сиэмэ
210,Heu::N,foin,от
211,Schale::N,pelure,хах
212,Grube::N,fosse,дьаама
213,Falle::N,piège,сохсо
214,Schlinge::N,lacs,уктаа
215,Spur::N,trace,суол
216,Asche::N,cendre,күл
217,Dreck::N,crotte,бадараан
218,Eisen::N,fer,тимир
219,Gold::N,or,көмүс
220,Gold::N,or,кыһыл көмүс
221,Silber::N,argent,көмүс
222,Silber::N,argent,үрүҥ көмүс
223,Kohle::N,charbon,чох
224,Glas::N,verre,өстүөкүлэ
225,Lehm::N,glaise,туой
226,Sand::N,sable,кумах
227,Mensch::N,homme,киһи
228,Mann::N,homme,эр
229,Frau::N,femme,дьахтар
230,Kind::N,enfant,оҕо
231,Junge::N,garçon,уол
232,Mädchen::N,fille,кыыс оҕо
233,Mädchen::N,jeune fille,кыыс оҕо
234,Familie::N,famille,кэргэн
235,Großvater::N,grand-père,эһэ
236,Großmutter::N,grand-mère,эбэ
237,Eltern::N,parents,аҕа-ийэ
238,Vater::N,père,аҕа
239,Mutter::N,mère,ийэ
240,Sohn::N,fils,уол
241,Tochter::N,fille,кыыс
242,Bruder::N,frère,убай
243,Bruder::N,frère,быраат
244,Schwester::N,sœur,аҕас
245,Schwester::N,sœur,балыс
246,Onkel::N,oncle,таай
247,Onkel::N,oncle,абаҕа
