,Concept_ID,ba,et
0,Auge::N,күҙ,silm
1,Ohr::N,ҡолаҡ,kõrv
2,Nase::N,танау,nina
3,Mund::N,ауыҙ,suu
4,Zahn::N,теш,hammas
5,Zunge::N,тел,keel
6,Lippe::N,ирен,huul
7,Wange::N,яцаҡтар,põsk
8,Gesicht::N,бит,nägu
9,Stirn::N,маңлай,otsmik
10,Haar::N,сәс,juus
11,Schnurrbart::N,мылтыҡ,vurrud
12,Schnurrbart::N,мылтыҡ,vuntsid
13,Bart::N,һаҡал,habe
14,Kinn::N,эйэк,lõug
15,Kiefer[Anatomie]::N,яңаҡ һөйәге,lõualuu
16,Kehle::N,тамаҡ,kõri
17,Hals::N,муйын,kael
18,Genick::N,соңҡа,kukal
19,Kopf::N,баш,pea
20,Rücken::N,арҡа,selg
21,Bauch::N,ҡорһаҡ,kõht
22,Nabel::N,кендек,naba
23,Busen::N,күкрәк,rind
24,Brust::N,түш,rind
25,Schulter::N,яурын,õlg
26,Arm::N,ҡул,käsivars
27,Ellenbogen::N,терһәк,küünarnukk
28,Hand::N,ҡул,käsi
29,Hand::N,ҡул суғы,käsi
30,Handfläche::N,ус төбө,pihk
31,Finger::N,бармаҡ,sõrm
32,Fingernagel::N,тырнаҡ,küüs
33,Nagel[Anatomie]::N,тырнаҡ,küüs
34,Zeh::N,бармаҡ,varvas
35,Fuß::N,табан,jalg
36,Ferse::N,үксә,kand
37,Knie::N,тубыҡ,põlv
38,Oberschenkel::N,сандыр,reis
39,Bein::N,аяҡ,jalg
40,Körper::N,тән,ihu
41,Körper::N,тән,keha
42,Haut::N,тире,nahk
43,Blut::N,ҡан,veri
44,Ader::N,тамыр,veen
45,Sehne::N,һеңер,kõõlus
46,Sehne::N,тарамыш,kõõlus
47,Knochen::N,һойәк,luu
48,Gehirn::N,мейе,aju
49,Herz::N,йорәк,süda
50,Magen::N,ашҡаҙан,magu
51,Leber::N,бауыр,maks
52,Atem::N,һулыш,hingeõhk
53,Atem::N,һулыш,hingamine
54,Hunger::N,аслыҡ,nälg
55,Träne::N,күҙ иәше,pisar
56,Geschmack::N,тәм,maitse
57,Geruch::N,еҫ,lõhn
58,Schlaf::N,йоҡлау,uni
59,Traum::N,төш,unenägu
60,Himmel::N,күк,taevas
61,Sonne::N,ҡояш,päike
62,Mond::N,ай,kuu
63,Stern::N,йондоҙ,täht
64,Luft::N,һауа,õhk
65,Wind::N,ел,tuul
66,Welle::N,тулҡын,laine
67,Wasser::N,һыу,vesi
68,Stein::N,таш,kivi
69,Boden::N,тупраҡ,maa
70,Boden::N,тупраҡ,pinnas
71,Erde::N,балсҡ,maa
72,Staub::N,туҙан,põrm
73,Rauch::N,төтөн,suits
74,Funke::N,осҡон,säde
75,Feuer::N,ут,tuli
76,Licht::N,яҡтылыҡ,valgus
77,Schatten::N,күләгә,vari
78,Wetter::N,һауа торошо,ilm
79,Nebel::N,төман,udu
80,Wolke::N,болот,pilv
81,Regen::N,ямғыр,sadu
82,Schnee::N,ҡар,lumi
83,Eis::N,боҙ,jää
84,Frost::N,һалҡын,pakane
85,Kälte::N,һыуыҡ,külm
86,Kälte::N,һыуыҡ,külmus
87,Hitze::N,томра,kuumus
88,Hitze::N,томра,palavus
89,Hitze::N,эҫелек,kuumus
90,Hitze::N,эҫелек,palavus
91,Raureif::N,ҡырау,härmatis
92,Regenbogen::N,йәйғор,vikerkaar
93,Donner::N,күк күкрәү,kõu
94,Donner::N,күк күкрәү,müristamine
95,Strömung::N,ағым,voolus
96,Strömung::N,ағым,jõevool
97,Tropfen::N,тамсы,tilk
98,Schaum::N,күбек,vaht
99,Schmutz::N,батҡаҡ,pori
100,Schmutz::N,батҡаҡ,mustus
101,See::N,күл,järv
102,Sumpf::N,һаҙлык,soo
103,Moor::N,һаҙ,raba
104,Wiese::N,болон,aas
105,Wiese::N,болон,nurm
106,Wald::N,урман,mets
107,Hügel::N,түбә,küngas
108,Anhöhe::N,түбә,küngas
109,Anhöhe::N,ҡалҡыулыҡ,küngas
110,Berg::N,тау,mägi
111,Gipfel::N,түбә,mäetipp
112,Höhle::N,мәмерйә,koobas
113,Abhang::N,ипкен,nõlvak
114,Quelle::N,шишмә,allikas
115,Bach::N,шишмә,oja
116,Fluss::N,йылға,jõgi
117,Ufer::N,яр,kallas
118,Küste::N,яр буйы,rannik
119,Festland::N,ҡоро ер,mander
120,Festland::N,ҡоро ер,maismaa
121,Meer::N,диңгез,meri
122,Bucht::N,бухта,laht
123,Insel::N,үтрау,saar
124,Blume::N,сәскә,lill
125,Gras::N,үлән,rohi
126,Wurzel::N,тамыр,juur
127,Baum::N,ағас,puu
128,Stamm::N,олон,tüvi
129,Stamm::N,көбәк,tüvi
130,Rinde::N,ҡабыҡ,koor
131,Ast::N,ботаҡ,oks
132,Zweig::N,ботаҡ,oks
133,Zweig::N,тармаҡ,oks
134,Blatt::N,япраҡ,leht
135,Birke::N,ҡайын,kask
136,Kiefer[Baum]::N,ҡарғай,mänd
137,Weide[Baum]::N,тал,paju
138,Tanne::N,шыршы,nulg
139,Horn::N,мөғөҙ,sarv
140,Feder::N,ҡауырһын,sulg
141,Fell::N,тире,karvkate
142,Fell::N,тире,karusnahk
143,Flügel::N,ҡанат,tiib
144,Flügel::N,ҡанат,tiivik
145,Klaue::N,тырнаҡ,küüs
146,Kralle::N,аяҡ,küünis
147,Schwanz::N,ҡойроҡ,saba
148,Ei::N,йомортҡа,muna
149,Nest::N,оя,pesa
150,Bau::N,оң,urg
151,Tier::N,жайуан,loom
152,Tier::N,йыртҡыс,loom
153,Herde::N,көтөү,kari
154,Kuh::N,һыйыр,lehm
155,Bulle::N,үгеҙ,pull
156,Pferd::N,ат,hobune
157,Schaf::N,һарыҡ,lammas
158,Schwein::N,сусҡа,siga
159,Hund::N,эт,koer
160,Katze::N,бесәй,kass
161,Bär::N,айыу,karu
162,Eichhörnchen::N,тейен,orav
163,Elch::N,мышы,põder
164,Fuchs::N,төлкө,rebane
165,Hase::N,ҡуян,jänes
166,Maus::N,сысҡан,hiir
167,Wolf::N,бүре,hunt
168,Vogel::N,ҡош,lind
169,Schwarm::N,көтөү,parv
170,Huhn::N,тауыҡ,kana
171,Hahn::N,әтәс,kukk
172,Gans::N,ҡаҙ,hani
173,Adler::N,бөркөт,kotkas
174,Ente::N,өйрәк,part
175,Eule::N,өкө,kakk
176,Eule::N,өкө,öökull
177,Eule::N,ябалаҡ,kakk
178,Eule::N,ябалаҡ,öökull
179,Kranich::N,торна,kurg
180,Krähe::N,ҡарға,vares
181,Kuckuck::N,кәкүк,kägu
182,Schwan::N,аҡҡош,luik
183,Fisch::N,балыҡ,kala
184,Barsch::N,алабуға,ahven
185,Hecht::N,суртан,haug
186,Schlange[Tier]::N,йылан,uss
187,Wurm::N,селяүсен,uss
188,Wurm::N,селяүсен,vagel
189,Spinne::N,үрмәксе,ämblik
190,Ameise::N,ҡырмыҫҡа,sipelgas
191,Laus::N,бет,täi
192,Mücke::N,серәкәй,sääsk
193,Fliege::N,себен,kärbes
194,Schmetterling::N,күбәләк,liblikas
195,Beere::N,еләк,mari
196,Apfel::N,алма,õun
197,Pilz::N,бәшмәк,seen
198,Zwiebel::N,һуган,sibul
199,Saat::N,орлоҡ,seeme
200,Korn::N,иген,iva
201,Korn::N,иген,tera
202,Heu::N,бесән,hein
203,Schale::N,ҡабыҡ,koor
204,Grube::N,соҡор,kaevand
205,Falle::N,тоҙак,lõks
206,Falle::N,тоҙак,püünis
207,Falle::N,ҡапҡан,lõks
208,Falle::N,ҡапҡан,püünis
209,Schlinge::N,тоҙак,aas
210,Spur::N,әҫер,jälg
211,Asche::N,көл,tuhk
212,Dreck::N,батҡаҡ,saast
213,Dreck::N,батҡаҡ,mustus
214,Eisen::N,тимер,raud
215,Gold::N,алтын,kuld
216,Silber::N,көмөш,hõbe
217,Kohle::N,күмер,süsi
218,Glas::N,быяла,klaas
219,Lehm::N,балсыҡ,savi
220,Sand::N,ҡом,liiv
221,Mensch::N,кеше,inimene
