,Concept_ID,ro,br
0,Auge::N,ochi,lagad
1,Ohr::N,ureche,skouarn
2,Nase::N,nas,fri
3,Mund::N,gură,genoù
4,Zahn::N,dinte,dant
5,Zunge::N,limbă,teod
6,Lippe::N,buză,muzell
7,Wange::N,bucă,chot
8,Wange::N,obraz,chot
9,Gesicht::N,față,dremm
10,Gesicht::N,figură,dremm
11,Stirn::N,frunte,tal
12,Haar::N,păr,blev
13,Schnurrbart::N,mustață,mourenn
14,Bart::N,barbă,barv
15,Kinn::N,bărbie,groñj
16,Kiefer[Anatomie]::N,falcă,javed
17,Kehle::N,beregată,gouzoug
18,Hals::N,gât,gouzoug
19,Genick::N,ceafă,choug
20,Kopf::N,cap,penn
21,Rücken::N,dos,kein
22,Rücken::N,spate,kein
23,Rücken::N,spinare,kein
24,Bauch::N,burtă,kof
25,Bauch::N,pântece,kof
26,Nabel::N,buric,begel
27,Busen::N,sân,bronn
28,Brust::N,piept,bruched
29,Schulter::N,umăr,skoaz
30,Schulter::N,spate,skoaz
31,Arm::N,braț,brec'h
32,Ellenbogen::N,cot,ilin
33,Hand::N,mână,dorn
34,Handfläche::N,palmă,palv
35,Finger::N,deget,biz
36,Fingernagel::N,unghie,ivin
37,Nagel[Anatomie]::N,unghie,ivin
38,Zeh::N,deget de la picior,biz-troad
39,Fuß::N,picior,troad
40,Ferse::N,călcâi,seul
41,Knie::N,genunchi,glin
42,Oberschenkel::N,coapsă,morzhed
43,Bein::N,picior,gar
44,Körper::N,corp,korf
45,Haut::N,piele,kroc'hen
46,Blut::N,sânge,gwad
47,Ader::N,vână,gwazhi
48,Ader::N,arteră,gwazhi
49,Sehne::N,tendon,stir
50,Knochen::N,os,askorn
51,Gehirn::N,creier,empenn
52,Herz::N,inimă,kalon
53,Magen::N,stomac,stomog
54,Leber::N,ficat,avu
55,Atem::N,răsuflare,anal
56,Atem::N,respirație,anal
57,Hunger::N,foame,naon
58,Träne::N,lacrimă,daer
59,Geschmack::N,gust,blaz
60,Geruch::N,miros,c'hwezh
61,Schlaf::N,somn,kousked
62,Traum::N,vis,hune
63,Himmel::N,cer,oabl
64,Sonne::N,soare,heol
65,Mond::N,lună,loar
66,Stern::N,stea,steredenn
67,Luft::N,aer,aer
68,Wind::N,vânt,avel
69,Welle::N,val,houlenn
70,Welle::N,undă,houlenn
71,Wasser::N,apă,dour
72,Stein::N,piatră,maen
73,Boden::N,sol,tachenn
74,Boden::N,pământ,tachenn
75,Erde::N,pământ,douar
76,Staub::N,praf,poultr
77,Rauch::N,fum,moged
78,Funke::N,scânteie,ful
79,Feuer::N,foc,tan
80,Licht::N,lumină,gouloù
81,Schatten::N,umbră,disheol
82,Wetter::N,timp,amzer
83,Wetter::N,vreme,amzer
84,Nebel::N,ceață,brumenn
85,Nebel::N,negură,brumenn
86,Wolke::N,nor,koumoulenn
87,Regen::N,ploaie,glav
