,Concept_ID,he,ga
0,Auge::N,עין,súil
1,Ohr::N,אזן,cluas
2,Nase::N,אף,soc
3,Nase::N,חטם,soc
4,Mund::N,פה,béal
5,Zahn::N,שן,fiacail
6,Zunge::N,לשון,teanga
7,Lippe::N,שפה,liopa
8,Wange::N,לחי,grua
9,Wange::N,לחי,leiceann
10,Gesicht::N,פנים,éadan
11,Gesicht::N,פנים,aghaidh
12,Stirn::N,מצח,baithis
13,Stirn::N,מצח,clár éadain
14,Haar::N,שערה,gruaig
15,Schnurrbart::N,שפם,croiméal
16,Bart::N,זקן,féasóg
17,Kinn::N,סנטר,smig
18,Kiefer[Anatomie]::N,לסת,giall
19,Kehle::N,גרון,scornach
20,Hals::N,צואר,muinéal
21,Genick::N,ערף,baic
22,Kopf::N,ראש,ceann
23,Rücken::N,גב,droim
24,Bauch::N,בטן,bolg
25,Nabel::N,טבור,imleacán
26,Busen::N,שד,cíoch
27,Brust::N,חזה,brollach
28,Schulter::N,כתף,gualainn
29,Arm::N,זרוע,lámh
30,Ellenbogen::N,מרפק,uillinn
31,Hand::N,יד,lámh
32,Handfläche::N,כף יד,bos
33,Finger::N,אצבע,méar
34,Fingernagel::N,צפרן,ionga
35,Nagel[Anatomie]::N,צפרן,ionga
36,Zeh::N,אצבע,ladhar
37,Fuß::N,רגל,cos
38,Fuß::N,רגל,troigh
39,Ferse::N,עקב,sáil
40,Knie::N,ברך,glúin
41,Oberschenkel::N,ירך,ceathrú
42,Bein::N,רגל,cos
43,Körper::N,גוף,corp
44,Körper::N,גוף,colainn
45,Haut::N,עור,cneas
46,Haut::N,עור,craiceann
47,Blut::N,דם,fuil
48,Ader::N,וריד,
49,Sehne::N,גיד,teannán
50,Sehne::N,גיד,féitheog
51,Knochen::N,עצם,cnámh
52,Gehirn::N,מוח,inchinn
53,Herz::N,לב,croí
54,Magen::N,קבה,bolg
55,Magen::N,קבה,goile
56,Leber::N,כבד,ae
57,Atem::N,נשימה,anáil
58,Hunger::N,רעב,ocras
59,Träne::N,דמעה,deoir
60,Geschmack::N,טעם,blas
61,Geruch::N,ריח,boladh
62,Schlaf::N,שנה,suan
63,Schlaf::N,שנה,codladh
64,Traum::N,חלום,taibhreamh
65,Himmel::N,שמים,spéir
66,Sonne::N,שמש,grian
67,Mond::N,ירח,ré
68,Mond::N,ירח,gealach
69,Stern::N,כוכב,rinn
70,Stern::N,כוכב,réalta
71,Luft::N,אויר,aer
72,Wind::N,רוח,gaoth
73,Welle::N,גל,tonn
74,Wasser::N,מים,uisce
75,Stein::N,אבן,cloch
76,Boden::N,קרקע,talamh
77,Erde::N,אדמה,cré
78,Erde::N,אדמה,ithir
79,Staub::N,אבק,dusta
80,Staub::N,אבק,deannach
81,Rauch::N,עשן,toit
82,Rauch::N,עשן,deatach
83,Funke::N,ניצוץ,drithle
84,Feuer::N,אש,tine
85,Licht::N,אור,solas
86,Schatten::N,צל,scáth
87,Wetter::N,מזג אויר,aimsir
88,Nebel::N,ערפל,ceo
89,Wolke::N,ענן,néal
90,Wolke::N,ענן,scamall
91,Regen::N,גשם,báisteach
92,Regen::N,גשם,fearthainn
93,Schnee::N,שלג,sneachta
94,Eis::N,קרח,oighear
95,Frost::N,צנה,sioc
96,Kälte::N,קר,fuacht
97,Hitze::N,חם,teas
98,Hitze::N,חם,teocht
99,Raureif::N,כפור,sioc bán
100,Regenbogen::N,קשת,stua ceatha
101,Regenbogen::N,קשת,bogha báistí
102,Donner::N,רעם,toirneach
103,Strömung::N,זרימה,sruth
104,Tropfen::N,טפה,deoir
105,Schaum::N,קצף,cúr
106,Schmutz::N,לכלוך,salachar
107,See::N,אגם,loch
108,Sumpf::N,בצה,portach
109,Moor::N,בצה,caorán
110,Moor::N,בצה,móinteán
111,Wiese::N,מרעה,cluain
112,Wiese::N,מרעה,móinéar
113,Wald::N,יער,coill
114,Wald::N,יער,foraois
115,Hügel::N,תל,ard
116,Anhöhe::N,מעלה,ard
117,Anhöhe::N,מעלה,ardán
118,Berg::N,הר,sliabh
119,Gipfel::N,פסגה,barr
120,Gipfel::N,פסגה,mullach
121,Höhle::N,מערה,uaimh
122,Höhle::N,מערה,pluais
123,Abhang::N,מדרון,fána
124,Abhang::N,שפוע,fána
125,Quelle::N,מעין,foinse
126,Bach::N,נחל,sruthán
127,Fluss::N,נהר,abhainn
128,Ufer::N,גדה,bruach
129,Küste::N,חוף,cósta
130,Küste::N,חוף,cladach
131,Festland::N,יבשה,míntír
132,Meer::N,ים,muir
133,Meer::N,ים,farraige
134,Bucht::N,מפרץ,bá
135,Bucht::N,מפרץ,cuan
136,Insel::N,אי,inis
137,Insel::N,אי,oileán
138,Blume::N,פרח,bláth
139,Gras::N,דשא,féar
140,Wurzel::N,שרש,rúta
141,Wurzel::N,שרש,fréamh
142,Baum::N,עץ,crann
143,Stamm::N,גזע,stoc
144,Stamm::N,גזע,tamhan
145,Rinde::N,קלפת עץ,coirt
146,Rinde::N,קלפת עץ,craiceann
147,Ast::N,ענף,géag
148,Zweig::N,ענף,géag
149,Zweig::N,ענף,craobh
150,Blatt::N,עלה,duille
151,Blatt::N,עלה,duilleog
152,Birke::N,שדר,beith
153,Birke::N,שדר,crann beithe
154,Kiefer[Baum]::N,ארן,péine
155,Weide[Baum]::N,ערבה,saileach
156,Tanne::N,אשוח,giúis
157,Horn::N,קרן,adharc
