,Concept_ID,ba,hi
0,Auge::N,күҙ,आँख
1,Auge::N,күҙ,चक्षु
2,Ohr::N,ҡолаҡ,कान
3,Ohr::N,ҡолаҡ,कर्ण
4,Nase::N,танау,नाक
5,Nase::N,танау,नासा
6,Mund::N,ауыҙ,मुख
7,Mund::N,ауыҙ,मुँह
8,Zahn::N,теш,दंत
9,Zahn::N,теш,दाँत
10,Zunge::N,тел,जीभ
11,Zunge::N,тел,ज़बान
12,Zunge::N,тел,जिह्वा
13,Lippe::N,ирен,ओंठ
14,Lippe::N,ирен,होंठ
15,Wange::N,яцаҡтар,गाल
16,Wange::N,яцаҡтар,कपोल
17,Gesicht::N,бит,मुँह
18,Gesicht::N,бит,चेहरा
19,Stirn::N,маңлай,माथा
20,Stirn::N,маңлай,मस्तक
21,Haar::N,сәс,बाल
22,Schnurrbart::N,мылтыҡ,मूँछें
23,Bart::N,һаҡал,दाढ़ी
24,Kinn::N,эйэк,चिबुक
25,Kiefer[Anatomie]::N,яңаҡ һөйәге,जबड़ा
26,Kehle::N,тамаҡ,गला
27,Hals::N,муйын,गला
28,Hals::N,муйын,गरदन
29,Genick::N,соңҡа,गरदन
30,Genick::N,соңҡа,ग्रीवा
31,Kopf::N,баш,सिर
32,Kopf::N,баш,शीर्ष
33,Rücken::N,арҡа,पीठ
34,Bauch::N,ҡорһаҡ,उदर
35,Nabel::N,кендек,नाभि
36,Nabel::N,кендек,ढोंढी
37,Busen::N,күкрәк,कुच
38,Busen::N,күкрәк,स्तन
39,Brust::N,түш,वक्ष
40,Schulter::N,яурын,कंधा
41,Schulter::N,яурын,स्कंध
42,Arm::N,ҡул,बाँह
43,Arm::N,ҡул,बाज़ू
44,Ellenbogen::N,терһәк,कुहनी
45,Hand::N,ҡул,हाथ
46,Hand::N,ҡул,हस्त
47,Hand::N,ҡул суғы,हाथ
48,Hand::N,ҡул суғы,हस्त
49,Handfläche::N,ус төбө,हथेली
50,Finger::N,бармаҡ,उँगली
51,Finger::N,бармаҡ,अँगुली
52,Fingernagel::N,тырнаҡ,नख
53,Fingernagel::N,тырнаҡ,नाख़ून
54,Nagel[Anatomie]::N,тырнаҡ,नख
55,Nagel[Anatomie]::N,тырнаҡ,नाख़ून
56,Zeh::N,бармаҡ,उँगली
57,Zeh::N,бармаҡ,पाँव की उँगली
58,Fuß::N,табан,चरण
59,Fuß::N,табан,पाँव
60,Ferse::N,үксә,एड़ी
61,Knie::N,тубыҡ,जानु
62,Knie::N,тубыҡ,घुटना
63,Oberschenkel::N,сандыр,उरु
64,Bein::N,аяҡ,टाँग
65,Körper::N,тән,तन
66,Körper::N,тән,देह
67,Körper::N,тән,शरीर
68,Haut::N,тире,चर्म
69,Haut::N,тире,त्वचा
70,Blut::N,ҡан,लहू
71,Blut::N,ҡан,ख़ून
72,Ader::N,тамыр,रग
73,Ader::N,тамыр,शिरा
74,Sehne::N,һеңер,कंडरा
75,Sehne::N,һеңер,स्नायु
76,Sehne::N,тарамыш,कंडरा
77,Sehne::N,тарамыш,स्नायु
78,Knochen::N,һойәк,अस्थि
79,Gehirn::N,мейе,दिमाग़
80,Gehirn::N,мейе,मस्तिष्क
81,Herz::N,йорәк,दिल
82,Herz::N,йорәк,हृदय
83,Magen::N,ашҡаҙан,मेदा
84,Magen::N,ашҡаҙан,अमाशय
85,Leber::N,бауыр,जिगर
86,Leber::N,бауыр,यकृत्
87,Atem::N,һулыш,दम
88,Atem::N,һулыш,साँस
89,Atem::N,һулыш,श्वास
90,Hunger::N,аслыҡ,भूख
91,Hunger::N,аслыҡ,क्षुधा
92,Träne::N,күҙ иәше,आँसू
93,Träne::N,күҙ иәше,अश्रु
94,Geschmack::N,тәм,स्वाद
95,Geschmack::N,тәм,ज़ायक़ा
96,Geruch::N,еҫ,बू
97,Geruch::N,еҫ,गंध
98,Schlaf::N,йоҡлау,नींद
99,Schlaf::N,йоҡлау,निद्रा
100,Traum::N,төш,सपना
101,Traum::N,төш,स्वप्न
102,Himmel::N,күк,आकाश
103,Himmel::N,күк,आसमान
104,Sonne::N,ҡояш,रवि
105,Sonne::N,ҡояш,सूरज
106,Sonne::N,ҡояш,सूर्य
107,Mond::N,ай,चाँद
108,Mond::N,ай,चंद्र
109,Stern::N,йондоҙ,तारा
110,Stern::N,йондоҙ,सितारा
111,Luft::N,һауа,हवा
112,Luft::N,һауа,वायु
113,Wind::N,ел,पाद
114,Welle::N,тулҡын,लहर
115,Welle::N,тулҡын,तरंग
116,Wasser::N,һыу,जल
117,Wasser::N,һыу,पानी
118,Stein::N,таш,पत्थर
119,Boden::N,тупраҡ,मिट्टी
120,Erde::N,балсҡ,भूमि
121,Erde::N,балсҡ,ज़मीन
122,Staub::N,туҙан,धूल
123,Rauch::N,төтөн,धूआँ
124,Rauch::N,төтөн,धुम्र
125,Funke::N,осҡон,चिनगारी
126,Funke::N,осҡон,स्फुलिंग
127,Feuer::N,ут,आग
128,Feuer::N,ут,आतिश
129,Feuer::N,ут,अग्नि
130,Licht::N,яҡтылыҡ,रोशनी
131,Licht::N,яҡтылыҡ,प्रकाश
132,Schatten::N,күләгә,छाया
133,Schatten::N,күләгә,परछाई
134,Wetter::N,һауа торошо,ऋतु
135,Wetter::N,һауа торошо,मौसम
136,Nebel::N,төман,धुँध
137,Nebel::N,төман,कुहरा
138,Wolke::N,болот,मेघ
139,Wolke::N,болот,अभ्र
140,Regen::N,ямғыр,मेंह
141,Regen::N,ямғыр,बारिश
142,Schnee::N,ҡар,हिम
143,Schnee::N,ҡар,बर्फ़
144,Eis::N,боҙ,हिम
145,Eis::N,боҙ,बर्फ़
146,Frost::N,һалҡын,ठंड
147,Kälte::N,һыуыҡ,सर्दी
148,Kälte::N,һыуыҡ,शीतलता
149,Hitze::N,томра,ताप
150,Hitze::N,томра,गरमी
151,Hitze::N,эҫелек,ताप
152,Hitze::N,эҫелек,गरमी
153,Raureif::N,ҡырау,पाला
154,Regenbogen::N,йәйғор,इंद्र-धनुष
155,Donner::N,күк күкрәү,गरज
156,Donner::N,күк күкрәү,मेघ-गर्जन
157,Strömung::N,ағым,बहाव
158,Strömung::N,ағым,प्रवाह
159,Tropfen::N,тамсы,बूँद
160,Schaum::N,күбек,झाग
161,Schmutz::N,батҡаҡ,गंद
162,Schmutz::N,батҡаҡ,कीचड़
163,See::N,күл,झील
164,See::N,күл,सरोवर
165,Sumpf::N,һаҙлык,दलदल
166,Sumpf::N,һаҙлык,धँसान
167,Moor::N,һаҙ,झाबर
168,Moor::N,һаҙ,धँसान
169,Wiese::N,болон,घास-स्थल
170,Wald::N,урман,जंगल
171,Hügel::N,түбә,टीला
172,Hügel::N,түбә,पहाड़
173,Anhöhe::N,түбә,टीला
174,Anhöhe::N,түбә,पहाड़ी
175,Anhöhe::N,ҡалҡыулыҡ,टीला
176,Anhöhe::N,ҡалҡыулыҡ,पहाड़ी
177,Berg::N,тау,पहाड़
178,Gipfel::N,түбә,शिखर
179,Höhle::N,мәмерйә,गुहा
180,Höhle::N,мәмерйә,गुफ़ा
181,Abhang::N,ипкен,ढाल
182,Abhang::N,ипкен,ढलान
183,Quelle::N,шишмә,चश्मा
184,Bach::N,шишмә,सोता
185,Bach::N,шишмә,नदिका
186,Fluss::N,йылға,नदी
187,Fluss::N,йылға,सरिता
188,Ufer::N,яр,तट
189,Ufer::N,яр,किनारा
190,Küste::N,яр буйы,समुद्र-तट
191,Festland::N,ҡоро ер,महाद्वीप
192,Meer::N,диңгез,सागर
193,Meer::N,диңгез,समुद्र
194,Bucht::N,бухта,खाड़ी
195,Insel::N,үтрау,टापू
196,Insel::N,үтрау,द्वीप
197,Blume::N,сәскә,फूल
198,Blume::N,сәскә,पुष्प
199,Gras::N,үлән,घास
200,Wurzel::N,тамыр,मूल
201,Baum::N,ағас,पेड़
202,Baum::N,ағас,वृक्ष
203,Stamm::N,олон,धड़
204,Stamm::N,көбәк,धड़
205,Rinde::N,ҡабыҡ,छाल
206,Rinde::N,ҡабыҡ,वल्कल
207,Ast::N,ботаҡ,डाल
208,Ast::N,ботаҡ,शाखा
209,Zweig::N,ботаҡ,टहनी
210,Zweig::N,тармаҡ,टहनी
211,Blatt::N,япраҡ,पत्र
212,Blatt::N,япраҡ,पत्ता
213,Birke::N,ҡайын,भूर्ज
214,Kiefer[Baum]::N,ҡарғай,पाइन-वृक्ष
215,Weide[Baum]::N,тал,बेंत
216,Tanne::N,шыршы,फ़र
217,Horn::N,мөғөҙ,सींग
218,Horn::N,мөғөҙ,विषाण
219,Feder::N,ҡауырһын,पर
220,Feder::N,ҡауырһын,पंख
221,Fell::N,тире,खाल
222,Fell::N,тире,पशु-चर्म
223,Flügel::N,ҡанат,पंख
224,Flügel::N,ҡанат,डैना
225,Klaue::N,тырнаҡ,पंजा
226,Kralle::N,аяҡ,पंजा
227,Kralle::N,аяҡ,नाख़ून
228,Schwanz::N,ҡойроҡ,पूँछ
229,Ei::N,йомортҡа,अंडा
230,Nest::N,оя,नीड़
231,Nest::N,оя,घोंसला
232,Bau::N,оң,बिल
233,Bau::N,оң,माँद
234,Tier::N,жайуан,पशु
235,Tier::N,жайуан,जानवर
236,Tier::N,йыртҡыс,पशु
237,Tier::N,йыртҡыс,जानवर
238,Herde::N,көтөү,गल्ला
239,Kuh::N,һыйыр,गौ
240,Kuh::N,һыйыр,गाय
241,Bulle::N,үгеҙ,साँड़
242,Pferd::N,ат,अश्व
243,Pferd::N,ат,घोड़ा
244,Schaf::N,һарыҡ,भेड़
245,Schwein::N,сусҡа,शूकर
246,Hund::N,эт,श्वान
247,Hund::N,эт,कुत्ता
248,Katze::N,бесәй,बिल्ली
