,Concept_ID,sv,sv
0,Auge::N,öga,öga
1,Ohr::N,öra,öra
2,Nase::N,näsa,näsa
3,Mund::N,mun,mun
4,Zahn::N,tand,tand
5,Zunge::N,tunga,tunga
6,Lippe::N,läpp,läpp
7,Wange::N,kind,kind
8,Gesicht::N,syn,syn
9,Gesicht::N,syn,ansikte
10,Gesicht::N,ansikte,syn
11,Gesicht::N,ansikte,ansikte
12,Stirn::N,panna,panna
13,Haar::N,hår,hår
14,Schnurrbart::N,mustasch,mustasch
15,Bart::N,skägg,skägg
16,Kinn::N,haka,haka
17,Kiefer[Anatomie]::N,käke,käke
18,Kehle::N,strupe,strupe
19,Hals::N,hals,hals
20,Genick::N,nacke,nacke
21,Kopf::N,huvud,huvud
22,Rücken::N,rygg,rygg
23,Bauch::N,buk,buk
24,Bauch::N,buk,mage
25,Bauch::N,mage,buk
26,Bauch::N,mage,mage
27,Nabel::N,navel,navel
28,Busen::N,barm,barm
29,Brust::N,bröst,bröst
30,Schulter::N,skuldra,skuldra
31,Arm::N,arm,arm
32,Ellenbogen::N,armbåge,armbåge
33,Hand::N,hand,hand
34,Handfläche::N,handflata,handflata
35,Finger::N,finger,finger
36,Fingernagel::N,fingernagel,fingernagel
37,Nagel[Anatomie]::N,nagel,nagel
38,Zeh::N,tå,tå
39,Fuß::N,fot,fot
40,Ferse::N,häl,häl
41,Knie::N,knä,knä
42,Oberschenkel::N,lår,lår
43,Bein::N,ben,ben
44,Körper::N,kropp,kropp
45,Haut::N,hud,hud
46,Haut::N,hud,skinn
47,Haut::N,skinn,hud
48,Haut::N,skinn,skinn
49,Blut::N,blod,blod
50,Ader::N,åder,åder
51,Sehne::N,sena,sena
52,Knochen::N,ben,ben
53,Gehirn::N,hjärna,hjärna
54,Herz::N,hjärta,hjärta
55,Magen::N,mage,mage
56,Leber::N,lever,lever
57,Atem::N,anda,anda
58,Atem::N,anda,andedräkt
59,Atem::N,andedräkt,anda
60,Atem::N,andedräkt,andedräkt
61,Hunger::N,svält,svält
62,Hunger::N,svält,hunger
63,Hunger::N,hunger,svält
64,Hunger::N,hunger,hunger
65,Träne::N,tår,tår
66,Geschmack::N,smak,smak
67,Geruch::N,lukt,lukt
68,Schlaf::N,sömn,sömn
69,Traum::N,dröm,dröm
70,Himmel::N,himmel,himmel
71,Sonne::N,sol,sol
72,Mond::N,måne,måne
73,Stern::N,stjärna,stjärna
74,Luft::N,luft,luft
75,Wind::N,vind,vind
76,Welle::N,våg,våg
77,Welle::N,våg,bölja
78,Welle::N,bölja,våg
79,Welle::N,bölja,bölja
80,Wasser::N,vatten,vatten
81,Stein::N,sten,sten
82,Boden::N,mark,mark
83,Erde::N,jord,jord
84,Staub::N,damm,damm
85,Rauch::N,rök,rök
86,Funke::N,gnista,gnista
87,Feuer::N,eld,eld
88,Licht::N,ljus,ljus
89,Schatten::N,skugga,skugga
90,Wetter::N,väder,väder
91,Nebel::N,dimma,dimma
92,Nebel::N,dimma,töcken
93,Nebel::N,töcken,dimma
94,Nebel::N,töcken,töcken
95,Wolke::N,sky,sky
96,Wolke::N,sky,moln
97,Wolke::N,moln,sky
98,Wolke::N,moln,moln
99,Regen::N,regn,regn
100,Schnee::N,snö,snö
101,Eis::N,is,is
102,Frost::N,frost,frost
103,Kälte::N,köld,köld
104,Hitze::N,hetta,hetta
105,Raureif::N,rimfrost,rimfrost
106,Regenbogen::N,regnbåge,regnbåge
107,Donner::N,åska,åska
108,Donner::N,åska,dunder
109,Donner::N,dunder,åska
110,Donner::N,dunder,dunder
111,Strömung::N,strömning,strömning
112,Tropfen::N,dropper,dropper
113,Schaum::N,skum,skum
114,Schmutz::N,lort,lort
115,Schmutz::N,lort,smuts
116,Schmutz::N,smuts,lort
117,Schmutz::N,smuts,smuts
118,See::N,sjö,sjö
119,Sumpf::N,träsk,träsk
120,Moor::N,myr,myr
121,Moor::N,myr,mosse
122,Moor::N,mosse,myr
123,Moor::N,mosse,mosse
124,Wiese::N,äng,äng
125,Wald::N,skog,skog
126,Hügel::N,höjd,höjd
127,Hügel::N,höjd,kulle
128,Hügel::N,kulle,höjd
129,Hügel::N,kulle,kulle
130,Anhöhe::N,höjd,höjd
131,Anhöhe::N,höjd,backe
132,Anhöhe::N,backe,höjd
133,Anhöhe::N,backe,backe
134,Berg::N,berg,berg
135,Berg::N,berg,fjäll
136,Berg::N,fjäll,berg
137,Berg::N,fjäll,fjäll
138,Gipfel::N,topp,topp
139,Höhle::N,håla,håla
140,Höhle::N,håla,grotta
141,Höhle::N,grotta,håla
142,Höhle::N,grotta,grotta
143,Abhang::N,slänt,slänt
144,Abhang::N,slänt,sluttning
145,Abhang::N,sluttning,slänt
146,Abhang::N,sluttning,sluttning
147,Quelle::N,källa,källa
148,Bach::N,bäck,bäck
149,Fluss::N,älv,älv
150,Fluss::N,älv,flod
151,Fluss::N,flod,älv
152,Fluss::N,flod,flod
153,Ufer::N,strand,strand
154,Küste::N,kust,kust
155,Festland::N,fastland,fastland
156,Meer::N,hav,hav
157,Bucht::N,vik,vik
158,Bucht::N,vik,bukt
159,Bucht::N,bukt,vik
160,Bucht::N,bukt,bukt
161,Insel::N,ö,ö
162,Blume::N,blomma,blomma
163,Blume::N,blomma,blomster
164,Blume::N,blomster,blomma
165,Blume::N,blomster,blomster
166,Gras::N,gräs,gräs
167,Wurzel::N,rot,rot
168,Baum::N,träd,träd
169,Stamm::N,stam,stam
170,Rinde::N,bark,bark
171,Ast::N,gren,gren
172,Zweig::N,kvist,kvist
173,Blatt::N,löv,löv
174,Blatt::N,löv,blad
175,Blatt::N,blad,löv
176,Blatt::N,blad,blad
177,Birke::N,björk,björk
178,Kiefer[Baum]::N,tall,tall
179,Weide[Baum]::N,pil,pil
180,Weide[Baum]::N,pil,vide
181,Weide[Baum]::N,vide,pil
182,Weide[Baum]::N,vide,vide
183,Tanne::N,gran,gran
184,Horn::N,horn,horn
185,Feder::N,fjäder,fjäder
186,Fell::N,fäll,fäll
187,Fell::N,fäll,skinn
188,Fell::N,skinn,fäll
189,Fell::N,skinn,skinn
190,Flügel::N,vinge,vinge
191,Klaue::N,klöv,klöv
192,Kralle::N,klo,klo
193,Schwanz::N,svans,svans
194,Schwanz::N,svans,stjärt
195,Schwanz::N,stjärt,svans
196,Schwanz::N,stjärt,stjärt
197,Ei::N,ägg,ägg
198,Nest::N,rede,rede
199,Nest::N,rede,näste
200,Nest::N,näste,rede
201,Nest::N,näste,näste
202,Bau::N,bo,bo
203,Tier::N,djur,djur
204,Herde::N,flock,flock
205,Kuh::N,ko,ko
206,Bulle::N,tjur,tjur
