,Concept_ID,ml,et
0,Auge::N,കണ്ണ്,silm
1,Ohr::N,ചെവി,kõrv
2,Nase::N,മൂക്ക്,nina
3,Mund::N,വായ,suu
4,Zahn::N,പല്ല്,hammas
5,Zunge::N,നാക്ക്,keel
6,Lippe::N,ചുണ്ട്,huul
7,Wange::N,കവിൾത്തടം,põsk
8,Gesicht::N,മുഖം,nägu
9,Stirn::N,നെറ്റി,otsmik
10,Haar::N,തലമുടി,juus
11,Schnurrbart::N,മീശ,vurrud
12,Schnurrbart::N,മീശ,vuntsid
13,Bart::N,താടിരോമം,habe
14,Kinn::N,താടി,lõug
15,Kiefer[Anatomie]::N,താടിയെല്ല്,lõualuu
16,Kehle::N,കണ്ഠനാളം,kõri
17,Hals::N,കഴുത്ത്,kael
18,Genick::N,പിടലി,kukal
19,Kopf::N,തല,pea
20,Rücken::N,മുതുക്,selg
21,Bauch::N,നയറ്,kõht
22,Nabel::N,നാഭി,naba
23,Busen::N,സ്തനം,rind
24,Brust::N,സ്തനം,rind
25,Schulter::N,തോൾ,õlg
26,Arm::N,കൈ,käsivars
27,Ellenbogen::N,കൈമുട്ട്,küünarnukk
28,Hand::N,കൈ,käsi
29,Handfläche::N,ഉള്ളം കൈ,pihk
30,Finger::N,വിരൽ,sõrm
31,Fingernagel::N,നഖം,küüs
32,Nagel[Anatomie]::N,നഖം,küüs
33,Zeh::N,കാൽവിരൽ,varvas
34,Fuß::N,കാൽപ്പാദം,jalg
35,Ferse::N,ഉപ്പൂറ്റി,kand
36,Knie::N,കാൽമുട്ട്,põlv
37,Oberschenkel::N,തുട,reis
38,Bein::N,കാൽ,jalg
39,Körper::N,ശരീരം,ihu
40,Körper::N,ശരീരം,keha
41,Haut::N,ചർമ്മം,nahk
42,Blut::N,രക്തം,veri
43,Ader::N,ഞരമ്പ്,veen
44,Sehne::N,സ്നായു,kõõlus
45,Knochen::N,അസ്ഥി,luu
46,Gehirn::N,തലച്ചോറ്,aju
47,Herz::N,ഹൃദയം,süda
48,Magen::N,വയർ,magu
49,Leber::N,കരൾ,maks
50,Atem::N,ശ്വാസം,hingeõhk
51,Atem::N,ശ്വാസം,hingamine
52,Hunger::N,വിശപ്പ്,nälg
53,Träne::N,കണ്ണീർ,pisar
54,Geschmack::N,രുചി,maitse
55,Geruch::N,ഗന്ധം,lõhn
56,Schlaf::N,ഉറകും,uni
57,Traum::N,സ്വപ്നം,unenägu
58,Himmel::N,ആകാശം,taevas
59,Sonne::N,സൂര്യൻ,päike
60,Mond::N,ചന്ദ്രൻ,kuu
61,Stern::N,നക്ഷത്രം,täht
62,Luft::N,കാറ്റ്,õhk
63,Wind::N,കാറ്റ്,tuul
64,Welle::N,തിരമാല,laine
65,Wasser::N,വെള്ളം,vesi
66,Stein::N,ശില,kivi
67,Stein::N,കല്ല്,kivi
68,Boden::N,തറ,maa
69,Boden::N,തറ,pinnas
70,Boden::N,നിലം,maa
71,Boden::N,നിലം,pinnas
72,Erde::N,മണ്ണ്,maa
73,Staub::N,പൊടി,põrm
74,Rauch::N,പുക,suits
75,Funke::N,തീപ്പൊരി,säde
76,Feuer::N,തീ,tuli
77,Licht::N,വിളക്ക്,valgus
78,Licht::N,സൂര്യപ്രകാശം,valgus
79,Schatten::N,തണൽ,vari
80,Wetter::N,കാലാവസ്ഥ,ilm
81,Nebel::N,മൂടൽമഞ്ഞ്,udu
82,Wolke::N,മേഘം,pilv
83,Regen::N,മഴ,sadu
84,Schnee::N,മഞ്ഞ്,lumi
85,Eis::N,ഐസ്,jää
86,Frost::N,മൂടൽമഞ്ഞ്,pakane
87,Kälte::N,തണുപ്പ്,külm
88,Kälte::N,തണുപ്പ്,külmus
89,Hitze::N,ചൂട്,kuumus
90,Hitze::N,ചൂട്,palavus
91,Raureif::N,കോടമഞ്ഞ്,härmatis
92,Regenbogen::N,മഴവില്ല്,vikerkaar
93,Donner::N,ഇടി,kõu
94,Donner::N,ഇടി,müristamine
95,Strömung::N,പ്രവാഹം,voolus
96,Strömung::N,പ്രവാഹം,jõevool
97,Tropfen::N,തുള്ളി,tilk
98,Schaum::N,നുര,vaht
99,Schmutz::N,അഴുക്ക്,pori
100,Schmutz::N,അഴുക്ക്,mustus
101,See::N,തടാകം,järv
102,Sumpf::N,ചതുപ്പുനിലം,soo
103,Moor::N,പാഴ്നിലം,raba
104,Wiese::N,പുൽത്തകിടി,aas
105,Wiese::N,പുൽത്തകിടി,nurm
106,Wald::N,വനം,mets
107,Wald::N,കാട്,mets
108,Hügel::N,കുന്ന്,küngas
109,Anhöhe::N,ഉയർന്ന ഭൂമി,küngas
110,Berg::N,പർവ്വതം,mägi
111,Gipfel::N,ഉച്ചകോടി,mäetipp
112,Höhle::N,ഗുഹ,koobas
113,Abhang::N,ചരിവ്,nõlvak
114,Quelle::N,ഉറവിടം,allikas
115,Bach::N,അരുവി,oja
116,Fluss::N,നദി,jõgi
117,Ufer::N,തീരം,kallas
118,Küste::N,കടൽത്തീരം,rannik
119,Festland::N,കര,mander
120,Festland::N,കര,maismaa
121,Meer::N,കടൽ,meri
122,Bucht::N,ഉൾക്കടല്,laht
123,Insel::N,ദ്വീപ്,saar
124,Blume::N,പൂവ്,lill
125,Gras::N,പുല്ല്,rohi
126,Wurzel::N,വേര്,juur
127,Baum::N,മരം,puu
128,Stamm::N,തായ്ത്തടി,tüvi
129,Rinde::N,പട്ട,koor
130,Ast::N,ശാഖ,oks
131,Zweig::N,ശാഖ,oks
132,Blatt::N,ഇല,leht
133,Birke::N,പൂവരശ്,kask
134,Kiefer[Baum]::N,പൈൻമരം,mänd
135,Weide[Baum]::N,വില്ലോ,paju
136,Tanne::N,ദേവദാരു,nulg
137,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,sarv
138,Feder::N,തൂവൽ,sulg
139,Fell::N,മൃദുരോമം,karvkate
140,Fell::N,മൃദുരോമം,karusnahk
141,Flügel::N,ചിറക്,tiib
142,Flügel::N,ചിറക്,tiivik
143,Klaue::N,നഖം,küüs
144,Kralle::N,നഖം,küünis
145,Schwanz::N,വാൽ,saba
146,Ei::N,മുട്ട,muna
147,Nest::N,കൂട്,pesa
148,Bau::N,മാളം,urg
149,Tier::N,മൃഗം,loom
150,Herde::N,കൂട്ടം,kari
151,Kuh::N,പശു,lehm
152,Bulle::N,കാള,pull
153,Pferd::N,കുതിര,hobune
154,Schaf::N,ആട്,lammas
155,Schwein::N,പന്നി,siga
156,Hund::N,നായ്,koer
157,Katze::N,പൂച്ച,kass
158,Bär::N,കരടി,karu
159,Eichhörnchen::N,അണ്ണാൻ,orav
160,Elch::N,കടമാന്,põder
161,Fuchs::N,കുറുക്കൻ,rebane
162,Hase::N,മുയൽ,jänes
163,Maus::N,ചുണ്ടലി,hiir
164,Wolf::N,ചെന്നായ,hunt
165,Vogel::N,പക്ഷി,lind
166,Schwarm::N,കൂട്ടം,parv
167,Huhn::N,കോഴി,kana
168,Hahn::N,പൂവൻകോഴി,kukk
169,Gans::N,അരയന്നം,hani
170,Adler::N,കഴുകൻ,kotkas
171,Ente::N,താറാവ്,part
172,Eule::N,മൂങ്ങ,kakk
173,Eule::N,മൂങ്ങ,öökull
174,Kranich::N,കൊക്ക്,kurg
175,Krähe::N,കാക്ക,vares
176,Kuckuck::N,കുയിൽ,kägu
177,Schwan::N,അരയന്നം,luik
178,Fisch::N,മത്സ്യം,kala
179,Barsch::N,ഒരിനം മത്സ്യം,ahven
180,Hecht::N,ഒരു മത്സ്യം,haug
181,Schlange[Tier]::N,പാമ്പ്,uss
182,Wurm::N,വിര,uss
183,Wurm::N,വിര,vagel
