,Concept_ID,fr,lt
0,Auge::N,œil,akis
1,Ohr::N,oreille,ausis
2,Nase::N,nez,nosis
3,Mund::N,bouche,burna
4,Zahn::N,dent,dantis
5,Zunge::N,langue,liežuvis
6,Lippe::N,lèvre,lūpa
7,Wange::N,joue,žandas
8,Wange::N,joue,skruostas
9,Gesicht::N,face,veidas
10,Gesicht::N,visage,veidas
11,Stirn::N,front,kakta
12,Haar::N,cheveu,plaukai
13,Schnurrbart::N,moustache,ūsai
14,Bart::N,barbe,barzda
15,Kinn::N,menton,smakras
16,Kiefer[Anatomie]::N,mâchoire,žandikaulis
17,Kehle::N,gorge,gerklė
18,Hals::N,cou,kaklas
19,Genick::N,nuque,sprandas
20,Kopf::N,tête,galva
21,Rücken::N,dos,nugara
22,Bauch::N,ventre,pilvas
23,Nabel::N,nombril,bamba
24,Busen::N,sein,krūtinė
25,Brust::N,poitrine,krūtis
26,Schulter::N,épaule,petys
27,Arm::N,bras,ranka
28,Ellenbogen::N,coude,alkūnė
29,Hand::N,main,ranka
30,Hand::N,main,plaštaka
31,Handfläche::N,paume,delnas
32,Handfläche::N,paume,plaštaka
33,Finger::N,doigt,pirštas
34,Fingernagel::N,ongle,nagas
35,Nagel[Anatomie]::N,ongle,nagas
36,Zeh::N,orteil,pirštas
37,Zeh::N,doigt de pied,pirštas
38,Fuß::N,pied,pėda
39,Ferse::N,talon,kulnas
40,Knie::N,genou,kelis
41,Oberschenkel::N,cuisse,kulšis
42,Oberschenkel::N,cuisse,šlaunis
43,Bein::N,jambe,koja
44,Körper::N,corps,kūnas
45,Haut::N,peau,oda
46,Blut::N,sang,kraujas
47,Ader::N,veine,kraujagyslė
48,Sehne::N,tendon,sausgyslė
49,Knochen::N,os,kaulas
50,Gehirn::N,cerveau,smegenys
51,Herz::N,cœur,širdis
52,Magen::N,estomac,skrandis
53,Leber::N,foie,kepenys
54,Atem::N,haleine,kvapas
55,Hunger::N,faim,badas
56,Hunger::N,faim,alkis
57,Träne::N,larme,ašara
58,Geschmack::N,goût,skonis
59,Geschmack::N,saveur,skonis
60,Geruch::N,odeur,kvapas
61,Schlaf::N,sommeil,miegas
