,Concept_ID,xal,bg
0,Auge::N,нүдн,око
1,Ohr::N,чикн,ухо
2,Nase::N,хамр,нос
3,Mund::N,амн,уста
4,Zahn::N,шүдн,зъб
5,Zunge::N,келн,език
6,Lippe::N,урл,устна
7,Wange::N,халх,буза
8,Gesicht::N,нүр,лице
9,Gesicht::N,нүр,образ
10,Stirn::N,маңна,чело
11,Haar::N,үсн,коса
12,Haar::N,үсн,косъм
13,Schnurrbart::N,сахл,мустаци
14,Bart::N,сахл,брада
15,Bart::N,өргнә сахл,брада
16,Kinn::N,өргн,брада
17,Kinn::N,өргн,брадичка
18,Kiefer[Anatomie]::N,өргн,челюст
19,Kehle::N,хол,гърло
20,Hals::N,күзүн,врат
21,Genick::N,гиҗг,тил
22,Kopf::N,толһа,глава
23,Rücken::N,нурһн,гръб
24,Bauch::N,гесн,корем
25,Nabel::N,киисн,пъп
26,Busen::N,көкн,бозка
27,Brust::N,чееҗ,гръд
28,Schulter::N,ээм,рамо
29,Schulter::N,ээм,плещи
30,Arm::N,һар,ръка
31,Ellenbogen::N,тоха,лакът
32,Hand::N,баһлцг,ръка
33,Hand::N,баһлцг,китка
34,Handfläche::N,альхн,длан
35,Finger::N,хурһн,пръст
36,Finger::N,һарин хурһн,пръст
37,Fingernagel::N,хумсн,нокът
38,Nagel[Anatomie]::N,хумсн,нокът
39,Zeh::N,хурһн,пръст на крак
40,Zeh::N,көлин хурһн,пръст на крак
41,Fuß::N,тавг,крак
42,Fuß::N,тавг,нога
43,Ferse::N,өскә,пета
44,Knie::N,өвдг,коляно
45,Oberschenkel::N,һуй,бедро
46,Bein::N,көл,крак
47,Bein::N,көл,нога
48,Körper::N,махмуд,тяло
49,Haut::N,арсн,кожа
50,Blut::N,цусн,кръв
51,Ader::N,судцн,вена
52,Ader::N,судцн,артерия
53,Sehne::N,шүрүсн,жила
54,Sehne::N,шүрүсн,сухожилие
55,Knochen::N,ясн,кост
56,Gehirn::N,экн,мозък
57,Herz::N,зүркн,сърце
58,Magen::N,гесн,стомах
59,Leber::N,элкн,черен дроб
60,Atem::N,әмсхл,дишане
61,Hunger::N,харһнлһн,глад
62,Träne::N,нульмсн,сълза
63,Geschmack::N,амтн,вкус
64,Geruch::N,үнр,миризма
65,Schlaf::N,нөр,сън
66,Traum::N,зүүдн,сън
67,Himmel::N,теңгр,небе
68,Sonne::N,нарн,слънце
69,Mond::N,сар,луна
70,Mond::N,сар,месец
71,Stern::N,одн,звезда
72,Luft::N,аһар,въздух
73,Wind::N,салькн,вятър
74,Welle::N,дольган,вълна
75,Wasser::N,усн,вода
76,Stein::N,чолун,камък
77,Boden::N,Һазр,земя
78,Boden::N,Һазр,почва
79,Erde::N,Һазр,земя
80,Erde::N,Һазр,почва
81,Staub::N,тоосн,прах
82,Rauch::N,утан,дим
83,Rauch::N,утан,пушек
84,Funke::N,очн,искра
85,Feuer::N,һал,огън
86,Licht::N,герл,светлина
87,Schatten::N,сүүдр,сянка
88,Wetter::N,теңгр,време
89,Nebel::N,будн,мъгла
90,Wolke::N,үүлн,облак
91,Regen::N,хур,дъжд
92,Schnee::N,цасн,сняг
93,Eis::N,мөсн,лед
94,Frost::N,киитн,мраз
95,Kälte::N,киитн,студ
96,Hitze::N,халун,жега
97,Hitze::N,халун,горещина
98,Raureif::N,цаң,скреж
99,Raureif::N,цаң,слана
100,Raureif::N,кирү,скреж
101,Raureif::N,кирү,слана
102,Regenbogen::N,солңһ,дъга
103,Donner::N,оһтрһун дун,гръм
104,Strömung::N,урсхл,течение
105,Tropfen::N,дусал,капка
106,Schaum::N,көөсн,пяна
107,Schmutz::N,кир,кал
108,Schmutz::N,кир,мръсотия
109,See::N,нур,езеро
110,Sumpf::N,унул,блато
111,Moor::N,улм,мочурище
112,Wiese::N,хадлһн,ливада
113,Wald::N,ө-модн,гора
114,Hügel::N,толһа,рид
115,Hügel::N,толһа,хълм
116,Anhöhe::N,хамр,могила
117,Anhöhe::N,хамр,възвишение
118,Berg::N,уул,планина
119,Gipfel::N,ора,връх
120,Höhle::N,хадин көндә,пещера
121,Abhang::N,ташу,склон
122,Abhang::N,ташу,стръмнина
123,Quelle::N,булг,извор
124,Bach::N,һооҗур,поток
125,Fluss::N,һол,река
126,Ufer::N,көвә,бряг
127,Küste::N,көвә,бряг
128,Küste::N,көвә,крайбрежие
129,Küste::N,теңгсин көвә,бряг
130,Küste::N,теңгсин көвә,крайбрежие
131,Festland::N,хүүрә һазр,суша
132,Meer::N,теңгс,море
133,Bucht::N,цекә,залив
134,Bucht::N,теңгсин цекә,залив
135,Insel::N,арл,остров
136,Blume::N,цецг,цвете
137,Gras::N,ноһан,трева
138,Wurzel::N,уңг,корен
139,Baum::N,модн,дърво
140,Stamm::N,шилв,стъбло
141,Stamm::N,һол модн,стъбло
142,Rinde::N,көрсн,кора
143,Ast::N,ац,клон
144,Zweig::N,ац,клон
145,Blatt::N,хамтхасн,лист
146,Birke::N,хусм модн,бреза
147,Kiefer[Baum]::N,шар харһа,бор
148,Weide[Baum]::N,удн,върба
149,Tanne::N,җөөлн цаһан модн,ела
150,Horn::N,өвр,рог
151,Feder::N,өрвлг,перо
152,Fell::N,арсн,кожа
153,Flügel::N,җивр,крило
154,Klaue::N,хумсн,нокът
155,Kralle::N,тавг,нокът
156,Schwanz::N,сүл,опашка
157,Ei::N,өндгн,яйце
158,Nest::N,үр,гнездо
159,Bau::N,нүкн,дупка
160,Tier::N,мал,животно
161,Herde::N,сүрг мал,стадо
162,Kuh::N,үкр,крава
163,Bulle::N,бух,бик
164,Pferd::N,мөрн,кон
165,Schaf::N,хөн,овца
166,Schwein::N,һаха,свиня
167,Hund::N,ноха,куче
168,Katze::N,мис,котка
169,Bär::N,аю,мечка
170,Eichhörnchen::N,кермн,катерица
171,Elch::N,хандһа,лос
172,Fuchs::N,арат,лисица
173,Hase::N,туула,заек
174,Maus::N,хулһн,мишка
175,Wolf::N,чон,вълк
176,Vogel::N,шовун,птица
177,Schwarm::N,зел,рой
178,Schwarm::N,зел,рояк
179,Huhn::N,така,кокошка
180,Hahn::N,эр така,петел
181,Gans::N,һалун,гъска
182,Adler::N,һәрд,орел
183,Ente::N,нуһсн,патица
184,Eule::N,һурвлһ,сова
185,Kranich::N,тоһрун,жерав
186,Krähe::N,шаазһа,врана
187,Kuckuck::N,эргин хуцдг,кукувица
188,Schwan::N,хун,лебед
189,Fisch::N,заһсн,риба
190,Barsch::N,шүрг,костур
191,Hecht::N,цурх,щука
192,Schlange[Tier]::N,моһа,змия
193,Wurm::N,өтн,червей
194,Spinne::N,аралҗн,паяк
195,Ameise::N,шорһлҗн,мравка
196,Laus::N,бөөсн,въшка
197,Mücke::N,бөкүн,комар
198,Fliege::N,батхн,муха
199,Schmetterling::N,эрвәкә,пеперуда
200,Beere::N,бөөлҗрһн,плод
201,Apfel::N,альмн,ябълка
202,Pilz::N,теңгрин ки,гъба
203,Zwiebel::N,мәңгрснә толһа,лук
204,Zwiebel::N,мәңгрснә толһа,кромид
205,Saat::N,буудян экн,семе
206,Korn::N,экн,зърно
207,Heu::N,өвсн,сено
208,Schale::N,хальсн,кора
209,Grube::N,нүкн,яма
210,Grube::N,нүкн,дупка
211,Falle::N,урх,примка
212,Falle::N,хавх,примка
213,Schlinge::N,бүтү,клуп
214,Spur::N,мөр,диря
215,Spur::N,мөр,следа
216,Asche::N,үмсн,пепел
217,Dreck::N,бальчг,кал
218,Eisen::N,төмр,желязо
219,Gold::N,алтн,злато
220,Silber::N,мөңгн,сребро
221,Silber::N,цаһан мөңгн,сребро
222,Kohle::N,нүүрсн,въглища
223,Glas::N,шил,стъкло
224,Lehm::N,шавр,глина
225,Sand::N,элсн,пясък
226,Mensch::N,күн,човек
227,Mensch::N,күмн,човек
228,Mann::N,эр,мъж
229,Frau::N,күүкд күн,жена
230,Kind::N,үрн,дете
231,Junge::N,көвүн,момче
232,Mädchen::N,бичкн күүкн,момиче
233,Familie::N,бүл,фамилия
234,Familie::N,бүл,семейство
235,Großvater::N,өвк эцк,дядо
236,Großvater::N,наһц эцк,дядо
