,Concept_ID,uk,bn
82,Kälte::N,холод,শৈত্য
83,Hitze::N,жар,তাপ
84,Raureif::N,іній,তুহিন
85,Regenbogen::N,райдуга,রামধনু
86,Donner::N,грім,বজ্রধ্বনি
87,Strömung::N,струмина,স্রোত
88,Tropfen::N,крапля,ফোঁটা
89,Schaum::N,піна,ফেনা
90,Schmutz::N,бруд,ধুলা
91,See::N,озеро,হ্রদ
92,Sumpf::N,драговина,জলা
93,Moor::N,болото,মাঠ
94,Wiese::N,луг,তৃণভূমি
95,Wiese::N,лука,তৃণভূমি
96,Wald::N,ліс,বন
97,Hügel::N,горб,পাহাড়
98,Anhöhe::N,височина,টিলা
99,Berg::N,гора,পর্বত
100,Gipfel::N,вершина,শীর্ষ
101,Höhle::N,печера,গুহা
102,Abhang::N,схил,ঢাল
103,Quelle::N,джерело,উৎস
104,Bach::N,струмок,ক্ষুদ্র নদী
105,Fluss::N,річка,নদী
106,Ufer::N,берег,উপকূল
107,Küste::N,узбережжя,তীর
108,Festland::N,суша,ভূমি
109,Meer::N,море,সমুদ্র
110,Bucht::N,бухта,উপসাগর
111,Bucht::N,затока,উপসাগর
112,Insel::N,острів,দ্বীপ
113,Blume::N,квітка,ফুল
114,Gras::N,трава,ঘাস
115,Wurzel::N,корінь,শিকড়
116,Baum::N,дерево,গাছ
117,Stamm::N,стовбур,স্কন্ধ
118,Rinde::N,кора,বল্কল
119,Ast::N,гілка,শাখা
120,Zweig::N,галузь,ডাল
121,Blatt::N,лист,পর্ণ
122,Birke::N,береза,ভুর্জ
123,Kiefer[Baum]::N,сосна,পাইন গাছ
124,Weide[Baum]::N,верба,উইলো
125,Tanne::N,ялиця,দেবদারূ গাছ
126,Horn::N,ріг,শিং
127,Feder::N,перо,পালক
128,Fell::N,хутро,রোম
129,Flügel::N,крило,ডানা
130,Klaue::N,кіготь,নখর
131,Kralle::N,лапа,নখর
132,Schwanz::N,хвіст,লেজ
133,Ei::N,яйце,ডিম
134,Nest::N,гніздо,কুলায়
135,Bau::N,лігво,ডেরা
136,Tier::N,тварина,জন্তু
137,Herde::N,стадо,ঝাঁক
138,Kuh::N,корова,গোরু
139,Bulle::N,бик,বৃষ
140,Bulle::N,бугай,বৃষ
141,Pferd::N,кінь,ঘোড়া
142,Schaf::N,вівця,ভেড়া
143,Schwein::N,свиня,শূকর
144,Hund::N,собака,কুকুর
145,Katze::N,кішка,বেড়াল
146,Bär::N,ведмідь,ভল্লুক
147,Eichhörnchen::N,білка,কাঠবিড়াল
148,Elch::N,лось,হরিণবিশেষ
149,Fuchs::N,лисиця,পাঁতিশিয়াল
150,Hase::N,заєць,শশক
151,Maus::N,миша,নেংটি ইঁদুর
152,Wolf::N,вовк,নেকড়ে
153,Vogel::N,птах,পক্ষী
154,Schwarm::N,зграя,ঝাঁক
155,Huhn::N,курка,মোরগ
156,Hahn::N,півень,কুক্কুট
157,Gans::N,гуска,হংসী
158,Adler::N,орел,ইগল
159,Ente::N,качка,হংসী
160,Eule::N,сова,পেচক
161,Kranich::N,журавель,সারস
162,Krähe::N,ворона,কাক
163,Kuckuck::N,зозуля,কোকিল
164,Schwan::N,лебідь,মরাল
165,Fisch::N,риба,মাছ
166,Barsch::N,окунь,মৎন্যবিশেষ
167,Hecht::N,щука,বানমাছ
168,Schlange[Tier]::N,змія,সর্প
169,Wurm::N,черв’як,কীট
170,Spinne::N,павук,মাকড়সা
171,Ameise::N,мурашка,পিপীলিকা
172,Laus::N,воша,উকুন
173,Mücke::N,комар,মশা
174,Fliege::N,муха,মাছি
175,Schmetterling::N,метелик,প্রজাপতি
176,Beere::N,ягода,বেরি
177,Apfel::N,яблуко,আপেল
178,Pilz::N,гриб,ছত্রক
179,Zwiebel::N,цибуля,পিয়াজ
180,Saat::N,сім’я,বীজ
181,Korn::N,зерно,শস্য
182,Heu::N,сіно,খড়
183,Schale::N,шкірка,খোসা
184,Grube::N,яма,গর্ত
185,Falle::N,пастка,ফাঁদ
186,Schlinge::N,петля,পাশ
187,Spur::N,слід,চিহ্ন
188,Asche::N,зола,ভস্ম
189,Asche::N,попіл,ভস্ম
190,Dreck::N,бруд,ময়লা
191,Eisen::N,залізо,লোহা
192,Gold::N,золото,স্বর্ণ
193,Silber::N,срібло,রৌপ্য
194,Kohle::N,вугілля,অঙ্গার
195,Glas::N,скло,কাচ
196,Lehm::N,глина,মৃত্তিকা
197,Sand::N,пісок,বালি
198,Mensch::N,людина,নর
199,Mensch::N,людина,মানুষ
200,Mann::N,чоловік,মানুষ
201,Frau::N,жінка,নারী
202,Kind::N,дитина,বাচ্চা
203,Junge::N,хлопець,ছেলে
204,Mädchen::N,дівчина,মেয়ে
205,Familie::N,сім’я,পরিবার
206,Familie::N,родина,পরিবার
207,Großvater::N,дідусь,মাতামহ
