,Concept_ID,pl,is
0,Auge::N,oko,auga
1,Ohr::N,ucho,eyra
2,Nase::N,nos,nef
3,Mund::N,usta,munnur
4,Zahn::N,ząb,tönn
5,Zunge::N,język,tunga
6,Lippe::N,warga,vör
7,Wange::N,policzek,kinn
8,Wange::N,policzek,vangi
9,Gesicht::N,twarz,andlit
10,Stirn::N,czoło,enni
11,Haar::N,włos,hár
12,Haar::N,włosy,hár
13,Schnurrbart::N,wąsy,yfirskegg
14,Bart::N,broda,skegg
15,Kinn::N,podbródek,haka
16,Kiefer[Anatomie]::N,czeluść,kjálki
17,Kiefer[Anatomie]::N,czeluść,skoltur
18,Kehle::N,gardło,kverk
19,Hals::N,szyja,háls
20,Genick::N,kark,hnakki
21,Kopf::N,głowa,höfuð
22,Rücken::N,plecy,hryggur
23,Rücken::N,grzbiet,hryggur
24,Bauch::N,brzuch,kviður
25,Nabel::N,pępek,nafli
26,Busen::N,biust,barmur
27,Brust::N,pierś,brjóst
28,Schulter::N,bark,öxl
29,Schulter::N,ramię,öxl
30,Arm::N,ręka,armur
31,Arm::N,ramię,armur
32,Ellenbogen::N,łokieć,olnbogi
33,Hand::N,dłoń,hönd
34,Handfläche::N,dłoń,lófi
35,Finger::N,palec,fingur
36,Fingernagel::N,paznokieć,fingurnögl
37,Nagel[Anatomie]::N,paznokieć,nögl
38,Zeh::N,palec,tá
39,Fuß::N,stopa,fótur
40,Ferse::N,pięta,hæll
41,Knie::N,kolano,kné
42,Oberschenkel::N,udo,læri
43,Bein::N,noga,fótleggur
44,Körper::N,ciało,búkur
45,Körper::N,ciało,líkami
46,Haut::N,skóra,húð
47,Haut::N,skóra,skinn
48,Blut::N,krew,blóð
49,Ader::N,żyła,æð
50,Sehne::N,ścięgno,sin
51,Knochen::N,kość,bein
52,Gehirn::N,mózg,heili
53,Herz::N,serce,hjarta
54,Magen::N,żołądek,magi
55,Leber::N,wątroba,lifur
56,Atem::N,dech,andi
57,Atem::N,dech,andardráttur
58,Atem::N,oddech,andi
59,Atem::N,oddech,andardráttur
60,Hunger::N,głód,hungur
61,Träne::N,łza,tár
62,Geschmack::N,smak,smekkur
63,Geruch::N,woń,lykt
64,Geruch::N,zapach,lykt
65,Schlaf::N,sen,svefn
66,Traum::N,sen,draumur
67,Himmel::N,niebo,himinn
68,Sonne::N,słońce,sól
69,Mond::N,księżyc,tungl
70,Stern::N,gwiazda,stjarna
71,Luft::N,powietrze,loft
72,Wind::N,wiatr,vindur
73,Welle::N,fala,alda
74,Welle::N,fala,bylgja
75,Wasser::N,woda,vatn
76,Stein::N,kamień,steinn
77,Boden::N,grunt,botn
78,Erde::N,ziemia,jörð
79,Staub::N,pył,ryk
80,Staub::N,pył,duft
81,Staub::N,kurz,ryk
82,Staub::N,kurz,duft
83,Rauch::N,dym,reykur
84,Funke::N,iskra,neisti
85,Feuer::N,ogień,eldur
86,Licht::N,światło,ljós
87,Schatten::N,cień,skuggi
88,Wetter::N,pogoda,veður
89,Nebel::N,mgła,þoka
90,Wolke::N,obłok,ský
91,Wolke::N,chmura,ský
92,Regen::N,deszcz,regn
93,Schnee::N,śnieg,snjór
94,Eis::N,lód,ís
95,Frost::N,mróz,frost
96,Kälte::N,chłód,kuldi
97,Hitze::N,gorąco,hiti
98,Raureif::N,szron,hrím
99,Regenbogen::N,tęcza,regnbogi
100,Donner::N,grzmot,þruma
101,Strömung::N,nurt,straumur
102,Tropfen::N,kropla,dropi
103,Schaum::N,piana,froða
104,Schmutz::N,brud,óhreinindi
105,See::N,jezioro,stöðuvatn
106,Sumpf::N,bagno,fen
107,Moor::N,bagno,mýri
108,Wiese::N,łąka,engi
109,Wald::N,las,skógur
110,Hügel::N,pagórek,hæð
111,Hügel::N,pagórek,hóll
112,Anhöhe::N,wzgórze,hæð
113,Anhöhe::N,wzgórze,hóll
114,Berg::N,góra,fell
115,Berg::N,góra,fjall
116,Gipfel::N,szczyt,tindur
117,Gipfel::N,wierzchołek,tindur
118,Höhle::N,pieczara,hellir
119,Abhang::N,stok,hlíð
120,Abhang::N,stok,brekka
121,Abhang::N,zbocze,hlíð
122,Abhang::N,zbocze,brekka
123,Quelle::N,zdrój,lind
124,Quelle::N,zdrój,uppspretta
125,Quelle::N,źródło,lind
126,Quelle::N,źródło,uppspretta
127,Bach::N,potok,lækur
128,Bach::N,strumień,lækur
129,Fluss::N,rzeka,á
130,Fluss::N,rzeka,fljót
131,Ufer::N,brzeg,árbakki
132,Ufer::N,brzeg,sjávarbakki
133,Küste::N,wybrzeże,strönd
134,Festland::N,ląd,meginland
135,Meer::N,morze,haf
136,Meer::N,morze,sjór
137,Bucht::N,zatoka,vík
138,Insel::N,wyspa,eyja
139,Blume::N,kwiat,blóm
140,Gras::N,trawa,gras
141,Wurzel::N,korzeń,rót
142,Baum::N,drzewo,tré
143,Stamm::N,pień,stofn
144,Rinde::N,kora,börkur
145,Ast::N,gałąź,grein
146,Zweig::N,gałąź,angi
147,Zweig::N,gałąź,kvistur
