,Concept_ID,hi,av
0,Auge::N,आँख,
1,Auge::N,चक्षु,
2,Ohr::N,कान,гӏин
3,Ohr::N,कर्ण,гӏин
4,Nase::N,नाक,мегӏер
5,Nase::N,नासा,мегӏер
6,Mund::N,मुख,кӏал
7,Mund::N,मुँह,кӏал
8,Zahn::N,दंत,гӏус
9,Zahn::N,दाँत,гӏус
10,Zunge::N,जीभ,мацӏ
11,Zunge::N,ज़बान,мацӏ
12,Zunge::N,जिह्वा,мацӏ
13,Lippe::N,ओंठ,кӏветӏ
14,Lippe::N,होंठ,кӏветӏ
15,Wange::N,गाल,гӏоно
16,Wange::N,कपोल,гӏоно
17,Gesicht::N,मुँह,гьумер
18,Gesicht::N,चेहरा,гьумер
19,Stirn::N,माथा,нодо
20,Stirn::N,मस्तक,нодо
21,Haar::N,बाल,рас
22,Schnurrbart::N,मूँछें,михъ
23,Bart::N,दाढ़ी,мегеж
24,Kinn::N,चिबुक,нилъу
25,Kiefer[Anatomie]::N,जबड़ा,чанагъ
26,Kehle::N,गला,щекъер
27,Hals::N,गला,габур
28,Hals::N,गरदन,габур
29,Genick::N,गरदन,гъванща
30,Genick::N,ग्रीवा,гъванща
31,Kopf::N,सिर,бетӏер
32,Kopf::N,शीर्ष,бетӏер
33,Rücken::N,पीठ,мугъ
34,Bauch::N,उदर,чехь
35,Nabel::N,नाभि,цӏину
36,Nabel::N,ढोंढी,цӏину
37,Busen::N,कुच,керен
38,Busen::N,स्तन,керен
39,Brust::N,वक्ष,керен
40,Schulter::N,कंधा,гъажазубетӏер
41,Schulter::N,स्कंध,гъажазубетӏер
42,Arm::N,बाँह,гъеж
43,Arm::N,बाज़ू,гъеж
44,Ellenbogen::N,कुहनी,гӏункӏрукь
45,Hand::N,हाथ,квер
46,Hand::N,हस्त,квер
47,Handfläche::N,हथेली,огъохъат
48,Handfläche::N,हथेली,жанисахъат
49,Finger::N,उँगली,килищ
50,Finger::N,अँगुली,килищ
51,Fingernagel::N,नख,малъ
52,Fingernagel::N,नाख़ून,малъ
53,Nagel[Anatomie]::N,नख,малъ
54,Nagel[Anatomie]::N,नाख़ून,малъ
55,Zeh::N,उँगली,килищ
56,Zeh::N,पाँव की उँगली,килищ
57,Fuß::N,चरण,хӏетӏ
58,Fuß::N,चरण,хӏетӏе
59,Fuß::N,पाँव,хӏетӏ
60,Fuß::N,पाँव,хӏетӏе
61,Ferse::N,एड़ी,эгъе
62,Knie::N,जानु,наку
63,Knie::N,घुटना,наку
64,Oberschenkel::N,उरु,мачӏ
65,Bein::N,टाँग,бох
66,Körper::N,तन,къаркъала
67,Körper::N,देह,къаркъала
68,Körper::N,शरीर,къаркъала
69,Haut::N,चर्म,тӏом
70,Haut::N,त्वचा,тӏом
71,Blut::N,लहू,би
72,Blut::N,ख़ून,би
73,Ader::N,रग,бидурихь
74,Ader::N,शिरा,бидурихь
75,Sehne::N,कंडरा,
76,Sehne::N,स्नायु,
77,Knochen::N,अस्थि,ракьа
78,Gehirn::N,दिमाग़,гӏадалнах
79,Gehirn::N,मस्तिष्क,гӏадалнах
80,Herz::N,दिल,ракӏ
81,Herz::N,हृदय,ракӏ
82,Magen::N,मेदा,кванирукъ
83,Magen::N,अमाशय,кванирукъ
84,Leber::N,जिगर,тӏул
85,Leber::N,यकृत्,тӏул
86,Atem::N,दम,хӏухь
87,Atem::N,साँस,хӏухь
88,Atem::N,श्वास,хӏухь
89,Hunger::N,भूख,ракъи
90,Hunger::N,क्षुधा,ракъи
91,Träne::N,आँसू,магӏу
92,Träne::N,अश्रु,магӏу
93,Geschmack::N,स्वाद,тату
94,Geschmack::N,ज़ायक़ा,тату
95,Geruch::N,बू,махӏ
96,Geruch::N,गंध,махӏ
97,Schlaf::N,नींद,макьу
98,Schlaf::N,निद्रा,макьу
99,Traum::N,सपना,макьу
100,Traum::N,स्वप्न,макьу
101,Himmel::N,आकाश,зоб
102,Himmel::N,आसमान,зоб
103,Sonne::N,रवि,бакъ
