,Concept_ID,cy,ta
0,Auge::N,llygad,கண்
1,Ohr::N,clust,காது
2,Nase::N,trwyn,மூக்கு
3,Mund::N,ceg,வாய்
4,Zahn::N,dant,பல்
5,Zunge::N,tafod,நாக்கு
6,Lippe::N,gwefus,உதடு
7,Wange::N,boch,கன்னம்
8,Gesicht::N,wyneb,முகம்
9,Stirn::N,talcen,முன்னெற்றி
10,Haar::N,blew,முடி
11,Schnurrbart::N,mwstas,மீசை
12,Bart::N,barf,தாடி
13,Kinn::N,gên,கீழதாடை
14,Kiefer[Anatomie]::N,gên,தாடை
15,Kehle::N,gwddf,தொண்டை
16,Hals::N,gwddf,கழுத்து
17,Genick::N,gwar,கழுத்து
18,Genick::N,gwegil,கழுத்து
19,Kopf::N,pen,தலை
20,Rücken::N,cefn,முதுகு
21,Bauch::N,bol,வயிறு
22,Nabel::N,bogail,தொப்புள்
23,Busen::N,bron,மார்பகம்
24,Brust::N,brest, மார்பு
25,Schulter::N,ysgwydd,தோள்பட்டை
26,Arm::N,braich,கரம்
27,Ellenbogen::N,penelin,முழங்கை
28,Hand::N,llaw,கை
29,Handfläche::N,palf,உள்ளங்கை
30,Finger::N,bys,விரல்
31,Fingernagel::N,ewin,விரல் நகம்
32,Nagel[Anatomie]::N,ewin,நகம்
33,Zeh::N,bys troed,கால்விரல்
34,Fuß::N,troed,கால்
35,Ferse::N,sawdl,குதிகால்
36,Knie::N,glin,முழங்கால்
37,Oberschenkel::N,clun,தொடை
38,Bein::N,coes,கால்
39,Körper::N,corff,உடல்
40,Haut::N,croen,சருமம்
41,Blut::N,gwaed,இரத்தம்
42,Ader::N,gwythïen,நாளம்
43,Sehne::N,gewyn,தசைநார்
44,Knochen::N,asgwrn,எலுமபு
45,Gehirn::N,ymennydd,மூனை
46,Herz::N,calon,இதயம
47,Magen::N,cylla,வயிறு
48,Magen::N,stumog,வயிறு
49,Leber::N,iau,கல்லீரல்
50,Atem::N,anadl,மூச்சு
51,Hunger::N,newyn,பசி
52,Träne::N,deigryn,கண்ணீர்
53,Geschmack::N,cyflas,நறுமணம்
54,Geruch::N,aroglau,துர்நாற்றம்
55,Schlaf::N,cwsg,தூக்கம்
56,Traum::N,breuddwyd,கனவு
57,Himmel::N,awyr,வானம்
58,Sonne::N,haul,சூரியன்
59,Mond::N,lleuad,சந்திரன்
60,Stern::N,seren,நட்சத்திரம்
61,Luft::N,awyr,காறறு
62,Wind::N,gwynt,காற்று
63,Welle::N,ton,அலை
64,Wasser::N,dŵr,நீர்
65,Stein::N,carreg,கல்
66,Boden::N,llawr,தரை
67,Erde::N,pridd,மண்
68,Staub::N,llwch,தூசி
69,Rauch::N,mwg,புகை
70,Funke::N,gwreichioni,தீப்பொறி
71,Feuer::N,tân,தீ
72,Licht::N,golau,வெளிச்சம்
73,Schatten::N,cysgod,நிழல்
74,Wetter::N,tywydd,வானிலை
75,Nebel::N,niwl,பனிமூட்டம்
76,Wolke::N,cwmwl,மேகம்
77,Regen::N,glaw,மழை
78,Schnee::N,ôd,உறைபனி
79,Schnee::N,eira,உறைபனி
80,Eis::N,iâ,பனிக்கட்டி
81,Frost::N,rhew,உறைபனி
82,Kälte::N,oerni,குளிர்ந்த
83,Kälte::N,annwyd,குளிர்ந்த
84,Hitze::N,gwres,சூடு
85,Raureif::N,barrug,உறைபனி வெண்திரை
86,Regenbogen::N,enfys,வானவில்
87,Donner::N,tyrfau,இடி
88,Strömung::N,cerrynt,நீரோட்டம்
89,Tropfen::N,dafn,துளி
90,Tropfen::N,diferyn,துளி
91,Schaum::N,ewyn,நுரை
92,Schmutz::N,baw,அழுக்கு
93,Schmutz::N,budreddi,அழுக்கு
94,See::N,llyn,ஏரி
95,Sumpf::N,cors,சதுப்பு நிலம்
96,Moor::N,rhos,முட்புதற்காடு
97,Wiese::N,dôl,பசும் புல்தரை
98,Wald::N,coedwig,காடு
99,Hügel::N,bryn,குன்று
100,Anhöhe::N,bryn,பதுக்கை
101,Berg::N,mynydd,மலை
102,Gipfel::N,copa,உச்சி மாநாடு
103,Höhle::N,ogof,குகை
104,Abhang::N,llethr,சரிவு
105,Quelle::N,tarddiad,மூலம்
