,Concept_ID,ro,cs
0,Auge::N,ochi,oko
1,Ohr::N,ureche,ucho
2,Nase::N,nas,nos
3,Mund::N,gură,pusa
4,Zahn::N,dinte,zub
5,Zunge::N,limbă,jazyk
6,Lippe::N,buză,ret
7,Wange::N,bucă,tvář
8,Wange::N,obraz,tvář
9,Gesicht::N,față,obličej
10,Gesicht::N,figură,obličej
11,Stirn::N,frunte,čelo
12,Haar::N,păr,vlas
13,Haar::N,păr,vlasy
14,Schnurrbart::N,mustață,kníry
15,Bart::N,barbă,vousy
16,Kinn::N,bărbie,brada
17,Kiefer[Anatomie]::N,falcă,čelist
18,Kehle::N,beregată,hrdlo
19,Hals::N,gât,krk
20,Genick::N,ceafă,týl
21,Kopf::N,cap,hlava
22,Rücken::N,dos,záda
23,Rücken::N,dos,hřbet
24,Rücken::N,spate,záda
25,Rücken::N,spate,hřbet
26,Rücken::N,spinare,záda
27,Rücken::N,spinare,hřbet
28,Bauch::N,burtă,břicho
29,Bauch::N,pântece,břicho
30,Nabel::N,buric,pupek
31,Busen::N,sân,ňadra
32,Brust::N,piept,prsa
33,Schulter::N,umăr,plece
34,Schulter::N,umăr,rameno
35,Schulter::N,spate,plece
36,Schulter::N,spate,rameno
37,Arm::N,braț,ruka
38,Ellenbogen::N,cot,loket
39,Hand::N,mână,ruka
40,Handfläche::N,palmă,dlaň
41,Finger::N,deget,prst
42,Fingernagel::N,unghie,nehet
43,Nagel[Anatomie]::N,unghie,nehet
44,Zeh::N,deget de la picior,prst u nohy
45,Fuß::N,picior,noha
46,Ferse::N,călcâi,pata
47,Knie::N,genunchi,koleno
48,Oberschenkel::N,coapsă,stehno
49,Bein::N,picior,noha
50,Körper::N,corp,tělo
51,Haut::N,piele,kůže
52,Blut::N,sânge,krev
53,Ader::N,vână,céva
54,Ader::N,arteră,céva
55,Sehne::N,tendon,šlacha
56,Knochen::N,os,kost
57,Gehirn::N,creier,mozek
58,Herz::N,inimă,srdce
59,Magen::N,stomac,žaludek
60,Leber::N,ficat,játra
61,Atem::N,răsuflare,dech
62,Atem::N,respirație,dech
63,Hunger::N,foame,hlad
64,Träne::N,lacrimă,slza
65,Geschmack::N,gust,vkus
66,Geruch::N,miros,vůně
67,Geruch::N,miros,zápach
68,Schlaf::N,somn,spánek
69,Traum::N,vis,sen
70,Himmel::N,cer,nebe
71,Sonne::N,soare,slunce
72,Mond::N,lună,měsíc
73,Stern::N,stea,hvězda
74,Luft::N,aer,vzduch
75,Wind::N,vânt,vítr
76,Welle::N,val,vlna
77,Welle::N,undă,vlna
78,Wasser::N,apă,voda
79,Stein::N,piatră,kámen
80,Boden::N,sol,půda
81,Boden::N,pământ,půda
82,Erde::N,pământ,země
83,Staub::N,praf,prach
84,Rauch::N,fum,dým
85,Rauch::N,fum,kouř
86,Funke::N,scânteie,jiskra
87,Feuer::N,foc,oheň
88,Licht::N,lumină,světlo
89,Schatten::N,umbră,stín
90,Wetter::N,timp,počasí
91,Wetter::N,vreme,počasí
92,Nebel::N,ceață,mlha
93,Nebel::N,negură,mlha
94,Wolke::N,nor,mrak
95,Wolke::N,nor,oblak
96,Regen::N,ploaie,déšť
97,Schnee::N,zăpadă,sníh
98,Eis::N,gheață,led
99,Frost::N,ger,mráz
100,Kälte::N,frig,chlad
101,Hitze::N,arșiță,horko
102,Hitze::N,căldură,horko
103,Raureif::N,chiciură,jinovatka
104,Regenbogen::N,curcubeu,duha
105,Donner::N,tunet,hrom
106,Strömung::N,curent,proudění
107,Tropfen::N,picătură,kapka
108,Schaum::N,spumă,pěna
109,Schmutz::N,murdărie,špína
110,See::N,lac,jezero
111,Sumpf::N,mlaștină,močál
112,Sumpf::N,mlaștină,bažina
113,Moor::N,bărăgan,bažina
114,Moor::N,bărăgan,slatina
115,Wiese::N,fânaț,louka
116,Wiese::N,livadă,louka
117,Wald::N,codru,les
118,Wald::N,pădure,les
119,Hügel::N,deal,kopec
120,Hügel::N,movilă,kopec
121,Anhöhe::N,deal,pahorek
122,Anhöhe::N,ridicătură,pahorek
123,Berg::N,munte,hora
124,Gipfel::N,pisc,vrchol
125,Höhle::N,peșteră,jeskyně
126,Abhang::N,pantă,svah
127,Abhang::N,pantă,stráň
128,Abhang::N,versant,svah
129,Abhang::N,versant,stráň
130,Quelle::N,izvor,pramen
131,Bach::N,gârlă,potok
132,Fluss::N,râu,řeka
133,Fluss::N,fluviu,řeka
134,Ufer::N,mal,břeh
135,Ufer::N,țărm,břeh
136,Küste::N,coastă,pobřeží
137,Festland::N,uscat,souš
138,Festland::N,uscat,pevnina
139,Meer::N,mare,moře
140,Bucht::N,golf,záliv
141,Bucht::N,golf,zátoka
142,Insel::N,insulă,ostrov
143,Blume::N,floare,květina
144,Gras::N,iarbă,tráva
145,Wurzel::N,rădăcină,kořen
146,Baum::N,copac,strom
147,Baum::N,arbore,strom
148,Stamm::N,tulpină,kmen
149,Rinde::N,scoarță,kůra
150,Ast::N,cracă,větev
151,Ast::N,creangă,větev
152,Zweig::N,ramură,větev
153,Zweig::N,creangă,větev
154,Blatt::N,frunză,lupen
155,Birke::N,mesteacăn,bříza
156,Kiefer[Baum]::N,pin,sosna
157,Kiefer[Baum]::N,pin,borovice
158,Weide[Baum]::N,salcie,vrba
159,Weide[Baum]::N,răchită,vrba
160,Tanne::N,brad,jedle
161,Horn::N,corn,roh
162,Feder::N,pană,pero
163,Fell::N,piele,srst
164,Flügel::N,aripă,křídlo
165,Klaue::N,gheară,dráp
166,Klaue::N,gheară,pazneht
167,Kralle::N,labă,dráp
168,Kralle::N,gheară,dráp
169,Schwanz::N,coadă,ocas
170,Ei::N,ou,vejce
171,Nest::N,cuib,hnízdo
172,Bau::N,bârlog,nora
173,Bau::N,vizuină,nora
174,Tier::N,animal,zvíře
175,Herde::N,turmă,stádo
176,Herde::N,cireadă,stádo
177,Kuh::N,vacă,kráva
178,Bulle::N,taur,býk
179,Pferd::N,cal,kůň
180,Schaf::N,oaie,ovce
181,Schwein::N,porc,vepř
182,Schwein::N,porc,prase
183,Hund::N,câine,pes
184,Katze::N,pisică,kočka
185,Bär::N,urs,medvěd
186,Eichhörnchen::N,veveriță,veverka
187,Elch::N,elan,los
188,Fuchs::N,vulpe,liška
189,Hase::N,iepure,zajíc
190,Maus::N,șoarece,myš
191,Wolf::N,lup,vlk
192,Vogel::N,pasăre,pták
193,Schwarm::N,cârd,roj
194,Schwarm::N,cârd,hejno
195,Huhn::N,găină,kuře
196,Huhn::N,găină,slepice
197,Hahn::N,cocoș,kohout
198,Gans::N,gâscă,husa
199,Adler::N,vultur,orel
200,Ente::N,rață,kachna
201,Eule::N,bufniță,sova
202,Kranich::N,cocor,jeřáb
203,Krähe::N,cioară,vrána
204,Kuckuck::N,cuc,kukačka
205,Schwan::N,lebădă,labuť
206,Fisch::N,pește,ryba
207,Barsch::N,biban,okoun
208,Hecht::N,știucă,štika
209,Schlange[Tier]::N,șarpe,had
210,Wurm::N,vierme,červ
211,Spinne::N,păianjen,pavouk
212,Ameise::N,furnică,mravenec
213,Laus::N,păduche,veš
214,Mücke::N,țânțar,komár
215,Fliege::N,muscă,moucha
216,Schmetterling::N,fluture,motýl
217,Beere::N,boabă,bobule
218,Apfel::N,măr,jablko
219,Pilz::N,burete,houba
220,Pilz::N,ciupercă,houba
221,Zwiebel::N,ceapă,cibule
222,Saat::N,semănătură,osivo
223,Korn::N,grâu,zrno
224,Heu::N,fân,seno
225,Schale::N,coajă,slupka
226,Schale::N,coajă,skořápka
227,Grube::N,groapă,jáma
228,Falle::N,cursă,past
229,Falle::N,cursă,léčka
230,Falle::N,capcană,past
231,Falle::N,capcană,léčka
232,Schlinge::N,laț,smyčka
233,Spur::N,dâră,stopa
234,Asche::N,cenușă,popel
235,Dreck::N,noroi,špína
236,Dreck::N,murdărie,špína
237,Eisen::N,fier,železo
238,Gold::N,aur,zlato
239,Silber::N,argint,stříbro
240,Kohle::N,cărbune,uhlí
241,Glas::N,sticlă,sklo
242,Lehm::N,lut,jíl
243,Lehm::N,lut,hlína
244,Lehm::N,humă,jíl
245,Lehm::N,humă,hlína
246,Sand::N,nisip,písek
247,Mensch::N,om,člověk
248,Mensch::N,persoană,člověk
249,Mann::N,om,muž
250,Mann::N,bărbat,muž
251,Frau::N,femeie,žena
252,Kind::N,copil,dítě
253,Junge::N,băiat,hoch
254,Junge::N,băiat,chlapec
255,Junge::N,flăcău,hoch
256,Junge::N,flăcău,chlapec
257,Mädchen::N,fată,děvče
258,Familie::N,familie,rodina
259,Großvater::N,bunic,děd
260,Großvater::N,bunic,dědeček
261,Großvater::N,tată mare,děd
262,Großvater::N,tată mare,dědeček
263,Großmutter::N,bunică,babička
264,Großmutter::N,mamă mare,babička
265,Eltern::N,părinți,rodiče
266,Vater::N,tată,otec
267,Vater::N,părinte,otec
268,Mutter::N,mamă,matka
269,Sohn::N,fiu,syn
270,Sohn::N,fecior,syn
271,Tochter::N,fiică,dcera
272,Bruder::N,frate,bratr
273,Schwester::N,soră,sestra
274,Onkel::N,unchi,strýc
275,Tante::N,mătușă,teta
276,Ehemann::N,soț,choť
277,Ehemann::N,soț,manžel
278,Ehemann::N,bărbat,choť
279,Ehemann::N,bărbat,manžel
280,Ehefrau::N,soție,choť
281,Ehefrau::N,soție,manželka
282,Freude::N,bucurie,radost
283,Gelächter::N,râset,smích
284,Glück::N,fericire,štěstí
285,Kummer::N,mâhnire,žal
286,Kummer::N,mâhnire,trápení
287,Wunsch::N,dorință,přání
288,Wunsch::N,deziderat,přání
289,Lust::N,poftă,chuť
290,Lust::N,înclinare,chuť
291,Geist::N,duh,duch
292,Geist::N,minte,duch
293,Geist::N,suflet,duch
294,Gedanke::N,gând,myšlenka
295,Gedanke::N,cuget,myšlenka
296,Gedächtnis::N,memorie,paměť
297,Verstand::N,minte,rozum
298,Verstand::N,intelect,rozum
299,Sinn::N,sens,smysl
300,Sinn::N,înțeles,smysl
301,Grund::N,cauză,důvod
302,Grund::N,pricină,důvod
303,Wahrheit::N,adevăr,pravda
304,Gespräch::N,convorbire,rozhovor
305,Gespräch::N,conversație,rozhovor
306,Märchen::N,basm,pohádka
307,Märchen::N,poveste,pohádka
308,Erzählung::N,poveste,povídka
309,Nachricht::N,veste,zpráva
310,Neuigkeit::N,noutate,novina
311,Neuigkeit::N,noutate,novinka
312,Neuigkeit::N,actualitate,novina
313,Neuigkeit::N,actualitate,novinka
314,Name::N,nume,jméno
315,Rätsel::N,ghicitoare,hádanka
316,Rede::N,discurs,řeč
317,Rede::N,discurs,proslov
318,Sprache::N,limbă,řeč
319,Sprache::N,limbă,jazyk
320,Sprache::N,limbaj,řeč
321,Sprache::N,limbaj,jazyk
322,Stimme::N,glas,hlas
323,Wort::N,cuvânt,slovo
324,Zeichen::N,semn,znamení
325,Zeichen::N,semnal,znamení
326,Ruf::N,chemare,zavolání
327,Lärm::N,zgomot,hluk
328,Lärm::N,tărăboi,hluk
329,Laut::N,sunet,zvuk
330,Ton::N,ton,tón
331,Lied::N,cântec,píseň
332,Ruhe::N,odihnă,klid
333,Ruhe::N,odihnă,pokoj
334,Ruhe::N,liniște,klid
335,Ruhe::N,liniște,pokoj
336,Leute::N,lume,lidé
337,Leute::N,oameni,lidé
338,Volk::N,popor,národ
339,Volk::N,națiune,národ
340,Arbeit::N,lucru,práce
341,Gast::N,musafir,host
342,Geschenk::N,dar,dar
343,Geschenk::N,cadou,dar
344,Spiel::N,joc,hra
345,Gesellschaft::N,societate,společnost
346,Hilfe::N,ajutor,pomoc
347,Freund::N,amic,přítel
348,Freund::N,prieten,přítel
349,Kamerad::N,tovarăș,kamarád
350,Angelegenheit::N,afacere,záležitost
351,Anzahl::N,număr,počet
352,Anzahl::N,cantitate,počet
353,Art::N,fel,druh
354,Art::N,specie,druh
355,Stück::N,bucată,kus
356,Stück::N,bucată,kousek
357,Teil::N,parte,díl
358,Teil::N,parte,část
359,Teil::N,porție,díl
360,Teil::N,porție,část
361,Hälfte::N,jumătate,půl
362,Kreis::N,cerc,kruh
363,Kreuz::N,cruce,kříž
364,Linie::N,linie,linka
365,Strich::N,linie,čára
366,Strich::N,linie,čárka
367,Strich::N,trăsătură,čára
368,Strich::N,trăsătură,čárka
369,Abstand::N,distanță,vzdálenost
370,Abstand::N,depărtare,vzdálenost
371,Entfernung::N,distanță,vzdálenost
372,Entfernung::N,depărtare,vzdálenost
373,Gegend::N,regiune,krajina
374,Platz::N,loc,prostor
