,Concept_ID,ro,bg
0,Auge::N,ochi,око
1,Ohr::N,ureche,ухо
2,Nase::N,nas,нос
3,Mund::N,gură,уста
4,Zahn::N,dinte,зъб
5,Zunge::N,limbă,език
6,Lippe::N,buză,устна
7,Wange::N,bucă,буза
8,Wange::N,obraz,буза
9,Gesicht::N,față,лице
10,Gesicht::N,față,образ
11,Gesicht::N,figură,лице
12,Gesicht::N,figură,образ
13,Stirn::N,frunte,чело
14,Haar::N,păr,коса
15,Haar::N,păr,косъм
16,Schnurrbart::N,mustață,мустаци
17,Bart::N,barbă,брада
18,Kinn::N,bărbie,брада
19,Kinn::N,bărbie,брадичка
20,Kiefer[Anatomie]::N,falcă,челюст
21,Kehle::N,beregată,гърло
22,Hals::N,gât,врат
23,Genick::N,ceafă,тил
24,Kopf::N,cap,глава
25,Rücken::N,dos,гръб
26,Rücken::N,spate,гръб
27,Rücken::N,spinare,гръб
28,Bauch::N,burtă,корем
29,Bauch::N,pântece,корем
30,Nabel::N,buric,пъп
31,Busen::N,sân,бозка
32,Brust::N,piept,гръд
33,Schulter::N,umăr,рамо
34,Schulter::N,umăr,плещи
35,Schulter::N,spate,рамо
36,Schulter::N,spate,плещи
37,Arm::N,braț,ръка
38,Ellenbogen::N,cot,лакът
39,Hand::N,mână,ръка
40,Hand::N,mână,китка
41,Handfläche::N,palmă,длан
42,Finger::N,deget,пръст
43,Fingernagel::N,unghie,нокът
44,Nagel[Anatomie]::N,unghie,нокът
45,Zeh::N,deget de la picior,пръст на крак
46,Fuß::N,picior,крак
47,Fuß::N,picior,нога
48,Ferse::N,călcâi,пета
49,Knie::N,genunchi,коляно
50,Oberschenkel::N,coapsă,бедро
51,Bein::N,picior,крак
52,Bein::N,picior,нога
53,Körper::N,corp,тяло
54,Haut::N,piele,кожа
55,Blut::N,sânge,кръв
56,Ader::N,vână,вена
57,Ader::N,vână,артерия
58,Ader::N,arteră,вена
59,Ader::N,arteră,артерия
60,Sehne::N,tendon,жила
61,Sehne::N,tendon,сухожилие
62,Knochen::N,os,кост
63,Gehirn::N,creier,мозък
64,Herz::N,inimă,сърце
65,Magen::N,stomac,стомах
66,Leber::N,ficat,черен дроб
67,Atem::N,răsuflare,дишане
68,Atem::N,respirație,дишане
69,Hunger::N,foame,глад
70,Träne::N,lacrimă,сълза
71,Geschmack::N,gust,вкус
72,Geruch::N,miros,миризма
73,Schlaf::N,somn,сън
74,Traum::N,vis,сън
75,Himmel::N,cer,небе
76,Sonne::N,soare,слънце
77,Mond::N,lună,луна
78,Mond::N,lună,месец
79,Stern::N,stea,звезда
80,Luft::N,aer,въздух
81,Wind::N,vânt,вятър
82,Welle::N,val,вълна
83,Welle::N,undă,вълна
84,Wasser::N,apă,вода
85,Stein::N,piatră,камък
86,Boden::N,sol,земя
87,Boden::N,sol,почва
88,Boden::N,pământ,земя
89,Boden::N,pământ,почва
90,Erde::N,pământ,земя
91,Erde::N,pământ,почва
92,Staub::N,praf,прах
93,Rauch::N,fum,дим
94,Rauch::N,fum,пушек
95,Funke::N,scânteie,искра
96,Feuer::N,foc,огън
97,Licht::N,lumină,светлина
98,Schatten::N,umbră,сянка
99,Wetter::N,timp,време
100,Wetter::N,vreme,време
101,Nebel::N,ceață,мъгла
102,Nebel::N,negură,мъгла
103,Wolke::N,nor,облак
104,Regen::N,ploaie,дъжд
105,Schnee::N,zăpadă,сняг
106,Eis::N,gheață,лед
107,Frost::N,ger,мраз
108,Kälte::N,frig,студ
109,Hitze::N,arșiță,жега
110,Hitze::N,arșiță,горещина
111,Hitze::N,căldură,жега
112,Hitze::N,căldură,горещина
113,Raureif::N,chiciură,скреж
114,Raureif::N,chiciură,слана
115,Regenbogen::N,curcubeu,дъга
116,Donner::N,tunet,гръм
117,Strömung::N,curent,течение
118,Tropfen::N,picătură,капка
119,Schaum::N,spumă,пяна
120,Schmutz::N,murdărie,кал
121,Schmutz::N,murdărie,мръсотия
122,See::N,lac,езеро
123,Sumpf::N,mlaștină,блато
124,Moor::N,bărăgan,мочурище
125,Wiese::N,fânaț,ливада
126,Wiese::N,livadă,ливада
127,Wald::N,codru,гора
128,Wald::N,pădure,гора
129,Hügel::N,deal,рид
130,Hügel::N,deal,хълм
131,Hügel::N,movilă,рид
132,Hügel::N,movilă,хълм
133,Anhöhe::N,deal,могила
134,Anhöhe::N,deal,възвишение
135,Anhöhe::N,ridicătură,могила
136,Anhöhe::N,ridicătură,възвишение
137,Berg::N,munte,планина
138,Gipfel::N,pisc,връх
139,Höhle::N,peșteră,пещера
140,Abhang::N,pantă,склон
141,Abhang::N,pantă,стръмнина
142,Abhang::N,versant,склон
143,Abhang::N,versant,стръмнина
144,Quelle::N,izvor,извор
145,Bach::N,gârlă,поток
146,Fluss::N,râu,река
147,Fluss::N,fluviu,река
148,Ufer::N,mal,бряг
149,Ufer::N,țărm,бряг
150,Küste::N,coastă,бряг
151,Küste::N,coastă,крайбрежие
152,Festland::N,uscat,суша
153,Meer::N,mare,море
154,Bucht::N,golf,залив
155,Insel::N,insulă,остров
156,Blume::N,floare,цвете
157,Gras::N,iarbă,трева
158,Wurzel::N,rădăcină,корен
159,Baum::N,copac,дърво
160,Baum::N,arbore,дърво
161,Stamm::N,tulpină,стъбло
162,Rinde::N,scoarță,кора
163,Ast::N,cracă,клон
164,Ast::N,creangă,клон
165,Zweig::N,ramură,клон
166,Zweig::N,creangă,клон
167,Blatt::N,frunză,лист
168,Birke::N,mesteacăn,бреза
169,Kiefer[Baum]::N,pin,бор
170,Weide[Baum]::N,salcie,върба
171,Weide[Baum]::N,răchită,върба
172,Tanne::N,brad,ела
173,Horn::N,corn,рог
174,Feder::N,pană,перо
175,Fell::N,piele,кожа
176,Flügel::N,aripă,крило
177,Klaue::N,gheară,нокът
178,Kralle::N,labă,нокът
179,Kralle::N,gheară,нокът
180,Schwanz::N,coadă,опашка
181,Ei::N,ou,яйце
182,Nest::N,cuib,гнездо
183,Bau::N,bârlog,дупка
184,Bau::N,vizuină,дупка
185,Tier::N,animal,животно
186,Herde::N,turmă,стадо
187,Herde::N,cireadă,стадо
188,Kuh::N,vacă,крава
189,Bulle::N,taur,бик
190,Pferd::N,cal,кон
191,Schaf::N,oaie,овца
192,Schwein::N,porc,свиня
193,Hund::N,câine,куче
194,Katze::N,pisică,котка
195,Bär::N,urs,мечка
196,Eichhörnchen::N,veveriță,катерица
197,Elch::N,elan,лос
198,Fuchs::N,vulpe,лисица
199,Hase::N,iepure,заек
200,Maus::N,șoarece,мишка
201,Wolf::N,lup,вълк
202,Vogel::N,pasăre,птица
203,Schwarm::N,cârd,рой
204,Schwarm::N,cârd,рояк
205,Huhn::N,găină,кокошка
206,Hahn::N,cocoș,петел
207,Gans::N,gâscă,гъска
208,Adler::N,vultur,орел
209,Ente::N,rață,патица
210,Eule::N,bufniță,сова
211,Kranich::N,cocor,жерав
212,Krähe::N,cioară,врана
213,Kuckuck::N,cuc,кукувица
214,Schwan::N,lebădă,лебед
215,Fisch::N,pește,риба
216,Barsch::N,biban,костур
217,Hecht::N,știucă,щука
218,Schlange[Tier]::N,șarpe,змия
219,Wurm::N,vierme,червей
220,Spinne::N,păianjen,паяк
221,Ameise::N,furnică,мравка
222,Laus::N,păduche,въшка
223,Mücke::N,țânțar,комар
224,Fliege::N,muscă,муха
225,Schmetterling::N,fluture,пеперуда
226,Beere::N,boabă,плод
227,Apfel::N,măr,ябълка
228,Pilz::N,burete,гъба
229,Pilz::N,ciupercă,гъба
230,Zwiebel::N,ceapă,лук
231,Zwiebel::N,ceapă,кромид
232,Saat::N,semănătură,семе
233,Korn::N,grâu,зърно
234,Heu::N,fân,сено
235,Schale::N,coajă,кора
236,Grube::N,groapă,яма
237,Grube::N,groapă,дупка
238,Falle::N,cursă,примка
239,Falle::N,capcană,примка
240,Schlinge::N,laț,клуп
241,Spur::N,dâră,диря
242,Spur::N,dâră,следа
243,Asche::N,cenușă,пепел
244,Dreck::N,noroi,кал
245,Dreck::N,murdărie,кал
246,Eisen::N,fier,желязо
247,Gold::N,aur,злато
248,Silber::N,argint,сребро
249,Kohle::N,cărbune,въглища
250,Glas::N,sticlă,стъкло
251,Lehm::N,lut,глина
252,Lehm::N,humă,глина
253,Sand::N,nisip,пясък
254,Mensch::N,om,човек
255,Mensch::N,persoană,човек
256,Mann::N,om,мъж
257,Mann::N,bărbat,мъж
258,Frau::N,femeie,жена
259,Kind::N,copil,дете
260,Junge::N,băiat,момче
261,Junge::N,flăcău,момче
262,Mädchen::N,fată,момиче
263,Familie::N,familie,фамилия
264,Familie::N,familie,семейство
