,Concept_ID,ce,en
0,Auge::N,бӏаьрг,eye
1,Ohr::N,лерг,ear
2,Nase::N,мара,nose
3,Mund::N,бага,mouth
4,Zahn::N,церг,tooth
5,Zunge::N,мотт,tongue
6,Lippe::N,балда,lip
7,Wange::N,бесни,cheek
8,Gesicht::N,юьхь,face
9,Stirn::N,хьаж,forehead
10,Haar::N,мас,hair
11,Schnurrbart::N,мекх,moustache
12,Bart::N,маж,beard
13,Kinn::N,чӏениг,chin
14,Kiefer[Anatomie]::N,мочхал,jaw
15,Kehle::N,къамкъарг,throat
16,Hals::N,ворта,neck
17,Genick::N,кӏесаркӏаг,nape
18,Kopf::N,корта,head
19,Rücken::N,букъ,back
20,Rücken::N,букъ,spine
21,Bauch::N,кийра,belly
22,Nabel::N,цӏонга,navel
23,Busen::N,зударийн накха,bosom
24,Brust::N,накха,chest
25,Brust::N,накха,breast
26,Schulter::N,белш,shoulder
27,Arm::N,пхьарс,arm
28,Ellenbogen::N,пхьаьрсан гола,elbow
29,Hand::N,куьг,hand
30,Handfläche::N,кераюкъ,palm
31,Finger::N,пӏелг,finger
32,Fingernagel::N,мӏара,fingernail
33,Nagel[Anatomie]::N,мӏара,nail
34,Zeh::N,кога пӏелг,toe
35,Fuß::N,ког,foot
36,Ferse::N,кӏажа,heel
37,Knie::N,гола,knee
38,Oberschenkel::N,варе,thigh
39,Bein::N,ког,leg
40,Körper::N,хӏума,body
41,Haut::N,чкъор,skin
42,Blut::N,цӏий,blood
43,Ader::N,пха,vein
44,Sehne::N,хьорзам,sinew
45,Knochen::N,даьӏахк,bone
46,Gehirn::N,хье,brain
47,Herz::N,дог,heart
48,Magen::N,зорх,stomach
49,Leber::N,доӏах,liver
50,Atem::N,садеӏар,breath
51,Hunger::N,мацалла,hunger
52,Träne::N,бӏаьрхи,tear
53,Geschmack::N,чам,flavour
54,Geschmack::N,чам,flavor
55,Geruch::N,хьожа,odour
56,Geruch::N,хьожа,odor
57,Schlaf::N,наб,sleep
58,Traum::N,гӏан,dream
59,Himmel::N,стигал,sky
60,Sonne::N,малх,sun
61,Mond::N,бутт,moon
62,Stern::N,седа,star
63,Luft::N,xӏаваъ,air
64,Wind::N,мох,wind
65,Welle::N,тулгӏе,wave
66,Wasser::N,хи,water
67,Stein::N,тӏулг,stone
68,Boden::N,цӏенкъа,soil
69,Boden::N,цӏенкъа,ground
70,Erde::N,латта,earth
71,Staub::N,чан,dust
72,Rauch::N,кӏур,smoke
73,Funke::N,суй,spark
74,Feuer::N,цӏе,fire
75,Licht::N,серло,light
76,Schatten::N,ӏиндагӏ,shadow
77,Wetter::N,хенан хӏоттам,weather
78,Nebel::N,дохк,fog
79,Wolke::N,марха,cloud
80,Regen::N,догӏа,rain
81,Schnee::N,ло,snow
82,Eis::N,ша,ice
83,Frost::N,шело,frost
84,Kälte::N,шело,chill
85,Hitze::N,йовхо,heat
86,Raureif::N,йис,hoarfrost
87,Regenbogen::N,стелаӏад,rainbow
88,Donner::N,ткъес,thunder
89,Strömung::N,дӏаэхар,current
90,Strömung::N,дӏасалелар,current
91,Tropfen::N,тӏадам,drop
92,Schaum::N,чопа,foam
93,Schmutz::N,хатт,dirt
94,See::N,ӏам,lake
95,Sumpf::N,уьшал,swamp
