,Concept_ID,ka,ar
0,Auge::N,თვალი,عين
1,Ohr::N,ყური,أذن
2,Nase::N,ცხვირი,أنف
3,Mund::N,პირი,فم
4,Zahn::N,კბილი,سن
5,Zunge::N,ენა,لسان
6,Lippe::N,ბაგე,شفة
7,Wange::N,ლოყა,خد
8,Wange::N,ლოყა,وجنة
9,Gesicht::N,სახე,وجه
10,Stirn::N,შუბლი,جبين
11,Haar::N,თმა,شعر
12,Schnurrbart::N,ულვაში,شارب
13,Bart::N,წვერი,لحية
14,Kinn::N,ნიკაპი,ذقن
15,Kiefer[Anatomie]::N,ყბა,فك
16,Kehle::N,ყელი,حلق
17,Hals::N,ყელი,عنق
18,Hals::N,ყელი,رقبة
19,Hals::N,კისერი,عنق
20,Hals::N,კისერი,رقبة
21,Genick::N,კეფა,قفا
22,Kopf::N,თავი,رأس
23,Rücken::N,ზურგი,ظهر
24,Bauch::N,მუცელი,بطن
25,Nabel::N,ჭიპი,سرة
26,Busen::N,ძუძუ,ثدي
27,Brust::N,მკერდი,صدر
28,Schulter::N,მხარი,كتف
29,Schulter::N,მკლავი,كتف
30,Arm::N,ხელი,ذراع
31,Ellenbogen::N,იდაყვი,كوع
32,Hand::N,ხელი,يد
33,Handfläche::N,ნები,كف
34,Handfläche::N,ხელისგული,كف
35,Finger::N,თითი,إصبع
36,Fingernagel::N,ფრჩხილი,ظفر
37,Nagel[Anatomie]::N,ფრჩხილი,ظفر
38,Zeh::N,ფეხის თითი,إصبع القدم
39,Fuß::N,ტერფი,قدم
40,Fuß::N,ფეხისგული,قدم
41,Ferse::N,ქუსლი,كعب
42,Knie::N,მუხლი,ركبة
43,Oberschenkel::N,ბარძაყი,فخذ
44,Bein::N,ფეხი,ساق
45,Körper::N,ტანი,جسم
46,Körper::N,სხეული,جسم
47,Haut::N,კანი,بشرة
48,Blut::N,სისხლი,دم
49,Ader::N,ძარღვი,عرق
50,Sehne::N,მყესი,طنب
51,Knochen::N,ძვალი,عظم
52,Gehirn::N,ტვინი,دماغ
53,Herz::N,გული,قلب
54,Magen::N,კუჭი,معدة
55,Leber::N,ღვიძლი,كبد
56,Atem::N,სუნთქვა,نفس
57,Hunger::N,შიმშილი,جوع
58,Träne::N,ცრემლი,دمعة
59,Geschmack::N,გემო,طعم
60,Geschmack::N,გემო,مذاق
61,Geruch::N,სუნი,رائحة
62,Schlaf::N,ძილი,نوم
63,Schlaf::N,ძილი,منام
64,Traum::N,სიზმარი,حلم
65,Himmel::N,ცა,سماء
66,Sonne::N,მზე,شمس
67,Mond::N,მთვარე,قمر
68,Stern::N,ვარსკვლავი,نجم
69,Stern::N,ვარსკვლავი,كوكب
70,Luft::N,ჰაერი,هواء
71,Wind::N,ქარი,ريح
72,Welle::N,ტალღა,موجة
73,Wasser::N,წყალი,ماء
74,Stein::N,ქვა,حجر
75,Boden::N,მიწა,تراب
76,Erde::N,ნიადაგი,أرض
77,Staub::N,მტვერი,غبار
78,Rauch::N,ბოლი,دخان
79,Rauch::N,კვამლი,دخان
80,Funke::N,ნაკვესი,شرارة
81,Feuer::N,ცეცხლი,نار
82,Licht::N,შუქი,نور
83,Licht::N,შუქი,ضوء
84,Licht::N,სინათლე,نور
85,Licht::N,სინათლე,ضوء
86,Schatten::N,ლანდი,ظل
87,Schatten::N,ლანდი,فيء
88,Schatten::N,ჩრდილი,ظل
89,Schatten::N,ჩრდილი,فيء
90,Wetter::N,ამინდი,جو
91,Wetter::N,ამინდი,طقس
92,Nebel::N,ნისლი,ضباب
93,Wolke::N,ღრუბელი,غيمة
94,Wolke::N,ღრუბელი,سحابة
95,Regen::N,წვიმა,مطر
96,Schnee::N,თოვლი,ثلج
97,Eis::N,თოში,جليد
98,Eis::N,ყინული,جليد
99,Frost::N,ყინვა,صقيع
100,Kälte::N,სიცივე,برد
101,Hitze::N,სიცხე,حر
102,Hitze::N,სიცხე,حرارة
103,Raureif::N,ჭირხლი,صقيع
104,Raureif::N,თრთვილი,صقيع
105,Regenbogen::N,ცისარტყელა,قوس قزح
106,Donner::N,ქუხილი,رعد
107,Strömung::N,დინება,تيار
108,Tropfen::N,წვეთი,قطرة
109,Schaum::N,ქაფი,زبد
110,Schaum::N,ქაფი,رغوة
111,Schaum::N,დორბლი,زبد
112,Schaum::N,დორბლი,رغوة
113,Schmutz::N,ჭუჭყი,وسخ
114,Schmutz::N,ტალახი,وسخ
115,See::N,ტბა,بحيرة
116,Sumpf::N,ჭაობი,مستنقع
117,Moor::N,ტორფნარი,مستنقع
118,Wiese::N,ველი,مرج
119,Wiese::N,მდელო,مرج
120,Wald::N,ტყე,غابة
121,Hügel::N,ბორცვი,تل
122,Anhöhe::N,მაღლობი,تل
123,Berg::N,მთა,جبل
124,Gipfel::N,მწვერვალი,قمة
125,Höhle::N,მღვიმე,كهف
126,Höhle::N,გამოქვებული,كهف
127,Abhang::N,ფერდობი,منحدر
128,Quelle::N,წყარო,منبع
129,Quelle::N,სათავე,منبع
130,Bach::N,რუ,مجرى
131,Bach::N,ნაკადული,مجرى
132,Fluss::N,მდინარე,نهر
133,Ufer::N,კიდე,ضفة
134,Ufer::N,ნაპირი,ضفة
135,Küste::N,ნაპირი,ساحل
136,Festland::N,ხმელეთი,بر
137,Meer::N,ზღვა,بحر
138,Bucht::N,ყურე,خليج
139,Insel::N,კუნძული,جزيرة
140,Blume::N,ყვავილი,زهرة
141,Gras::N,ბალახი,حشيش
142,Wurzel::N,ძირი,أصل
143,Wurzel::N,ფესვი,أصل
144,Baum::N,ხე,شجرة
145,Stamm::N,ტანი,جذع
146,Rinde::N,ქერქი,قشرة
147,Ast::N,ტოტი,فرع
148,Zweig::N,შტო,غصن
149,Blatt::N,ფოთოლი,ورقة
150,Birke::N,არყი,قضبان
151,Kiefer[Baum]::N,ფიჭვი,صنوبرة
152,Weide[Baum]::N,ტირიფი,صفصاف
153,Tanne::N,ნაძვი,شوح
154,Tanne::N,ნაძვი,تبوب
155,Horn::N,რქა,قرن
156,Feder::N,ფრთა,ريشة
157,Fell::N,ტყავი,فرو
158,Flügel::N,ფრთა,جناح
159,Klaue::N,კლანჭი,مخلب
160,Kralle::N,ტორი,مخلب
161,Schwanz::N,კუდი,ذيل
162,Ei::N,კვერცხი,بيض
163,Nest::N,ბუდე,عش
164,Bau::N,სორო,جحر
165,Tier::N,ნადირი,حيوان
166,Tier::N,ცხოველი,حيوان
167,Herde::N,ფარა,قطيع
168,Kuh::N,ფური,بقرة
169,Kuh::N,ძროხა,بقرة
170,Bulle::N,ხარი,ثور
171,Pferd::N,რაში,خيل
172,Pferd::N,ცხენი,خيل
173,Schaf::N,ცხვარი,شاة
174,Schwein::N,ღორი,خنزير
175,Hund::N,ძაღლი,كلب
176,Katze::N,კატა,قطة
177,Bär::N,დათვი,دب
178,Eichhörnchen::N,ციყვი,سنجاب
179,Elch::N,ცხენ-ირემი,موظ
180,Fuchs::N,მელა,ثعلب
181,Hase::N,კურდღელი,أرنب
182,Maus::N,თაგვი,فأرة
183,Wolf::N,მგელი,ذئب
184,Vogel::N,ჩიტი,طير
185,Vogel::N,ფრინველი,طير
186,Schwarm::N,გუნდი,سرب
187,Huhn::N,დედალი,دجاجة
188,Hahn::N,მამალი,ديك
189,Gans::N,ბატი,وزة
190,Adler::N,არწივი,نسر
191,Ente::N,იხვი,بطة
192,Eule::N,ბუ,بوم
193,Kranich::N,წერო,كركي
194,Krähe::N,ყვავი,غراب
195,Kuckuck::N,გუგული,وقواق
196,Schwan::N,გედი,إوز عراقي
197,Fisch::N,თევზი,سمك
198,Barsch::N,ქორჭილა,فرخ أوربي
199,Hecht::N,ქარიყლაპია,سمك الكراكي
200,Schlange[Tier]::N,გველი,حية
201,Schlange[Tier]::N,გველი,ثعبان
202,Wurm::N,ჭია,دودة
203,Spinne::N,ობობა,عنكبوت
204,Ameise::N,ჭიანჭველა,نملة
205,Laus::N,ტილი,قملة
206,Laus::N,მკბენარი,قملة
207,Mücke::N,კოღო,ناموسة
208,Fliege::N,ბუზი,ذبابة
209,Schmetterling::N,პეპელა,فراشة
210,Beere::N,კენკრა,حبة
211,Apfel::N,ვაშლი,تفاح
212,Pilz::N,სოკო,فطر
213,Zwiebel::N,ხახვი,بصل
214,Saat::N,თესლი,زرع
215,Korn::N,მარცვალი,حبة
216,Heu::N,თივა,دريس
217,Schale::N,ჩენჩო,قشرة
218,Grube::N,ორმო,نقرة
219,Falle::N,ხაფანგი,فخ
220,Falle::N,ხაფანგი,مصيدة
221,Schlinge::N,მახე,عروة
222,Spur::N,კვალი,أثر
223,Asche::N,ფერფლი,رماد
224,Dreck::N,ტალახი,قذر
225,Dreck::N,სიბინძურე,قذر
226,Eisen::N,რკინა,حديد
227,Gold::N,ოქრო,ذهب
228,Silber::N,ვერცხლი,فضة
229,Kohle::N,ნახშირი,فحم
230,Glas::N,მინა,زجاج
231,Lehm::N,თიხა,طين
232,Sand::N,ქვიშა,رمل
233,Mensch::N,ადამიანი,إنسان
234,Mann::N,კაცი,رجل
235,Frau::N,ქალი,امرأة
236,Kind::N,ბავშვი,طفل
237,Junge::N,ვაჟი,ولد
238,Mädchen::N,გოგო,بنت
239,Familie::N,ოჯახი,عائلة
240,Großvater::N,პაპა,جد
241,Großvater::N,ბაბუა,جد
242,Großmutter::N,ბებია,جدة
243,Großmutter::N,დიდედა,جدة
244,Eltern::N,მშობლები,أبوان
245,Eltern::N,მშობლები,والدان
246,Vater::N,მამა,أب
247,Mutter::N,დედა,أم
248,Sohn::N,ვაჟიშვილი,إبن
249,Tochter::N,ქალიშვილი,بنت
250,Tochter::N,ქალიშვილი,إبنة
251,Bruder::N,ძმა,أخ
252,Bruder::N,ძმა,شقيق
253,Schwester::N,და,أخت
254,Onkel::N,ბიძა,عم
255,Tante::N,დეიდა,عمة
256,Tante::N,მამიდა,عمة
257,Ehemann::N,ქმარი,زوج
258,Ehefrau::N,ცოლი,زوجة
259,Freude::N,სიხარული,فرح
260,Freude::N,სიხარული,سرور
261,Gelächter::N,სიცილი,قهقهة
262,Glück::N,ბედნიერება,سعادة
263,Kummer::N,მწუხარება,غم
264,Wunsch::N,წადილი,منية
265,Wunsch::N,სურვილი,منية
266,Lust::N,წადილი,شهوة
267,Geist::N,სული,روح
268,Gedanke::N,ფიქრი,فكرة
269,Gedächtnis::N,მეხსიერება,ذاكرة
270,Verstand::N,ჭკუა,عقل
271,Verstand::N,გონება,عقل
272,Sinn::N,მნიშვნელობა,معنى
273,Grund::N,მიზეზი,سبب
274,Wahrheit::N,სიმართლე,حقيقة
275,Wahrheit::N,ჭეშმარიტება,حقيقة
276,Gespräch::N,ბაასი,محادثة
277,Gespräch::N,საუბარი,محادثة
278,Märchen::N,არაკი,خرافة
279,Märchen::N,ზღაპარი,خرافة
280,Erzählung::N,თქმულება,قصة
281,Erzählung::N,თქმულება,حكاية
282,Nachricht::N,ცნობა,خبر
283,Nachricht::N,ამბავი,خبر
284,Neuigkeit::N,სიახლე,خبر جديد
285,Name::N,სახელი,اسم
286,Rätsel::N,გამოცანა,لغز
287,Rede::N,სიტყვა,خطبة
288,Sprache::N,ენა,لغة
289,Stimme::N,ხმა,صوت
290,Wort::N,სიტყვა,كلمة
291,Zeichen::N,ნიშანი,رمز
292,Zeichen::N,ნიშანი,إشارة
293,Ruf::N,ძახილი,نداء
294,Lärm::N,ხმაური,صخب
295,Lärm::N,ხმაური,ضجة
296,Laut::N,ხმა,صوت
297,Laut::N,ბგერა,صوت
298,Ton::N,ტონი,نغمة
299,Lied::N,სიმღერა,أغنية
300,Ruhe::N,სიწყნარე,هدوء
301,Leute::N,ადამიანები,ناس
302,Volk::N,ერი,شعب
303,Volk::N,ხალხი,شعب
304,Arbeit::N,მუშაობა,عمل
305,Gast::N,სტუმარი,ضيف
306,Geschenk::N,საჩუქარი,هدية
307,Spiel::N,თამაში,لعب
308,Gesellschaft::N,საზოგადოება,صحبة
309,Hilfe::N,შველა,عون
310,Hilfe::N,შველა,مساعدة
311,Hilfe::N,დახმარება,عون
312,Hilfe::N,დახმარება,مساعدة
313,Freund::N,მეგობარი,صديق
314,Kamerad::N,ამხანაგი,زميل
315,Angelegenheit::N,საქმე,أمر
316,Angelegenheit::N,საქმე,شأن
317,Anzahl::N,ოდენობა,عدد
318,Art::N,სახეობა,نوع
319,Stück::N,ნატეხი,قطعة
320,Teil::N,წილი,قسم
321,Hälfte::N,ნახევარი,نصف
322,Kreis::N,წრე,دائرة
323,Kreuz::N,ჯვარი,صليب
324,Linie::N,ხაზი,خط
325,Strich::N,შტრიხი,شرطة
326,Abstand::N,მანძილი,مسافة
327,Entfernung::N,სიშორე,بعد
328,Gegend::N,არე,ناحية
329,Gegend::N,მხარე,ناحية
330,Platz::N,ფართობი,فراغ
331,Ort::N,ადგილი,مكان
332,Seite::N,მხარე,جانب
333,Mitte::N,შუა,وسط
334,Gegenstand::N,საგანი,موضوع
335,Sache::N,ნივთი,شيء
336,Rand::N,კიდე,حافة
337,Kante::N,ნაწიბული,حافة
338,Ecke::N,კუთხე,ركن
339,Spitze::N,წვეტი,سن
340,Ende::N,ბოლო,طرف
341,Loch::N,ხვრელი,ثقب
342,Winkel::N,კუთხე,زاوية
343,Muster::N,მოხატულობა,عينة
344,Größe::N,ზომა,حجم
345,Größe::N,სიდიდე,حجم
346,Länge::N,სიგრძე,طول
347,Höhe::N,სიმაღლე,علو
348,Höhe::N,სიმაღლე,ارتفاع
349,Gewicht::N,წონა,وزن
350,Menge::N,რაოდენობა,كمية
351,Haufen::N,გროვა,كوم
352,Reihe::N,რიგი,صف
353,Reihe::N,წყება,صف
354,Boot::N,გემი,قارب
355,Boot::N,გემი,زورق
356,Ruder::N,ხოფი,مجذاف
357,Ruder::N,ნიჩაბი,مجذاف
358,Schlitten::N,მარხილი,مزلقة
359,Ski::N,თხილამური,زلاجة
360,Lagerfeuer::N,კოცონი,نار المخيم
361,Last::N,ტვირთი,حمل
362,Gang::N,სვლა,مشية
363,Schritt::N,ბიჯი,خطوة
364,Norden::N,ჩრდილოეთი,شمال
365,Süden::N,სამხრეთი,جنوب
366,Westen::N,დასავლეთი,غرب
367,Osten::N,აღმოსავლეთი,شرق
368,Holz::N,ხე,خشب
369,Brett::N,დაფა,لوح
370,Brett::N,ფიცარი,لوح
371,Platte::N,თლილი ქვა,صفيحة
372,Stütze::N,საყრდენი,سند
373,Stütze::N,საყრდენი,دعامة
374,Stange::N,ჭოკი,عود
375,Stock::N,კეტი,عصا
376,Stab::N,ლატანი,قضيب
377,Rohr::N,მილაკი,أنبوبة
378,Haus::N,სახლი,دار
379,Haus::N,სახლი,بيت
380,Heim::N,ოჯახის კერა,بيت
381,Heim::N,ოჯახის კერა,مسكن
382,Ofen::N,ღუმელი,مدفأة
383,Fußboden::N,იატაკი,أرضية
384,Tisch::N,სუფრა,مائدة
385,Tisch::N,მაგიდა,مائدة
386,Stuhl::N,სკამი,كرسي
387,Wiege::N,აკვანი,مهد
388,Bett::N,საწოლი,سرير
389,Bett::N,სარეცელი,سرير
390,Regal::N,თაროები,رف
391,Kiste::N,ყუთი,صندوق
392,Kiste::N,სკივრი,صندوق
393,Fenster::N,ფანჯარა,شباك
