,Concept_ID,ml,mn
0,Auge::N,കണ്ണ്,нүд
1,Ohr::N,ചെവി,чих
2,Nase::N,മൂക്ക്,хамар
3,Mund::N,വായ,ам
4,Zahn::N,പല്ല്,шүд
5,Zunge::N,നാക്ക്,хэл
6,Lippe::N,ചുണ്ട്,уруул
7,Wange::N,കവിൾത്തടം,хацар
8,Gesicht::N,മുഖം,царай
9,Gesicht::N,മുഖം,нүүр
10,Stirn::N,നെറ്റി,дух
11,Haar::N,തലമുടി,үс
12,Schnurrbart::N,മീശ,дээд сахал
13,Schnurrbart::N,മീശ,живэр сахал
14,Bart::N,താടിരോമം,сахал
15,Kinn::N,താടി,эрүү
16,Kiefer[Anatomie]::N,താടിയെല്ല്,эрүү
17,Kehle::N,കണ്ഠനാളം,хоолой
18,Hals::N,കഴുത്ത്,хүзүү
19,Genick::N,പിടലി,шил
20,Genick::N,പിടലി,хүзүү
21,Kopf::N,തല,толгой
22,Rücken::N,മുതുക്,ар
23,Rücken::N,മുതുക്,нуруу
24,Bauch::N,നയറ്,хэвлий
25,Bauch::N,നയറ്,гэдэс
26,Nabel::N,നാഭി,хүйс
27,Busen::N,സ്തനം,хөх
28,Brust::N,സ്തനം,цээж
29,Schulter::N,തോൾ,мөр
30,Schulter::N,തോൾ,бугалга
31,Arm::N,കൈ,гар
32,Ellenbogen::N,കൈമുട്ട്,тохой
33,Hand::N,കൈ,гар
34,Hand::N,കൈ,алга
35,Handfläche::N,ഉള്ളം കൈ,алга
36,Finger::N,വിരൽ,хуруу
37,Fingernagel::N,നഖം,хурууны хумс
38,Nagel[Anatomie]::N,നഖം,хумс
39,Zeh::N,കാൽവിരൽ,хуруу
40,Fuß::N,കാൽപ്പാദം,хөл
41,Ferse::N,ഉപ്പൂറ്റി,өсгий
42,Knie::N,കാൽമുട്ട്,өвдөг
43,Oberschenkel::N,തുട,гуя
44,Bein::N,കാൽ,хөл
45,Körper::N,ശരീരം,бие
46,Haut::N,ചർമ്മം,арьс
47,Blut::N,രക്തം,цус
48,Ader::N,ഞരമ്പ്,судас
49,Sehne::N,സ്നായു,бүлх
50,Sehne::N,സ്നായു,шандас
51,Knochen::N,അസ്ഥി,яс
52,Gehirn::N,തലച്ചോറ്,тархи
53,Herz::N,ഹൃദയം,зүрх
54,Magen::N,വയർ,ходоод
55,Leber::N,കരൾ,элэг
56,Atem::N,ശ്വാസം,амьсгаа
57,Hunger::N,വിശപ്പ്,өлсгөлөн
58,Träne::N,കണ്ണീർ,нулимс
