,Concept_ID,ml,bn
0,Auge::N,കണ്ണ്,চক্ষু
1,Ohr::N,ചെവി,কর্ণ
2,Nase::N,മൂക്ക്,নাক
3,Mund::N,വായ,মুখ
4,Zahn::N,പല്ല്,দাঁত
5,Zunge::N,നാക്ക്,জিহবা
6,Lippe::N,ചുണ്ട്,অধর
7,Wange::N,കവിൾത്തടം,গণ্ড
8,Gesicht::N,മുഖം,মুখমণ্ডল
9,Stirn::N,നെറ്റി,কপাল
10,Haar::N,തലമുടി,চুল
11,Schnurrbart::N,മീശ,গোঁফ
12,Bart::N,താടിരോമം,শ্মশ্রু
13,Kinn::N,താടി,চিবুক
14,Kiefer[Anatomie]::N,താടിയെല്ല്,চোয়াল
15,Kehle::N,കണ്ഠനാളം,কণ্ঠ
16,Hals::N,കഴുത്ത്,গল
17,Genick::N,പിടലി,ঘাড়
18,Kopf::N,തല,মাথা
19,Rücken::N,മുതുക്,পৃষ্ঠ
20,Bauch::N,നയറ്,উদর
21,Nabel::N,നാഭി,নাভি
22,Busen::N,സ്തനം,স্তন
23,Brust::N,സ്തനം,বুক
24,Schulter::N,തോൾ,স্কন্ধ
25,Arm::N,കൈ,বাহু
26,Ellenbogen::N,കൈമുട്ട്,কনুই
27,Hand::N,കൈ,হাত
28,Handfläche::N,ഉള്ളം കൈ,করতল
29,Finger::N,വിരൽ,আঙ্গুল
30,Fingernagel::N,നഖം,হাতের নখ
31,Nagel[Anatomie]::N,നഖം,নখ
32,Zeh::N,കാൽവിരൽ,আঙ্গুল
33,Fuß::N,കാൽപ്പാദം,পা
34,Ferse::N,ഉപ്പൂറ്റി,গোড়ালি
35,Knie::N,കാൽമുട്ട്,হাঁটু
36,Oberschenkel::N,തുട,ঊরু
37,Bein::N,കാൽ,পা
38,Körper::N,ശരീരം,দেহ
39,Haut::N,ചർമ്മം,ত্বক
40,Blut::N,രക്തം,রক্ত
41,Ader::N,ഞരമ്പ്,শিরা
42,Sehne::N,സ്നായു,কণ্ডরা
43,Knochen::N,അസ്ഥി,অস্থি
44,Gehirn::N,തലച്ചോറ്,মস্তিষ্ক
45,Herz::N,ഹൃദയം,হৃৎপিণ্ড
46,Magen::N,വയർ,পাকস্থলী
47,Leber::N,കരൾ,যকৃৎ
