,Concept_ID,mhr,lbe
0,Auge::N,шинча́,я
1,Ohr::N,пы́лыш,вичӏи
2,Nase::N,нер,май
3,Mund::N,умша́,кьацӏ
4,Zahn::N,пӱй,ккарччи
5,Zunge::N,йы́лме,маз
6,Lippe::N,тӱ́рвӧ,мурччи
7,Wange::N,шӱ́ргӧ,чӏав
8,Gesicht::N,чури́й,лажин
9,Stirn::N,саҥга́,ненттабакӏ
10,Haar::N,ӱп,чӏара
11,Schnurrbart::N,ӧ́рыш,ссирссилтту
12,Bart::N,понда́ш,чӏири
13,Kinn::N,оҥыла́ш,лунттубакӏ
14,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,ххинчулул
15,Kiefer[Anatomie]::N,пӱйората́,ххинчулул
16,Kehle::N,лога́р,кьакьари
17,Hals::N,шӱй,ссурссу
18,Genick::N,шӱйло́дыш,махъабакӏ
19,Kopf::N,вуй,бакӏ
20,Rücken::N,туп,ттиликӏ
21,Bauch::N,мӱ́шкыр,лякьа
22,Nabel::N,кы́лымде,цӏумуккутӏ
23,Busen::N,чы́зе,ккукку
24,Brust::N,оҥ,хъазам
25,Schulter::N,ва́че,хъачӏ
26,Arm::N,кид,ка
27,Ellenbogen::N,кынерву́й,ссюрхъ
28,Hand::N,кид,бартка
29,Hand::N,копа́,бартка
30,Handfläche::N,со́во,хъат
31,Handfläche::N,со́во,битӏянхъ
32,Finger::N,парня́,кӏисса
33,Fingernagel::N,кидкӱ́ч,михь
34,Fingernagel::N,парнягӱ́ч,михь
35,Nagel[Anatomie]::N,кӱч,михь
36,Zeh::N,йолварня́,кӏисса
37,Fuß::N,йол,чӏанччан
38,Fuß::N,йолкопа́,чӏанччан
39,Ferse::N,тага́н,никъа
40,Knie::N,пулву́й,ник
41,Oberschenkel::N,э́рде,жира
42,Bein::N,йол,ччан
43,Körper::N,кап,чурх
44,Haut::N,кова́ште,бурчу
45,Blut::N,вӱр,оь
46,Ader::N,шӧн,тунну
47,Sehne::N,шӧн,хьхьа
48,Sehne::N,кӱсе́н,хьхьа
49,Knochen::N,лу,ттаркӏ
50,Gehirn::N,вем,ня
51,Gehirn::N,вуйве́м,ня
52,Herz::N,шӱм,дакӏ
53,Herz::N,шӱм,къюкӏ
54,Magen::N,пага́р,лякьа
55,Leber::N,мокш,
56,Atem::N,шӱ́лыш,ссихӏ ласаву
57,Atem::N,шӱ́лыш,ссихӏ бигьаву
58,Hunger::N,шужыма́ш,ккаши
59,Träne::N,шинчавӱ́д,макь
60,Geschmack::N,там,тӏин
61,Geschmack::N,там,тӏааьн
62,Geruch::N,пуш,кьанкь
63,Schlaf::N,о́мо,шану
64,Traum::N,йӱдо́мо,макӏру
65,Himmel::N,кава́,ссав
66,Sonne::N,ке́че,баргъ
67,Mond::N,ты́лзе,барз
68,Stern::N,шӱ́дыр,цӏуку
69,Luft::N,юж,гьава
70,Wind::N,марде́ж,марч
71,Welle::N,то́лкын,щатӏи
72,Wasser::N,вӱд,щин
73,Stein::N,кӱ,чару
74,Boden::N,рок,аьрщи
75,Erde::N,мла́нде,аьрщи
76,Staub::N,пура́к,ххит
77,Rauch::N,шикш,пуркӏу
78,Funke::N,сеске́м,пиягь
79,Funke::N,тулйы́п,пиягь
80,Feuer::N,тул,цӏу
81,Licht::N,со́то,чани
82,Schatten::N,ӱ́мыл,ххют
83,Wetter::N,иге́че,гьава
84,Nebel::N,тӱтыра́,шархь ттурлу
85,Wolke::N,пыл,ттурлу
86,Regen::N,йӱр,гъарал
87,Schnee::N,лум,марххала
88,Eis::N,ий,микӏ
89,Frost::N,чатлама́,дяркъу
90,Frost::N,чатлама́,замгьар
91,Kälte::N,йӱ́штӧ,дяркъу
92,Hitze::N,шо́кшо,кӏиришиву
93,Raureif::N,пӧрш,сил
94,Raureif::N,пӧрш,бурса
95,Raureif::N,по́кшым,сил
96,Raureif::N,по́кшым,бурса
97,Regenbogen::N,шонанпы́л,ссурул ккуртта
98,Donner::N,кӱ́дырчӧ,къув
99,Strömung::N,йо́гын,экьинанаву
100,Tropfen::N,чӱча́лтыш,кӏунтӏ
101,Schaum::N,шоҥ,хьама
102,Schmutz::N,лавыра́,кьяркьи
103,See::N,ер,бяр
104,Sumpf::N,лӱ́кӧ,кунцӏа
105,Moor::N,куп,
106,Wiese::N,о́лык,кьан
107,Wald::N,чодыра́,вацӏа
108,Hügel::N,арка́,бакӏу
109,Anhöhe::N,тӧва́,
110,Anhöhe::N,кӱкшака́,
111,Berg::N,ку́рык,зунтту
112,Gipfel::N,чаҥга́,мицӏ
113,Gipfel::N,курыкву́й,мицӏ
114,Höhle::N,пеще́р,нух
115,Höhle::N,курыкпо́мыш,нух
