,Concept_ID,sv,sq
0,Auge::N,öga,sy
1,Ohr::N,öra,vesh
2,Nase::N,näsa,hundë
3,Mund::N,mun,gojë
4,Zahn::N,tand,dhëmb
5,Zunge::N,tunga,gjuhë
6,Lippe::N,läpp,buzë
7,Wange::N,kind,faqe
8,Wange::N,kind,mollëz
9,Gesicht::N,syn,fytyrë
10,Gesicht::N,ansikte,fytyrë
11,Stirn::N,panna,ballë
12,Haar::N,hår,flokë
13,Schnurrbart::N,mustasch,mustaqe
14,Bart::N,skägg,mjekër
15,Kinn::N,haka,mjekër
16,Kiefer[Anatomie]::N,käke,nofull
17,Kehle::N,strupe,fyt
18,Kehle::N,strupe,grykë
19,Hals::N,hals,qafë
20,Genick::N,nacke,arrëz
21,Kopf::N,huvud,kokë
22,Rücken::N,rygg,kurriz
23,Bauch::N,buk,bark
24,Bauch::N,mage,bark
25,Nabel::N,navel,kërthizë
26,Busen::N,barm,gji
27,Brust::N,bröst,gjoks
28,Brust::N,bröst,kraharor
29,Schulter::N,skuldra,sup
30,Schulter::N,skuldra,krah
31,Arm::N,arm,krah
32,Ellenbogen::N,armbåge,bërryl
33,Hand::N,hand,dorë
34,Handfläche::N,handflata,pëllëmbë
35,Finger::N,finger,gisht
36,Fingernagel::N,fingernagel,thua
37,Nagel[Anatomie]::N,nagel,thua
38,Zeh::N,tå,gisht i këmbës
39,Fuß::N,fot,këmbë
40,Ferse::N,häl,thembër
41,Knie::N,knä,gju
42,Oberschenkel::N,lår,kofshë
43,Bein::N,ben,këmbë
44,Körper::N,kropp,trup
45,Haut::N,hud,lëkurë
46,Haut::N,skinn,lëkurë
47,Blut::N,blod,gjak
48,Ader::N,åder,venë
49,Sehne::N,sena,dell
50,Knochen::N,ben,asht
51,Knochen::N,ben,kockë
52,Gehirn::N,hjärna,tru
53,Herz::N,hjärta,zemër
54,Magen::N,mage,stomak
55,Leber::N,lever,mëlçi
56,Atem::N,anda,frymë
57,Atem::N,andedräkt,frymë
58,Hunger::N,svält,uri
59,Hunger::N,hunger,uri
60,Träne::N,tår,lot
61,Geschmack::N,smak,shije
62,Geruch::N,lukt,erë
63,Schlaf::N,sömn,gjumë
64,Traum::N,dröm,ëndërr
65,Himmel::N,himmel,qiell
66,Sonne::N,sol,diell
67,Mond::N,måne,hënë
68,Stern::N,stjärna,yll
69,Luft::N,luft,ajër
70,Wind::N,vind,erë
71,Welle::N,våg,valë
72,Welle::N,våg,dallgë
73,Welle::N,bölja,valë
74,Welle::N,bölja,dallgë
75,Wasser::N,vatten,ujë
76,Stein::N,sten,gur
77,Boden::N,mark,tokë
78,Boden::N,mark,truall
79,Erde::N,jord,dhe
80,Erde::N,jord,baltë
81,Staub::N,damm,pluhur
82,Rauch::N,rök,tym
83,Funke::N,gnista,xixë
84,Funke::N,gnista,shkëndijë
85,Feuer::N,eld,zjarr
86,Licht::N,ljus,dritë
87,Schatten::N,skugga,hije
88,Wetter::N,väder,mot
89,Nebel::N,dimma,mjegull
90,Nebel::N,töcken,mjegull
91,Wolke::N,sky,re
92,Wolke::N,moln,re
93,Regen::N,regn,shi
94,Schnee::N,snö,borë
95,Eis::N,is,akull
96,Frost::N,frost,ngricë
97,Kälte::N,köld,të ftohtë
98,Hitze::N,hetta,vapë
99,Hitze::N,hetta,nxehtësi
100,Raureif::N,rimfrost,cikmë
101,Regenbogen::N,regnbåge,ylber
102,Donner::N,åska,gjëmim
103,Donner::N,åska,bubullimë
104,Donner::N,dunder,gjëmim
105,Donner::N,dunder,bubullimë
106,Strömung::N,strömning,rrymë
