,Concept_ID,az,lez
0,Auge::N,göz,вил
1,Ohr::N,qulaq,яб
2,Nase::N,burun,нер
3,Mund::N,ağız,сив
4,Zahn::N,diş,сас
5,Zahn::N,diş,свах
6,Zunge::N,dil,мез
7,Lippe::N,dodaq,пӏуз
8,Wange::N,yanaq,хъвехъ
9,Gesicht::N,üz,ччин
10,Stirn::N,alın,пел
11,Haar::N,saç,чӏар
12,Schnurrbart::N,bığ,спел
13,Schnurrbart::N,bığ,спелар
14,Bart::N,saqqal,ччуру
15,Kinn::N,çənə,чене
16,Kiefer[Anatomie]::N,çənə,чене
17,Kehle::N,boğaz,туьд
18,Hals::N,boyun,гардан
19,Genick::N,ənsə,кьам
20,Kopf::N,baş,кьил
21,Rücken::N,bel,далу
22,Bauch::N,qarın,руфун
23,Nabel::N,göbək,пицӏ
24,Busen::N,məmə,мам
25,Brust::N,döş,хур
26,Schulter::N,çiyin,къуьн
27,Arm::N,qol,гъил
28,Ellenbogen::N,dirsək,кьуьнт
29,Hand::N,əl,капаш
30,Handfläche::N,ovuc,капан юкь
31,Finger::N,barmaq,тӏуб
32,Fingernagel::N,barmaq dırnağı,кек
33,Nagel[Anatomie]::N,dırnak,кек
34,Zeh::N,ayaq barmağı,кул
35,Fuß::N,ayaq,кӏвач
36,Ferse::N,daban,дабан
37,Knie::N,diz,мет
38,Oberschenkel::N,bud,
39,Bein::N,qıç,кӏвач
40,Körper::N,əndam,беден
41,Haut::N,dəri,хам
42,Blut::N,qan,иви
43,Ader::N,damar,дамар
44,Sehne::N,vətər,кьуру дамар
45,Knochen::N,sümük,кӏараб
46,Gehirn::N,beyin,мефт
47,Herz::N,ürək,рикӏ
48,Magen::N,mədə,хук
49,Leber::N,qara ciyər,лекь
50,Atem::N,nəfəs,ял
51,Atem::N,nəfəs,нефес
52,Hunger::N,aclıq,каш
53,Träne::N,göz yaşı,вилин нагъв
54,Geschmack::N,tam,дад
55,Geschmack::N,tam,тӏям
56,Geschmack::N,ləzzət,дад
57,Geschmack::N,ləzzət,тӏям
58,Geruch::N,qoxu,ни
59,Schlaf::N,yuxu,ахвар
60,Traum::N,röya,ахвар
61,Himmel::N,göy,цав
62,Himmel::N,səma,цав
63,Sonne::N,günəş,рагъ
64,Mond::N,ay,варз
65,Stern::N,ulduz,гъед
66,Luft::N,hava,гьава
67,Wind::N,yel,гар
68,Wind::N,külək,гар
69,Welle::N,dalğa,лепе
70,Wasser::N,su,яд
71,Stein::N,daş,къван
72,Boden::N,yer,накьв
73,Boden::N,zəmin,накьв
74,Erde::N,yer torpaq,ччил
75,Staub::N,toz,руг
76,Rauch::N,tüstü,гум
77,Funke::N,qığılcım,цӏелхем
78,Feuer::N,od,цӏай
