,Concept_ID,pt,kl
0,Auge::N,olho,isi
1,Ohr::N,orelha,siut
2,Nase::N,nariz,
3,Mund::N,boca,paaq
4,Mund::N,boca,qaneq
5,Zahn::N,dente,kigut
6,Zunge::N,língua,oqaq
7,Lippe::N,lábio,qarloq
8,Wange::N,face,ersaq
9,Gesicht::N,cara,kiinaq
10,Gesicht::N,rosto,kiinaq
11,Stirn::N,testa,qaaq
12,Haar::N,cabelo,meqqoq
13,Schnurrbart::N,bigode,
14,Bart::N,barba,umik
15,Kinn::N,queixo,talloq
16,Kiefer[Anatomie]::N,maxila,alleroq
17,Kiefer[Anatomie]::N,mandíbula,alleroq
18,Kehle::N,garganta,malaq
19,Hals::N,colo,qungaseq
20,Hals::N,pescoço,qungaseq
21,Genick::N,nuca,pukusuk
22,Kopf::N,cabeça,niaqoq
23,Rücken::N,dorso,qimerlut
24,Rücken::N,costas,qimerlut
25,Bauch::N,ventre,naaq
26,Bauch::N,barriga,naaq
27,Nabel::N,umbigo,qalaseq
28,Busen::N,seio,iviangeq
29,Brust::N,peito,iviangeq
30,Schulter::N,ombro,ersik
31,Schulter::N,ombro,assaqqoq
32,Arm::N,braço,taleq
33,Ellenbogen::N,cotovelo,ikusik
34,Hand::N,mão,assak
35,Handfläche::N,palma,itumak
36,Handfläche::N,palma da mão,itumak
37,Finger::N,dedo,inuak
38,Fingernagel::N,unha,kikiak
39,Nagel[Anatomie]::N,unha,kukik
40,Zeh::N,dedo do pé,isigak
41,Fuß::N,pé,
42,Ferse::N,calcanhar,kimmik
43,Knie::N,joelho,seeqqoq
44,Oberschenkel::N,coxa,uppat
45,Oberschenkel::N,coxa,quttoraq
46,Bein::N,perna,isigak
47,Körper::N,corpo,timi
48,Haut::N,pele,mattak
49,Blut::N,sangue,aak
50,Ader::N,veia,taqaq
51,Sehne::N,tendão,ujalu
52,Sehne::N,tendão,ujaloq
53,Knochen::N,osso,saanikut
54,Gehirn::N,cérebro,qarasaq
55,Herz::N,coração,uummat
56,Magen::N,estômago,aqajaroq
57,Leber::N,fígado,tinguk
58,Atem::N,fôlego,anerneq
59,Hunger::N,fome,kaanneq
60,Träne::N,lágrima,qia
61,Träne::N,lágrima,qiak
62,Geschmack::N,gosto,qilanaartuut
63,Geruch::N,odor,tipi
64,Geruch::N,odor,tipik
65,Geruch::N,cheiro,tipi
66,Geruch::N,cheiro,tipik
