,Concept_ID,lv,uz
0,Auge::N,син,ko'z
1,Auge::N,acs,ko'z
2,Ohr::N,пель,quloq
3,Ohr::N,auss,quloq
4,Nase::N,ныр,burun
5,Nase::N,deguns,burun
6,Mund::N,вом,og'iz
7,Mund::N,mute,og'iz
8,Zahn::N,пинь,tish
9,Zahn::N,zobs,tish
10,Zunge::N,кыв,til
11,Zunge::N,mēle,til
12,Lippe::N,вом дор,dudoq
13,Lippe::N,lūpa,dudoq
14,Wange::N,бан,bet
15,Wange::N,vaigs,bet
16,Gesicht::N,чужӧм,yuz
17,Gesicht::N,seja,yuz
18,Gesicht::N,ģīmis,yuz
19,Stirn::N,плеш,manglay
20,Stirn::N,кымӧс,manglay
21,Stirn::N,piere,manglay
22,Haar::N,си,soch
23,Haar::N,юрси,soch
24,Haar::N,mats,soch
25,Schnurrbart::N,ус,mo'ylov
26,Schnurrbart::N,пыртсим,mo'ylov
27,Schnurrbart::N,ūsas,mo'ylov
28,Bart::N,тош,soqol
29,Bart::N,bārda,soqol
30,Kinn::N,тшӧка,ängak
31,Kinn::N,zods,ängak
32,Kinn::N,smakrs,ängak
33,Kiefer[Anatomie]::N,черлы,iyak
34,Kiefer[Anatomie]::N,алака лы,iyak
35,Kiefer[Anatomie]::N,вомкӧтш лы,iyak
36,Kiefer[Anatomie]::N,žoklis,iyak
37,Kehle::N,голя,bo'g'iz
38,Kehle::N,rīkle,bo'g'iz
39,Hals::N,сьылі,bo'yin
40,Hals::N,kakls,bo'yin
41,Genick::N,юрбӧр,gardan
42,Genick::N,балябӧж,gardan
43,Genick::N,sprands,gardan
44,Kopf::N,юр,bosh
45,Kopf::N,galva,bosh
46,Rücken::N,мыш,orqa
47,Rücken::N,mugura,orqa
48,Bauch::N,рушку,qorin
49,Bauch::N,vēders,qorin
50,Nabel::N,гӧг,kindik
51,Nabel::N,naba,kindik
52,Busen::N,морӧс,ämchak
53,Busen::N,krūts,ämchak
54,Brust::N,морӧс,ko'krak
55,Brust::N,krūts,ko'krak
56,Schulter::N,пельпом,elka
57,Schulter::N,plecs,elka
58,Arm::N,ки,bilak
59,Arm::N,roka,bilak
60,Arm::N,delms,bilak
61,Ellenbogen::N,гырддза,tirsak
62,Ellenbogen::N,elkonis,tirsak
63,Hand::N,ки,qo'l
64,Hand::N,roka,qo'l
65,Hand::N,plauksta,qo'l
66,Handfläche::N,ки пыдӧс,kaft
67,Handfläche::N,delna,kaft
68,Handfläche::N,plauksta,kaft
69,Finger::N,чунь,barmoq
70,Finger::N,pirksts,barmoq
71,Fingernagel::N,гыж,tirnoq
72,Fingernagel::N,nags,tirnoq
73,Nagel[Anatomie]::N,гыж,tirnoq
74,Nagel[Anatomie]::N,nags,tirnoq
75,Zeh::N,кок чунь,oyoq barmog'i
76,Zeh::N,pirksts,oyoq barmog'i
77,Fuß::N,кок,oyoq
78,Fuß::N,kāja,oyoq
79,Ferse::N,кокбӧр,tovon
80,Ferse::N,papēdis,tovon
81,Knie::N,пидзӧс,tiz
82,Knie::N,celis,tiz
83,Oberschenkel::N,лядьвей,son
84,Oberschenkel::N,бек,son
85,Oberschenkel::N,ciska,son
86,Oberschenkel::N,augšstilbs,son
87,Bein::N,кок,oyoq
88,Bein::N,kāja,oyoq
89,Körper::N,туша,badna
90,Körper::N,вывтыр,badna
91,Körper::N,miesa,badna
92,Körper::N,ķermenis,badna
93,Haut::N,ку,teri
94,Haut::N,āda,teri
95,Blut::N,вир,qon
96,Blut::N,asins,qon
97,Ader::N,сӧн,qon tomir
98,Ader::N,asinsvads,qon tomir
99,Sehne::N,вез,tomir
100,Sehne::N,dzīsla,tomir
101,Knochen::N,лы,suyak
102,Knochen::N,kauls,suyak
103,Gehirn::N,вем,miya
104,Gehirn::N,smadzenes,miya
105,Herz::N,сьӧлӧм,qalb
106,Herz::N,sirds,qalb
107,Magen::N,кынӧм,oshqozon
108,Magen::N,kuņģis,oshqozon
109,Leber::N,мус,bag'ir
110,Leber::N,aknas,bag'ir
111,Atem::N,лов,dam
112,Atem::N,elpa,dam
113,Hunger::N,тшыг,ochlik
114,Hunger::N,bads,ochlik
115,Hunger::N,izsalkums,ochlik
116,Träne::N,синва,yosh
117,Träne::N,asara,yosh
118,Geschmack::N,кӧр,tam
119,Geschmack::N,чӧсмӧс,tam
120,Geschmack::N,garša,tam
121,Geruch::N,зын,jid
122,Geruch::N,дук,jid
123,Geruch::N,smaka,jid
124,Schlaf::N,узьӧм,uyqu
125,Schlaf::N,miegs,uyqu
126,Traum::N,вӧт,tush
127,Traum::N,вӧтасьӧм,tush
128,Traum::N,sapnis,tush
129,Himmel::N,енэж,osmon
130,Himmel::N,debess,osmon
131,Sonne::N,шонді,quyosh
132,Sonne::N,saule,quyosh
133,Mond::N,тӧлысь,oy
134,Mond::N,mēness,oy
135,Stern::N,кодзув,yulduz
136,Stern::N,zvaigzne,yulduz
137,Luft::N,сынӧд,havo
138,Luft::N,gaiss,havo
139,Wind::N,тӧв,el
140,Wind::N,vējš,el
141,Welle::N,гы,to'lqin
142,Welle::N,vilnis,to'lqin
143,Wasser::N,ва,suv
144,Wasser::N,ūdens,suv
145,Stein::N,из,tosh
146,Stein::N,akmens,tosh
147,Boden::N,му,tuproq
148,Boden::N,augsne,tuproq
149,Erde::N,му,er
150,Erde::N,му-ва,er
151,Erde::N,zeme,er
152,Staub::N,бус,chang
153,Staub::N,putekļi,chang
154,Rauch::N,тшын,tutun
155,Rauch::N,dūmi,tutun
156,Funke::N,кинь,yalt
157,Funke::N,би кинь,yalt
158,Funke::N,dzirkstele,yalt
159,Feuer::N,би,o't
