,Concept_ID,lt,kn
0,Auge::N,akis,ಕಣ್ಣು
1,Ohr::N,ausis,ಕಿವಿ
2,Nase::N,nosis,ಮೂಗು
3,Mund::N,burna,ಬಾಯಿ
4,Zahn::N,dantis,ಹಲ್ಲು
5,Zunge::N,liežuvis,ನಾಲಿಗೆ
6,Lippe::N,lūpa,ತುಟಿ
7,Wange::N,žandas,ಗಲ್ಲ
8,Wange::N,skruostas,ಗಲ್ಲ
9,Gesicht::N,veidas,ಮುಖ
10,Stirn::N,kakta,ಹಣೆ
11,Haar::N,plaukai,ಕೂದಲು
12,Schnurrbart::N,ūsai,ಮೀಸೆ
13,Bart::N,barzda,ಗಡ್ಡ
14,Kinn::N,smakras,ಗದ್ದ
15,Kiefer[Anatomie]::N,žandikaulis,ದವಡೆ
16,Kehle::N,gerklė,ಗಂಟಲು
17,Hals::N,kaklas,ಕೊರಳು
18,Genick::N,sprandas,ಹಿಂಗತ್ತು
19,Kopf::N,galva,ತಲೆ
20,Rücken::N,nugara,ಬೆನ್ನು
21,Bauch::N,pilvas,ಹೊಟ್ಟೆ
22,Nabel::N,bamba,ಹೊಕ್ಕುಳು
23,Busen::N,krūtinė,ಸ್ತನ
24,Brust::N,krūtis,ಎದೆ
25,Schulter::N,petys,ಭುಜ
26,Arm::N,ranka,ತೋಳು
27,Ellenbogen::N,alkūnė,ಮೊಣಕೈ
28,Hand::N,ranka,ಕೈ
29,Hand::N,plaštaka,ಕೈ
30,Handfläche::N,delnas,ಅಂಗೈ
31,Handfläche::N,plaštaka,ಅಂಗೈ
32,Finger::N,pirštas,ಕೈಬೆರಳು
33,Fingernagel::N,nagas,ಉಗುರು
34,Nagel[Anatomie]::N,nagas,ಉಗುರು
35,Zeh::N,pirštas,ಕಾಲ್ಬೆರಳು
36,Fuß::N,pėda,ಪಾದ
37,Ferse::N,kulnas,ಹಿಮ್ಮಡಿ
38,Knie::N,kelis,ಮಂಡಿ
39,Oberschenkel::N,kulšis,ತೊಡೆ
40,Oberschenkel::N,šlaunis,ತೊಡೆ
41,Bein::N,koja,ಕಾಲು
42,Körper::N,kūnas,ದೇಹ
43,Haut::N,oda,ಚರ್ಮ
44,Blut::N,kraujas,ರಕ್ತ
45,Ader::N,kraujagyslė,ನರ
46,Sehne::N,sausgyslė,ನರ
47,Knochen::N,kaulas,ಮೂಳೆ
48,Gehirn::N,smegenys,ಮಿದುಳು
49,Herz::N,širdis,ಹೃದಯ
50,Magen::N,skrandis,ಉದರ
51,Leber::N,kepenys,ಯಕೃತ್ತು
52,Atem::N,kvapas,ಉಸಿರು
53,Hunger::N,badas,ಹಸಿವು
54,Hunger::N,alkis,ಹಸಿವು
55,Träne::N,ašara,ಕಣ್ಣೀರು
56,Geschmack::N,skonis,ರುಚಿ
57,Geruch::N,kvapas,ವಾಸನೆ
58,Schlaf::N,miegas,ನಿದ್ರೆ
59,Traum::N,sapnas,ಕನಸು
60,Himmel::N,dangus,ಬಾನು
61,Sonne::N,saulė,ಸೂರ್ಯ
62,Mond::N,mėnulis,ಚಂದ್ರ
63,Stern::N,žvaigždė,ಚುಕ್ಕಿ
64,Luft::N,oras,ವಾಯು
