,Concept_ID,ku,mhr
0,Auge::N,çav,шинча́
1,Ohr::N,guh,пы́лыш
2,Nase::N,bêvil,нер
3,Mund::N,dev,умша́
4,Zahn::N,didan,пӱй
5,Zunge::N,ziman,йы́лме
6,Lippe::N,lêv,тӱ́рвӧ
7,Wange::N,dêm,шӱ́ргӧ
8,Wange::N,hinarik,шӱ́ргӧ
9,Gesicht::N,rû,чури́й
10,Stirn::N,enî,саҥга́
11,Haar::N,por,ӱп
12,Schnurrbart::N,simbêl,ӧ́рыш
13,Bart::N,rih,понда́ш
14,Kinn::N,zenî,оҥыла́ш
15,Kiefer[Anatomie]::N,arguşk,пӱйдӱ́ҥ
16,Kiefer[Anatomie]::N,arguşk,пӱйората́
17,Kehle::N,qirik,лога́р
18,Hals::N,stû,шӱй
19,Hals::N,qirik,шӱй
20,Genick::N,stû,шӱйло́дыш
21,Kopf::N,serî,вуй
22,Rücken::N,pişt,туп
23,Bauch::N,ûr,мӱ́шкыр
24,Bauch::N,zik,мӱ́шкыр
25,Nabel::N,navik,кы́лымде
26,Busen::N,sîng,чы́зе
27,Brust::N,sîng,оҥ
28,Schulter::N,mil,ва́че
29,Arm::N,çepil,кид
30,Ellenbogen::N,enîşk,кынерву́й
31,Hand::N,dest,кид
32,Hand::N,dest,копа́
33,Handfläche::N,kefadest,со́во
34,Finger::N,tilî,парня́
35,Fingernagel::N,neynuk,кидкӱ́ч
36,Fingernagel::N,neynuk,парнягӱ́ч
37,Nagel[Anatomie]::N,bizmar,кӱч
38,Zeh::N,tilî linga,йолварня́
39,Fuß::N,ling,йол
40,Fuß::N,ling,йолкопа́
41,Ferse::N,pahnî,тага́н
42,Knie::N,kabok,пулву́й
43,Oberschenkel::N,rahn,э́рде
44,Bein::N,çip,йол
45,Körper::N,laş,кап
46,Körper::N,gowde,кап
47,Haut::N,çerm,кова́ште
48,Blut::N,xwîn,вӱр
49,Ader::N,reh,шӧн
50,Sehne::N,reh,шӧн
51,Sehne::N,reh,кӱсе́н
52,Knochen::N,hestî,лу
53,Gehirn::N,mêjî,вем
54,Gehirn::N,mêjî,вуйве́м
55,Herz::N,dil,шӱм
56,Magen::N,navêş,пага́р
57,Leber::N,kezeb,мокш
58,Atem::N,hilm,шӱ́лыш
59,Hunger::N,birçîtî,шужыма́ш
60,Träne::N,hêstir,шинчавӱ́д
61,Geschmack::N,tam,там
62,Geruch::N,bêhn,пуш
63,Schlaf::N,xew,о́мо
64,Traum::N,xewn,йӱдо́мо
65,Himmel::N,ezman,кава́
66,Sonne::N,roj,ке́че
67,Mond::N,heyv,ты́лзе
68,Stern::N,stêrk,шӱ́дыр
69,Luft::N,ba,юж
70,Wind::N,ba,марде́ж
71,Welle::N,şewl,то́лкын
72,Wasser::N,av,вӱд
73,Stein::N,kevir,кӱ
74,Boden::N,herd,рок
75,Erde::N,ax,мла́нде
76,Staub::N,toz,пура́к
77,Rauch::N,dû,шикш
78,Funke::N,çirûşk,сеске́м
79,Funke::N,çirûşk,тулйы́п
80,Feuer::N,agir,тул
81,Licht::N,ronahî,со́то
82,Schatten::N,sî,ӱ́мыл
83,Wetter::N,hewa,иге́че
84,Nebel::N,mij,тӱтыра́
85,Wolke::N,ewr,пыл
86,Regen::N,baran,йӱр
87,Schnee::N,berf,лум
88,Eis::N,qeşa,ий
89,Frost::N,xûsik,чатлама́
90,Kälte::N,serma,йӱ́штӧ
91,Hitze::N,germayî,шо́кшо
92,Raureif::N,şext,пӧрш
93,Raureif::N,şext,по́кшым
94,Regenbogen::N,heftreng,шонанпы́л
95,Donner::N,gire-gir,кӱ́дырчӧ
96,Strömung::N,şewl,йо́гын
97,Tropfen::N,dilop,чӱча́лтыш
98,Schaum::N,kef,шоҥ
99,Schmutz::N,gemar,лавыра́
100,See::N,gol,ер
101,Sumpf::N,hezek,лӱ́кӧ
102,Moor::N,mafêl,куп
103,Wiese::N,sûrik,о́лык
104,Wald::N,çiya,чодыра́
105,Wald::N,daristan,чодыра́
106,Hügel::N,gir,арка́
107,Anhöhe::N,sere gir,тӧва́
108,Anhöhe::N,sere gir,кӱкшака́
109,Berg::N,kaş,ку́рык
110,Gipfel::N,sere gir,чаҥга́
111,Gipfel::N,sere gir,курыкву́й
112,Höhle::N,şikeft,пеще́р
113,Höhle::N,şikeft,курыкпо́мыш
114,Abhang::N,kaş,та́йыл
115,Quelle::N,kanî,важ
116,Quelle::N,kanî,вӱдшинча́
117,Bach::N,çem,изэҥе́р
118,Fluss::N,çem,эҥе́р
119,Fluss::N,rûbar,эҥе́р
120,Ufer::N,kevî,сер
121,Küste::N,berav,вӱдтӱ́р
122,Festland::N,bejahî,мла́нде
123,Meer::N,behr,те́ҥыз
124,Bucht::N,derav,икса́
125,Insel::N,girav,отро́
126,Blume::N,kulînk,пеле́дыш
127,Gras::N,giha,шу́до
128,Wurzel::N,reh,вож
129,Baum::N,dar,пуше́ҥге
130,Stamm::N,bavik,йы́тыр
131,Rinde::N,qaqil,шӱм
132,Ast::N,gulî,укш
133,Zweig::N,şax,торма́к
134,Blatt::N,pel,лышта́ш
135,Birke::N,dara sipî,куэ́
136,Kiefer[Baum]::N,dara bî,пӱ́нчӧ
137,Weide[Baum]::N,dara belalûk,уа́
138,Tanne::N,merx,кож
139,Horn::N,strô,шур
140,Feder::N,pîrtîk,пы́стыл
141,Fell::N,heyar,кова́ште
142,Flügel::N,per,шу́лдыр
143,Klaue::N,napîk,кӱч
144,Kralle::N,dinik,ла́па
145,Kralle::N,dinik,копа́
146,Kralle::N,dirnax,ла́па
147,Kralle::N,dirnax,копа́
148,Schwanz::N,dûv,поч
149,Ei::N,hêk,му́но
150,Nest::N,hêlîn,пыжа́ш
151,Bau::N,avahî,пыжа́ш
152,Tier::N,heywan,я́нлык
153,Tier::N,heywan,живо́тный
154,Herde::N,hoz,кӱ́тӱ
155,Herde::N,hoz,тӱшка́
156,Kuh::N,çêlek,ушка́л
157,Bulle::N,ga,ӱ́шкыж
158,Pferd::N,hesp,и́мне
159,Schaf::N,mîh,шо́рык
160,Schwein::N,beraz,сӧсна́
161,Hund::N,seh,пий
162,Katze::N,pişîk,пы́рыс
163,Bär::N,hirç,маска́
164,Eichhörnchen::N,pilûr,ур
165,Elch::N,pazkovî,шо́рдо
166,Fuchs::N,rovî,ры́выж
167,Hase::N,kîroşk,мера́ҥ
168,Maus::N,mişk,коля́
169,Wolf::N,gur,пи́ре
170,Vogel::N,çûk,ка́йык
171,Schwarm::N,lufik,каша́к
172,Huhn::N,mirîşk,чы́ве
173,Hahn::N,dîk,агыта́н
174,Gans::N,qaz,ко́мбо
175,Adler::N,eylo,карагу́ш
176,Ente::N,werdek,лу́до
177,Eule::N,bûm,тумна́
178,Eule::N,kund,тумна́
179,Kranich::N,quling,турня́
180,Krähe::N,qijik,кора́к
181,Kuckuck::N,pepûk,куку́
182,Schwan::N,qû,йӱ́ксӧ
183,Fisch::N,masî,кол
184,Barsch::N,okûn,ола́ҥге
185,Hecht::N,mesîyê lûf,нуж
186,Hecht::N,mesîyê lûf,чорта́н
187,Schlange[Tier]::N,mar,ки́шке
188,Wurm::N,kurm,шукш
189,Spinne::N,pîrê,эҥыре́мыш
190,Ameise::N,mîro,ку́тко
191,Ameise::N,gêrîk,ку́тко
192,Laus::N,spi,тий
193,Mücke::N,mêş,шыҥа́
194,Fliege::N,mêş,ка́рме
195,Schmetterling::N,perperîk,лы́ве
196,Beere::N,hirç,мӧр
197,Apfel::N,sêv,олма́
198,Pilz::N,bîrov,по́ҥго
199,Zwiebel::N,pîvaz,шога́н
200,Saat::N,tov,нӧ́шмӧ
201,Saat::N,tov,туш
202,Korn::N,dexl,шу́рно
203,Heu::N,sap,шу́до
204,Schale::N,qaşik,шӱм
205,Grube::N,çahl,выне́м
206,Falle::N,dafik,лӧ́дӧ
207,Schlinge::N,dahf,о́птыш
208,Schlinge::N,dahf,шӧрга́лтыш
209,Spur::N,rêç,кыша́
210,Asche::N,xweli,ло́мыж
211,Dreck::N,gemarî,лавыра́
212,Eisen::N,hesing,кӱ́ртньӧ
213,Gold::N,zêr,шӧ́ртньӧ
214,Silber::N,zîv,ший
215,Kohle::N,komir,мландышӱ́й
216,Glas::N,qedeh,янда́
217,Lehm::N,kelpîç,шун
218,Sand::N,qûm,ошма́
219,Mensch::N,mirov,еҥ
220,Mensch::N,mirov,айде́ме
221,Mann::N,mêr,пӧръе́ҥ
222,Frau::N,jin,ӱдырама́ш
223,Kind::N,zarok,аза́
224,Junge::N,kur,рве́зе
225,Mädchen::N,keç,ӱдыра́ш
226,Mädchen::N,keçik,ӱдыра́ш
227,Familie::N,malbat,еш
228,Großvater::N,bapîr,коча́
229,Großmutter::N,pîrik,кова́
230,Eltern::N,bavudê,ача́-ава́
231,Vater::N,bav,ача́
232,Mutter::N,dê,ава́
233,Mutter::N,dayik,ава́
234,Sohn::N,kur,э́рге
235,Tochter::N,keç,ӱ́дыр
236,Bruder::N,bira,иза́
237,Bruder::N,bira,шо́льо
238,Schwester::N,xweh,ака́
239,Onkel::N,am,иза́
240,Onkel::N,xal,иза́
241,Tante::N,metik,кока́
242,Tante::N,xaltîk,кока́
