,Concept_ID,bg,sl
0,Auge::N,око,okó
1,Ohr::N,ухо,uhó
2,Nase::N,нос,nós
3,Mund::N,уста,ústa
4,Zahn::N,зъб,zób
5,Zunge::N,език,jêzik
6,Lippe::N,устна,ústnica
7,Wange::N,буза,líce
8,Gesicht::N,лице,oblíčje
9,Gesicht::N,образ,oblíčje
10,Stirn::N,чело,čêlo
11,Haar::N,коса,lás
12,Haar::N,косъм,lás
13,Schnurrbart::N,мустаци,bŕki
14,Bart::N,брада,bráda
15,Kinn::N,брада,bráda
16,Kinn::N,брадичка,bráda
17,Kiefer[Anatomie]::N,челюст,čeljúst
18,Kehle::N,гърло,gŕlo
19,Hals::N,врат,vrát
20,Genick::N,тил,zatílnik
21,Kopf::N,глава,gláva
22,Rücken::N,гръб,hrbèt
23,Bauch::N,корем,trébuh
24,Nabel::N,пъп,pópek
25,Busen::N,бозка,nédrja
26,Brust::N,гръд,pŕsi
27,Schulter::N,рамо,ráma
28,Schulter::N,рамо,plêče
29,Schulter::N,плещи,ráma
30,Schulter::N,плещи,plêče
31,Arm::N,ръка,rôka
32,Ellenbogen::N,лакът,komólec
33,Hand::N,ръка,rôka
34,Hand::N,китка,rôka
35,Handfläche::N,длан,dlán
36,Finger::N,пръст,pŕst
37,Fingernagel::N,нокът,nóht na rôki
38,Nagel[Anatomie]::N,нокът,nóht
39,Zeh::N,пръст на крак,pŕst na nôgi
40,Fuß::N,крак,nôga
41,Fuß::N,нога,nôga
42,Ferse::N,пета,pêta
43,Knie::N,коляно,koléno
44,Oberschenkel::N,бедро,stêgno
45,Bein::N,крак,nôga
46,Bein::N,нога,nôga
47,Körper::N,тяло,teló
48,Haut::N,кожа,kóža
49,Blut::N,кръв,krí
50,Ader::N,вена,žíla
51,Ader::N,артерия,žíla
52,Sehne::N,жила,kíta
53,Sehne::N,сухожилие,kíta
54,Knochen::N,кост,kóst
55,Gehirn::N,мозък,možgáni
56,Herz::N,сърце,srcé
57,Magen::N,стомах,želódec
58,Leber::N,черен дроб,jétra
59,Atem::N,дишане,díh
60,Hunger::N,глад,glád
61,Träne::N,сълза,sólza
62,Geschmack::N,вкус,okús
63,Geruch::N,миризма,vónj
64,Schlaf::N,сън,sèn
65,Schlaf::N,сън,spánec
66,Traum::N,сън,sánje
67,Himmel::N,небе,nebó
68,Sonne::N,слънце,sónce
69,Mond::N,луна,lúna
70,Mond::N,луна,mésec
71,Mond::N,месец,lúna
72,Mond::N,месец,mésec
73,Stern::N,звезда,zvézda
74,Luft::N,въздух,zràk
75,Wind::N,вятър,véter
76,Welle::N,вълна,vál
77,Wasser::N,вода,vôda
78,Stein::N,камък,kámen
79,Boden::N,земя,tlà
80,Boden::N,почва,tlà
81,Erde::N,земя,pŕst
82,Erde::N,земя,zêmlja
83,Erde::N,почва,pŕst
84,Erde::N,почва,zêmlja
85,Staub::N,прах,práh
86,Rauch::N,дим,dìm
87,Rauch::N,пушек,dìm
88,Funke::N,искра,ískra
89,Feuer::N,огън,ôgenj
90,Licht::N,светлина,lúč
91,Schatten::N,сянка,sénca
92,Wetter::N,време,vrême
93,Nebel::N,мъгла,meglà
94,Wolke::N,облак,oblák
95,Regen::N,дъжд,dèž
96,Schnee::N,сняг,snég
97,Eis::N,лед,léd
98,Frost::N,мраз,zmrzál
99,Kälte::N,студ,mràz
100,Hitze::N,жега,pripéka
101,Hitze::N,горещина,pripéka
102,Raureif::N,скреж,ívje
103,Raureif::N,скреж,slána
104,Raureif::N,слана,ívje
105,Raureif::N,слана,slána
106,Regenbogen::N,дъга,mávrica
107,Donner::N,гръм,gròm
108,Strömung::N,течение,strúja
109,Tropfen::N,капка,káplja
110,Schaum::N,пяна,péna
111,Schmutz::N,кал,nesnága
112,Schmutz::N,мръсотия,nesnága
113,See::N,езеро,jézero
114,Sumpf::N,блато,močvírje
115,Moor::N,мочурище,bárje
116,Wiese::N,ливада,trávnik
117,Wald::N,гора,lés
118,Wald::N,гора,gòzd
119,Hügel::N,рид,brég
120,Hügel::N,рид,goríca
121,Hügel::N,хълм,brég
122,Hügel::N,хълм,goríca
123,Anhöhe::N,могила,gríč
124,Anhöhe::N,могила,višína
125,Anhöhe::N,възвишение,gríč
126,Anhöhe::N,възвишение,višína
127,Berg::N,планина,gôra
128,Berg::N,планина,planína
129,Gipfel::N,връх,vŕh
130,Höhle::N,пещера,jáma
131,Höhle::N,пещера,votlína
132,Abhang::N,склон,pobóčje
133,Abhang::N,стръмнина,pobóčje
134,Quelle::N,извор,izvír
135,Bach::N,поток,pôtok
136,Fluss::N,река,réka
137,Ufer::N,бряг,brég
138,Küste::N,бряг,obála
139,Küste::N,бряг,obréžje
140,Küste::N,крайбрежие,obála
141,Küste::N,крайбрежие,obréžje
142,Festland::N,суша,celína
143,Festland::N,суша,kopnína
144,Meer::N,море,mórje
145,Bucht::N,залив,zalív
146,Insel::N,остров,ôtok
147,Blume::N,цвете,cvetlíca
148,Gras::N,трева,tráva
149,Wurzel::N,корен,korenína
150,Baum::N,дърво,drevó
151,Stamm::N,стъбло,dêblo
152,Rinde::N,кора,lúbje
153,Rinde::N,кора,skórja
154,Ast::N,клон,véja
155,Zweig::N,клон,véja
156,Blatt::N,лист,líst
157,Birke::N,бреза,bréza
158,Kiefer[Baum]::N,бор,bòr
159,Weide[Baum]::N,върба,vŕba
160,Tanne::N,ела,hója
161,Horn::N,рог,róg
162,Feder::N,перо,peró
163,Fell::N,кожа,kŕzno
164,Flügel::N,крило,krílo
165,Klaue::N,нокът,párkelj
166,Kralle::N,нокът,krémpelj
167,Schwanz::N,опашка,rèp
168,Ei::N,яйце,jájce
169,Nest::N,гнездо,gnézdo
170,Bau::N,дупка,brlòg
171,Tier::N,животно,živál
172,Herde::N,стадо,čréda
173,Kuh::N,крава,kráva
174,Bulle::N,бик,bìk
175,Pferd::N,кон,kònj
176,Schaf::N,овца,ôvca
