,Concept_ID,sq,cy
0,Auge::N,sy,llygad
1,Ohr::N,vesh,clust
2,Nase::N,hundë,trwyn
3,Mund::N,gojë,ceg
4,Zahn::N,dhëmb,dant
5,Zunge::N,gjuhë,tafod
6,Lippe::N,buzë,gwefus
7,Wange::N,faqe,boch
8,Wange::N,mollëz,boch
9,Gesicht::N,fytyrë,wyneb
10,Stirn::N,ballë,talcen
11,Haar::N,flokë,blew
12,Schnurrbart::N,mustaqe,mwstas
13,Bart::N,mjekër,barf
14,Kinn::N,mjekër,gên
15,Kiefer[Anatomie]::N,nofull,gên
16,Kehle::N,fyt,gwddf
17,Kehle::N,grykë,gwddf
18,Hals::N,qafë,gwddf
19,Genick::N,arrëz,gwar
20,Genick::N,arrëz,gwegil
21,Kopf::N,kokë,pen
22,Rücken::N,kurriz,cefn
23,Bauch::N,bark,bol
24,Nabel::N,kërthizë,bogail
25,Busen::N,gji,bron
26,Brust::N,gjoks,brest
27,Brust::N,kraharor,brest
28,Schulter::N,sup,ysgwydd
29,Schulter::N,krah,ysgwydd
30,Arm::N,krah,braich
31,Ellenbogen::N,bërryl,penelin
32,Hand::N,dorë,llaw
33,Handfläche::N,pëllëmbë,palf
34,Finger::N,gisht,bys
35,Fingernagel::N,thua,ewin
36,Nagel[Anatomie]::N,thua,ewin
37,Zeh::N,gisht i këmbës,bys troed
38,Fuß::N,këmbë,troed
39,Ferse::N,thembër,sawdl
40,Knie::N,gju,glin
41,Oberschenkel::N,kofshë,clun
42,Bein::N,këmbë,coes
43,Körper::N,trup,corff
44,Haut::N,lëkurë,croen
45,Blut::N,gjak,gwaed
46,Ader::N,venë,gwythïen
47,Sehne::N,dell,gewyn
48,Knochen::N,asht,asgwrn
49,Knochen::N,kockë,asgwrn
50,Gehirn::N,tru,ymennydd
51,Herz::N,zemër,calon
52,Magen::N,stomak,cylla
53,Magen::N,stomak,stumog
54,Leber::N,mëlçi,iau
55,Atem::N,frymë,anadl
56,Hunger::N,uri,newyn
57,Träne::N,lot,deigryn
58,Geschmack::N,shije,cyflas
59,Geruch::N,erë,aroglau
60,Schlaf::N,gjumë,cwsg
61,Traum::N,ëndërr,breuddwyd
62,Himmel::N,qiell,awyr
63,Sonne::N,diell,haul
64,Mond::N,hënë,lleuad
65,Stern::N,yll,seren
66,Luft::N,ajër,awyr
67,Wind::N,erë,gwynt
68,Welle::N,valë,ton
69,Welle::N,dallgë,ton
70,Wasser::N,ujë,dŵr
71,Stein::N,gur,carreg
72,Boden::N,tokë,llawr
73,Boden::N,truall,llawr
74,Erde::N,dhe,pridd
75,Erde::N,baltë,pridd
76,Staub::N,pluhur,llwch
77,Rauch::N,tym,mwg
78,Funke::N,xixë,gwreichioni
79,Funke::N,shkëndijë,gwreichioni
80,Feuer::N,zjarr,tân
81,Licht::N,dritë,golau
82,Schatten::N,hije,cysgod
83,Wetter::N,mot,tywydd
84,Nebel::N,mjegull,niwl
85,Wolke::N,re,cwmwl
86,Regen::N,shi,glaw
87,Schnee::N,borë,ôd
88,Schnee::N,borë,eira
89,Eis::N,akull,iâ
90,Frost::N,ngricë,rhew
91,Kälte::N,të ftohtë,oerni
92,Kälte::N,të ftohtë,annwyd
93,Hitze::N,vapë,gwres
94,Hitze::N,nxehtësi,gwres
95,Raureif::N,cikmë,barrug
96,Regenbogen::N,ylber,enfys
97,Donner::N,gjëmim,tyrfau
98,Donner::N,bubullimë,tyrfau
99,Strömung::N,rrymë,cerrynt
100,Tropfen::N,pikë,dafn
101,Tropfen::N,pikë,diferyn
102,Schaum::N,shkumë,ewyn
103,Schmutz::N,baltë,baw
104,Schmutz::N,baltë,budreddi
105,See::N,liqen,llyn
106,Sumpf::N,batak,cors
107,Moor::N,kënetë,rhos
108,Wiese::N,livadh,dôl
109,Wald::N,pyll,coedwig
110,Hügel::N,kodër,bryn
111,Anhöhe::N,bregore,bryn
112,Berg::N,mal,mynydd
113,Gipfel::N,kulm,copa
114,Höhle::N,shpellë,ogof
115,Höhle::N,zgafelle,ogof
116,Abhang::N,shpat,llethr
117,Abhang::N,tatëpjetë,llethr
118,Quelle::N,krua,tarddiad
119,Quelle::N,krua,ffynhonnell
120,Quelle::N,burim,tarddiad
121,Quelle::N,burim,ffynhonnell
122,Bach::N,virua,nant
123,Bach::N,virua,afonig
124,Bach::N,virua,cornant
125,Fluss::N,lumë,afon
126,Ufer::N,breg,glan
127,Küste::N,anëdet,traeth
128,Küste::N,anëdet,arfordir
129,Küste::N,bregdet,traeth
130,Küste::N,bregdet,arfordir
131,Festland::N,kontinent,tir
132,Meer::N,det,môr
133,Bucht::N,gji deti,bae
134,Insel::N,ishull,ynys
135,Insel::N,ujdhesë,ynys
136,Blume::N,lule,blodyn
137,Gras::N,bar,glaswellt
138,Wurzel::N,rrënjë,gwreiddyn
139,Baum::N,pemë,coeden
140,Stamm::N,trung,colfen
141,Stamm::N,trung,boncyff
142,Rinde::N,lëvore,rhisgl
143,Ast::N,degë,cangen
144,Zweig::N,bisk,cainc
145,Zweig::N,bisk,cangen
