,Concept_ID,ja,sq
0,Auge::N,目,sy
1,Ohr::N,耳,vesh
2,Nase::N,鼻,hundë
3,Mund::N,口,gojë
4,Zahn::N,歯,dhëmb
5,Zunge::N,舌,gjuhë
6,Lippe::N,唇,buzë
7,Wange::N,頬,faqe
8,Wange::N,頬,mollëz
9,Gesicht::N,顔,fytyrë
10,Stirn::N,額,ballë
11,Haar::N,髪,flokë
12,Schnurrbart::N,口髭,mustaqe
13,Bart::N,髭,mjekër
14,Kinn::N,顎,mjekër
15,Kiefer[Anatomie]::N,顎,nofull
16,Kehle::N,喉,fyt
17,Kehle::N,喉,grykë
18,Hals::N,首,qafë
19,Genick::N,首,arrëz
20,Kopf::N,頭,kokë
21,Rücken::N,背中,kurriz
22,Bauch::N,腹,bark
23,Bauch::N,お腹,bark
24,Nabel::N,へそ,kërthizë
25,Busen::N,乳房,gji
26,Brust::N,胸,gjoks
27,Brust::N,胸,kraharor
28,Schulter::N,肩,sup
29,Schulter::N,肩,krah
30,Arm::N,腕,krah
31,Ellenbogen::N,肘,bërryl
32,Hand::N,手,dorë
33,Handfläche::N,手のひら,pëllëmbë
34,Finger::N,指,gisht
35,Fingernagel::N,爪,thua
36,Nagel[Anatomie]::N,爪,thua
37,Zeh::N,足の指,gisht i këmbës
38,Fuß::N,足,këmbë
39,Ferse::N,かかと,thembër
40,Knie::N,膝,gju
41,Oberschenkel::N,上腿,kofshë
42,Bein::N,足,këmbë
43,Körper::N,体,trup
44,Haut::N,皮膚,lëkurë
45,Blut::N,血,gjak
46,Ader::N,血管,venë
47,Sehne::N,腱,dell
48,Knochen::N,骨,asht
49,Knochen::N,骨,kockë
50,Gehirn::N,脳,tru
51,Herz::N,心,zemër
52,Herz::N,心臓,zemër
53,Magen::N,胃,stomak
54,Leber::N,肝臓,mëlçi
55,Atem::N,息,frymë
56,Atem::N,呼吸,frymë
57,Hunger::N,空腹,uri
58,Träne::N,涙,lot
59,Geschmack::N,味,shije
60,Geruch::N,匂い,erë
61,Schlaf::N,睡眠,gjumë
62,Traum::N,夢,ëndërr
63,Himmel::N,空,qiell
64,Sonne::N,太陽,diell
65,Mond::N,月,hënë
66,Stern::N,星,yll
67,Luft::N,空気,ajër
68,Wind::N,風,erë
69,Welle::N,波,valë
70,Welle::N,波,dallgë
71,Wasser::N,水,ujë
72,Stein::N,石,gur
73,Boden::N,土地,tokë
74,Boden::N,土地,truall
75,Erde::N,土,dhe
76,Erde::N,土,baltë
77,Staub::N,埃,pluhur
78,Rauch::N,煙,tym
79,Funke::N,火花,xixë
80,Funke::N,火花,shkëndijë
81,Feuer::N,火,zjarr
82,Licht::N,光,dritë
83,Schatten::N,陰,hije
84,Wetter::N,天気,mot
85,Nebel::N,霧,mjegull
86,Wolke::N,雲,re
87,Regen::N,雨,shi
88,Schnee::N,雪,borë
89,Eis::N,氷,akull
90,Frost::N,霜,ngricë
91,Kälte::N,寒さ,të ftohtë
92,Hitze::N,暑さ,vapë
93,Hitze::N,暑さ,nxehtësi
94,Raureif::N,霧氷,cikmë
95,Regenbogen::N,虹,ylber
96,Donner::N,雷,gjëmim
97,Donner::N,雷,bubullimë
98,Strömung::N,流れ,rrymë
99,Tropfen::N,滴,pikë
100,Schaum::N,泡,shkumë
101,Schmutz::N,汚れ,baltë
102,See::N,湖,liqen
103,Sumpf::N,沼,batak
104,Moor::N,湿原,kënetë
105,Wiese::N,草原,livadh
106,Wald::N,森,pyll
107,Hügel::N,丘,kodër
108,Anhöhe::N,高み,bregore
109,Berg::N,山,mal
110,Gipfel::N,頂上,kulm
111,Höhle::N,洞窟,shpellë
112,Höhle::N,洞窟,zgafelle
113,Abhang::N,斜面,shpat
114,Abhang::N,斜面,tatëpjetë
115,Quelle::N,泉,krua
116,Quelle::N,泉,burim
117,Bach::N,小川,virua
118,Fluss::N,川,lumë
119,Ufer::N,岸,breg
120,Küste::N,海岸,anëdet
121,Küste::N,海岸,bregdet
122,Festland::N,陸,kontinent
123,Meer::N,海,det
124,Bucht::N,湾,gji deti
125,Insel::N,島,ishull
126,Insel::N,島,ujdhesë
127,Blume::N,花,lule
128,Gras::N,草,bar
129,Wurzel::N,根,rrënjë
130,Baum::N,木,pemë
131,Stamm::N,幹,trung
132,Rinde::N,皮層,lëvore
133,Ast::N,枝,degë
134,Zweig::N,小枝,bisk
135,Blatt::N,葉,fletë
136,Blatt::N,葉,gjethe
137,Birke::N,樺,mështekën
138,Kiefer[Baum]::N,松,pishë
139,Weide[Baum]::N,柳,shelg
140,Tanne::N,樅,bredh
141,Horn::N,角,bri
142,Feder::N,羽根,pupël
143,Fell::N,毛皮,lëkurë
144,Flügel::N,羽,krah
145,Flügel::N,羽,fletë
146,Klaue::N,鉤爪,kthetër
147,Kralle::N,爪,thua
148,Kralle::N,爪,kthetër
149,Schwanz::N,尻尾,bisht
150,Ei::N,卵,vezë
151,Nest::N,巣,fole
152,Bau::N,穴,strofkë
153,Tier::N,動物,kafshë
154,Herde::N,群れ,kope
155,Herde::N,群れ,grigjë
156,Kuh::N,牛,lopë
157,Bulle::N,雄牛,dem
158,Pferd::N,馬,kalë
159,Schaf::N,羊,dele
160,Schwein::N,豚,derr
161,Hund::N,犬,qen
162,Katze::N,猫,mace
163,Bär::N,熊,ari
164,Eichhörnchen::N,栗鼠,ketër
165,Elch::N,ヘラジカ,dre brilopatë
166,Fuchs::N,狐,dhelpër
167,Hase::N,兎,lepur
168,Maus::N,鼠,mi
169,Wolf::N,狼,ujk
170,Vogel::N,鳥,zog
171,Vogel::N,鳥,shpend
172,Schwarm::N,群れ,luzmë
173,Huhn::N,鶏,pulë
174,Hahn::N,雄鶏,gjel
175,Hahn::N,雄鶏,këndes
176,Gans::N,ガチョウ,patë
177,Adler::N,鷲,shqiponjë
178,Ente::N,鴨,rosë
179,Eule::N,フクロウ,buf
180,Kranich::N,鶴,lejlek
181,Kranich::N,鶴,kurrillë
182,Krähe::N,烏,sorrë
183,Kuckuck::N,郭公,qyqe
184,Schwan::N,白鳥,mjellmë
185,Fisch::N,魚,peshk
186,Barsch::N,鱸,purtekë
187,Hecht::N,川魳,mlysh
188,Schlange[Tier]::N,蛇,gjarpër
189,Wurm::N,虫,krimb
190,Spinne::N,蜘蛛,marimangë
191,Ameise::N,蟻,thnegël
192,Ameise::N,蟻,milingonë
193,Laus::N,虱,morr
194,Mücke::N,蚊,kunup
195,Mücke::N,蚊,mushkonjë
196,Fliege::N,蝿,mizë
197,Schmetterling::N,蝶,flutur
198,Beere::N,漿果,frutë
199,Beere::N,漿果,manaferrë
200,Apfel::N,林檎,mollë
201,Pilz::N,茸,kërpudhë
202,Zwiebel::N,玉葱,qepë
203,Saat::N,種,farë
204,Korn::N,粒,grurë
205,Korn::N,粒,kokërr
206,Heu::N,干し草,sanë
207,Schale::N,皮,lëkurë
208,Grube::N,穴,gropë
209,Falle::N,わな,kurth
210,Falle::N,わな,grackë
