,Concept_ID,fi,sl
0,Auge::N,silmä,okó
1,Ohr::N,korva,uhó
2,Nase::N,nenä,nós
3,Mund::N,suu,ústa
4,Zahn::N,hammas,zób
5,Zunge::N,kieli,jêzik
6,Lippe::N,huuli,ústnica
7,Wange::N,poski,líce
8,Gesicht::N,naama,oblíčje
9,Gesicht::N,kasvot,oblíčje
10,Stirn::N,otsa,čêlo
11,Haar::N,hius,lás
12,Haar::N,tukka,lás
13,Schnurrbart::N,viikset,bŕki
14,Bart::N,parta,bráda
15,Kinn::N,leuka,bráda
16,Kiefer[Anatomie]::N,leukaluu,čeljúst
17,Kehle::N,kurkku,gŕlo
18,Hals::N,kaula,vrát
19,Genick::N,niska,zatílnik
20,Kopf::N,pää,gláva
21,Rücken::N,selkä,hrbèt
22,Bauch::N,maha,trébuh
23,Bauch::N,vatsa,trébuh
24,Nabel::N,napa,pópek
25,Busen::N,rinta,nédrja
26,Brust::N,rinta,pŕsi
27,Schulter::N,olka,ráma
28,Schulter::N,olka,plêče
29,Schulter::N,hartia,ráma
30,Schulter::N,hartia,plêče
31,Schulter::N,olkapää,ráma
32,Schulter::N,olkapää,plêče
33,Arm::N,käsivarsi,rôka
34,Ellenbogen::N,kyynärpää,komólec
35,Hand::N,käsi,rôka
36,Handfläche::N,kämmen,dlán
37,Finger::N,sormi,pŕst
38,Fingernagel::N,kynsi,nóht na rôki
39,Nagel[Anatomie]::N,kynsi,nóht
40,Zeh::N,varvas,pŕst na nôgi
41,Fuß::N,jalka,nôga
42,Ferse::N,kantapää,pêta
43,Knie::N,polvi,koléno
44,Oberschenkel::N,reisi,stêgno
45,Bein::N,jalka,nôga
46,Körper::N,keho,teló
47,Körper::N,ruumis,teló
48,Haut::N,iho,kóža
49,Blut::N,veri,krí
50,Ader::N,suoni,žíla
51,Sehne::N,jänne,kíta
52,Knochen::N,luu,kóst
53,Gehirn::N,aivot,možgáni
54,Herz::N,sydän,srcé
55,Magen::N,maha,želódec
56,Magen::N,vatsa,želódec
57,Leber::N,maksa,jétra
58,Atem::N,henki,díh
59,Atem::N,hengitys,díh
60,Hunger::N,nälkä,glád
61,Träne::N,kyynel,sólza
62,Geschmack::N,maku,okús
63,Geruch::N,haju,vónj
64,Schlaf::N,uni,sèn
65,Schlaf::N,uni,spánec
66,Traum::N,uni,sánje
67,Himmel::N,taivas,nebó
68,Sonne::N,aurinko,sónce
69,Mond::N,kuu,lúna
70,Mond::N,kuu,mésec
71,Stern::N,tähti,zvézda
72,Luft::N,ilma,zràk
73,Wind::N,tuuli,véter
74,Welle::N,aalto,vál
75,Wasser::N,vesi,vôda
76,Stein::N,kivi,kámen
77,Boden::N,maa,tlà
78,Boden::N,maaperä,tlà
79,Erde::N,maa,pŕst
80,Erde::N,maa,zêmlja
81,Staub::N,pöly,práh
82,Rauch::N,savu,dìm
83,Funke::N,kipinä,ískra
84,Feuer::N,tuli,ôgenj
85,Licht::N,valo,lúč
86,Schatten::N,varjo,sénca
87,Wetter::N,sää,vrême
88,Nebel::N,sumu,meglà
89,Wolke::N,pilvi,oblák
90,Regen::N,sade,dèž
91,Schnee::N,lumi,snég
92,Eis::N,jää,léd
93,Frost::N,halla,zmrzál
94,Frost::N,pakkanen,zmrzál
95,Kälte::N,vilu,mràz
96,Kälte::N,kylmyys,mràz
97,Hitze::N,helle,pripéka
98,Hitze::N,kuumuus,pripéka
99,Raureif::N,huurre,ívje
100,Raureif::N,huurre,slána
101,Regenbogen::N,sateenkaari,mávrica
102,Donner::N,jyrinä,gròm
103,Strömung::N,virtaus,strúja
104,Tropfen::N,tippa,káplja
105,Tropfen::N,pisara,káplja
106,Schaum::N,vaahto,péna
107,Schmutz::N,loka,nesnága
108,See::N,järvi,jézero
109,Sumpf::N,suo,močvírje
110,Moor::N,räme,bárje
111,Wiese::N,niitty,trávnik
112,Wald::N,metsä,lés
113,Wald::N,metsä,gòzd
114,Hügel::N,mäki,brég
115,Hügel::N,mäki,goríca
116,Hügel::N,kumpu,brég
117,Hügel::N,kumpu,goríca
118,Hügel::N,kukkula,brég
119,Hügel::N,kukkula,goríca
120,Anhöhe::N,mäki,gríč
121,Anhöhe::N,mäki,višína
122,Anhöhe::N,kumpare,gríč
123,Anhöhe::N,kumpare,višína
124,Berg::N,mäki,gôra
125,Berg::N,mäki,planína
126,Berg::N,vuori,gôra
127,Berg::N,vuori,planína
128,Gipfel::N,laki,vŕh
129,Gipfel::N,huippu,vŕh
130,Höhle::N,luola,jáma
131,Höhle::N,luola,votlína
132,Abhang::N,rinne,pobóčje
133,Quelle::N,lähde,izvír
134,Bach::N,puro,pôtok
135,Fluss::N,joki,réka
136,Ufer::N,ranta,brég
137,Küste::N,rannikko,obála
138,Küste::N,rannikko,obréžje
139,Festland::N,manner,celína
140,Festland::N,manner,kopnína
141,Meer::N,meri,mórje
142,Bucht::N,lahti,zalív
143,Insel::N,saari,ôtok
144,Blume::N,kukka,cvetlíca
145,Gras::N,ruoho,tráva
146,Wurzel::N,juuri,korenína
147,Baum::N,puu,drevó
148,Stamm::N,runko,dêblo
149,Rinde::N,kuori,lúbje
150,Rinde::N,kuori,skórja
151,Rinde::N,parkki,lúbje
152,Rinde::N,parkki,skórja
153,Ast::N,oksa,véja
154,Zweig::N,haara,véja
155,Blatt::N,lehti,líst
156,Birke::N,koivu,bréza
157,Kiefer[Baum]::N,mänty,bòr
158,Kiefer[Baum]::N,petäjä,bòr
159,Weide[Baum]::N,paju,vŕba
160,Tanne::N,kuusi,hója
161,Horn::N,sarvi,róg
162,Feder::N,sulka,peró
163,Feder::N,höyhen,peró
164,Fell::N,talja,kŕzno
165,Flügel::N,siipi,krílo
166,Klaue::N,kynsi,párkelj
167,Kralle::N,kynsi,krémpelj
168,Schwanz::N,häntä,rèp
169,Schwanz::N,pyrstö,rèp
170,Ei::N,muna,jájce
171,Nest::N,pesä,gnézdo
172,Bau::N,pesä,brlòg
173,Tier::N,eläin,živál
174,Herde::N,lauma,čréda
175,Kuh::N,lehmä,kráva
176,Bulle::N,sonni,bìk
177,Pferd::N,hevonen,kònj
178,Schaf::N,lammas,ôvca
179,Schwein::N,sika,svínja
180,Hund::N,koira,pès
181,Katze::N,kissa,máčka
182,Bär::N,karhu,mêdved
183,Eichhörnchen::N,orava,véverica
184,Elch::N,hirvi,lós
185,Fuchs::N,kettu,lisíca
186,Hase::N,jänis,zájec
187,Maus::N,hiiri,mìš
188,Wolf::N,susi,vólk
189,Vogel::N,lintu,ptìč
190,Vogel::N,lintu,ptíca
191,Schwarm::N,parvi,játa
192,Huhn::N,kana,kokóš
193,Hahn::N,kukko,petêlin
194,Gans::N,hanhi,gós
