,Concept_ID,ba,az
0,Auge::N,күҙ,göz
1,Ohr::N,ҡолаҡ,qulaq
2,Nase::N,танау,burun
3,Mund::N,ауыҙ,ağız
4,Zahn::N,теш,diş
5,Zunge::N,тел,dil
6,Lippe::N,ирен,dodaq
7,Wange::N,яцаҡтар,yanaq
8,Gesicht::N,бит,üz
9,Stirn::N,маңлай,alın
10,Haar::N,сәс,saç
11,Schnurrbart::N,мылтыҡ,bığ
12,Bart::N,һаҡал,saqqal
13,Kinn::N,эйэк,çənə
14,Kiefer[Anatomie]::N,яңаҡ һөйәге,çənə
15,Kehle::N,тамаҡ,boğaz
16,Hals::N,муйын,boyun
17,Genick::N,соңҡа,ənsə
18,Kopf::N,баш,baş
19,Rücken::N,арҡа,bel
20,Bauch::N,ҡорһаҡ,qarın
21,Nabel::N,кендек,göbək
22,Busen::N,күкрәк,məmə
23,Brust::N,түш,döş
24,Schulter::N,яурын,çiyin
25,Arm::N,ҡул,qol
26,Ellenbogen::N,терһәк,dirsək
27,Hand::N,ҡул,əl
28,Hand::N,ҡул суғы,əl
29,Handfläche::N,ус төбө,ovuc
30,Finger::N,бармаҡ,barmaq
31,Fingernagel::N,тырнаҡ,barmaq dırnağı
32,Nagel[Anatomie]::N,тырнаҡ,dırnak
33,Zeh::N,бармаҡ,ayaq barmağı
34,Fuß::N,табан,ayaq
35,Ferse::N,үксә,daban
36,Knie::N,тубыҡ,diz
37,Oberschenkel::N,сандыр,bud
38,Bein::N,аяҡ,qıç
39,Körper::N,тән,əndam
40,Haut::N,тире,dəri
41,Blut::N,ҡан,qan
42,Ader::N,тамыр,damar
43,Sehne::N,һеңер,vətər
44,Sehne::N,тарамыш,vətər
45,Knochen::N,һойәк,sümük
46,Gehirn::N,мейе,beyin
47,Herz::N,йорәк,ürək
48,Magen::N,ашҡаҙан,mədə
49,Leber::N,бауыр,qara ciyər
50,Atem::N,һулыш,nəfəs
51,Hunger::N,аслыҡ,aclıq
52,Träne::N,күҙ иәше,göz yaşı
53,Geschmack::N,тәм,tam
54,Geschmack::N,тәм,ləzzət
