,Concept_ID,ml,en
0,Auge::N,കണ്ണ്,eye
1,Ohr::N,ചെവി,ear
2,Nase::N,മൂക്ക്,nose
3,Mund::N,വായ,mouth
4,Zahn::N,പല്ല്,tooth
5,Zunge::N,നാക്ക്,tongue
6,Lippe::N,ചുണ്ട്,lip
7,Wange::N,കവിൾത്തടം,cheek
8,Gesicht::N,മുഖം,face
9,Stirn::N,നെറ്റി,forehead
10,Haar::N,തലമുടി,hair
11,Schnurrbart::N,മീശ,moustache
12,Bart::N,താടിരോമം,beard
13,Kinn::N,താടി,chin
14,Kiefer[Anatomie]::N,താടിയെല്ല്,jaw
15,Kehle::N,കണ്ഠനാളം,throat
16,Hals::N,കഴുത്ത്,neck
17,Genick::N,പിടലി,nape
18,Kopf::N,തല,head
19,Rücken::N,മുതുക്,back
20,Rücken::N,മുതുക്,spine
21,Bauch::N,നയറ്,belly
22,Nabel::N,നാഭി,navel
23,Busen::N,സ്തനം,bosom
24,Brust::N,സ്തനം,chest
25,Brust::N,സ്തനം,breast
26,Schulter::N,തോൾ,shoulder
27,Arm::N,കൈ,arm
28,Ellenbogen::N,കൈമുട്ട്,elbow
29,Hand::N,കൈ,hand
30,Handfläche::N,ഉള്ളം കൈ,palm
31,Finger::N,വിരൽ,finger
32,Fingernagel::N,നഖം,fingernail
33,Nagel[Anatomie]::N,നഖം,nail
34,Zeh::N,കാൽവിരൽ,toe
35,Fuß::N,കാൽപ്പാദം,foot
36,Ferse::N,ഉപ്പൂറ്റി,heel
37,Knie::N,കാൽമുട്ട്,knee
38,Oberschenkel::N,തുട,thigh
39,Bein::N,കാൽ,leg
40,Körper::N,ശരീരം,body
41,Haut::N,ചർമ്മം,skin
42,Blut::N,രക്തം,blood
43,Ader::N,ഞരമ്പ്,vein
44,Sehne::N,സ്നായു,sinew
45,Knochen::N,അസ്ഥി,bone
46,Gehirn::N,തലച്ചോറ്,brain
47,Herz::N,ഹൃദയം,heart
48,Magen::N,വയർ,stomach
49,Leber::N,കരൾ,liver
50,Atem::N,ശ്വാസം,breath
51,Hunger::N,വിശപ്പ്,hunger
52,Träne::N,കണ്ണീർ,tear
53,Geschmack::N,രുചി,flavour
54,Geschmack::N,രുചി,flavor
55,Geruch::N,ഗന്ധം,odour
56,Geruch::N,ഗന്ധം,odor
57,Schlaf::N,ഉറകും,sleep
58,Traum::N,സ്വപ്നം,dream
59,Himmel::N,ആകാശം,sky
60,Sonne::N,സൂര്യൻ,sun
61,Mond::N,ചന്ദ്രൻ,moon
62,Stern::N,നക്ഷത്രം,star
63,Luft::N,കാറ്റ്,air
64,Wind::N,കാറ്റ്,wind
65,Welle::N,തിരമാല,wave
66,Wasser::N,വെള്ളം,water
67,Stein::N,ശില,stone
68,Stein::N,കല്ല്,stone
69,Boden::N,തറ,soil
70,Boden::N,തറ,ground
71,Boden::N,നിലം,soil
72,Boden::N,നിലം,ground
73,Erde::N,മണ്ണ്,earth
74,Staub::N,പൊടി,dust
75,Rauch::N,പുക,smoke
76,Funke::N,തീപ്പൊരി,spark
77,Feuer::N,തീ,fire
78,Licht::N,വിളക്ക്,light
79,Licht::N,സൂര്യപ്രകാശം,light
80,Schatten::N,തണൽ,shadow
81,Wetter::N,കാലാവസ്ഥ,weather
82,Nebel::N,മൂടൽമഞ്ഞ്,fog
83,Wolke::N,മേഘം,cloud
84,Regen::N,മഴ,rain
85,Schnee::N,മഞ്ഞ്,snow
86,Eis::N,ഐസ്,ice
87,Frost::N,മൂടൽമഞ്ഞ്,frost
88,Kälte::N,തണുപ്പ്,chill
89,Hitze::N,ചൂട്,heat
90,Raureif::N,കോടമഞ്ഞ്,hoarfrost
91,Regenbogen::N,മഴവില്ല്,rainbow
92,Donner::N,ഇടി,thunder
93,Strömung::N,പ്രവാഹം,current
94,Tropfen::N,തുള്ളി,drop
95,Schaum::N,നുര,foam
96,Schmutz::N,അഴുക്ക്,dirt
97,See::N,തടാകം,lake
98,Sumpf::N,ചതുപ്പുനിലം,swamp
99,Moor::N,പാഴ്നിലം,moor
100,Wiese::N,പുൽത്തകിടി,meadow
101,Wald::N,വനം,forest
102,Wald::N,കാട്,forest
103,Hügel::N,കുന്ന്,hill
104,Anhöhe::N,ഉയർന്ന ഭൂമി,elevation
105,Berg::N,പർവ്വതം,mountain
106,Gipfel::N,ഉച്ചകോടി,summit
107,Höhle::N,ഗുഹ,cave
108,Abhang::N,ചരിവ്,slope
109,Quelle::N,ഉറവിടം,source
110,Bach::N,അരുവി,brook
111,Fluss::N,നദി,river
112,Ufer::N,തീരം,shore
113,Küste::N,കടൽത്തീരം,coast
114,Festland::N,കര,land
115,Meer::N,കടൽ,sea
116,Bucht::N,ഉൾക്കടല്,cove
117,Insel::N,ദ്വീപ്,island
118,Blume::N,പൂവ്,flower
119,Gras::N,പുല്ല്,grass
120,Wurzel::N,വേര്,root
121,Baum::N,മരം,tree
122,Stamm::N,തായ്ത്തടി,trunk
123,Rinde::N,പട്ട,bark
124,Ast::N,ശാഖ,limb
125,Zweig::N,ശാഖ,branch
126,Blatt::N,ഇല,leaf
127,Birke::N,പൂവരശ്,birch
128,Kiefer[Baum]::N,പൈൻമരം,pine
129,Weide[Baum]::N,വില്ലോ,willow
130,Tanne::N,ദേവദാരു,fir
131,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,horn
132,Feder::N,തൂവൽ,feather
133,Fell::N,മൃദുരോമം,fur
134,Flügel::N,ചിറക്,wing
135,Klaue::N,നഖം,claw
136,Kralle::N,നഖം,claw
137,Schwanz::N,വാൽ,tail
138,Ei::N,മുട്ട,egg
139,Nest::N,കൂട്,nest
140,Bau::N,മാളം,lair
141,Tier::N,മൃഗം,animal
142,Herde::N,കൂട്ടം,flock
143,Kuh::N,പശു,cow
144,Bulle::N,കാള,bull
145,Pferd::N,കുതിര,horse
146,Schaf::N,ആട്,sheep
147,Schwein::N,പന്നി,pig
148,Hund::N,നായ്,dog
149,Katze::N,പൂച്ച,cat
150,Bär::N,കരടി,bear
151,Eichhörnchen::N,അണ്ണാൻ,squirrel
152,Elch::N,കടമാന്,elk
153,Fuchs::N,കുറുക്കൻ,fox
154,Hase::N,മുയൽ,hare
155,Maus::N,ചുണ്ടലി,mouse
156,Wolf::N,ചെന്നായ,wolf
157,Vogel::N,പക്ഷി,bird
158,Schwarm::N,കൂട്ടം,swarm
159,Huhn::N,കോഴി,chicken
160,Hahn::N,പൂവൻകോഴി,cock
161,Gans::N,അരയന്നം,goose
162,Adler::N,കഴുകൻ,eagle
163,Ente::N,താറാവ്,duck
164,Eule::N,മൂങ്ങ,owl
165,Kranich::N,കൊക്ക്,crane
166,Krähe::N,കാക്ക,crow
167,Kuckuck::N,കുയിൽ,cuckoo
168,Schwan::N,അരയന്നം,swan
169,Fisch::N,മത്സ്യം,fish
170,Barsch::N,ഒരിനം മത്സ്യം,perch
171,Hecht::N,ഒരു മത്സ്യം,pike
172,Schlange[Tier]::N,പാമ്പ്,snake
173,Wurm::N,വിര,worm
174,Spinne::N,ചിലന്തി,spider
175,Ameise::N,ഉറുമ്പ്,ant
176,Laus::N,പേന്,louse
177,Mücke::N,മശകം,midge
178,Fliege::N,ഈച്ച,fly
179,Schmetterling::N,ചിത്രശലഭം,butterfly
180,Beere::N,ബെറി,berry
181,Apfel::N,ആപ്പിൾ,apple
182,Pilz::N,കൂൺ,mushroom
183,Zwiebel::N,സവാള,onion
184,Saat::N,വിത്ത്,seed
185,Korn::N,ധാന്യം,grain
186,Heu::N,വയ്ക്കോൽ,hay
187,Schale::N,തൊലി,husk
188,Grube::N,കുഴി,pit
189,Falle::N,കെണി,trap
190,Schlinge::N,കുടുക്ക്,noose
191,Spur::N,ചുവട്,track
192,Asche::N,ചാരം,ashes
193,Dreck::N,അഴുക്ക്,filth
194,Eisen::N,ഇരുമ്പ്,iron
195,Gold::N,സ്വർണ്ണം,gold
196,Silber::N,വെള്ളി,silver
197,Kohle::N,കൽക്കരി,coal
198,Glas::N,ഗ്ലാസ്,glass
199,Lehm::N,കളിമണ്ണ്,clay
200,Sand::N,മണൽ,sand
201,Mensch::N,മനുഷ്യർ,human
202,Mann::N,പുരുഷൻ,man
203,Frau::N,സ്ത്രീ,woman
204,Kind::N,കുഞ്ഞ്,child
205,Junge::N,ആൺകുട്ടി,boy
206,Mädchen::N,പെൺകുട്ടി,girl
207,Familie::N,കുടുംബം,family
208,Großvater::N,അപ്പൂപ്പൻ,grandfather
209,Großmutter::N,അമ്മുമ്മ,grandmother
