,Concept_ID,fi,ka
0,Auge::N,silmä,თვალი
1,Ohr::N,korva,ყური
2,Nase::N,nenä,ცხვირი
3,Mund::N,suu,პირი
4,Zahn::N,hammas,კბილი
5,Zunge::N,kieli,ენა
6,Lippe::N,huuli,ბაგე
7,Wange::N,poski,ლოყა
8,Gesicht::N,naama,სახე
9,Gesicht::N,kasvot,სახე
10,Stirn::N,otsa,შუბლი
11,Haar::N,hius,თმა
12,Haar::N,tukka,თმა
13,Schnurrbart::N,viikset,ულვაში
14,Bart::N,parta,წვერი
15,Kinn::N,leuka,ნიკაპი
16,Kiefer[Anatomie]::N,leukaluu,ყბა
17,Kehle::N,kurkku,ყელი
18,Hals::N,kaula,ყელი
19,Hals::N,kaula,კისერი
20,Genick::N,niska,კეფა
21,Kopf::N,pää,თავი
22,Rücken::N,selkä,ზურგი
23,Bauch::N,maha,მუცელი
24,Bauch::N,vatsa,მუცელი
25,Nabel::N,napa,ჭიპი
26,Busen::N,rinta,ძუძუ
27,Brust::N,rinta,მკერდი
28,Schulter::N,olka,მხარი
29,Schulter::N,olka,მკლავი
30,Schulter::N,hartia,მხარი
31,Schulter::N,hartia,მკლავი
32,Schulter::N,olkapää,მხარი
33,Schulter::N,olkapää,მკლავი
34,Arm::N,käsivarsi,ხელი
35,Ellenbogen::N,kyynärpää,იდაყვი
36,Hand::N,käsi,ხელი
37,Handfläche::N,kämmen,ნები
38,Handfläche::N,kämmen,ხელისგული
39,Finger::N,sormi,თითი
40,Fingernagel::N,kynsi,ფრჩხილი
41,Nagel[Anatomie]::N,kynsi,ფრჩხილი
42,Zeh::N,varvas,ფეხის თითი
43,Fuß::N,jalka,ტერფი
44,Fuß::N,jalka,ფეხისგული
45,Ferse::N,kantapää,ქუსლი
46,Knie::N,polvi,მუხლი
47,Oberschenkel::N,reisi,ბარძაყი
48,Bein::N,jalka,ფეხი
49,Körper::N,keho,ტანი
50,Körper::N,keho,სხეული
51,Körper::N,ruumis,ტანი
52,Körper::N,ruumis,სხეული
53,Haut::N,iho,კანი
54,Blut::N,veri,სისხლი
55,Ader::N,suoni,ძარღვი
56,Sehne::N,jänne,მყესი
57,Knochen::N,luu,ძვალი
58,Gehirn::N,aivot,ტვინი
59,Herz::N,sydän,გული
60,Magen::N,maha,კუჭი
61,Magen::N,vatsa,კუჭი
62,Leber::N,maksa,ღვიძლი
63,Atem::N,henki,სუნთქვა
64,Atem::N,hengitys,სუნთქვა
65,Hunger::N,nälkä,შიმშილი
66,Träne::N,kyynel,ცრემლი
67,Geschmack::N,maku,გემო
68,Geruch::N,haju,სუნი
69,Schlaf::N,uni,ძილი
70,Traum::N,uni,სიზმარი
71,Himmel::N,taivas,ცა
72,Sonne::N,aurinko,მზე
73,Mond::N,kuu,მთვარე
74,Stern::N,tähti,ვარსკვლავი
75,Luft::N,ilma,ჰაერი
76,Wind::N,tuuli,ქარი
77,Welle::N,aalto,ტალღა
78,Wasser::N,vesi,წყალი
79,Stein::N,kivi,ქვა
80,Boden::N,maa,მიწა
81,Boden::N,maaperä,მიწა
82,Erde::N,maa,ნიადაგი
83,Staub::N,pöly,მტვერი
84,Rauch::N,savu,ბოლი
85,Rauch::N,savu,კვამლი
