,Concept_ID,pt,cv
0,Auge::N,olho,куҫ
1,Ohr::N,orelha,хӑлха
2,Nase::N,nariz,сӑмса
3,Mund::N,boca,ҫӑвар
4,Zahn::N,dente,шӑл
5,Zunge::N,língua,чӗлхе
6,Lippe::N,lábio,тута
7,Wange::N,face,пит ҫӑмарти
8,Gesicht::N,cara,пит
9,Gesicht::N,cara,пит-куҫ
10,Gesicht::N,rosto,пит
11,Gesicht::N,rosto,пит-куҫ
12,Stirn::N,testa,ҫамка
13,Haar::N,cabelo,ҫӳҫ
14,Schnurrbart::N,bigode,усси
15,Bart::N,barba,сухал
16,Kinn::N,queixo,янах
17,Kiefer[Anatomie]::N,maxila,янах
18,Kiefer[Anatomie]::N,mandíbula,янах
19,Kehle::N,garganta,пыр
20,Kehle::N,garganta,карланкӑ
21,Hals::N,colo,пыр
22,Hals::N,pescoço,пыр
23,Genick::N,nuca,ӗнсе
24,Kopf::N,cabeça,пуҫ
25,Rücken::N,dorso,ҫурӑм
26,Rücken::N,costas,ҫурӑм
27,Bauch::N,ventre,
28,Bauch::N,barriga,
29,Nabel::N,umbigo,кӑвапа
30,Busen::N,seio,кӑкӑр
31,Brust::N,peito,умӗ
32,Schulter::N,ombro,хул пуҫҫи
33,Arm::N,braço,алӑ
34,Ellenbogen::N,cotovelo,чавса
35,Hand::N,mão,алӑ сыппи
36,Handfläche::N,palma,ал лаппи
37,Handfläche::N,palma da mão,ал лаппи
38,Finger::N,dedo,пӳрне
39,Fingernagel::N,unha,чӗрне
40,Nagel[Anatomie]::N,unha,чӗрне
41,Zeh::N,dedo do pé,пӳрне
42,Fuß::N,pé,ура лаппи
43,Ferse::N,calcanhar,кӗле
44,Knie::N,joelho,чӗркуҫҫи
45,Oberschenkel::N,coxa,пӗҫӗ
46,Bein::N,perna,ура
47,Körper::N,corpo,ӳт
48,Körper::N,corpo,ӳт-пӳ
49,Haut::N,pele,тир
50,Blut::N,sangue,юн
51,Ader::N,veia,вена
52,Sehne::N,tendão,шӑнӑр
53,Knochen::N,osso,шӑмӑ
54,Gehirn::N,cérebro,миме
55,Herz::N,coração,чӗре
56,Magen::N,estômago,хырӑмлӑх
57,Leber::N,fígado,пӗвер
58,Atem::N,fôlego,сывлав
59,Hunger::N,fome,выҫлӑх
60,Träne::N,lágrima,куҫҫуль
61,Geschmack::N,gosto,техӗм
62,Geruch::N,odor,шӑршӑ
63,Geruch::N,cheiro,шӑршӑ
64,Schlaf::N,sono,ыйхӑ
65,Traum::N,sonho,тӗлӗк
66,Himmel::N,céu,пӗлӗт
67,Sonne::N,sol,хӗвел
68,Mond::N,lua,уйӑх
69,Stern::N,estrela,ҫӑлтӑр
70,Luft::N,ar,сывлӑш
71,Wind::N,vento,ҫил
72,Welle::N,onda,хум
73,Wasser::N,água,шыв
74,Wasser::N,água,шыв-шур
75,Stein::N,pedra,чул
76,Boden::N,solo,тӑпра
77,Erde::N,terra,ҫӗр
78,Staub::N,pó,тусан
79,Rauch::N,fumo,тӗтӗм
80,Funke::N,faísca,хӗм
81,Funke::N,centelha,хӗм
82,Feuer::N,fogo,вут
83,Feuer::N,fogo,ҫулӑм
84,Licht::N,luz,ҫутӑ
85,Schatten::N,sombra,сулхӑн
86,Wetter::N,tempo,ҫанталӑк
87,Nebel::N,nevoeiro,тӗтре
88,Wolke::N,nuvem,пӗлӗт
89,Regen::N,chuva,ҫумӑр
90,Schnee::N,neve,юр
91,Eis::N,gelo,пӑр
92,Frost::N,gelo,сивӗ
93,Frost::N,geada,сивӗ
94,Kälte::N,frio,сивӗ
95,Hitze::N,ardor,вӗри
96,Hitze::N,ardor,шӑрӑх
97,Raureif::N,geada,пас
98,Regenbogen::N,arco-iris,асамат кӗперӗ
99,Donner::N,trovão,аслати
100,Strömung::N,corrente,юхӑ
101,Tropfen::N,gota,тумлам
102,Schaum::N,espuma,кӑпӑк
103,Schmutz::N,sujidade,пылчӑк
104,Schmutz::N,imundície,пылчӑк
105,See::N,lago,кӳлӗ
106,Sumpf::N,charco,шур
107,Sumpf::N,charco,шурлӑх
108,Sumpf::N,pântano,шур
109,Sumpf::N,pântano,шурлӑх
110,Moor::N,pântano,торфлӑ шурлӑх
111,Wiese::N,prado,улӑх
112,Wiese::N,prado,ҫаран
113,Wald::N,bosque,вӑрман
114,Wald::N,floresta,вӑрман
115,Hügel::N,colina,сӑрт
116,Hügel::N,colina,тӗмеске
117,Anhöhe::N,alto,сӑрт
118,Anhöhe::N,outeiro,сӑрт
119,Berg::N,monte,ту
120,Berg::N,montanha,ту
121,Gipfel::N,pico,тӳпе
122,Höhle::N,caverna,ҫӗр хӑвӑлӗ
123,Abhang::N,encosta,тӑвайкки
124,Quelle::N,fonte,ҫӑл куҫ
125,Bach::N,regato,пӗчӗк шыв
126,Bach::N,ribeiro,пӗчӗк шыв
127,Fluss::N,rio,юхан шыв
128,Ufer::N,beira,ҫыран
129,Küste::N,costa,тинӗс ҫыранӗ
130,Festland::N,terra firme,тип ҫӗр
131,Meer::N,mar,тинӗс
132,Bucht::N,baía,тинӗс кукӑрӗ
133,Insel::N,ilha,утрав
134,Blume::N,flor,чечек
135,Gras::N,erva,курӑк
136,Wurzel::N,raiz,тымар
137,Baum::N,árvore,йывӑҫ
138,Stamm::N,tronco,вулӑ
139,Rinde::N,casca,хуйӑр
140,Ast::N,ramo,турат
141,Zweig::N,galho,турат
142,Blatt::N,folha,ҫулҫӑ
143,Birke::N,bétula,хурӑн
144,Kiefer[Baum]::N,pinheiro,хыр
145,Weide[Baum]::N,salgueiro,хӑва
146,Tanne::N,abeto,чӑрӑш
147,Horn::N,corno,мӑйрака
148,Horn::N,chifre,мӑйрака
149,Feder::N,pena,тӗк
150,Fell::N,pele,ҫӑм
151,Flügel::N,asa,ҫунат
152,Klaue::N,pata,чӗрне
153,Kralle::N,unha,ура
154,Kralle::N,garra,ура
155,Schwanz::N,rabo,хӳре
156,Schwanz::N,cauda,хӳре
157,Ei::N,ovo,ҫӑмарта
158,Nest::N,ninho,йӑва
159,Bau::N,toca,йӗнӗ
160,Bau::N,covil,йӗнӗ
161,Tier::N,animal,выльӑх
162,Herde::N,rebanho,кӗтӳ
163,Kuh::N,vaca,ӗне
164,Bulle::N,touro,вӑкӑр
165,Pferd::N,cavalo,лаша
166,Schaf::N,ovelha,сурӑх
167,Schwein::N,porco,сысна
168,Hund::N,cão,йытӑ
169,Katze::N,gata,кушак
170,Bär::N,urso,упа
171,Eichhörnchen::N,esquilo,пакша
172,Elch::N,alce,пӑши
173,Fuchs::N,raposa,тилӗ
174,Hase::N,lebre,куян
175,Hase::N,lebre,мулкач
176,Maus::N,rato,шӑши
177,Wolf::N,lobo,кашкӑр
178,Vogel::N,ave,кайӑк
179,Vogel::N,ave,вӗҫен кайӑк
180,Vogel::N,pássaro,кайӑк
181,Vogel::N,pássaro,вӗҫен кайӑк
182,Schwarm::N,bando,ушкӑн
183,Schwarm::N,enxame,ушкӑн
184,Huhn::N,galinha,чӑх
185,Huhn::N,galinha,чӑхӑ
186,Hahn::N,galo,автан
187,Gans::N,ganso,хур
188,Adler::N,águia,ӑмӑрт кайӑк
189,Ente::N,pata,кӑвакал
190,Eule::N,mocho,тӑмана
191,Eule::N,coruja,тӑмана
192,Kranich::N,grou,тӑрна
193,Krähe::N,gralha,ула курак
194,Kuckuck::N,cuco,куккук
195,Schwan::N,cisne,акӑш
196,Fisch::N,peixe,пулӑ
197,Barsch::N,perca,уланкӑ
198,Hecht::N,lúcio,ҫӑрттан
199,Schlange[Tier]::N,serpente,ҫӗлен
200,Wurm::N,verme,ӑман
201,Spinne::N,aranha,эрешмен
202,Ameise::N,formiga,кӑткӑ
203,Laus::N,piolho,пыйтӑ
204,Mücke::N,mosquito,вӑрӑм туна
205,Fliege::N,mosca,шӑна
206,Schmetterling::N,borboleta,лӗпӗш
207,Beere::N,bago,ҫырла
208,Apfel::N,maçã,улма
209,Apfel::N,maçã,пан улми
210,Pilz::N,fungo,кӑмпа
211,Pilz::N,cogumelo,кӑмпа
212,Zwiebel::N,cebola,сухан
213,Saat::N,sementeira,вӑрӑ
214,Korn::N,grão,тӗшӗ
215,Korn::N,grão,пӗрчӗ
216,Heu::N,feno,утӑ
217,Schale::N,casca,хупӑ
218,Grube::N,cova,шӑтӑк
219,Grube::N,fossa,шӑтӑк
220,Falle::N,armadilha,тапӑ
221,Falle::N,armadilha,капкӑн
222,Schlinge::N,laço,йӑлӑ
223,Spur::N,pista,йӗр
224,Spur::N,vestígio,йӗр
225,Asche::N,cinza,кӗл
226,Dreck::N,sujidade,пылчӑк
227,Eisen::N,ferro,тимӗр
228,Gold::N,ouro,ылтӑн
229,Silber::N,prata,кӗмӗл
230,Kohle::N,carvão,кӑмрӑк
231,Glas::N,vidro,кӗленче
232,Lehm::N,barro,тӑм
233,Lehm::N,argila,тӑм
234,Sand::N,areia,хӑйӑр
235,Mensch::N,homem,ҫын
236,Mensch::N,homem,этем
237,Mensch::N,pessoa,ҫын
238,Mensch::N,pessoa,этем
239,Mann::N,homem,ар
240,Frau::N,mulher,хӗрарӑм
241,Kind::N,filho,ача
242,Kind::N,criança,ача
243,Junge::N,rapaz,ача
244,Junge::N,rapaz,ар ҫын ача
245,Junge::N,menino,ача
246,Junge::N,menino,ар ҫын ача
247,Mädchen::N,menina,хӗр ача
248,Mädchen::N,rapariga,хӗр ача
249,Familie::N,família,ҫемье
250,Familie::N,família,кил-йыш
251,Großvater::N,avô,кукаҫи
252,Großmutter::N,avó,кукамай
253,Eltern::N,pais,аҫа-ама
254,Vater::N,pai,атте
255,Mutter::N,mãe,анне
256,Sohn::N,filho,ывӑл
257,Tochter::N,filha,хӗр
258,Bruder::N,irmão,ар тӑван
259,Schwester::N,irmã,аппа
260,Schwester::N,irmã,йӑмӑк
261,Onkel::N,tio,мучи
262,Onkel::N,tio,пичче
