,Concept_ID,os,sl
0,Auge::N,цӕст,okó
1,Ohr::N,хъус,uhó
2,Nase::N,фындз,nós
3,Mund::N,дзых,ústa
4,Zahn::N,дӕндаг,zób
5,Zunge::N,ӕвзаг,jêzik
6,Lippe::N,был,ústnica
7,Wange::N,рус,líce
8,Wange::N,уадул,líce
9,Wange::N,ӕхсӕрфарс,líce
10,Gesicht::N,цӕсгом,oblíčje
11,Stirn::N,ных,čêlo
12,Haar::N,хил,lás
13,Schnurrbart::N,рихи,bŕki
14,Bart::N,зачъе,bráda
15,Kinn::N,роцъо,bráda
16,Kiefer[Anatomie]::N,ӕфсӕр,čeljúst
17,Kehle::N,хъуыр,gŕlo
18,Hals::N,къубал,vrát
19,Genick::N,къӕбут,zatílnik
20,Kopf::N,сӕр,gláva
21,Rücken::N,фӕсонтӕ,hrbèt
22,Bauch::N,гуыбын,trébuh
23,Nabel::N,бикъ,pópek
24,Busen::N,дзидзи,nédrja
25,Brust::N,риу,pŕsi
26,Schulter::N,уӕхск,ráma
27,Schulter::N,уӕхск,plêče
28,Arm::N,цонг,rôka
29,Ellenbogen::N,рæмбын,komólec
30,Hand::N,къух,rôka
31,Handfläche::N,армытъӕпӕн,dlán
32,Finger::N,ӕнруылдз,pŕst
33,Fingernagel::N,ных,nóht na rôki
34,Nagel[Anatomie]::N,ных,nóht
35,Zeh::N,къух,pŕst na nôgi
36,Fuß::N,фад,nôga
37,Ferse::N,зӕвӕт,pêta
38,Knie::N,уӕраг,koléno
39,Oberschenkel::N,агъд,stêgno
40,Bein::N,зӕнг,nôga
41,Körper::N,буар,teló
42,Haut::N,царм,kóža
43,Blut::N,туг,krí
44,Ader::N,дадзин,žíla
45,Ader::N,тугдадзин,žíla
46,Sehne::N,хъиутæ,kíta
47,Sehne::N,нуар,kíta
48,Knochen::N,стӕг,kóst
49,Gehirn::N,магъз,možgáni
50,Herz::N,зӕрдӕ,srcé
51,Magen::N,ахсӕн,želódec
52,Leber::N,игæр,jétra
53,Atem::N,улӕфт,díh
54,Hunger::N,стонг,glád
55,Träne::N,цæссыг,sólza
56,Geschmack::N,ад,okús
57,Geruch::N,смаг,vónj
58,Schlaf::N,хуыссӕг,sèn
59,Schlaf::N,хуыссӕг,spánec
60,Traum::N,фын,sánje
61,Himmel::N,арв,nebó
62,Himmel::N,уӕларв,nebó
63,Sonne::N,хур,sónce
64,Mond::N,мӕй,lúna
65,Mond::N,мӕй,mésec
66,Stern::N,стъалы,zvézda
67,Luft::N,уӕлдӕф,zràk
68,Wind::N,дымгӕ,véter
69,Welle::N,уылӕн,vál
70,Wasser::N,дон,vôda
71,Stein::N,дур,kámen
72,Boden::N,зӕхх,tlà
73,Erde::N,сыджыт,pŕst
74,Erde::N,сыджыт,zêmlja
75,Staub::N,рыг,práh
76,Rauch::N,фӕздӕг,dìm
77,Funke::N,цӕхӕр,ískra
78,Feuer::N,зынг,ôgenj
79,Licht::N,рухс,lúč
80,Schatten::N,аууон,sénca
81,Wetter::N,боныхъӕд,vrême
82,Nebel::N,мигъ,meglà
83,Wolke::N,ӕврагъ,oblák
84,Regen::N,уарын,dèž
85,Schnee::N,мит,snég
86,Eis::N,их,léd
87,Frost::N,ихæн,zmrzál
88,Kälte::N,уазал,mràz
89,Hitze::N,ӕнтӕф,pripéka
90,Raureif::N,халас,ívje
91,Raureif::N,халас,slána
92,Regenbogen::N,арвырон,mávrica
93,Regenbogen::N,арвырдын,mávrica
94,Donner::N,æрвнæрын,gròm
95,Strömung::N,цыд,strúja
96,Tropfen::N,æртах,káplja
97,Schaum::N,фынк,péna
98,Schmutz::N,цъыф,nesnága
99,See::N,цад,jézero
100,Sumpf::N,цъыфдзаст,močvírje
101,Moor::N,цъыфдзаст,bárje
102,Wiese::N,уыгӕрдӕн,trávnik
103,Wald::N,хъӕд,lés
104,Wald::N,хъӕд,gòzd
105,Hügel::N,обау,brég
106,Hügel::N,обау,goríca
107,Hügel::N,къуыбыр,brég
108,Hügel::N,къуыбыр,goríca
109,Anhöhe::N,уæлвæз,gríč
110,Anhöhe::N,уæлвæз,višína
111,Anhöhe::N,уæлхох,gríč
112,Anhöhe::N,уæлхох,višína
113,Berg::N,хох,gôra
114,Berg::N,хох,planína
115,Gipfel::N,цъупп,vŕh
116,Höhle::N,лӕгӕт,jáma
117,Höhle::N,лӕгӕт,votlína
118,Abhang::N,къул,pobóčje
119,Quelle::N,суадон,izvír
120,Bach::N,мӕсчъыдон,pôtok
121,Fluss::N,дон,réka
122,Fluss::N,цӕугӕдон,réka
123,Ufer::N,был,brég
124,Küste::N,донбыл,obála
125,Küste::N,донбыл,obréžje
126,Festland::N,сурзæхх,celína
127,Festland::N,сурзæхх,kopnína
128,Meer::N,денджыз,mórje
129,Bucht::N,донбакæлæн,zalív
130,Insel::N,сакъадах,ôtok
131,Blume::N,дидинӕг,cvetlíca
132,Gras::N,кӕрдӕг,tráva
133,Wurzel::N,уидаг,korenína
134,Baum::N,бӕлас,drevó
135,Stamm::N,хӕтӕл,dêblo
136,Rinde::N,цъар,lúbje
137,Rinde::N,цъар,skórja
138,Ast::N,арх,véja
139,Zweig::N,къалиу,véja
140,Blatt::N,сыф,líst
141,Birke::N,бæрз,bréza
142,Kiefer[Baum]::N,нӕзы,bòr
143,Weide[Baum]::N,хӕрис,vŕba
144,Tanne::N,наз,hója
145,Horn::N,сыкъа,róg
146,Feder::N,сис,peró
147,Fell::N,царм,kŕzno
148,Flügel::N,базыр,krílo
149,Klaue::N,ных,párkelj
150,Kralle::N,дзӕмбы,krémpelj
151,Schwanz::N,къӕдзил,rèp
152,Ei::N,айк,jájce
153,Nest::N,ахстон,gnézdo
154,Bau::N,хуынкъ,brlòg
155,Tier::N,сырд,živál
156,Tier::N,цӕрӕгой,živál
157,Herde::N,дзуг,čréda
158,Herde::N,рӕгъау,čréda
159,Kuh::N,хъуг,kráva
160,Bulle::N,гал,bìk
161,Pferd::N,бӕх,kònj
162,Schaf::N,фыс,ôvca
163,Schwein::N,хуы,svínja
164,Hund::N,куыдз,pès
165,Katze::N,гӕды,máčka
166,Bär::N,арс,mêdved
167,Eichhörnchen::N,æхсæрæг,véverica
168,Elch::N,цæгатаг саг,lós
169,Fuchs::N,рувас,lisíca
170,Hase::N,тæрхъус,zájec
171,Maus::N,мыст,mìš
172,Wolf::N,бирӕгъ,vólk
173,Vogel::N,цъиу,ptìč
174,Vogel::N,цъиу,ptíca
175,Vogel::N,маргъ,ptìč
176,Vogel::N,маргъ,ptíca
177,Schwarm::N,бал,játa
178,Huhn::N,карк,kokóš
179,Hahn::N,уасӕг,petêlin
180,Gans::N,хъаз,gós
181,Adler::N,цӕргӕс,ôrel
182,Ente::N,ацц,ráca
183,Eule::N, уыг,sôva
184,Eule::N,сидахъ,sôva
185,Kranich::N,зырнæг,žerjàv
186,Kranich::N,хърихъупп,žerjàv
187,Krähe::N,халон,vrána
188,Kuckuck::N,гаккук,kúkavica
189,Schwan::N,доныхъаз,labód
190,Fisch::N,кӕсаг,ríba
191,Barsch::N,окунь,ostríž
192,Hecht::N,хихор кӕсаг,ščúka
193,Schlange[Tier]::N,калм,káča
194,Wurm::N,зулкъ,čr̀v
195,Wurm::N,зулкъ,glísta
196,Wurm::N,къуыдыргалм,čr̀v
197,Wurm::N,къуыдыргалм,glísta
198,Spinne::N,хӕлуарӕг,pájek
199,Ameise::N,мæлдзыг,mrávlja
200,Laus::N,сыст,úš
201,Mücke::N,къогъо,komár
202,Fliege::N,бындз,múha
203,Schmetterling::N,гæлæбу,metúlj
204,Beere::N,гагадыргъ,jágoda
205,Apfel::N,фӕткъуы,jábolko
206,Pilz::N,зокъо,góba
207,Pilz::N,къозо,góba
208,Zwiebel::N,хъӕдындз,čebúla
209,Saat::N,тауинаг,séme
210,Saat::N,мыггаг,séme
211,Korn::N,мыггаг,zŕno
