,Concept_ID,ku,es
0,Auge::N,çav,ojo
1,Ohr::N,guh,oreja
2,Nase::N,bêvil,nariz
3,Mund::N,dev,boca
4,Zahn::N,didan,diente
5,Zunge::N,ziman,lengua
6,Lippe::N,lêv,labio
7,Wange::N,dêm,mejilla
8,Wange::N,hinarik,mejilla
9,Gesicht::N,rû,cara
10,Stirn::N,enî,frente
11,Haar::N,por,cabello
12,Schnurrbart::N,simbêl,bigote
13,Bart::N,rih,barba
14,Kinn::N,zenî,barbilla
15,Kiefer[Anatomie]::N,arguşk,mandíbula
16,Kehle::N,qirik,garganta
17,Hals::N,stû,cuello
18,Hals::N,qirik,cuello
19,Genick::N,stû,nuca
20,Genick::N,stû,cerviz
21,Kopf::N,serî,cabeza
22,Rücken::N,pişt,espalda
23,Bauch::N,ûr,vientre
24,Bauch::N,zik,vientre
25,Nabel::N,navik,ombligo
26,Busen::N,sîng,pecho
27,Brust::N,sîng,pecho
28,Schulter::N,mil,hombro
29,Arm::N,çepil,brazo
30,Ellenbogen::N,enîşk,codo
31,Hand::N,dest,mano
32,Handfläche::N,kefadest,palma
33,Finger::N,tilî,dedo
34,Fingernagel::N,neynuk,uña
35,Nagel[Anatomie]::N,bizmar,uña
36,Zeh::N,tilî linga,dedo del pie
37,Fuß::N,ling,pie
38,Ferse::N,pahnî,talón
39,Knie::N,kabok,rodilla
40,Oberschenkel::N,rahn,muslo
41,Bein::N,çip,pierna
42,Körper::N,laş,cuerpo
43,Körper::N,gowde,cuerpo
44,Haut::N,çerm,piel
45,Blut::N,xwîn,sangre
46,Ader::N,reh,vena
47,Sehne::N,reh,tendón
48,Knochen::N,hestî,hueso
49,Gehirn::N,mêjî,cerebro
50,Gehirn::N,mêjî,encéfalo
51,Herz::N,dil,corazón
52,Magen::N,navêş,estómago
53,Leber::N,kezeb,hígado
54,Atem::N,hilm,aliento
55,Hunger::N,birçîtî,hambre
56,Träne::N,hêstir,lágrima
57,Geschmack::N,tam,gusto
58,Geruch::N,bêhn,olor
59,Schlaf::N,xew,sueño
60,Traum::N,xewn,sueño
61,Traum::N,xewn,ensueño
62,Himmel::N,ezman,cielo
63,Sonne::N,roj,sol
64,Mond::N,heyv,luna
65,Stern::N,stêrk,estrella
66,Luft::N,ba,aire
67,Wind::N,ba,viento
68,Welle::N,şewl,ola
69,Welle::N,şewl,onda
70,Wasser::N,av,agua
71,Stein::N,kevir,piedra
72,Boden::N,herd,suelo
73,Erde::N,ax,tierra
74,Staub::N,toz,polvo
75,Rauch::N,dû,humo
76,Funke::N,çirûşk,chispa
77,Feuer::N,agir,fuego
78,Licht::N,ronahî,luz
79,Schatten::N,sî,sombra
80,Wetter::N,hewa,tiempo
81,Nebel::N,mij,niebla
82,Wolke::N,ewr,nube
83,Regen::N,baran,lluvia
84,Schnee::N,berf,nieve
85,Eis::N,qeşa,hielo
86,Frost::N,xûsik,helada
87,Kälte::N,serma,frío
88,Hitze::N,germayî,calor
89,Raureif::N,şext,escarcha
90,Regenbogen::N,heftreng,arco iris
91,Donner::N,gire-gir,trueno
92,Strömung::N,şewl,corriente
93,Tropfen::N,dilop,gota
94,Schaum::N,kef,espuma
95,Schmutz::N,gemar,suciedad
96,See::N,gol,lago
97,Sumpf::N,hezek,pantano
98,Moor::N,mafêl,turbera
99,Wiese::N,sûrik,prado
100,Wiese::N,sûrik,pradera
101,Wald::N,çiya,bosque
102,Wald::N,daristan,bosque
103,Hügel::N,gir,colina
104,Anhöhe::N,sere gir,cerro
105,Berg::N,kaş,monte
106,Berg::N,kaş,montaña
107,Gipfel::N,sere gir,cima
108,Gipfel::N,sere gir,cumbre
109,Höhle::N,şikeft,cueva
110,Höhle::N,şikeft,caverna
111,Abhang::N,kaş,cuesta
112,Abhang::N,kaş,declive
113,Quelle::N,kanî,fuente
114,Quelle::N,kanî,manantial
115,Bach::N,çem,arroyo
116,Fluss::N,çem,río
117,Fluss::N,rûbar,río
118,Ufer::N,kevî,orilla
119,Küste::N,berav,costa
120,Festland::N,bejahî,tierra firme
121,Meer::N,behr,mar
122,Bucht::N,derav,cala
123,Bucht::N,derav,bahía
124,Insel::N,girav,isla
125,Blume::N,kulînk,flor
126,Gras::N,giha,hierba
127,Wurzel::N,reh,raíz
128,Baum::N,dar,árbol
129,Stamm::N,bavik,tronco
130,Rinde::N,qaqil,corteza
131,Ast::N,gulî,rama
132,Zweig::N,şax,ramo
133,Blatt::N,pel,hoja
134,Birke::N,dara sipî,abedul
135,Kiefer[Baum]::N,dara bî,pino
136,Weide[Baum]::N,dara belalûk,sauce
137,Tanne::N,merx,abeto
138,Horn::N,strô,asta
139,Horn::N,strô,cuerno
140,Feder::N,pîrtîk,pluma
141,Fell::N,heyar,piel
142,Flügel::N,per,ala
143,Klaue::N,napîk,garra
144,Kralle::N,dinik,uña
145,Kralle::N,dinik,garra
146,Kralle::N,dirnax,uña
147,Kralle::N,dirnax,garra
148,Schwanz::N,dûv,cola
149,Ei::N,hêk,huevo
150,Nest::N,hêlîn,nido
151,Bau::N,avahî,madriguera
152,Tier::N,heywan,animal
153,Herde::N,hoz,rebaño
154,Kuh::N,çêlek,vaca
155,Bulle::N,ga,toro
156,Pferd::N,hesp,caballo
157,Schaf::N,mîh,oveja
158,Schwein::N,beraz,cerdo
159,Hund::N,seh,perro
160,Katze::N,pişîk,gato
161,Bär::N,hirç,oso
162,Eichhörnchen::N,pilûr,ardilla
163,Elch::N,pazkovî,alce
164,Fuchs::N,rovî,zorro
165,Hase::N,kîroşk,liebre
166,Maus::N,mişk,ratón
167,Wolf::N,gur,lobo
168,Vogel::N,çûk,ave
169,Vogel::N,çûk,pájaro
170,Schwarm::N,lufik,bandada
171,Huhn::N,mirîşk,gallina
172,Hahn::N,dîk,gallo
173,Gans::N,qaz,oca
174,Gans::N,qaz,ganso
175,Adler::N,eylo,águila
176,Ente::N,werdek,pato
177,Eule::N,bûm,lechuza
178,Eule::N,kund,lechuza
179,Kranich::N,quling,grulla
180,Krähe::N,qijik,corneja
181,Kuckuck::N,pepûk,cuco
182,Schwan::N,qû,cisne
183,Fisch::N,masî,pez
184,Barsch::N,okûn,perca
185,Hecht::N,mesîyê lûf,lucio
186,Schlange[Tier]::N,mar,serpiente
187,Wurm::N,kurm,gusano
188,Spinne::N,pîrê,araña
189,Ameise::N,mîro,hormiga
190,Ameise::N,gêrîk,hormiga
191,Laus::N,spi,piojo
192,Mücke::N,mêş,mosquito
193,Fliege::N,mêş,mosca
194,Schmetterling::N,perperîk,mariposa
195,Beere::N,hirç,baya
196,Apfel::N,sêv,manzana
197,Pilz::N,bîrov,seta
198,Pilz::N,bîrov,hongo
199,Zwiebel::N,pîvaz,cebolla
200,Saat::N,tov,siembra
201,Korn::N,dexl,grano
202,Heu::N,sap,heno
203,Schale::N,qaşik,cáscara
204,Grube::N,çahl,foso
205,Falle::N,dafik,trampa
206,Schlinge::N,dahf,lazo
207,Spur::N,rêç,huella
208,Asche::N,xweli,ceniza
209,Dreck::N,gemarî,suciedad
210,Eisen::N,hesing,hierro
211,Gold::N,zêr,oro
212,Silber::N,zîv,plata
213,Kohle::N,komir,carbón
214,Glas::N,qedeh,vidrio
215,Glas::N,qedeh,cristal
216,Lehm::N,kelpîç,barro
217,Sand::N,qûm,arena
218,Mensch::N,mirov,hombre
219,Mensch::N,mirov,ser humano
220,Mann::N,mêr,hombre
221,Frau::N,jin,mujer
222,Kind::N,zarok,niño
223,Junge::N,kur,chico
224,Junge::N,kur,muchacho
225,Mädchen::N,keç,chica
226,Mädchen::N,keç,muchacha
227,Mädchen::N,keçik,chica
228,Mädchen::N,keçik,muchacha
229,Familie::N,malbat,familia
230,Großvater::N,bapîr,abuelo
231,Großmutter::N,pîrik,abuela
232,Eltern::N,bavudê,padres
233,Vater::N,bav,padre
234,Mutter::N,dê,madre
235,Mutter::N,dayik,madre
236,Sohn::N,kur,hijo
237,Tochter::N,keç,hija
238,Bruder::N,bira,hermano
239,Schwester::N,xweh,hermana
240,Onkel::N,am,tío
241,Onkel::N,xal,tío
242,Tante::N,metik,tía
243,Tante::N,xaltîk,tía
244,Ehemann::N,mêr,esposo
245,Ehefrau::N,kulfet,esposa
246,Freude::N,kêfxweşî,placer
247,Freude::N,kêfxweşî,alegría
248,Gelächter::N,pîrqînî,risa
249,Gelächter::N,pîrqînî,carcajada
250,Glück::N,bext,felicidad
251,Kummer::N,derd,pena
252,Wunsch::N,daxwaz,deseo
253,Wunsch::N,xwestek,deseo
254,Lust::N,şewq,ganas
255,Geist::N,aqil,mente
256,Geist::N,aqil,espíritu
257,Gedanke::N,fikir,idea
258,Gedanke::N,fikir,pensamiento
259,Gedächtnis::N,aqil,memoria
260,Verstand::N,fêm,razón
261,Verstand::N,fêm,entendimiento
262,Sinn::N,aqil,sentido
263,Sinn::N,aqil,significado
264,Grund::N,asas,causa
265,Wahrheit::N,rastî,verdad
266,Gespräch::N,guftûgo,conversación
267,Märchen::N,çirok,cuento
268,Erzählung::N,çirok,cuento
269,Erzählung::N,çirok,narración
270,Erzählung::N,vegotin,cuento
271,Erzählung::N,vegotin,narración
272,Nachricht::N,nûçe,mensaje
273,Neuigkeit::N,hewal,noticia
274,Name::N,nav,nombre
275,Name::N,paşnav,nombre
276,Rätsel::N,tiştonek,acertijo
277,Rätsel::N,tiştonek,adivinanza
278,Rede::N,gotar,discurso
279,Rede::N,axavtin,discurso
280,Sprache::N,ziman,lengua
281,Stimme::N,pejn,voz
282,Wort::N,gotin,palabra
283,Zeichen::N,şanek,señal
284,Ruf::N,hawar,llamada
285,Lärm::N,xarbalix,ruido
286,Lärm::N,xarbalix,barullo
287,Laut::N,deng,sonido
288,Laut::N,hês,sonido
289,Ton::N,awaz,tono
290,Lied::N,sitran,canción
291,Ruhe::N,rihetî,calma
292,Ruhe::N,rihetî,silencio
293,Leute::N,xelk,gente
294,Volk::N,xelk,pueblo
295,Arbeit::N,xebat,trabajo
296,Gast::N,mêvan,huésped
297,Gast::N,mêvan,invitado
298,Geschenk::N,diyarî,regalo
299,Spiel::N,lîstik,juego
300,Gesellschaft::N,komal,compañía
301,Hilfe::N,alîkarî,ayuda
302,Hilfe::N,alîkarî,socorro
303,Freund::N,heval,amigo
304,Kamerad::N,heval,camarada
305,Kamerad::N,heval,compañero
306,Angelegenheit::N,pirsgirêk,asunto
307,Anzahl::N,çend,cantidad
308,Art::N,çeh,tipo
309,Art::N,çeh,clase
310,Stück::N,lib,pieza
311,Stück::N,parçe,pieza
312,Teil::N,parçe,parte
313,Hälfte::N,nîvî,mitad
314,Kreis::N,çemil,círculo
315,Kreuz::N,xaç,cruz
316,Linie::N,xezik,línea
317,Strich::N,xezik,raya
318,Strich::N,xezik,trazo
319,Abstand::N,dûrahî,distancia
320,Entfernung::N,dûrahî,distancia
321,Gegend::N,dever,región
322,Gegend::N,dever,comarca
323,Platz::N,çih,espacio
324,Ort::N,dever,sitio
325,Seite::N,rûpel,lado
326,Seite::N,rûpel,costado
327,Mitte::N,nav,medio
328,Mitte::N,nav,centro
329,Mitte::N,nabênê,medio
330,Mitte::N,nabênê,centro
331,Gegenstand::N,tişt,objeto
332,Sache::N,tişt,cosa
333,Rand::N,kevî,borde
334,Kante::N,kevî,borde
335,Ecke::N,qunç,esquina
336,Spitze::N,derzî,punta
337,Ende::N,talî,cabo
338,Ende::N,talî,extremo
