,Concept_ID,zh,fa
0,Auge::N,眼睛,چشم
1,Ohr::N,耳朵,گوش
2,Nase::N,鼻子,بینی
3,Mund::N,嘴,دهان
4,Zahn::N,牙齿,دندان
5,Zunge::N,舌头,زبان
6,Lippe::N,嘴唇,لب
7,Wange::N,面颊,لپ
8,Gesicht::N,脸,رو
9,Gesicht::N,脸,چهره
10,Stirn::N,额,پیشانی
11,Haar::N,头发,مو
12,Schnurrbart::N,髭须,سبیل
13,Bart::N,胡子,ریش
14,Kinn::N,下巴,چانه
15,Kiefer[Anatomie]::N,颌,فک
16,Kiefer[Anatomie]::N,颌,آرواره
17,Kehle::N,嗓子,حلق
18,Hals::N,颈,گردن
19,Genick::N,后颈,پشت گردن
20,Kopf::N,头,سر
21,Kopf::N,头,کله
22,Rücken::N,背,پشت
23,Bauch::N,肚子,شکم
24,Nabel::N,肚脐,ناف
25,Busen::N,胸脯,پستان
26,Brust::N,胸,سینه
27,Schulter::N,肩膀,دوش
28,Schulter::N,肩膀,شانه
29,Arm::N,臂膀,بازو
30,Ellenbogen::N,肘,آرنج
31,Hand::N,手,دست
32,Handfläche::N,手掌,کف دست
33,Finger::N,手指,انگشت
34,Fingernagel::N,指甲,ناخن دست
35,Nagel[Anatomie]::N,指甲,ناخن
36,Zeh::N,脚趾,انگشت پا
37,Fuß::N,脚,پا
38,Ferse::N,后跟,پاشنه
39,Knie::N,膝,زانو
40,Oberschenkel::N,大腿,ران
41,Bein::N,腿,پا
42,Bein::N,腿,لنگ
43,Körper::N,身体,تن
44,Körper::N,身体,بدن
45,Haut::N,皮肤,پوست
46,Blut::N,血,خون
47,Ader::N,血管,رگ
48,Sehne::N,腱,زردپی
49,Knochen::N,骨,استخوان
50,Gehirn::N,脑,مخ
51,Gehirn::N,脑,مغز
52,Herz::N,心,دل
53,Herz::N,心,قلب
54,Magen::N,胃,معده
55,Leber::N,肝,کبد
56,Atem::N,呼吸,نفس
57,Hunger::N,饿,گرسنگی
58,Träne::N,眼泪,اشک
59,Geschmack::N,味道,مزه
60,Geruch::N,气味,بو
61,Schlaf::N,睡眠,خواب
62,Traum::N,梦,رؤیا
63,Himmel::N,天空,فلک
64,Himmel::N,天空,آسمان
65,Sonne::N,太阳,آفتاب
66,Sonne::N,太阳,خورشید
67,Mond::N,月亮,ماه
68,Stern::N,星,ستاره
69,Luft::N,空气,هوا
70,Wind::N,风,باد
71,Welle::N,波,موج
72,Wasser::N,水,آب
73,Stein::N,石头,سنگ
74,Boden::N,地面,زمین
75,Erde::N,地,خاک
76,Erde::N,地,زمین
77,Staub::N,灰尘,گرد
78,Staub::N,灰尘,غبار
79,Rauch::N,烟,دود
80,Funke::N,火花,جرقه
81,Feuer::N,火,آتش
82,Licht::N,光,نور
83,Licht::N,光,روشنی
84,Schatten::N,影子,سایه
85,Wetter::N,天气,هوا
86,Nebel::N,雾,مه
87,Wolke::N,云,ابر
88,Regen::N,雨,باران
89,Schnee::N,雪,برف
90,Eis::N,冰,یخ
91,Frost::N,霜冻,یخبندان
92,Kälte::N,寒冷,سرما
93,Hitze::N,炎热,گرما
94,Hitze::N,炎热,حرارت
95,Raureif::N,霜,برف ریزه
96,Regenbogen::N,虹,رنگین‌کمان
97,Donner::N,雷,رعد
98,Strömung::N,水流,جریان
99,Tropfen::N,滴,قطره
100,Schaum::N,泡沫,کف
101,Schmutz::N,赃物,گل
102,Schmutz::N,赃物,کثافت
103,See::N,湖,دریاچه
104,Sumpf::N,沼泽,مرداب
105,Sumpf::N,沼泽,باتلاق
106,Moor::N,沼泽,باتلاق
107,Wiese::N,草地,چمن
108,Wald::N,森林,جنگل
109,Hügel::N,丘陵,تل
110,Hügel::N,丘陵,تپه
111,Anhöhe::N,山丘,بلندی
112,Berg::N,山,کوه
113,Gipfel::N,峰,قله
114,Höhle::N,洞穴,غار
115,Abhang::N,斜坡,سرازیری
116,Quelle::N,泉,چشمه
117,Bach::N,溪,نهر
118,Fluss::N,河流,رود
119,Ufer::N,岸,ساحل
120,Ufer::N,岸,کرانه
121,Küste::N,海岸,ساحل
122,Festland::N,大陆,خشکی
123,Meer::N,海,دریا
124,Bucht::N,海湾,خلیج
125,Insel::N,岛,جزیره
126,Blume::N,花,گل
127,Gras::N,草,علف
128,Wurzel::N,根,ریشه
129,Baum::N,树,درخت
130,Stamm::N,树干,تنه
131,Rinde::N,树皮,توژ
132,Rinde::N,树皮,پوست
133,Ast::N,树枝,شاخه
134,Zweig::N,树枝,شاخه
135,Blatt::N,叶子,برگ
136,Birke::N,桦木,غان
137,Kiefer[Baum]::N,松树,کاج
138,Weide[Baum]::N,柳树,بید
139,Tanne::N,冷杉,صنوبر
140,Horn::N,角,شاخ
141,Feder::N,羽毛,پر
142,Fell::N,皮毛,خز
143,Flügel::N,翅膀,پر
144,Flügel::N,翅膀,بال
145,Klaue::N,爪子,چنگ
146,Klaue::N,爪子,پنجه
147,Kralle::N,爪子,پنجه
148,Schwanz::N,尾巴,دم
149,Ei::N,蛋,تخم
150,Nest::N,巢,لانه
151,Bau::N,穴,بنا
