,Concept_ID,ps,ro
0,Auge::N,سترګه,ochi
1,Ohr::N,غوږ,ureche
2,Nase::N,پوزه,nas
3,Mund::N,خوله,gură
4,Zahn::N,غاښ,dinte
5,Zunge::N,جبه,limbă
6,Lippe::N,شونډه,buză
7,Wange::N,باړخو,bucă
8,Wange::N,باړخو,obraz
9,Gesicht::N,مخ,față
10,Gesicht::N,مخ,figură
11,Stirn::N,تندی,frunte
12,Stirn::N,وچولی,frunte
13,Haar::N,وېښته,păr
14,Schnurrbart::N,برېت,mustață
15,Bart::N,ږیره,barbă
16,Kinn::N,زنه,bărbie
17,Kiefer[Anatomie]::N,جامه,falcă
18,Kehle::N,غاړه,beregată
19,Hals::N,غاړه,gât
20,Genick::N,ورمېږ,ceafă
21,Kopf::N,سر,cap
22,Rücken::N,شا,dos
23,Rücken::N,شا,spate
24,Rücken::N,شا,spinare
25,Bauch::N,نس,burtă
26,Bauch::N,نس,pântece
27,Bauch::N,ګېډه,burtă
28,Bauch::N,ګېډه,pântece
29,Nabel::N,نوم,buric
30,Busen::N,تی,sân
31,Brust::N,سینه,piept
32,Schulter::N,اوږه,umăr
33,Schulter::N,اوږه,spate
34,Arm::N,لاس,braț
35,Ellenbogen::N,څنګل,cot
36,Hand::N,لاس,mână
37,Handfläche::N,ورغوی,palmă
38,Finger::N,ګوته,deget
39,Fingernagel::N,نوک,unghie
40,Nagel[Anatomie]::N,نوک,unghie
41,Zeh::N,ګوته,deget de la picior
42,Fuß::N,پښه,picior
43,Ferse::N,پونده,călcâi
44,Knie::N,زنګون,genunchi
45,Oberschenkel::N,پتون,coapsă
46,Bein::N,پښه,picior
47,Körper::N,ځان,corp
48,Haut::N,پوټکی,piele
49,Blut::N,وینه,sânge
50,Ader::N,رګ,vână
51,Ader::N,رګ,arteră
52,Sehne::N,پله,tendon
53,Knochen::N,هډوکی,os
54,Gehirn::N,ماغزه,creier
55,Herz::N,زړه,inimă
56,Magen::N,معده,stomac
57,Leber::N,ينه,ficat
58,Leber::N,ځیګر,ficat
59,Atem::N,نفس,răsuflare
60,Atem::N,نفس,respirație
61,Hunger::N,ولږه,foame
62,Träne::N,اوښکه,lacrimă
63,Geschmack::N,مزه,gust
64,Geschmack::N,خوند,gust
65,Geruch::N,بوی,miros
66,Schlaf::N,خوب,somn
67,Traum::N,خوب,vis
68,Himmel::N,اسمان,cer
69,Sonne::N,لمر,soare
70,Mond::N,سپوږمۍ,lună
71,Stern::N,ستوری,stea
72,Luft::N,هوا,aer
73,Wind::N,ورښ,vânt
74,Welle::N,موج,val
75,Welle::N,موج,undă
