,Concept_ID,pl,pl
0,Auge::N,oko,oko
1,Ohr::N,ucho,ucho
2,Nase::N,nos,nos
3,Mund::N,usta,usta
4,Zahn::N,ząb,ząb
5,Zunge::N,język,język
6,Lippe::N,warga,warga
7,Wange::N,policzek,policzek
8,Gesicht::N,twarz,twarz
9,Stirn::N,czoło,czoło
10,Haar::N,włos,włos
11,Haar::N,włos,włosy
12,Haar::N,włosy,włos
13,Haar::N,włosy,włosy
14,Schnurrbart::N,wąsy,wąsy
15,Bart::N,broda,broda
16,Kinn::N,podbródek,podbródek
17,Kiefer[Anatomie]::N,czeluść,czeluść
18,Kehle::N,gardło,gardło
19,Hals::N,szyja,szyja
20,Genick::N,kark,kark
21,Kopf::N,głowa,głowa
22,Rücken::N,plecy,plecy
23,Rücken::N,plecy,grzbiet
24,Rücken::N,grzbiet,plecy
25,Rücken::N,grzbiet,grzbiet
26,Bauch::N,brzuch,brzuch
27,Nabel::N,pępek,pępek
28,Busen::N,biust,biust
29,Brust::N,pierś,pierś
30,Schulter::N,bark,bark
31,Schulter::N,bark,ramię
32,Schulter::N,ramię,bark
33,Schulter::N,ramię,ramię
34,Arm::N,ręka,ręka
35,Arm::N,ręka,ramię
36,Arm::N,ramię,ręka
37,Arm::N,ramię,ramię
38,Ellenbogen::N,łokieć,łokieć
39,Hand::N,dłoń,dłoń
40,Handfläche::N,dłoń,dłoń
41,Finger::N,palec,palec
42,Fingernagel::N,paznokieć,paznokieć
43,Nagel[Anatomie]::N,paznokieć,paznokieć
44,Zeh::N,palec,palec
45,Fuß::N,stopa,stopa
46,Ferse::N,pięta,pięta
47,Knie::N,kolano,kolano
48,Oberschenkel::N,udo,udo
49,Bein::N,noga,noga
50,Körper::N,ciało,ciało
51,Haut::N,skóra,skóra
52,Blut::N,krew,krew
53,Ader::N,żyła,żyła
54,Sehne::N,ścięgno,ścięgno
55,Knochen::N,kość,kość
56,Gehirn::N,mózg,mózg
57,Herz::N,serce,serce
58,Magen::N,żołądek,żołądek
59,Leber::N,wątroba,wątroba
60,Atem::N,dech,dech
61,Atem::N,dech,oddech
62,Atem::N,oddech,dech
63,Atem::N,oddech,oddech
64,Hunger::N,głód,głód
65,Träne::N,łza,łza
66,Geschmack::N,smak,smak
67,Geruch::N,woń,woń
68,Geruch::N,woń,zapach
69,Geruch::N,zapach,woń
70,Geruch::N,zapach,zapach
71,Schlaf::N,sen,sen
72,Traum::N,sen,sen
73,Himmel::N,niebo,niebo
74,Sonne::N,słońce,słońce
75,Mond::N,księżyc,księżyc
76,Stern::N,gwiazda,gwiazda
77,Luft::N,powietrze,powietrze
78,Wind::N,wiatr,wiatr
79,Welle::N,fala,fala
80,Wasser::N,woda,woda
81,Stein::N,kamień,kamień
82,Boden::N,grunt,grunt
83,Erde::N,ziemia,ziemia
84,Staub::N,pył,pył
85,Staub::N,pył,kurz
86,Staub::N,kurz,pył
87,Staub::N,kurz,kurz
88,Rauch::N,dym,dym
89,Funke::N,iskra,iskra
90,Feuer::N,ogień,ogień
91,Licht::N,światło,światło
92,Schatten::N,cień,cień
93,Wetter::N,pogoda,pogoda
94,Nebel::N,mgła,mgła
95,Wolke::N,obłok,obłok
96,Wolke::N,obłok,chmura
97,Wolke::N,chmura,obłok
98,Wolke::N,chmura,chmura
99,Regen::N,deszcz,deszcz
100,Schnee::N,śnieg,śnieg
101,Eis::N,lód,lód
102,Frost::N,mróz,mróz
103,Kälte::N,chłód,chłód
104,Hitze::N,gorąco,gorąco
105,Raureif::N,szron,szron
106,Regenbogen::N,tęcza,tęcza
107,Donner::N,grzmot,grzmot
108,Strömung::N,nurt,nurt
109,Tropfen::N,kropla,kropla
110,Schaum::N,piana,piana
111,Schmutz::N,brud,brud
112,See::N,jezioro,jezioro
113,Sumpf::N,bagno,bagno
114,Moor::N,bagno,bagno
115,Wiese::N,łąka,łąka
116,Wald::N,las,las
117,Hügel::N,pagórek,pagórek
118,Anhöhe::N,wzgórze,wzgórze
119,Berg::N,góra,góra
120,Gipfel::N,szczyt,szczyt
121,Gipfel::N,szczyt,wierzchołek
122,Gipfel::N,wierzchołek,szczyt
123,Gipfel::N,wierzchołek,wierzchołek
124,Höhle::N,pieczara,pieczara
125,Abhang::N,stok,stok
126,Abhang::N,stok,zbocze
127,Abhang::N,zbocze,stok
128,Abhang::N,zbocze,zbocze
129,Quelle::N,zdrój,zdrój
130,Quelle::N,zdrój,źródło
131,Quelle::N,źródło,zdrój
132,Quelle::N,źródło,źródło
133,Bach::N,potok,potok
134,Bach::N,potok,strumień
135,Bach::N,strumień,potok
136,Bach::N,strumień,strumień
137,Fluss::N,rzeka,rzeka
138,Ufer::N,brzeg,brzeg
139,Küste::N,wybrzeże,wybrzeże
140,Festland::N,ląd,ląd
141,Meer::N,morze,morze
142,Bucht::N,zatoka,zatoka
143,Insel::N,wyspa,wyspa
144,Blume::N,kwiat,kwiat
145,Gras::N,trawa,trawa
146,Wurzel::N,korzeń,korzeń
147,Baum::N,drzewo,drzewo
148,Stamm::N,pień,pień
149,Rinde::N,kora,kora
150,Ast::N,gałąź,gałąź
151,Zweig::N,gałąź,gałąź
152,Blatt::N,liść,liść
153,Birke::N,brzoza,brzoza
154,Kiefer[Baum]::N,sosna,sosna
155,Weide[Baum]::N,wierzba,wierzba
156,Tanne::N,jodła,jodła
157,Horn::N,róg,róg
158,Feder::N,pióro,pióro
159,Fell::N,futro,futro
160,Flügel::N,skrzydło,skrzydło
161,Klaue::N,szpon,szpon
162,Kralle::N,pazur,pazur
163,Schwanz::N,ogon,ogon
164,Ei::N,jajko,jajko
165,Nest::N,gniazdo,gniazdo
166,Bau::N,nora,nora
167,Tier::N,zwierzę,zwierzę
168,Herde::N,stado,stado
169,Herde::N,stado,trzoda
170,Herde::N,trzoda,stado
171,Herde::N,trzoda,trzoda
172,Kuh::N,krowa,krowa
173,Bulle::N,byk,byk
174,Pferd::N,koń,koń
175,Schaf::N,owca,owca
176,Schwein::N,świnia,świnia
177,Hund::N,pies,pies
178,Katze::N,kot,kot
179,Katze::N,kot,kotka
180,Katze::N,kotka,kot
181,Katze::N,kotka,kotka
182,Bär::N,niedźwiedż,niedźwiedż
183,Eichhörnchen::N,wiewiórka,wiewiórka
184,Elch::N,łóś,łóś
185,Fuchs::N,lis,lis
186,Hase::N,zając,zając
187,Maus::N,mysz,mysz
188,Wolf::N,wilk,wilk
189,Vogel::N,ptak,ptak
190,Schwarm::N,stado,stado
191,Huhn::N,kura,kura
192,Hahn::N,kogut,kogut
193,Gans::N,gęś,gęś
194,Adler::N,orzeł,orzeł
195,Ente::N,kaczka,kaczka
196,Eule::N,sowa,sowa
197,Kranich::N,żuraw,żuraw
