,Concept_ID,ce,uk
0,Auge::N,бӏаьрг,око
1,Ohr::N,лерг,вухо
2,Nase::N,мара,ніс
3,Mund::N,бага,рот
4,Zahn::N,церг,зуб
5,Zunge::N,мотт,язик
6,Lippe::N,балда,губа
7,Wange::N,бесни,щока
8,Gesicht::N,юьхь,обличчя
9,Stirn::N,хьаж,лоб
10,Haar::N,мас,волосся
11,Schnurrbart::N,мекх,вуса
12,Bart::N,маж,борода
13,Kinn::N,чӏениг,підборіддя
14,Kiefer[Anatomie]::N,мочхал,щелепа
15,Kehle::N,къамкъарг,горло
16,Hals::N,ворта,шия
17,Genick::N,кӏесаркӏаг,потилиця
18,Kopf::N,корта,голова
19,Rücken::N,букъ,спина
20,Bauch::N,кийра,живіт
21,Nabel::N,цӏонга,пупок
22,Busen::N,зударийн накха,груди
23,Brust::N,накха,груди
24,Schulter::N,белш,плече
25,Arm::N,пхьарс,рука
26,Ellenbogen::N,пхьаьрсан гола,лікоть
27,Hand::N,куьг,рука
28,Handfläche::N,кераюкъ,долоня
29,Finger::N,пӏелг,палець
30,Fingernagel::N,мӏара,ніготь
31,Nagel[Anatomie]::N,мӏара,ніготь
32,Zeh::N,кога пӏелг,палець на нозі
33,Fuß::N,ког,нога
34,Ferse::N,кӏажа,п’ятка
35,Knie::N,гола,коліно
36,Oberschenkel::N,варе,стегно
37,Bein::N,ког,нога
38,Körper::N,хӏума,тіло
39,Haut::N,чкъор,шкіра
40,Blut::N,цӏий,кров
41,Ader::N,пха,вена
42,Sehne::N,хьорзам,сухожилля
43,Knochen::N,даьӏахк,кістка
44,Gehirn::N,хье,мозок
45,Herz::N,дог,серце
46,Magen::N,зорх,шлунок
47,Leber::N,доӏах,печінка
48,Atem::N,садеӏар,дихання
49,Hunger::N,мацалла,голод
50,Träne::N,бӏаьрхи,сльоза
51,Geschmack::N,чам,смак
52,Geruch::N,хьожа,запах
53,Schlaf::N,наб,сон
54,Schlaf::N,наб,сплячка
55,Traum::N,гӏан,сон
56,Himmel::N,стигал,небо
57,Sonne::N,малх,сонце
58,Mond::N,бутт,місяць
59,Stern::N,седа,зірка
60,Luft::N,xӏаваъ,повітря
61,Wind::N,мох,вітер
62,Welle::N,тулгӏе,хвиля
63,Wasser::N,хи,вода
64,Stein::N,тӏулг,камінь
65,Boden::N,цӏенкъа,ґрунт
66,Erde::N,латта,земля
67,Staub::N,чан,пил
68,Rauch::N,кӏур,дим
69,Funke::N,суй,іскра
70,Feuer::N,цӏе,вогонь
71,Licht::N,серло,світло
72,Schatten::N,ӏиндагӏ,тінь
73,Wetter::N,хенан хӏоттам,погода
74,Nebel::N,дохк,туман
75,Wolke::N,марха,хмара
76,Regen::N,догӏа,дощ
77,Schnee::N,ло,сніг
78,Eis::N,ша,лід
79,Frost::N,шело,мороз
80,Kälte::N,шело,холод
81,Hitze::N,йовхо,жар
82,Raureif::N,йис,іній
83,Regenbogen::N,стелаӏад,райдуга
84,Donner::N,ткъес,грім
85,Strömung::N,дӏаэхар,струмина
86,Strömung::N,дӏасалелар,струмина
87,Tropfen::N,тӏадам,крапля
88,Schaum::N,чопа,піна
89,Schmutz::N,хатт,бруд
90,See::N,ӏам,озеро
