,Concept_ID,hu,da
0,Auge::N,szem,øje
1,Ohr::N,fül,øre
2,Nase::N,orr,næse
3,Mund::N,száj,mund
4,Zahn::N,fog,tand
5,Zunge::N,nyelv,tunge
6,Lippe::N,ajak,læbe
7,Wange::N,orca,kind
8,Gesicht::N,arc,ansigt
9,Stirn::N,homlok,pande
10,Haar::N,haj,hår
11,Schnurrbart::N,bajusz,overskæg
12,Bart::N,szakáll,skæg
13,Kinn::N,áll,hage
14,Kiefer[Anatomie]::N,állkapocs,kæbe
15,Kehle::N,gége,strube
16,Kehle::N,torok,strube
17,Hals::N,nyak,hals
18,Genick::N,tarkó,nakke
19,Kopf::N,fő,hoved
20,Kopf::N,fej,hoved
21,Rücken::N,hát,ryg
22,Bauch::N,has,mave
23,Nabel::N,köldök,navle
24,Busen::N,mell,barm
25,Busen::N,kebel,barm
26,Brust::N,mell,bryst
27,Schulter::N,váll,skulder
28,Arm::N,kar,arm
29,Ellenbogen::N,könyök,albue
30,Hand::N,kéz,hånd
31,Handfläche::N,tenyér,håndflade
32,Finger::N,ujj,finger
33,Fingernagel::N,köröm,fingernegl
34,Nagel[Anatomie]::N,köröm,negl
35,Zeh::N,lábujj,tå
36,Fuß::N,láb,fod
37,Ferse::N,sarok,hæl
38,Knie::N,térd,knæ
39,Oberschenkel::N,comb,lår
40,Bein::N,láb,ben
41,Bein::N,lábszár,ben
42,Körper::N,test,krop
43,Körper::N,test,legeme
44,Haut::N,bőr,hud
45,Blut::N,vér,blod
46,Ader::N,ér,åre
47,Sehne::N,ín,sene
48,Knochen::N,csont,ben
49,Gehirn::N,agy,hjerne
50,Gehirn::N,agyvelő,hjerne
51,Herz::N,szív,hjerte
52,Magen::N,gyomor,mave
53,Leber::N,máj,lever
54,Atem::N,lehelet,ånde
55,Atem::N,lélegzet,ånde
56,Hunger::N,éhség,sult
57,Träne::N,könny,tåre
58,Geschmack::N,íz,smag
59,Geruch::N,szag,lugt
60,Schlaf::N,álom,søvn
61,Schlaf::N,alvás,søvn
62,Traum::N,álom,drøm
63,Himmel::N,ég,himmel
64,Himmel::N,menny,himmel
65,Sonne::N,nap,sol
66,Mond::N,hold,måne
67,Stern::N,csillag,stjerne
68,Luft::N,levegő,luft
69,Wind::N,szél,vind
70,Welle::N,hullám,bølge
71,Wasser::N,víz,vand
72,Stein::N,kő,sten
73,Boden::N,föld,jord
74,Boden::N,talaj,jord
75,Erde::N,föld,jord
76,Staub::N,por,støv
77,Rauch::N,füst,røg
78,Funke::N,szikra,gnist
79,Feuer::N,tűz,ild
80,Licht::N,fény,lys
81,Schatten::N,árnyék,skygge
82,Wetter::N,idő,vejr
83,Wetter::N,időjárás,vejr
84,Nebel::N,köd,tåge
85,Wolke::N,felhő,sky
86,Regen::N,eső,regn
87,Schnee::N,hó,sne
88,Eis::N,jég,is
89,Frost::N,fagy,frost
90,Kälte::N,hideg,kulde
91,Hitze::N,hő,hede
92,Hitze::N,hőség,hede
93,Raureif::N,zúzmara,rimfrost
94,Regenbogen::N,szivárvány,regnbue
95,Donner::N,dörgés,torden
96,Donner::N,mennydörgés,torden
97,Strömung::N,áramlat,strømning
98,Tropfen::N,csepp,dråbe
99,Schaum::N,hab,skum
100,Schaum::N,tajték,skum
101,Schmutz::N,piszok,snavs
102,See::N,tó,sø
103,Sumpf::N,mocsár,sump
104,Moor::N,láp,mose
105,Wiese::N,rét,eng
106,Wiese::N,mező,eng
107,Wald::N,erdő,skov
108,Hügel::N,domb,høj
109,Hügel::N,domb,bakke
110,Anhöhe::N,magaslat,høj
111,Anhöhe::N,magaslat,bakke
112,Berg::N,hegy,bjerg
113,Gipfel::N,csúcs,top
114,Höhle::N,barlang,hule
115,Abhang::N,lejtő,skrænt
116,Abhang::N,lejtő,skråning
117,Quelle::N,forrás,kilde
118,Bach::N,patak,bæk
119,Fluss::N,folyó,flod
120,Ufer::N,part,bred
121,Küste::N,tengerpart,kyst
122,Festland::N,szárazföld,fastland
123,Meer::N,tenger,hav
124,Bucht::N,öböl,bugt
125,Insel::N,sziget,ø
126,Blume::N,virág,blomst
127,Gras::N,fű,græs
128,Wurzel::N,gyökér,rod
129,Baum::N,fa,træ
130,Stamm::N,tő,stamme
131,Stamm::N,törzs,stamme
132,Rinde::N,kéreg,bark
133,Ast::N,ág,gren
134,Zweig::N,gally,kvist
135,Blatt::N,levél,blad
136,Birke::N,nyír,birk
137,Kiefer[Baum]::N,fenyő,fyrretræ
138,Weide[Baum]::N,fűz,piletræ
139,Tanne::N,fenyő,gran
140,Horn::N,szarv,horn
141,Feder::N,toll,fjer
142,Fell::N,szőr,skind
143,Fell::N,bunda,skind
144,Flügel::N,szárny,vinge
145,Klaue::N,köröm,klov
146,Kralle::N,karom,klo
147,Schwanz::N,farok,hale
148,Ei::N,tojás,æg
149,Nest::N,fészek,rede
150,Bau::N,odú,bo
151,Tier::N,állat,dyr
152,Herde::N,nyáj,flok
153,Herde::N,csorda,flok
154,Kuh::N,tehén,ko
155,Bulle::N,bika,tyr
156,Pferd::N,ló,hest
157,Schaf::N,juh,får
158,Schaf::N,birka,får
159,Schwein::N,sertés,gris
160,Hund::N,eb,hund
161,Hund::N,kutya,hund
162,Katze::N,macska,kat
163,Bär::N,medve,bjørn
164,Eichhörnchen::N,mókus,egern
165,Elch::N,jávorszarvas,elg
166,Fuchs::N,róka,ræv
167,Hase::N,nyúl,hare
168,Maus::N,egér,mus
169,Wolf::N,farkas,ulv
170,Vogel::N,madár,fugl
171,Schwarm::N,raj,sværm
172,Huhn::N,tyúk,høne
173,Hahn::N,kakas,hane
174,Gans::N,lúd,gås
175,Gans::N,liba,gås
176,Adler::N,sas,ørn
177,Ente::N,kacsa,and
178,Eule::N,bagoly,ugle
179,Kranich::N,daru,trane
180,Krähe::N,varjú,krage
181,Kuckuck::N,kakukk,gøg
182,Schwan::N,hattyú,svane
183,Fisch::N,hal,fisk
184,Barsch::N,sügér,aborre
185,Hecht::N,csuka,gedde
186,Schlange[Tier]::N,kígyó,slange
187,Wurm::N,kukac,orm
188,Spinne::N,pók,edderkop
189,Ameise::N,hangya,myre
190,Laus::N,tetű,lus
191,Mücke::N,szúnyog,myg
192,Fliege::N,légy,flue
193,Schmetterling::N,lepke,sommerfugl
194,Schmetterling::N,pillangó,sommerfugl
195,Beere::N,bogyó,bær
196,Apfel::N,alma,æble
197,Pilz::N,gomba,svamp
198,Zwiebel::N,hagyma,løg
199,Saat::N,vetőmag,sæd
200,Korn::N,mag,korn
201,Korn::N,szem,korn
202,Heu::N,széna,hø
