,Concept_ID,ka,kl
0,Auge::N,თვალი,isi
1,Ohr::N,ყური,siut
2,Nase::N,ცხვირი,
3,Mund::N,პირი,paaq
4,Mund::N,პირი,qaneq
5,Zahn::N,კბილი,kigut
6,Zunge::N,ენა,oqaq
7,Lippe::N,ბაგე,qarloq
8,Wange::N,ლოყა,ersaq
9,Gesicht::N,სახე,kiinaq
10,Stirn::N,შუბლი,qaaq
11,Haar::N,თმა,meqqoq
12,Schnurrbart::N,ულვაში,
13,Bart::N,წვერი,umik
14,Kinn::N,ნიკაპი,talloq
15,Kiefer[Anatomie]::N,ყბა,alleroq
16,Kehle::N,ყელი,malaq
17,Hals::N,ყელი,qungaseq
18,Hals::N,კისერი,qungaseq
19,Genick::N,კეფა,pukusuk
20,Kopf::N,თავი,niaqoq
21,Rücken::N,ზურგი,qimerlut
22,Bauch::N,მუცელი,naaq
23,Nabel::N,ჭიპი,qalaseq
24,Busen::N,ძუძუ,iviangeq
25,Brust::N,მკერდი,iviangeq
26,Schulter::N,მხარი,ersik
27,Schulter::N,მხარი,assaqqoq
28,Schulter::N,მკლავი,ersik
29,Schulter::N,მკლავი,assaqqoq
30,Arm::N,ხელი,taleq
31,Ellenbogen::N,იდაყვი,ikusik
32,Hand::N,ხელი,assak
33,Handfläche::N,ნები,itumak
34,Handfläche::N,ხელისგული,itumak
35,Finger::N,თითი,inuak
36,Fingernagel::N,ფრჩხილი,kikiak
37,Nagel[Anatomie]::N,ფრჩხილი,kukik
38,Zeh::N,ფეხის თითი,isigak
39,Fuß::N,ტერფი,
40,Fuß::N,ფეხისგული,
41,Ferse::N,ქუსლი,kimmik
42,Knie::N,მუხლი,seeqqoq
43,Oberschenkel::N,ბარძაყი,uppat
44,Oberschenkel::N,ბარძაყი,quttoraq
45,Bein::N,ფეხი,isigak
46,Körper::N,ტანი,timi
47,Körper::N,სხეული,timi
48,Haut::N,კანი,mattak
49,Blut::N,სისხლი,aak
50,Ader::N,ძარღვი,taqaq
51,Sehne::N,მყესი,ujalu
52,Sehne::N,მყესი,ujaloq
53,Knochen::N,ძვალი,saanikut
54,Gehirn::N,ტვინი,qarasaq
55,Herz::N,გული,uummat
56,Magen::N,კუჭი,aqajaroq
57,Leber::N,ღვიძლი,tinguk
58,Atem::N,სუნთქვა,anerneq
59,Hunger::N,შიმშილი,kaanneq
60,Träne::N,ცრემლი,qia
61,Träne::N,ცრემლი,qiak
62,Geschmack::N,გემო,qilanaartuut
63,Geruch::N,სუნი,tipi
64,Geruch::N,სუნი,tipik
65,Schlaf::N,ძილი,
66,Traum::N,სიზმარი,sinnattoq
67,Traum::N,სიზმარი,sinnattugaq
68,Himmel::N,ცა,qilak
69,Sonne::N,მზე,seqineq
70,Mond::N,მთვარე,qaammat
71,Stern::N,ვარსკვლავი,ulloriaq
72,Luft::N,ჰაერი,silaannaq
73,Wind::N,ქარი,anori
74,Wind::N,ქარი,anorsarik
75,Welle::N,ტალღა,aalappaa
76,Wasser::N,წყალი,imeq
77,Stein::N,ქვა,ujarak
78,Boden::N,მიწა,nateq
79,Erde::N,ნიადაგი,issoq
80,Staub::N,მტვერი,pujualanerit
81,Staub::N,მტვერი,pujoralanerit
82,Rauch::N,ბოლი,iseq
83,Rauch::N,ბოლი,pujoq
84,Rauch::N,კვამლი,iseq
85,Rauch::N,კვამლი,pujoq
86,Funke::N,ნაკვესი,illoorneq
87,Feuer::N,ცეცხლი,inneq
88,Licht::N,შუქი,qaamaneq
89,Licht::N,სინათლე,qaamaneq
90,Schatten::N,ლანდი,tarraq
91,Schatten::N,ჩრდილი,tarraq
92,Wetter::N,ამინდი,sila
93,Nebel::N,ნისლი,pujoq
94,Wolke::N,ღრუბელი,nuia
95,Regen::N,წვიმა,sialuk
96,Schnee::N,თოვლი,aput
97,Eis::N,თოში,siku
98,Eis::N,ყინული,siku
99,Frost::N,ყინვა,issi
100,Frost::N,ყინვა,issik
101,Kälte::N,სიცივე,issi
102,Hitze::N,სიცხე,kianneq
103,Hitze::N,სიცხე,kiassuseq
104,Raureif::N,ჭირხლი,kaneq
105,Raureif::N,თრთვილი,kaneq
106,Regenbogen::N,ცისარტყელა,neriusaaq
107,Donner::N,ქუხილი,kalleq
108,Strömung::N,დინება,
109,Tropfen::N,წვეთი,kuseriarneq
110,Schaum::N,ქაფი,qapuk
111,Schaum::N,დორბლი,qapuk
112,Schmutz::N,ჭუჭყი,minguk
113,Schmutz::N,ტალახი,minguk
114,See::N,ტბა,taseq
115,Sumpf::N,ჭაობი,maqulluk
116,Moor::N,ტორფნარი,
117,Wiese::N,ველი,masarsuk
118,Wiese::N,მდელო,masarsuk
119,Wald::N,ტყე,
120,Hügel::N,ბორცვი,qattuneq
121,Hügel::N,ბორცვი,majuariaq
122,Hügel::N,ბორცვი,majorajaaq
123,Hügel::N,ბორცვი,qaqqannguaq
124,Anhöhe::N,მაღლობი,
125,Berg::N,მთა,qaqqaq
126,Gipfel::N,მწვერვალი,
127,Höhle::N,მღვიმე,qaarusuk
128,Höhle::N,გამოქვებული,qaarusuk
129,Abhang::N,ფერდობი,ippik
130,Abhang::N,ფერდობი,sivinganeq
131,Abhang::N,ფერდობი,sivingajaaq
132,Abhang::N,ფერდობი,kussangajaaq
133,Quelle::N,წყარო,
134,Quelle::N,სათავე,
135,Bach::N,რუ,kuunnguaq
136,Bach::N,ნაკადული,kuunnguaq
137,Fluss::N,მდინარე,kuuk
138,Ufer::N,კიდე,sissap sinaa
139,Ufer::N,ნაპირი,sissap sinaa
140,Küste::N,ნაპირი,sineriak
141,Festland::N,ხმელეთი,
142,Meer::N,ზღვა,imaq
143,Bucht::N,ყურე,ikeq
144,Bucht::N,ყურე,kangerluk
145,Bucht::N,ყურე,kangerliumaneq
146,Insel::N,კუნძული,qeqertaq
147,Blume::N,ყვავილი,naasoq
148,Gras::N,ბალახი,ivigaq
149,Wurzel::N,ძირი,niulutaq
150,Wurzel::N,ფესვი,niulutaq
151,Baum::N,ხე,orpik
152,Stamm::N,ტანი,kanaartaq
153,Rinde::N,ქერქი,ameraq
154,Ast::N,ტოტი,avalequt
155,Zweig::N,შტო,avalequt
156,Blatt::N,ფოთოლი,pilutaq
157,Birke::N,არყი,patitsit
158,Kiefer[Baum]::N,ფიჭვი,
159,Weide[Baum]::N,ტირიფი,palleq
160,Tanne::N,ნაძვი,orsuerneq
161,Horn::N,რქა,nassuk
162,Feder::N,ფრთა,suluk
163,Fell::N,ტყავი,ameq
164,Flügel::N,ფრთა,suluk
165,Flügel::N,ფრთა,isaroq
166,Klaue::N,კლანჭი,kukik
167,Kralle::N,ტორი,kukik
168,Schwanz::N,კუდი,pamioq
169,Schwanz::N,კუდი,paperuusaq
170,Ei::N,კვერცხი,mannik
171,Nest::N,ბუდე,ullut
172,Bau::N,სორო,ini
173,Tier::N,ნადირი,uumasoq
174,Tier::N,ცხოველი,uumasoq
175,Herde::N,ფარა,unguukkat
176,Kuh::N,ფური,ussik
177,Kuh::N,ძროხა,ussik
178,Bulle::N,ხარი,angukulak
179,Bulle::N,ხარი,anguteralak
180,Bulle::N,ხარი,angutikulooq
181,Pferd::N,რაში,
182,Pferd::N,ცხენი,
183,Schaf::N,ცხვარი,sava
184,Schwein::N,ღორი,puuluki
185,Hund::N,ძაღლი,qimmeq
186,Katze::N,კატა,puisaaq
187,Bär::N,დათვი,allaq
188,Eichhörnchen::N,ციყვი,sissinnguaq
189,Elch::N,ცხენ-ირემი,
190,Fuchs::N,მელა,terianniaq
191,Hase::N,კურდღელი,ukaleq
192,Maus::N,თაგვი,teriannguaq
193,Wolf::N,მგელი,amaroq
194,Vogel::N,ჩიტი,timmiaq
195,Vogel::N,ფრინველი,timmiaq
196,Schwarm::N,გუნდი,
197,Huhn::N,დედალი,kukkukooq
198,Huhn::N,დედალი,marloraaqaaq
199,Hahn::N,მამალი,kiasiusaq
200,Gans::N,ბატი,nerleq
201,Adler::N,არწივი,nattoralik
202,Ente::N,იხვი,
203,Eule::N,ბუ,uppik
204,Kranich::N,წერო,qorlorfik
205,Krähe::N,ყვავი,tuluatsiaq
206,Kuckuck::N,გუგული,kukkooq
207,Schwan::N,გედი,qussuk
208,Fisch::N,თევზი,aalisagaq
209,Barsch::N,ქორჭილა,
210,Hecht::N,ქარიყლაპია,
211,Schlange[Tier]::N,გველი,pulateriarsuk
212,Schlange[Tier]::N,გველი,pulateriaarsuk
213,Wurm::N,ჭია,
214,Spinne::N,ობობა,aasiaq
