,Concept_ID,ce,br
0,Auge::N,бӏаьрг,lagad
1,Ohr::N,лерг,skouarn
2,Nase::N,мара,fri
3,Mund::N,бага,genoù
4,Zahn::N,церг,dant
5,Zunge::N,мотт,teod
6,Lippe::N,балда,muzell
7,Wange::N,бесни,chot
8,Gesicht::N,юьхь,dremm
9,Stirn::N,хьаж,tal
10,Haar::N,мас,blev
11,Schnurrbart::N,мекх,mourenn
12,Bart::N,маж,barv
13,Kinn::N,чӏениг,groñj
14,Kiefer[Anatomie]::N,мочхал,javed
15,Kehle::N,къамкъарг,gouzoug
16,Hals::N,ворта,gouzoug
17,Genick::N,кӏесаркӏаг,choug
18,Kopf::N,корта,penn
19,Rücken::N,букъ,kein
20,Bauch::N,кийра,kof
21,Nabel::N,цӏонга,begel
22,Busen::N,зударийн накха,bronn
23,Brust::N,накха,bruched
24,Schulter::N,белш,skoaz
25,Arm::N,пхьарс,brec'h
26,Ellenbogen::N,пхьаьрсан гола,ilin
27,Hand::N,куьг,dorn
28,Handfläche::N,кераюкъ,palv
29,Finger::N,пӏелг,biz
30,Fingernagel::N,мӏара,ivin
31,Nagel[Anatomie]::N,мӏара,ivin
32,Zeh::N,кога пӏелг,biz-troad
33,Fuß::N,ког,troad
34,Ferse::N,кӏажа,seul
35,Knie::N,гола,glin
36,Oberschenkel::N,варе,morzhed
37,Bein::N,ког,gar
38,Körper::N,хӏума,korf
39,Haut::N,чкъор,kroc'hen
40,Blut::N,цӏий,gwad
41,Ader::N,пха,gwazhi
42,Sehne::N,хьорзам,stir
43,Knochen::N,даьӏахк,askorn
44,Gehirn::N,хье,empenn
45,Herz::N,дог,kalon
46,Magen::N,зорх,stomog
47,Leber::N,доӏах,avu
48,Atem::N,садеӏар,anal
49,Hunger::N,мацалла,naon
50,Träne::N,бӏаьрхи,daer
51,Geschmack::N,чам,blaz
52,Geruch::N,хьожа,c'hwezh
53,Schlaf::N,наб,kousked
54,Traum::N,гӏан,hune
55,Himmel::N,стигал,oabl
56,Sonne::N,малх,heol
57,Mond::N,бутт,loar
58,Stern::N,седа,steredenn
59,Luft::N,xӏаваъ,aer
60,Wind::N,мох,avel
61,Welle::N,тулгӏе,houlenn
62,Wasser::N,хи,dour
63,Stein::N,тӏулг,maen
64,Boden::N,цӏенкъа,tachenn
65,Erde::N,латта,douar
66,Staub::N,чан,poultr
67,Rauch::N,кӏур,moged
68,Funke::N,суй,ful
69,Feuer::N,цӏе,tan
70,Licht::N,серло,gouloù
71,Schatten::N,ӏиндагӏ,disheol
72,Wetter::N,хенан хӏоттам,amzer
73,Nebel::N,дохк,brumenn
74,Wolke::N,марха,koumoulenn
75,Regen::N,догӏа,glav
76,Schnee::N,ло,erc'h
77,Eis::N,ша,skorn
78,Frost::N,шело,rev
79,Kälte::N,шело,yen
80,Hitze::N,йовхо,tommder
81,Raureif::N,йис,frim
82,Regenbogen::N,стелаӏад,gwareg-ar-glav
83,Donner::N,ткъес,kurun
84,Strömung::N,дӏаэхар,red
85,Strömung::N,дӏасалелар,red
86,Tropfen::N,тӏадам,bannac'h
87,Tropfen::N,тӏадам,takenn
88,Schaum::N,чопа,spoum
89,Schmutz::N,хатт,fank
90,See::N,ӏам,lenn
91,Sumpf::N,уьшал,gwern
92,Moor::N,уьшал,taouarc'heg
93,Wiese::N,бай,prad
94,Wald::N,хьун,koad
95,Hügel::N,гу,torgenn
96,Hügel::N,шу,torgenn
97,Hügel::N,барз,torgenn
98,Anhöhe::N,акъари,run
99,Berg::N,лам,menez
100,Gipfel::N,бохь,barr
101,Höhle::N,хьех,kav
102,Abhang::N,басе,naou
103,Quelle::N,шовда,feunteun
104,Bach::N,татол,gwazh
105,Fluss::N,хи,stêr
106,Ufer::N,хийист,ribl
107,Küste::N,йист,aod
108,Festland::N,латта,douar
109,Meer::N,xӏорд,mor
110,Bucht::N,чож,mor-bihan
111,Insel::N,гӏайре,enez
112,Blume::N,зезаг,bleunienn
113,Gras::N,буц,geot
114,Wurzel::N,орам,gwrizienn
115,Baum::N,дитт,gwezenn
116,Stamm::N,гӏад,kef
117,Stamm::N,тайпа,kef
118,Rinde::N,кевстиг,rusk
119,Ast::N,га,barr
120,Zweig::N,га,bod
121,Blatt::N,гӏа,delienn
122,Birke::N,дакх,bezvenn
123,Kiefer[Baum]::N,бага,pinenn
124,Weide[Baum]::N,дак,halegenn
125,Tanne::N,база,sapenn
126,Horn::N,маӏа,korn
127,Feder::N,пелаг,pluñv
128,Fell::N,цӏока,kreoñ
129,Flügel::N,тӏам,askell
130,Klaue::N,мӏара,skilf
131,Kralle::N,тlод,skilf
132,Schwanz::N,цӏога,lost
133,Ei::N,xӏoa,vi
134,Nest::N,бен,neizh
135,Bau::N,lуьрг,douarenn
136,Tier::N,дийнат,loen
137,Herde::N,жа,tropell
138,Kuh::N,етт,buoc'h
139,Bulle::N,сту,tarv
140,Pferd::N,говр,marc'h
141,Schaf::N,жий,dañvad
142,Schaf::N,уьстагӏ,dañvad
143,Schwein::N,хьакха,pemoc'h
144,Hund::N,жӏаьла,ki
145,Katze::N,цициг,kazh
146,Bär::N,ча,arzh
147,Eichhörnchen::N,тарсал,gwiñver
148,Elch::N,сай,karv-dour
149,Fuchs::N,цхьогал,louarn
150,Hase::N,пхьагал,gad
151,Maus::N,дахка,logodenn
152,Wolf::N,борз,bleiz
153,Vogel::N,олхазар,labous
154,Huhn::N,котам,yar
155,Hahn::N,нӏаьна,kilhog
156,Hahn::N,боргӏал,kilhog
157,Gans::N,гӏаз,gwazenn
158,Adler::N,aьрзу,erer
159,Ente::N,бад,houad
160,Eule::N,бухӏа,toud
161,Kranich::N,гӏаргӏули,garan
162,Krähe::N,къиг,bran
163,Kuckuck::N,aттйокх,koukoug
164,Schwan::N,гӏургӏаз,alarc'h
165,Fisch::N,чӏара,pesk
166,Barsch::N,окунь,brell
167,Hecht::N,гӏазкхийн чӏара,beked
168,Schlange[Tier]::N,лаьхьа,naer
169,Wurm::N,нӏаьна,preñv
170,Spinne::N,гезг,kevnidenn
171,Ameise::N,зингат,merion
172,Laus::N,меза,laouenn
173,Laus::N,гӏениг,laouenn
174,Mücke::N,чуьрк,moustik
175,Fliege::N,моза,kelienenn
176,Schmetterling::N,полла,balafenn
177,Beere::N,цӏазам,hog
178,Apfel::N,ӏаж,aval
179,Pilz::N,жӏаьлин нускал,kabell-touseg
180,Zwiebel::N,xох,ognonenn
181,Saat::N,чlу,had
182,Korn::N,буьртиг,ed
183,Heu::N,йол,foenn
184,Schale::N,пардо,peliadur
185,Grube::N,ор,
186,Falle::N,кӏело,pech
187,Spur::N,лар,
188,Asche::N,чим,ludu
189,Dreck::N,мода,fank
190,Eisen::N,эчиг,houarn
191,Gold::N,деши,aour
192,Silber::N,дети,arc'hant
193,Kohle::N,кӏора,glaou
194,Glas::N,aнгали,gwer
195,Lehm::N,поппар,
196,Sand::N,гӏум,traezh
197,Mensch::N,адам,den
198,Mann::N,майра,den
199,Frau::N,зуда,maouez
200,Kind::N,бер,bugel
201,Junge::N,жимха,paotr
202,Mädchen::N,жима йоӏ,plac'h
203,Familie::N,доьзал,familh
204,Großvater::N,ненада,tad-kozh
205,Großmutter::N,денана,mamm-gozh
206,Eltern::N,да-нана,kerent
207,Vater::N,да,tad
208,Mutter::N,нана,mamm
209,Sohn::N,кӏант,mab
210,Tochter::N,йоӏ,merc'h
211,Bruder::N,ваша,breur
212,Schwester::N,йиша,c'hoar
213,Onkel::N,деваша,eontr
214,Tante::N,дейиша,moereb
215,Ehemann::N,майра,gwaz
216,Ehefrau::N,зуда,gwreg
217,Freude::N,самукъа,levenez
218,Freude::N,хазахетар,levenez
219,Gelächter::N,белам,c'hoarzherezh
220,Glück::N,ирс,chañs
221,Kummer::N,бала,doan
222,Wunsch::N,лаам,c'hoant
223,Lust::N,лаам,c'hoant
224,Geist::N,са,spered
225,Gedanke::N,ойла,soñj
226,Gedächtnis::N,диццадалар,eñvor
227,Verstand::N,хьекъал,skiant
228,Sinn::N,маьӏна,ster
229,Grund::N,бахьана,kaoz
230,Wahrheit::N,бакъдерг,gwirionez
231,Gespräch::N,къамел,kaozeadenn
232,Märchen::N,туьйра,kaoz korriganez
233,Erzählung::N,дийцар,kontadenn
234,Nachricht::N,хаам,keloù
235,Neuigkeit::N,керланиг,kelaouenn
236,Name::N,цӏе,anv
237,Rätsel::N,хӏетал-метал,divinatez
238,Rede::N,къамел,diskour
239,Sprache::N,мотт,yezh
240,Stimme::N,aз,mouezh
241,Wort::N,дош,ger
242,Zeichen::N,билгало,sin
243,Ruf::N,кхайкхар,galv
244,Lärm::N,гӏовгӏа,trouz
245,Laut::N,аз,
246,Ton::N,aз,ton
247,Lied::N,илли,kanaouenn
248,Ruhe::N,тийналла,sioulded
249,Leute::N,нах,tud
250,Volk::N,халкъ,pobl
251,Arbeit::N,болх,labour
252,Gast::N,хьаша,kouviad
253,Geschenk::N,совгӏат,prof
254,Spiel::N,ловзар,c'hoari
255,Gesellschaft::N,юкъаралла,kompagnunezh
256,Gesellschaft::N,юкъаралла,kavandad
257,Hilfe::N,гӏо,sikour
258,Freund::N,доттагl,mignon
259,Kamerad::N,накъост,kamarad
260,Angelegenheit::N,гӏуллакх,afer
261,Anzahl::N,терахь,niver
262,Stück::N,юьхк,tamm
263,Teil::N,дакъа,pezh
264,Hälfte::N,ах,hanterenn
265,Kreis::N,го,kelc'h
266,Kreuz::N,жӏара,kroaz
267,Linie::N,сиз,linenn
268,Strich::N,сиз,tenn
269,Abstand::N,юкъ,distok
270,Gegend::N,мeттиг,korn-bro
271,Platz::N,майда,plasenn
272,Ort::N,меттиг,lec'h
273,Seite::N,aгӏo,tu
274,Mitte::N,юкъ,kreiz
275,Gegenstand::N,хӏума,tra
276,Sache::N,хӏума,tra
277,Rand::N,йист,kantenn
278,Kante::N,йист,kantenn
279,Ecke::N,са,korn
280,Spitze::N,ралла,begell
281,Ende::N,юьхьиг,dibenn
282,Loch::N,ӏуьрг,toull
283,Winkel::N,са,
284,Muster::N,дагар,tresadenn
285,Muster::N,тӏамар,tresadenn
286,Größe::N,барам,ment
287,Länge::N,йохалла,hirder
288,Höhe::N,локхалла,uhelder
289,Gewicht::N,йозалла,pouez
290,Menge::N,дукхалла,bern
291,Haufen::N,сал,bern
292,Haufen::N,оьла,bern
293,Reihe::N,рагӏ,steud
294,Reihe::N,могӏа,steud
295,Boot::N,кема,bag
296,Ruder::N,пийсиг,roeñv
297,Schlitten::N,салаз,trainell
298,Ski::N,когсалаз,ski
299,Lagerfeuer::N,цӏе,
300,Last::N,дукъ,karg
301,Gang::N,лелар,kerzh
302,Schritt::N,гӏулч,paz
303,Norden::N,къилбаседе,norzh
304,Norden::N,къилбаседе,hanternoz
305,Süden::N,къилбе,su
306,Süden::N,къилбе,kreisteiz
307,Westen::N,малхбузе,kuzh-heol
308,Osten::N,малхбале,reter
309,Osten::N,малхбале,sav-heol
310,Holz::N,дечиг,koad
311,Brett::N,у,plankenn
312,Platte::N,у,plakenn
313,Stütze::N,гӏopтоp,harp
314,Stange::N,гӏуркх,sparl
315,Stock::N,ӏаса,bazh
316,Stab::N,гӏаж,bazh
317,Rohr::N,биргӏа,tub
318,Rohr::N,биргӏа,korz
319,Haus::N,цӏа,ti
320,Heim::N,кхерч,kêr
321,Ofen::N,кхерч,forn
322,Fußboden::N,цӏенкъа,plañchod
323,Tisch::N,шун,taol
324,Stuhl::N,гӏант,kador
325,Wiege::N,ага,kavell
326,Bett::N,маьнга,gwele
327,Regal::N,терхи,estajerenn
328,Kiste::N,яьшка,kased
329,Fenster::N,кор,prenestr
330,Tür::N,неӏ,dor
331,Tor::N,ков,portal
332,Zaun::N,керт,sklotur
333,Dach::N,тхов,toenn
334,Leiter::N,лами,skeul
335,Besen::N,нуй,skubell
336,Spaten::N,бел,pal
337,Schaufel::N,аьшкал,pal
338,Gabel::N,мӏара,fourchetez
339,Löffel::N,ӏайг,loa
340,Messer::N,урс,kontell
341,Nagel::N,хьостам,tach
342,Netz::N,бой,roued
343,Haken::N,мӏара,krog
344,Schloss::N,чӏега,potenn
345,Bild::N,сурт,skeudenn
346,Puppe::N,тайниг,merc'hodenn
347,Beutel::N,гали,sac'h
348,Bündel::N,кочар,feskenn
349,Tasche::N,тӏоьрмиг,sac'h
350,Eimer::N,чийлик,sailh
351,Deckel::N,негӏар,pallenn
352,Geschirr::N,пхьегӏа,listriaj
353,Sack::N,гали,sac'h
354,Tasse::N,кад,tas
355,Topf::N,яй,pod
356,Kessel::N,яй,chaodouron
357,Essen::N,юург,pred
358,Nahrung::N,кхача,boued
359,Speise::N,юург,meuz
360,Fleisch::N,жижиг,kig
361,Getreide::N,буьртиг,ed
362,Brei::N,xудар,yod
363,Brot::N,бепиг,bara
364,Brot::N,кхаллар,bara
365,Scheibe::N,цастар,tailhenn
366,Fett::N,мохь,lard
367,Butter::N,налха,amann
368,Öl::N,даьтта,eoul
369,Salz::N,туьха,holen
370,Suppe::N,чорпа,soubenn
371,Honig::N,моз,mel
372,Milch::N,шура,laezh
373,Tee::N,чай,te
374,Leder::N,цӏока,lêr
375,Wolle::N,тӏapгӏa,gloan
376,Stoff::N,кӏади,danvez
377,Nadel::N,маха,nadoz
378,Faden::N,тай,neudenn
379,Knopf::N,нуьйда,bouton
380,Knoten::N,шад,skoulm
381,Farbe::N,сир,liv
382,Farbe::N,басар,liv
383,Kleidung::N,бедар,dilhad
384,Hemd::N,коч,roc'hed
385,Kragen::N,кач,gouzoug
386,Ärmel::N,пхьош,milgin
387,Hose::N,хеча,bragoù
388,Gürtel::N,доьхка,gouriz
389,Mütze::N,куй,boned
390,Schuh::N,мача,botez
391,Stiefel::N,этка,botez
392,Ring::N,чӏуг,gwalenn
393,Band::N,лента,bagad
394,Kamm::N,ехк,krib
395,Spiegel::N,куьзга,melezour
396,Riemen::N,доьхка,lerenn
397,Schnur::N,муш,kordenn
398,Leine::N,кочатосу доьхка,roll
399,Decke::N,юргӏа,golo
400,Kissen::N,гIайба,goubenner
401,Tuch::N,исхар,mezher
402,Handtuch::N,гата,toailhon
403,Kraft::N,гӏора,nerzh
404,Stärke::N,гӏап,nerzhder
405,Gesundheit::N,могашалла,yec'hed
406,Krankheit::N,цамгар,klañved
407,Schmerz::N,лазар,poan
408,Schmerz::N,лазар,droug
409,Wunde::N,чов,gloazadenn
410,Fieber::N,xорша,terzhienn
411,Arznei::N,молха,louzoù
412,Brücke::N,тӏай,pont
413,Brunnen::N,гӏу,puñs
414,Weide::N,дак,prad
415,Pfad::N,тача,gwenodenn
416,Weg::N,некъ,hent
417,Straße::N,урам,ru
418,Straße::N,урам,hent
419,Dorf::N,юрт,kêr
420,Dorf::N,юрт,kêriadenn
421,Stadt::N,гӏала,kêr
422,Brief::N,кехат,lizher
423,Buch::N,жайна,levr
424,Buchstabe::N,элп,lizherenn
425,Zeitung::N,газет,kazetenn
426,Leben::N,дахар,buhez
427,Tod::N,далар,marv
428,Tod::N,ӏожалла,marv
429,Grab::N,каш,bez
430,Kirche::N,килс,iliz
431,Sünde::N,къа,pec'hed
432,Gott::N,дела,doue
433,Arbeiter::N,белхало,labourer
434,Arbeiter::N,белхало,micherour
435,Chef::N,хьаькам,penn
436,Meister::N,говзанча,mestr
437,Arzt::N,лор,mezeg
438,Arzt::N,лор,medisin
439,Lehrer::N,хьехархо,skolaer
440,Lehrer::N,хьехархо,kelenner
441,Geld::N,aхча,arc'hant
442,Geschäft::N,туька,stal
443,Laden::N,туька,stal
444,Preis::N,мах,priz
445,Ware::N,хlума,marc'hadourezh
446,Nutzen::N,пайда,gounidegezh
447,Nutzen::N,пайда,lañs
448,Nutzen::N,пайда,profit
449,Nutzen::N,пайда,spleit
450,Reichtum::N,хьал,pinvidigezh
451,Welt::N,дуьне,douar
452,Land::N,мохк,bro
453,Staat::N,пачхьалкх,stad
454,König::N,паччахь,roue
455,Macht::N,ӏедал,galloud
456,Grenze::N,доза,harzoù
457,Krieg::N,тӏом,brezel
458,Feind::N,мостагӏ,eneber
459,Gewalt::N,гӏело,tâerder
460,Kampf::N,къийсам,kann
461,Pfeil::N,пха,saezh
462,Gewehr::N,топ,fuzuilh
463,Fehler::N,гӏалат,fazi
464,Lüge::N,аьшпаш,gaou
465,Schaden::N,зен,gwall
466,Unglück::N,бала,gwalleur
467,Schuld::N,бехк,kablusted
468,Schuld::N,бехк,pec'hedigezh
469,Alter::N,хан,oad
470,Schluss::N,чакхе,diwezh
471,Zeit::N,хан,amzer
472,Tag::N,де,deizh
473,Morgen::N,ӏуьйре,beure
474,Morgen::N,ӏуьйре,mintin
475,Mittag::N,делкъе,kreisteiz
476,Abend::N,суьйре,abardaez
477,Nacht::N,буьйса,noz
478,Woche::N,кӏира,sizhun
479,Monat::N,бутт,miz
480,Jahr::N,шо,bloaz
481,Frühling::N,бӏаьсте,nevezamzer
482,Sommer::N,аьхке,hañv
483,Herbst::N,гуьйре,diskaramzer
484,Winter::N,ӏа,goañv
485,Januar::N,январь,Genver
486,Februar::N,февраль,C'hwevrer
487,März::N,март,Meurzh
488,April::N,апрель,Ebrel
489,Mai::N,май,Mae
490,Juni::N,июнь,Mezheven
491,Juli::N,июль,Gouhere
492,August::N,август,Eost
493,September::N,сентябрь,Gwengolo
494,Oktober::N,октябрь,Here
495,November::N,ноябрь,Du
496,Dezember::N,декабрь,Kerzu
497,Montag::N,оршот,Lun
498,Dienstag::N,шинара,Meurzh
499,Mittwoch::N,кхаара,Merc'her
500,Donnerstag::N,еара,Yaou
501,Freitag::N,пӏераска,Gwener
502,Samstag::N,шот,Sadorn
503,Sonntag::N,кӏиранде,Sul
504,groß::A,доккха,bras
505,klein::A,кегий,bihan
506,lang::A,еха,hir
507,kurz::A,доца,berr
508,breit::A,шуьйра,ledan
509,schmal::A,готта,strizh
510,dicht::A,луьста,stank
511,dick[Gegenstand]::A,стомма,tev
512,dünn::A,дуткъа,moan
513,fein::A,ховха,munut
