,Concept_ID,hr,ku
0,Auge::N,oko,çav
1,Ohr::N,uho,guh
2,Nase::N,nos,bêvil
3,Mund::N,usta,dev
4,Zahn::N,zub,didan
5,Zunge::N,jezik,ziman
6,Lippe::N,usna,lêv
7,Wange::N,obraz,dêm
8,Wange::N,obraz,hinarik
9,Gesicht::N,lice,rû
10,Stirn::N,čelo,enî
11,Haar::N,kosa,por
12,Schnurrbart::N,brkovi,simbêl
13,Bart::N,brada,rih
14,Kinn::N,brada,zenî
15,Kinn::N,podbradak,zenî
16,Kiefer[Anatomie]::N,čeljust,arguşk
17,Kehle::N,grlo,qirik
18,Hals::N,vrat,stû
19,Hals::N,vrat,qirik
20,Genick::N,zatiljak,stû
21,Kopf::N,glava,serî
22,Rücken::N,leđa,pişt
23,Rücken::N,hrbat,pişt
24,Bauch::N,trbuh,ûr
25,Bauch::N,trbuh,zik
26,Nabel::N,pupak,navik
27,Busen::N,sisa,sîng
28,Busen::N,njedra,sîng
29,Brust::N,prsa,sîng
30,Schulter::N,rame,mil
31,Schulter::N,pleći,mil
32,Arm::N,ruka,çepil
33,Ellenbogen::N,lakat,enîşk
34,Hand::N,ruka,dest
35,Handfläche::N,dlan,kefadest
36,Finger::N,prst,tilî
37,Fingernagel::N,nokat,neynuk
38,Nagel[Anatomie]::N,nokat,bizmar
39,Zeh::N,nozni prst,tilî linga
40,Fuß::N,noga,ling
41,Fuß::N,stopalo,ling
42,Ferse::N,peta,pahnî
43,Knie::N,koljeno,kabok
44,Oberschenkel::N,bedro,rahn
45,Bein::N,noga,çip
46,Körper::N,tijelo,laş
47,Körper::N,tijelo,gowde
48,Haut::N,put,çerm
49,Haut::N,koža,çerm
50,Blut::N,krv,xwîn
51,Ader::N,žila,reh
52,Sehne::N,tetiva,reh
53,Knochen::N,kost,hestî
54,Herz::N,srce,dil
55,Magen::N,stomak,navêş
56,Magen::N,želudac,navêş
57,Leber::N,jetra,kezeb
58,Atem::N,dah,hilm
59,Hunger::N,glad,birçîtî
60,Träne::N,suza,hêstir
61,Geschmack::N,ukus,tam
62,Geruch::N,njuh,bêhn
63,Geruch::N,miris,bêhn
64,Schlaf::N,san,xew
