,Concept_ID,ga,ka
0,Auge::N,súil,თვალი
1,Ohr::N,cluas,ყური
2,Nase::N,soc,ცხვირი
3,Mund::N,béal,პირი
4,Zahn::N,fiacail,კბილი
5,Zunge::N,teanga,ენა
6,Lippe::N,liopa,ბაგე
7,Wange::N,grua,ლოყა
8,Wange::N,leiceann,ლოყა
9,Gesicht::N,éadan,სახე
10,Gesicht::N,aghaidh,სახე
11,Stirn::N,baithis,შუბლი
12,Stirn::N,clár éadain,შუბლი
13,Haar::N,gruaig,თმა
14,Schnurrbart::N,croiméal,ულვაში
15,Bart::N,féasóg,წვერი
16,Kinn::N,smig,ნიკაპი
17,Kiefer[Anatomie]::N,giall,ყბა
18,Kehle::N,scornach,ყელი
19,Hals::N,muinéal,ყელი
20,Hals::N,muinéal,კისერი
21,Genick::N,baic,კეფა
22,Kopf::N,ceann,თავი
23,Rücken::N,droim,ზურგი
24,Bauch::N,bolg,მუცელი
25,Nabel::N,imleacán,ჭიპი
26,Busen::N,cíoch,ძუძუ
27,Brust::N,brollach,მკერდი
28,Schulter::N,gualainn,მხარი
29,Schulter::N,gualainn,მკლავი
30,Arm::N,lámh,ხელი
31,Ellenbogen::N,uillinn,იდაყვი
32,Hand::N,lámh,ხელი
33,Handfläche::N,bos,ნები
34,Handfläche::N,bos,ხელისგული
35,Finger::N,méar,თითი
36,Fingernagel::N,ionga,ფრჩხილი
37,Nagel[Anatomie]::N,ionga,ფრჩხილი
38,Zeh::N,ladhar,ფეხის თითი
39,Fuß::N,cos,ტერფი
40,Fuß::N,cos,ფეხისგული
41,Fuß::N,troigh,ტერფი
42,Fuß::N,troigh,ფეხისგული
43,Ferse::N,sáil,ქუსლი
44,Knie::N,glúin,მუხლი
45,Oberschenkel::N,ceathrú,ბარძაყი
46,Bein::N,cos,ფეხი
47,Körper::N,corp,ტანი
48,Körper::N,corp,სხეული
49,Körper::N,colainn,ტანი
50,Körper::N,colainn,სხეული
51,Haut::N,cneas,კანი
52,Haut::N,craiceann,კანი
53,Blut::N,fuil,სისხლი
54,Sehne::N,teannán,მყესი
55,Sehne::N,féitheog,მყესი
56,Knochen::N,cnámh,ძვალი
57,Gehirn::N,inchinn,ტვინი
58,Herz::N,croí,გული
59,Magen::N,bolg,კუჭი
60,Magen::N,goile,კუჭი
61,Leber::N,ae,ღვიძლი
62,Atem::N,anáil,სუნთქვა
63,Hunger::N,ocras,შიმშილი
64,Träne::N,deoir,ცრემლი
65,Geschmack::N,blas,გემო
66,Geruch::N,boladh,სუნი
67,Schlaf::N,suan,ძილი
68,Schlaf::N,codladh,ძილი
