,Concept_ID,ku,fr
0,Auge::N,çav,œil
1,Ohr::N,guh,oreille
2,Nase::N,bêvil,nez
3,Mund::N,dev,bouche
4,Zahn::N,didan,dent
5,Zunge::N,ziman,langue
6,Lippe::N,lêv,lèvre
7,Wange::N,dêm,joue
8,Wange::N,hinarik,joue
9,Gesicht::N,rû,face
10,Gesicht::N,rû,visage
11,Stirn::N,enî,front
12,Haar::N,por,cheveu
13,Schnurrbart::N,simbêl,moustache
14,Bart::N,rih,barbe
15,Kinn::N,zenî,menton
16,Kiefer[Anatomie]::N,arguşk,mâchoire
17,Kehle::N,qirik,gorge
18,Hals::N,stû,cou
19,Hals::N,qirik,cou
20,Genick::N,stû,nuque
21,Kopf::N,serî,tête
22,Rücken::N,pişt,dos
23,Bauch::N,ûr,ventre
24,Bauch::N,zik,ventre
25,Nabel::N,navik,nombril
26,Busen::N,sîng,sein
27,Brust::N,sîng,poitrine
28,Schulter::N,mil,épaule
29,Arm::N,çepil,bras
30,Ellenbogen::N,enîşk,coude
31,Hand::N,dest,main
32,Handfläche::N,kefadest,paume
33,Finger::N,tilî,doigt
34,Fingernagel::N,neynuk,ongle
35,Nagel[Anatomie]::N,bizmar,ongle
36,Zeh::N,tilî linga,orteil
37,Zeh::N,tilî linga,doigt de pied
38,Fuß::N,ling,pied
39,Ferse::N,pahnî,talon
40,Knie::N,kabok,genou
41,Oberschenkel::N,rahn,cuisse
42,Bein::N,çip,jambe
43,Körper::N,laş,corps
44,Körper::N,gowde,corps
45,Haut::N,çerm,peau
46,Blut::N,xwîn,sang
47,Ader::N,reh,veine
48,Sehne::N,reh,tendon
49,Knochen::N,hestî,os
50,Gehirn::N,mêjî,cerveau
51,Herz::N,dil,cœur
52,Magen::N,navêş,estomac
53,Leber::N,kezeb,foie
54,Atem::N,hilm,haleine
55,Hunger::N,birçîtî,faim
56,Träne::N,hêstir,larme
57,Geschmack::N,tam,goût
58,Geschmack::N,tam,saveur
59,Geruch::N,bêhn,odeur
60,Schlaf::N,xew,sommeil
61,Traum::N,xewn,songe
