,Concept_ID,bn,sk
0,Auge::N,চক্ষু,oko
1,Ohr::N,কর্ণ,ucho
2,Nase::N,নাক,nos
3,Mund::N,মুখ,ústa
4,Zahn::N,দাঁত,zub
5,Zunge::N,জিহবা,jazyk
6,Lippe::N,অধর,pera
7,Wange::N,গণ্ড,líce
8,Gesicht::N,মুখমণ্ডল,tvár
9,Gesicht::N,মুখমণ্ডল,obličaj
10,Stirn::N,কপাল,čelo
11,Haar::N,চুল,vlas
12,Schnurrbart::N,গোঁফ,fúzy
13,Bart::N,শ্মশ্রু,brada
14,Kinn::N,চিবুক,brada
15,Kiefer[Anatomie]::N,চোয়াল,čeľusť
16,Kehle::N,কণ্ঠ,hrdlo
17,Hals::N,গল,krk
18,Genick::N,ঘাড়,väzy
19,Kopf::N,মাথা,hlava
20,Rücken::N,পৃষ্ঠ,chrbát
21,Bauch::N,উদর,brucho
22,Nabel::N,নাভি,pupok
23,Busen::N,স্তন,prsia
24,Brust::N,বুক,hruď
25,Schulter::N,স্কন্ধ,plece
26,Arm::N,বাহু,rameno
27,Ellenbogen::N,কনুই,lakeť
28,Hand::N,হাত,ruka
29,Handfläche::N,করতল,dlaň
30,Finger::N,আঙ্গুল,prst
31,Fingernagel::N,হাতের নখ,necht
32,Nagel[Anatomie]::N,নখ,necht
33,Zeh::N,আঙ্গুল,prst na nohe
34,Fuß::N,পা,noha
35,Ferse::N,গোড়ালি,päta
36,Knie::N,হাঁটু,koleno
37,Oberschenkel::N,ঊরু,stehno
38,Bein::N,পা,noha
39,Körper::N,দেহ,telo
40,Haut::N,ত্বক,koža
41,Blut::N,রক্ত,krv
42,Ader::N,শিরা,žila
43,Sehne::N,কণ্ডরা,šľacha
44,Knochen::N,অস্থি,kosť
45,Gehirn::N,মস্তিষ্ক,mozog
46,Herz::N,হৃৎপিণ্ড,srdce
47,Magen::N,পাকস্থলী,žalúdok
48,Leber::N,যকৃৎ,pečeň
49,Atem::N,শ্বাস,dych
50,Hunger::N,ক্ষুধা,hlad
51,Träne::N,অশ্রু,slza
52,Geschmack::N,স্বাদ,chuť
53,Geruch::N,গন্ধ,pach
54,Schlaf::N,ঘুম,spánok
55,Traum::N,স্বপ্ন,sen
56,Himmel::N,আকাশ,nebo
57,Sonne::N,সূর্য,slnko
58,Mond::N,চন্দ্র,mesiac
59,Stern::N,নক্ষত্র,hviezda
60,Luft::N,বায়ু,vzduch
61,Wind::N,বাতাস,vietor
62,Welle::N,ঢেউ,vlna
63,Welle::N,তরঙ্গ,vlna
64,Wasser::N,জল,voda
65,Stein::N,ঢিল,kameň
66,Stein::N,প্রস্তর,kameň
67,Boden::N,ভূতল,zem
68,Boden::N,ভূতল,pôda
69,Erde::N,ভূমি,zem
70,Staub::N,ধুলা,prach
71,Rauch::N,ধোঁয়া,dym
72,Funke::N,স্ফুলিঙ্গ,iskra
73,Feuer::N,অগ্নি,oheň
74,Licht::N,আলো,svetlo
75,Schatten::N,ছায়া,tieň
76,Wetter::N,আবহাওয়া,počasie
77,Nebel::N,কুহেলিকা,hmla
78,Wolke::N,মেঘ,oblak
79,Wolke::N,মেঘ,mračno
80,Regen::N,বৃষ্টি,dážď
81,Schnee::N,তুষার,sneh
82,Eis::N,বরফ,ľad
83,Frost::N,তুষার,mráz
84,Kälte::N,শৈত্য,zima
85,Kälte::N,শৈত্য,chlad
86,Hitze::N,তাপ,horúčava
87,Raureif::N,তুহিন,srieň
88,Raureif::N,তুহিন,inovať
89,Regenbogen::N,রামধনু,dúha
90,Donner::N,বজ্রধ্বনি,hrom
91,Strömung::N,স্রোত,prúdenie
92,Tropfen::N,ফোঁটা,kvapka
93,Schaum::N,ফেনা,pena
94,Schmutz::N,ধুলা,špina
95,Schmutz::N,ধুলা,nečistota
96,See::N,হ্রদ,jazero
97,Sumpf::N,জলা,bahno
98,Moor::N,মাঠ,močiar
99,Wiese::N,তৃণভূমি,lúka
100,Wald::N,বন,les
101,Wald::N,বন,hora
102,Hügel::N,পাহাড়,vŕšok
103,Anhöhe::N,টিলা,výšina
104,Anhöhe::N,টিলা,vyvýšenina
105,Berg::N,পর্বত,hora
106,Gipfel::N,শীর্ষ,vrchol
107,Höhle::N,গুহা,jaskyňa
108,Abhang::N,ঢাল,úbočie
109,Quelle::N,উৎস,prameň
110,Bach::N,ক্ষুদ্র নদী,potok
111,Fluss::N,নদী,rieka
112,Ufer::N,উপকূল,breh
113,Küste::N,তীর,pobrežie
114,Festland::N,ভূমি,pevnina
115,Meer::N,সমুদ্র,more
116,Bucht::N,উপসাগর,záliv
117,Bucht::N,উপসাগর,zátoka
118,Insel::N,দ্বীপ,ostrov
119,Blume::N,ফুল,kvet
120,Blume::N,ফুল,kvetina
121,Gras::N,ঘাস,tráva
122,Wurzel::N,শিকড়,koreň
123,Baum::N,গাছ,strom
124,Stamm::N,স্কন্ধ,kmeň
125,Rinde::N,বল্কল,kôra
126,Ast::N,শাখা,konár
127,Zweig::N,ডাল,vetva
128,Blatt::N,পর্ণ,list
129,Birke::N,ভুর্জ,breza
130,Kiefer[Baum]::N,পাইন গাছ,sosna
131,Kiefer[Baum]::N,পাইন গাছ,borovica
132,Weide[Baum]::N,উইলো,vŕba
133,Tanne::N,দেবদারূ গাছ,jedľa
134,Horn::N,শিং,roh
135,Feder::N,পালক,pero
136,Fell::N,রোম,koža
137,Fell::N,রোম,kožušina
138,Flügel::N,ডানা,krídlo
139,Klaue::N,নখর,paznecht
140,Kralle::N,নখর,pazúr
141,Schwanz::N,লেজ,chvost
142,Ei::N,ডিম,vajce
143,Ei::N,ডিম,vajíčko
144,Nest::N,কুলায়,hniezdo
145,Bau::N,ডেরা,nora
146,Tier::N,জন্তু,zviera
147,Herde::N,ঝাঁক,stádo
148,Kuh::N,গোরু,krava
149,Bulle::N,বৃষ,býk
150,Pferd::N,ঘোড়া,kôň
151,Schaf::N,ভেড়া,ovca
152,Schwein::N,শূকর,sviňa
153,Hund::N,কুকুর,pes
154,Katze::N,বেড়াল,mačka
155,Bär::N,ভল্লুক,medveď
156,Eichhörnchen::N,কাঠবিড়াল,veverička
157,Elch::N,হরিণবিশেষ,los
158,Fuchs::N,পাঁতিশিয়াল,líška
159,Hase::N,শশক,zajac
160,Maus::N,নেংটি ইঁদুর,myš
161,Wolf::N,নেকড়ে,vlk
162,Vogel::N,পক্ষী,vták
163,Schwarm::N,ঝাঁক,roj
164,Huhn::N,মোরগ,kurča
165,Huhn::N,মোরগ,sliepka
166,Hahn::N,কুক্কুট,kohút
167,Gans::N,হংসী,hus
168,Adler::N,ইগল,orol
169,Ente::N,হংসী,kačka
170,Ente::N,হংসী,kačica
171,Eule::N,পেচক,sova
172,Kranich::N,সারস,žeriav
173,Krähe::N,কাক,vrana
174,Kuckuck::N,কোকিল,kukučka
175,Schwan::N,মরাল,labuť
176,Fisch::N,মাছ,ryba
177,Barsch::N,মৎন্যবিশেষ,ostriež
178,Hecht::N,বানমাছ,šťuka
179,Schlange[Tier]::N,সর্প,had
180,Wurm::N,কীট,červ
181,Spinne::N,মাকড়সা,pavúk
182,Ameise::N,পিপীলিকা,mravec
183,Laus::N,উকুন,voš
184,Mücke::N,মশা,komár
185,Fliege::N,মাছি,mucha
186,Schmetterling::N,প্রজাপতি,motýľ
187,Beere::N,বেরি,bobuľa
188,Apfel::N,আপেল,jablko
189,Pilz::N,ছত্রক,hríb
190,Zwiebel::N,পিয়াজ,cibuľa
191,Saat::N,বীজ,osivo
192,Korn::N,শস্য,zrno
193,Heu::N,খড়,seno
194,Schale::N,খোসা,šupa
195,Schale::N,খোসা,škrupina
196,Grube::N,গর্ত,jama
197,Falle::N,ফাঁদ,pasca
198,Falle::N,ফাঁদ,klepec
199,Schlinge::N,পাশ,slučka
200,Spur::N,চিহ্ন,stopa
201,Asche::N,ভস্ম,popol
202,Dreck::N,ময়লা,kal
203,Dreck::N,ময়লা,blato
204,Eisen::N,লোহা,železo
205,Gold::N,স্বর্ণ,zlato
206,Silber::N,রৌপ্য,striebro
207,Kohle::N,অঙ্গার,uhlie
208,Glas::N,কাচ,sklo
209,Lehm::N,মৃত্তিকা,íl
210,Lehm::N,মৃত্তিকা,hlina
211,Sand::N,বালি,piesok
212,Mensch::N,নর,človek
213,Mensch::N,মানুষ,človek
214,Mann::N,মানুষ,muž
215,Mann::N,মানুষ,chlap
216,Frau::N,নারী,žena
217,Kind::N,বাচ্চা,dieťa
218,Junge::N,ছেলে,chlapec
219,Mädchen::N,মেয়ে,dievka
220,Familie::N,পরিবার,rodina
221,Großvater::N,মাতামহ,dedo
222,Großvater::N,মাতামহ,starý otec
223,Großmutter::N,মাতামহী,babička
224,Großmutter::N,মাতামহী,stará mať
225,Eltern::N,মাতাপিতা,rodičia
226,Vater::N,পিতা,otec
227,Mutter::N,মাতা,mať
228,Mutter::N,মাতা,matka
229,Sohn::N,ছেলে,syn
230,Tochter::N,মেয়ে,dcéra
231,Bruder::N,দাদা,brat
232,Schwester::N,বোন,sestra
233,Schwester::N,দিদি,sestra
234,Onkel::N,মামা,ujo
235,Onkel::N,মামা,strýko
236,Tante::N,মাসী,teta
237,Tante::N,মাসী,tetka
238,Ehemann::N,স্বামী,muž
239,Ehemann::N,স্বামী,manžel
240,Ehefrau::N,পত্নী,žena
241,Ehefrau::N,পত্নী,manželka
242,Freude::N,উল্লাস,radosť
243,Gelächter::N,হাসি,smiech
244,Glück::N,সুখ,šťastie
245,Kummer::N,দুঃখ,žiaľ
246,Kummer::N,দুঃখ,zármutok
247,Wunsch::N,আকাঙ্ক্ষা,prianie
248,Lust::N,বাসনা,chuť
249,Geist::N,আত্না,duch
250,Gedanke::N,চিন্তা,myšlienka
251,Gedächtnis::N,স্মরণশক্তি,pamäť
252,Verstand::N,মন,rozum
253,Sinn::N,পদার্থ,zmysel
254,Grund::N,কারণ,dôvod
255,Grund::N,কারণ,príčina
256,Wahrheit::N,সত্য,pravda
257,Gespräch::N,কথাবার্তা,reč
258,Gespräch::N,কথাবার্তা,rozhovor
259,Märchen::N,রূপকথা,rozprávka
260,Erzählung::N,গল্প,poviedka
261,Nachricht::N,তথ্য,správa
262,Neuigkeit::N,খবরাখবর,novinka
263,Name::N,নাম,meno
264,Rätsel::N,ধাঁধা,záhada
265,Rätsel::N,ধাঁধা,hádanka
266,Rede::N,বক্তৃতা,reč
267,Sprache::N,ভাষা,reč
268,Sprache::N,ভাষা,jazyk
269,Stimme::N,স্বর,hlas
270,Wort::N,শব্দ,slovo
271,Zeichen::N,প্রতীক,znak
272,Ruf::N,ডাক,volanie
273,Ruf::N,ডাক,zavolanie
274,Lärm::N,হৈচৈ,hluk
275,Lärm::N,হৈচৈ,hurhaj
276,Laut::N,ধ্বনি,zvuk
277,Ton::N,স্বর,tón
278,Ton::N,স্বর,zvuk
279,Lied::N,গান,pieseň
280,Ruhe::N,শান্তি,pokoj
281,Leute::N,প্রজাপুঞ্জ,ľudia
282,Volk::N,জাতি,ľud
283,Volk::N,জাতি,národ
284,Arbeit::N,চাকরি,práca
285,Arbeit::N,চাকরি,robota
286,Gast::N,অতিথি,hosť
287,Geschenk::N,উপহার,dar
288,Spiel::N,খেলা,hra
289,Gesellschaft::N,সঙ্গিগণ,spoločnosť
290,Hilfe::N,সাহায্য,pomoc
291,Freund::N,বন্ধু,priateľ
292,Kamerad::N,সঙ্গী,kamarát
293,Angelegenheit::N,বিষয়,vec
294,Angelegenheit::N,বিষয়,záležitosť
295,Anzahl::N,পরিমাণ,počet
296,Anzahl::N,পরিমাণ,množstvo
297,Art::N,রকম,druh
298,Stück::N,টুকরো,kus
299,Stück::N,টুকরো,kúsok
300,Teil::N,অংশ,časť
301,Hälfte::N,অর্ধেক,polka
302,Hälfte::N,অর্ধেক,polovica
303,Kreis::N,বৃত্ত,kruh
304,Kreuz::N,ক্রুশ,kríž
305,Linie::N,রেখা,línia
306,Strich::N,কষি,čiara
307,Abstand::N,ফাঁক,vzdialenosť
308,Entfernung::N,ব্যবধান,vzdialenosť
309,Gegend::N,ক্ষেত্র,kraj
310,Gegend::N,ক্ষেত্র,krajina
311,Platz::N,জায়গা,miesto
312,Ort::N,স্থান,miesto
313,Seite::N,পার্শ্ব,bok
314,Seite::N,পার্শ্ব,strana
315,Mitte::N,মধ্য,stred
316,Gegenstand::N,জিনিস,predmet
317,Sache::N,বস্তু,vec
318,Rand::N,কানা,kraj
319,Rand::N,কানা,okraj
320,Kante::N,ধার,hrana
321,Ecke::N,কোণ,roh
322,Spitze::N,ডগা,hrot
