,Concept_ID,cy,lv
0,Auge::N,llygad,син
1,Auge::N,llygad,acs
2,Ohr::N,clust,пель
3,Ohr::N,clust,auss
4,Nase::N,trwyn,ныр
5,Nase::N,trwyn,deguns
6,Mund::N,ceg,вом
7,Mund::N,ceg,mute
8,Zahn::N,dant,пинь
9,Zahn::N,dant,zobs
10,Zunge::N,tafod,кыв
11,Zunge::N,tafod,mēle
12,Lippe::N,gwefus,вом дор
13,Lippe::N,gwefus,lūpa
14,Wange::N,boch,бан
15,Wange::N,boch,vaigs
16,Gesicht::N,wyneb,чужӧм
17,Gesicht::N,wyneb,seja
18,Gesicht::N,wyneb,ģīmis
19,Stirn::N,talcen,плеш
20,Stirn::N,talcen,кымӧс
21,Stirn::N,talcen,piere
22,Haar::N,blew,си
23,Haar::N,blew,юрси
24,Haar::N,blew,mats
25,Schnurrbart::N,mwstas,ус
26,Schnurrbart::N,mwstas,пыртсим
27,Schnurrbart::N,mwstas,ūsas
28,Bart::N,barf,тош
29,Bart::N,barf,bārda
30,Kinn::N,gên,тшӧка
31,Kinn::N,gên,zods
32,Kinn::N,gên,smakrs
33,Kiefer[Anatomie]::N,gên,черлы
34,Kiefer[Anatomie]::N,gên,алака лы
35,Kiefer[Anatomie]::N,gên,вомкӧтш лы
36,Kiefer[Anatomie]::N,gên,žoklis
37,Kehle::N,gwddf,голя
38,Kehle::N,gwddf,rīkle
39,Hals::N,gwddf,сьылі
40,Hals::N,gwddf,kakls
41,Genick::N,gwar,юрбӧр
42,Genick::N,gwar,балябӧж
43,Genick::N,gwar,sprands
44,Genick::N,gwegil,юрбӧр
45,Genick::N,gwegil,балябӧж
46,Genick::N,gwegil,sprands
47,Kopf::N,pen,юр
48,Kopf::N,pen,galva
49,Rücken::N,cefn,мыш
50,Rücken::N,cefn,mugura
51,Bauch::N,bol,рушку
52,Bauch::N,bol,vēders
53,Nabel::N,bogail,гӧг
54,Nabel::N,bogail,naba
55,Busen::N,bron,морӧс
56,Busen::N,bron,krūts
57,Brust::N,brest,морӧс
58,Brust::N,brest,krūts
59,Schulter::N,ysgwydd,пельпом
60,Schulter::N,ysgwydd,plecs
61,Arm::N,braich,ки
62,Arm::N,braich,roka
63,Arm::N,braich,delms
64,Ellenbogen::N,penelin,гырддза
65,Ellenbogen::N,penelin,elkonis
66,Hand::N,llaw,ки
67,Hand::N,llaw,roka
68,Hand::N,llaw,plauksta
69,Handfläche::N,palf,ки пыдӧс
70,Handfläche::N,palf,delna
71,Handfläche::N,palf,plauksta
72,Finger::N,bys,чунь
73,Finger::N,bys,pirksts
74,Fingernagel::N,ewin,гыж
75,Fingernagel::N,ewin,nags
76,Nagel[Anatomie]::N,ewin,гыж
77,Nagel[Anatomie]::N,ewin,nags
78,Zeh::N,bys troed,кок чунь
79,Zeh::N,bys troed,pirksts
80,Fuß::N,troed,кок
81,Fuß::N,troed,kāja
82,Ferse::N,sawdl,кокбӧр
83,Ferse::N,sawdl,papēdis
84,Knie::N,glin,пидзӧс
85,Knie::N,glin,celis
86,Oberschenkel::N,clun,лядьвей
87,Oberschenkel::N,clun,бек
88,Oberschenkel::N,clun,ciska
89,Oberschenkel::N,clun,augšstilbs
90,Bein::N,coes,кок
91,Bein::N,coes,kāja
92,Körper::N,corff,туша
93,Körper::N,corff,вывтыр
94,Körper::N,corff,miesa
95,Körper::N,corff,ķermenis
96,Haut::N,croen,ку
97,Haut::N,croen,āda
98,Blut::N,gwaed,вир
99,Blut::N,gwaed,asins
100,Ader::N,gwythïen,сӧн
101,Ader::N,gwythïen,asinsvads
102,Sehne::N,gewyn,вез
103,Sehne::N,gewyn,dzīsla
104,Knochen::N,asgwrn,лы
105,Knochen::N,asgwrn,kauls
106,Gehirn::N,ymennydd,вем
107,Gehirn::N,ymennydd,smadzenes
108,Herz::N,calon,сьӧлӧм
109,Herz::N,calon,sirds
110,Magen::N,cylla,кынӧм
111,Magen::N,cylla,kuņģis
112,Magen::N,stumog,кынӧм
113,Magen::N,stumog,kuņģis
114,Leber::N,iau,мус
115,Leber::N,iau,aknas
116,Atem::N,anadl,лов
117,Atem::N,anadl,elpa
118,Hunger::N,newyn,тшыг
119,Hunger::N,newyn,bads
120,Hunger::N,newyn,izsalkums
121,Träne::N,deigryn,синва
122,Träne::N,deigryn,asara
123,Geschmack::N,cyflas,кӧр
124,Geschmack::N,cyflas,чӧсмӧс
125,Geschmack::N,cyflas,garša
126,Geruch::N,aroglau,зын
127,Geruch::N,aroglau,дук
128,Geruch::N,aroglau,smaka
129,Schlaf::N,cwsg,узьӧм
130,Schlaf::N,cwsg,miegs
131,Traum::N,breuddwyd,вӧт
132,Traum::N,breuddwyd,вӧтасьӧм
133,Traum::N,breuddwyd,sapnis
134,Himmel::N,awyr,енэж
135,Himmel::N,awyr,debess
136,Sonne::N,haul,шонді
137,Sonne::N,haul,saule
138,Mond::N,lleuad,тӧлысь
139,Mond::N,lleuad,mēness
140,Stern::N,seren,кодзув
141,Stern::N,seren,zvaigzne
142,Luft::N,awyr,сынӧд
143,Luft::N,awyr,gaiss
144,Wind::N,gwynt,тӧв
145,Wind::N,gwynt,vējš
146,Welle::N,ton,гы
147,Welle::N,ton,vilnis
148,Wasser::N,dŵr,ва
149,Wasser::N,dŵr,ūdens
150,Stein::N,carreg,из
151,Stein::N,carreg,akmens
152,Boden::N,llawr,му
153,Boden::N,llawr,augsne
154,Erde::N,pridd,му
155,Erde::N,pridd,му-ва
156,Erde::N,pridd,zeme
157,Staub::N,llwch,бус
158,Staub::N,llwch,putekļi
159,Rauch::N,mwg,тшын
160,Rauch::N,mwg,dūmi
161,Funke::N,gwreichioni,кинь
162,Funke::N,gwreichioni,би кинь
163,Funke::N,gwreichioni,dzirkstele
164,Feuer::N,tân,би
165,Feuer::N,tân,uguns
166,Licht::N,golau,югӧр
167,Licht::N,golau,gaisma
168,Schatten::N,cysgod,вуджӧр
169,Schatten::N,cysgod,ēna
170,Wetter::N,tywydd,поводдя
171,Wetter::N,tywydd,laiks
172,Nebel::N,niwl,ру
173,Nebel::N,niwl,онь
174,Nebel::N,niwl,migla
175,Wolke::N,cwmwl,кымӧр
176,Wolke::N,cwmwl,mākonis
177,Regen::N,glaw,зэр
178,Regen::N,glaw,lietus
179,Schnee::N,ôd,лым
180,Schnee::N,ôd,sniegs
181,Schnee::N,eira,лым
182,Schnee::N,eira,sniegs
183,Eis::N,iâ,йи
184,Eis::N,iâ,ledus
185,Frost::N,rhew,кӧдзыд
186,Frost::N,rhew,sals
187,Kälte::N,oerni,кӧдзыд
188,Kälte::N,oerni,saltums
189,Kälte::N,oerni,aukstums
190,Kälte::N,annwyd,кӧдзыд
191,Kälte::N,annwyd,saltums
192,Kälte::N,annwyd,aukstums
193,Hitze::N,gwres,пӧсь
194,Hitze::N,gwres,гожӧд
195,Hitze::N,gwres,karstums
196,Raureif::N,barrug,пуж
197,Raureif::N,barrug,гыӧр
198,Raureif::N,barrug,sarma
199,Regenbogen::N,enfys,ӧшкамӧшка
200,Regenbogen::N,enfys,varavīksne
201,Donner::N,tyrfau,гым
202,Donner::N,tyrfau,pērkons
203,Strömung::N,cerrynt,ва ныр
204,Strömung::N,cerrynt,визувтӧм
205,Strömung::N,cerrynt,straume
206,Strömung::N,cerrynt,strāvojums
207,Tropfen::N,dafn,войт
208,Tropfen::N,dafn,lāse
209,Tropfen::N,diferyn,войт
210,Tropfen::N,diferyn,lāse
211,Schaum::N,ewyn,быг
212,Schaum::N,ewyn,быгзьӧм
213,Schaum::N,ewyn,putas
214,Schmutz::N,baw,няйт
215,Schmutz::N,baw,dubļi
216,Schmutz::N,budreddi,няйт
217,Schmutz::N,budreddi,dubļi
218,See::N,llyn,ты
219,See::N,llyn,ezers
220,Sumpf::N,cors,гыбад
221,Sumpf::N,cors,кад
222,Sumpf::N,cors,dumbrājs
223,Sumpf::N,cors,staignājs
224,Moor::N,rhos,нюр
225,Moor::N,rhos,purvs
226,Moor::N,rhos,muklājs
227,Wiese::N,dôl,видз
228,Wiese::N,dôl,pļava
229,Wald::N,coedwig,вӧр
230,Wald::N,coedwig,mežs
231,Hügel::N,bryn,дзиб
232,Hügel::N,bryn,мыльк
233,Hügel::N,bryn,нӧрыс
234,Hügel::N,bryn,paugurs
235,Anhöhe::N,bryn,мыльк
236,Anhöhe::N,bryn,нӧрыс
237,Anhöhe::N,bryn,paugurs
238,Berg::N,mynydd,чой
239,Berg::N,mynydd,керӧс
240,Berg::N,mynydd,kalns
241,Gipfel::N,copa,чук
242,Gipfel::N,copa,virsotne
243,Höhle::N,ogof,рудӧг
244,Höhle::N,ogof,ala
245,Abhang::N,llethr,ньывк
246,Abhang::N,llethr,бокша
