,Concept_ID,ady,ro
0,Auge::N,нэ,ochi
1,Ohr::N,тхьакӏу́м,ureche
2,Nase::N,пэ,nas
3,Mund::N,жэ,gură
4,Zahn::N,цэ,dinte
5,Zunge::N,бзэгу,limbă
6,Lippe::N,ӏупшӏэ́,buză
7,Wange::N,нэкӏу́шъу,bucă
8,Wange::N,нэкӏу́шъу,obraz
9,Gesicht::N,нэ́гу,față
10,Gesicht::N,нэ́гу,figură
11,Stirn::N,натӏэ́,frunte
12,Haar::N,шъхьацы́,păr
13,Bart::N,жакӏэ́,barbă
14,Kinn::N,жэкӏэпэпкъ,bărbie
15,Kiefer[Anatomie]::N,жэпкъы́,falcă
16,Kehle::N,чый,beregată
17,Hals::N,пшъэ,gât
18,Genick::N,шъхьэпхэтыку,ceafă
19,Kopf::N,шъхьэ́,cap
20,Rücken::N,кӏыбы́,dos
21,Rücken::N,кӏыбы́,spate
22,Rücken::N,кӏыбы́,spinare
23,Bauch::N,ныбэ́,burtă
24,Bauch::N,ныбэ́,pântece
25,Busen::N,бгъэ́,sân
26,Brust::N,бгъэ́,piept
27,Schulter::N,блыпкъ,umăr
28,Schulter::N,блыпкъ,spate
29,Arm::N,ӏэ,braț
30,Ellenbogen::N,ӏэнтэ́гъу,cot
31,Hand::N,ӏэтхьэцу,mână
32,Handfläche::N,ӏэ́гу,palmă
33,Finger::N,ӏэхъуа́мб,deget
34,Fingernagel::N,ӏэбжъа́н,unghie
35,Nagel[Anatomie]::N,ӏэбжъа́н,unghie
36,Zeh::N,ӏэхъуа́мб,deget de la picior
37,Fuß::N,лъэгу,picior
38,Ferse::N,лъэдакъэ,călcâi
39,Knie::N,лъагуа́ндж,genunchi
40,Oberschenkel::N,ко,coapsă
41,Bein::N,лъакъо́,picior
42,Körper::N,пкъышъол,corp
43,Haut::N,кӏы́шъу,piele
44,Blut::N,лъы,sânge
45,Ader::N,льытф,vână
46,Ader::N,льытф,arteră
47,Sehne::N,фэ,tendon
48,Knochen::N,къупшъхьэ́,os
49,Gehirn::N,куцӏы,creier
50,Herz::N,гу,inimă
51,Magen::N,мышкӏу,stomac
52,Leber::N,шӏу,ficat
53,Atem::N,къэщэныр,răsuflare
54,Atem::N,къэщэныр,respirație
55,Hunger::N,гъаблэ́,foame
56,Träne::N,нэпсы,lacrimă
57,Geschmack::N,ӏэшӏугъа́кӏ,gust
58,Geruch::N,мэ,miros
59,Schlaf::N,пчыхьы́пӏ,somn
60,Traum::N,пчыхьы́пӏ,vis
61,Himmel::N,уашъо́,cer
62,Sonne::N,тыгъэ,soare
63,Mond::N,мазэ,lună
64,Stern::N,жъуагъо́,stea
65,Luft::N,жьы,aer
66,Wind::N,жьыбгъэ́,vânt
67,Welle::N,ор,val
68,Welle::N,ор,undă
69,Welle::N,оры,val
70,Welle::N,оры,undă
71,Wasser::N,псы,apă
72,Stein::N,мыжъо́,piatră
73,Boden::N,чӏ́ыгу,sol
74,Boden::N,чӏ́ыгу,pământ
75,Erde::N,чӏ́ыгу,pământ
76,Staub::N,сап,praf
77,Rauch::N,ӏугъо́,fum
78,Funke::N,мэшӏуа́ч,scânteie
79,Feuer::N,машӏо́,foc
80,Licht::N,нэфы,lumină
81,Licht::N,нэфын,lumină
82,Schatten::N,жьау́,umbră
