,Concept_ID,hi,eu
0,Auge::N,आँख,begi
1,Auge::N,चक्षु,begi
2,Ohr::N,कान,belarri
3,Ohr::N,कर्ण,belarri
4,Nase::N,नाक,sudur
5,Nase::N,नासा,sudur
6,Mund::N,मुख,aho
7,Mund::N,मुँह,aho
8,Zahn::N,दंत,hortz
9,Zahn::N,दाँत,hortz
10,Zunge::N,जीभ,mihi
11,Zunge::N,ज़बान,mihi
12,Zunge::N,जिह्वा,mihi
13,Lippe::N,ओंठ,ezpain
14,Lippe::N,होंठ,ezpain
15,Wange::N,गाल,masail
16,Wange::N,कपोल,masail
17,Gesicht::N,मुँह,aurpegi
18,Gesicht::N,चेहरा,aurpegi
19,Stirn::N,माथा,bekoki
20,Stirn::N,मस्तक,bekoki
21,Haar::N,बाल,ile
22,Haar::N,बाल,bilo
23,Schnurrbart::N,मूँछें,bibote
24,Schnurrbart::N,मूँछें,sudurpeko
25,Bart::N,दाढ़ी,bizar
26,Kinn::N,चिबुक,kokots
27,Kiefer[Anatomie]::N,जबड़ा,masailezur
28,Kehle::N,गला,eztarri
29,Hals::N,गला,sama
30,Hals::N,गरदन,sama
31,Genick::N,गरदन,garondo
32,Genick::N,ग्रीवा,garondo
33,Kopf::N,सिर,buru
34,Kopf::N,शीर्ष,buru
35,Rücken::N,पीठ,bizkar
36,Bauch::N,उदर,sabel
37,Nabel::N,नाभि,zilbor
38,Nabel::N,ढोंढी,zilbor
39,Busen::N,कुच,titi
40,Busen::N,कुच,ugatz
41,Busen::N,स्तन,titi
42,Busen::N,स्तन,ugatz
43,Brust::N,वक्ष,bular
44,Schulter::N,कंधा,besaburu
45,Schulter::N,स्कंध,besaburu
46,Arm::N,बाँह,beso
47,Arm::N,बाज़ू,beso
48,Ellenbogen::N,कुहनी,ukondo
49,Hand::N,हाथ,esku
50,Hand::N,हस्त,esku
51,Handfläche::N,हथेली,ahur
52,Finger::N,उँगली,hatz
53,Finger::N,अँगुली,hatz
54,Fingernagel::N,नख,azazkal
55,Fingernagel::N,नाख़ून,azazkal
56,Nagel[Anatomie]::N,नख,azazkal
57,Nagel[Anatomie]::N,नाख़ून,azazkal
58,Zeh::N,उँगली,behatz
59,Zeh::N,पाँव की उँगली,behatz
60,Fuß::N,चरण,oin
61,Fuß::N,पाँव,oin
62,Ferse::N,एड़ी,orpo
63,Ferse::N,एड़ी,oinburu
64,Knie::N,जानु,belaun
65,Knie::N,घुटना,belaun
66,Oberschenkel::N,उरु,izter
67,Bein::N,टाँग,zango
68,Körper::N,तन,soin
69,Körper::N,देह,soin
70,Körper::N,शरीर,soin
71,Haut::N,चर्म,azal
72,Haut::N,त्वचा,azal
73,Blut::N,लहू,odol
74,Blut::N,ख़ून,odol
75,Ader::N,रग,zain
76,Ader::N,शिरा,zain
77,Sehne::N,कंडरा,gihar-zain
78,Sehne::N,स्नायु,gihar-zain
79,Knochen::N,अस्थि,hezur
80,Gehirn::N,दिमाग़,garun
81,Gehirn::N,दिमाग़,burmuin
82,Gehirn::N,मस्तिष्क,garun
83,Gehirn::N,मस्तिष्क,burmuin
84,Herz::N,दिल,bihotz
85,Herz::N,हृदय,bihotz
86,Magen::N,मेदा,urdail
87,Magen::N,अमाशय,urdail
88,Leber::N,जिगर,gibel
89,Leber::N,यकृत्,gibel
90,Atem::N,दम,hats
91,Atem::N,दम,arnasa
92,Atem::N,साँस,hats
93,Atem::N,साँस,arnasa
94,Atem::N,श्वास,hats
95,Atem::N,श्वास,arnasa
96,Hunger::N,भूख,gose
97,Hunger::N,क्षुधा,gose
98,Träne::N,आँसू,malko
99,Träne::N,अश्रु,malko
100,Geschmack::N,स्वाद,dasta
101,Geschmack::N,ज़ायक़ा,dasta
102,Geruch::N,बू,usain
103,Geruch::N,गंध,usain
104,Schlaf::N,नींद,lo
105,Schlaf::N,निद्रा,lo
106,Traum::N,सपना,amets
107,Traum::N,स्वप्न,amets
108,Himmel::N,आकाश,zeru
109,Himmel::N,आसमान,zeru
110,Sonne::N,रवि,eguzki
111,Sonne::N,सूरज,eguzki
112,Sonne::N,सूर्य,eguzki
113,Mond::N,चाँद,ilargi
114,Mond::N,चंद्र,ilargi
115,Stern::N,तारा,izar
116,Stern::N,सितारा,izar
117,Luft::N,हवा,aire
118,Luft::N,वायु,aire
119,Wind::N,पाद,haize
120,Welle::N,लहर,uhin
121,Welle::N,लहर,olatu
