,Concept_ID,uz,it
0,Auge::N,ko'z,occhio
1,Ohr::N,quloq,orecchio
2,Nase::N,burun,naso
3,Mund::N,og'iz,bocca
4,Zahn::N,tish,dente
5,Zunge::N,til,lingua
6,Lippe::N,dudoq,labbro
7,Wange::N,bet,guancia
8,Gesicht::N,yuz,viso
9,Gesicht::N,yuz,faccia
10,Stirn::N,manglay,fronte
11,Haar::N,soch,capello
12,Schnurrbart::N,mo'ylov,baffi
13,Schnurrbart::N,mo'ylov,mustacchi
14,Bart::N,soqol,barba
15,Kinn::N,ängak,mento
16,Kiefer[Anatomie]::N,iyak,mascella
17,Kehle::N,bo'g'iz,gola
18,Hals::N,bo'yin,collo
19,Genick::N,gardan,nuca
20,Kopf::N,bosh,capo
21,Kopf::N,bosh,testa
22,Rücken::N,orqa,dorso
23,Rücken::N,orqa,schiena
24,Bauch::N,qorin,ventre
25,Nabel::N,kindik,ombelico
26,Busen::N,ämchak,seno
27,Brust::N,ko'krak,petto
28,Schulter::N,elka,spalla
29,Arm::N,bilak,braccio
30,Ellenbogen::N,tirsak,gomito
31,Hand::N,qo'l,mano
32,Handfläche::N,kaft,palma
33,Finger::N,barmoq,dito
34,Fingernagel::N,tirnoq,unghia
35,Nagel[Anatomie]::N,tirnoq,unghia
36,Zeh::N,oyoq barmog'i,dito del piede
37,Fuß::N,oyoq,piede
38,Ferse::N,tovon,tallone
39,Ferse::N,tovon,calcagno
40,Knie::N,tiz,ginocchio
41,Oberschenkel::N,son,fèmore
42,Bein::N,oyoq,gamba
43,Körper::N,badna,corpo
44,Haut::N,teri,pelle
45,Blut::N,qon,sangue
46,Ader::N,qon tomir,vena
47,Sehne::N,tomir,tèndine
48,Knochen::N,suyak,osso
49,Gehirn::N,miya,cervello
50,Herz::N,qalb,cuore
51,Magen::N,oshqozon,stòmaco
52,Leber::N,bag'ir,fegato
53,Atem::N,dam,fiato
54,Atem::N,dam,respiro
55,Hunger::N,ochlik,fame
56,Träne::N,yosh,làcrima
57,Geschmack::N,tam,gusto
58,Geschmack::N,tam,sapore
59,Geruch::N,jid,odore
60,Schlaf::N,uyqu,sonno
61,Traum::N,tush,sogno
62,Himmel::N,osmon,cielo
63,Sonne::N,quyosh,sole
64,Mond::N,oy,luna
65,Stern::N,yulduz,stella
66,Luft::N,havo,aria
67,Wind::N,el,vento
68,Welle::N,to'lqin,onda
69,Wasser::N,suv,acqua
70,Stein::N,tosh,sasso
71,Stein::N,tosh,pietra
72,Boden::N,tuproq,suolo
73,Boden::N,tuproq,terreno
74,Erde::N,er,terra
75,Staub::N,chang,polvere
76,Rauch::N,tutun,fumo
77,Funke::N,yalt,scintilla
78,Feuer::N,o't,fuoco
79,Licht::N,yorug',luce
80,Schatten::N,soya,ombra
81,Wetter::N,havo,tempo
82,Nebel::N,tuman,nebbia
83,Wolke::N,bulut,nube
84,Wolke::N,bulut,nùvola
85,Regen::N,yomg'ir,pioggia
86,Schnee::N,qor,neve
87,Eis::N,muz,ghiaccio
88,Frost::N,ajoz,gelo
89,Kälte::N,ajoz,freddo
90,Hitze::N,issiq,caldo
91,Hitze::N,issiq,calura
92,Raureif::N,qirov,brina
93,Regenbogen::N,kamalak,arcobaleno
94,Donner::N,guldur,tuono
95,Strömung::N,oqim,corrente
96,Tropfen::N,tomchi,goccia
97,Schaum::N,ko'pik,spuma
98,Schaum::N,ko'pik,schiuma
99,Schmutz::N,gard,sudiciume
100,See::N,ko'l,lago
101,Sumpf::N,botqoq,palude
102,Moor::N,qir-adir,torbiera
103,Wiese::N,o'tzor,prato
104,Wald::N,o'rmon,bosco
105,Wald::N,o'rmon,foresta
106,Hügel::N,tepa,colle
107,Hügel::N,tepa,collina
108,Anhöhe::N,adir,altura
109,Berg::N,tog',monte
110,Berg::N,tog',montagna
111,Gipfel::N,cho'qqi,cima
112,Höhle::N,kavak,grotta
113,Höhle::N,kavak,caverna
114,Abhang::N,to'sh,pendìo
115,Quelle::N,buloq,sorgente
116,Bach::N,o'zan,ruscello
117,Fluss::N,daryo,fiume
118,Ufer::N,sohil,riva
119,Küste::N,qirg'oq,costa
120,Festland::N,materik,terraferma
121,Meer::N,dengiz,mare
122,Bucht::N,qo'ltiq,cala
123,Insel::N,orol,ìsola
124,Blume::N,gul,fiore
125,Gras::N,sabza,erba
