,Concept_ID,bn,ga
0,Auge::N,চক্ষু,súil
1,Ohr::N,কর্ণ,cluas
2,Nase::N,নাক,soc
3,Mund::N,মুখ,béal
4,Zahn::N,দাঁত,fiacail
5,Zunge::N,জিহবা,teanga
6,Lippe::N,অধর,liopa
7,Wange::N,গণ্ড,grua
8,Wange::N,গণ্ড,leiceann
9,Gesicht::N,মুখমণ্ডল,éadan
10,Gesicht::N,মুখমণ্ডল,aghaidh
11,Stirn::N,কপাল,baithis
12,Stirn::N,কপাল,clár éadain
13,Haar::N,চুল,gruaig
14,Schnurrbart::N,গোঁফ,croiméal
15,Bart::N,শ্মশ্রু,féasóg
16,Kinn::N,চিবুক,smig
17,Kiefer[Anatomie]::N,চোয়াল,giall
18,Kehle::N,কণ্ঠ,scornach
19,Hals::N,গল,muinéal
20,Genick::N,ঘাড়,baic
21,Kopf::N,মাথা,ceann
22,Rücken::N,পৃষ্ঠ,droim
23,Bauch::N,উদর,bolg
24,Nabel::N,নাভি,imleacán
25,Busen::N,স্তন,cíoch
26,Brust::N,বুক,brollach
27,Schulter::N,স্কন্ধ,gualainn
28,Arm::N,বাহু,lámh
29,Ellenbogen::N,কনুই,uillinn
30,Hand::N,হাত,lámh
31,Handfläche::N,করতল,bos
32,Finger::N,আঙ্গুল,méar
33,Fingernagel::N,হাতের নখ,ionga
34,Nagel[Anatomie]::N,নখ,ionga
35,Zeh::N,আঙ্গুল,ladhar
36,Fuß::N,পা,cos
37,Fuß::N,পা,troigh
38,Ferse::N,গোড়ালি,sáil
39,Knie::N,হাঁটু,glúin
40,Oberschenkel::N,ঊরু,ceathrú
41,Bein::N,পা,cos
42,Körper::N,দেহ,corp
43,Körper::N,দেহ,colainn
44,Haut::N,ত্বক,cneas
45,Haut::N,ত্বক,craiceann
46,Blut::N,রক্ত,fuil
47,Ader::N,শিরা,
48,Sehne::N,কণ্ডরা,teannán
49,Sehne::N,কণ্ডরা,féitheog
50,Knochen::N,অস্থি,cnámh
51,Gehirn::N,মস্তিষ্ক,inchinn
52,Herz::N,হৃৎপিণ্ড,croí
53,Magen::N,পাকস্থলী,bolg
54,Magen::N,পাকস্থলী,goile
55,Leber::N,যকৃৎ,ae
56,Atem::N,শ্বাস,anáil
57,Hunger::N,ক্ষুধা,ocras
58,Träne::N,অশ্রু,deoir
59,Geschmack::N,স্বাদ,blas
60,Geruch::N,গন্ধ,boladh
61,Schlaf::N,ঘুম,suan
62,Schlaf::N,ঘুম,codladh
63,Traum::N,স্বপ্ন,taibhreamh
64,Himmel::N,আকাশ,spéir
65,Sonne::N,সূর্য,grian
66,Mond::N,চন্দ্র,ré
67,Mond::N,চন্দ্র,gealach
68,Stern::N,নক্ষত্র,rinn
69,Stern::N,নক্ষত্র,réalta
70,Luft::N,বায়ু,aer
71,Wind::N,বাতাস,gaoth
72,Welle::N,ঢেউ,tonn
73,Welle::N,তরঙ্গ,tonn
74,Wasser::N,জল,uisce
75,Stein::N,ঢিল,cloch
76,Stein::N,প্রস্তর,cloch
77,Boden::N,ভূতল,talamh
78,Erde::N,ভূমি,cré
