,Concept_ID,lv,xal
0,Auge::N,син,нүдн
1,Auge::N,acs,нүдн
2,Ohr::N,пель,чикн
3,Ohr::N,auss,чикн
4,Nase::N,ныр,хамр
5,Nase::N,deguns,хамр
6,Mund::N,вом,амн
7,Mund::N,mute,амн
8,Zahn::N,пинь,шүдн
9,Zahn::N,zobs,шүдн
10,Zunge::N,кыв,келн
11,Zunge::N,mēle,келн
12,Lippe::N,вом дор,урл
13,Lippe::N,lūpa,урл
14,Wange::N,бан,халх
15,Wange::N,vaigs,халх
16,Gesicht::N,чужӧм,нүр
17,Gesicht::N,seja,нүр
18,Gesicht::N,ģīmis,нүр
19,Stirn::N,плеш,маңна
20,Stirn::N,кымӧс,маңна
21,Stirn::N,piere,маңна
22,Haar::N,си,үсн
23,Haar::N,юрси,үсн
24,Haar::N,mats,үсн
25,Schnurrbart::N,ус,сахл
26,Schnurrbart::N,пыртсим,сахл
27,Schnurrbart::N,ūsas,сахл
28,Bart::N,тош,сахл
29,Bart::N,тош,өргнә сахл
30,Bart::N,bārda,сахл
31,Bart::N,bārda,өргнә сахл
32,Kinn::N,тшӧка,өргн
33,Kinn::N,zods,өргн
34,Kinn::N,smakrs,өргн
35,Kiefer[Anatomie]::N,черлы,өргн
36,Kiefer[Anatomie]::N,алака лы,өргн
37,Kiefer[Anatomie]::N,вомкӧтш лы,өргн
38,Kiefer[Anatomie]::N,žoklis,өргн
39,Kehle::N,голя,хол
40,Kehle::N,rīkle,хол
41,Hals::N,сьылі,күзүн
42,Hals::N,kakls,күзүн
43,Genick::N,юрбӧр,гиҗг
44,Genick::N,балябӧж,гиҗг
45,Genick::N,sprands,гиҗг
46,Kopf::N,юр,толһа
47,Kopf::N,galva,толһа
48,Rücken::N,мыш,нурһн
49,Rücken::N,mugura,нурһн
50,Bauch::N,рушку,гесн
51,Bauch::N,vēders,гесн
52,Nabel::N,гӧг,киисн
53,Nabel::N,naba,киисн
54,Busen::N,морӧс,көкн
55,Busen::N,krūts,көкн
56,Brust::N,морӧс,чееҗ
57,Brust::N,krūts,чееҗ
58,Schulter::N,пельпом,ээм
59,Schulter::N,plecs,ээм
60,Arm::N,ки,һар
61,Arm::N,roka,һар
62,Arm::N,delms,һар
63,Ellenbogen::N,гырддза,тоха
64,Ellenbogen::N,elkonis,тоха
65,Hand::N,ки,баһлцг
66,Hand::N,roka,баһлцг
67,Hand::N,plauksta,баһлцг
68,Handfläche::N,ки пыдӧс,альхн
69,Handfläche::N,delna,альхн
70,Handfläche::N,plauksta,альхн
71,Finger::N,чунь,хурһн
72,Finger::N,чунь,һарин хурһн
73,Finger::N,pirksts,хурһн
74,Finger::N,pirksts,һарин хурһн
75,Fingernagel::N,гыж,хумсн
76,Fingernagel::N,nags,хумсн
77,Nagel[Anatomie]::N,гыж,хумсн
78,Nagel[Anatomie]::N,nags,хумсн
79,Zeh::N,кок чунь,хурһн
80,Zeh::N,кок чунь,көлин хурһн
81,Zeh::N,pirksts,хурһн
82,Zeh::N,pirksts,көлин хурһн
83,Fuß::N,кок,тавг
84,Fuß::N,kāja,тавг
85,Ferse::N,кокбӧр,өскә
86,Ferse::N,papēdis,өскә
87,Knie::N,пидзӧс,өвдг
88,Knie::N,celis,өвдг
89,Oberschenkel::N,лядьвей,һуй
90,Oberschenkel::N,бек,һуй
91,Oberschenkel::N,ciska,һуй
92,Oberschenkel::N,augšstilbs,һуй
93,Bein::N,кок,көл
94,Bein::N,kāja,көл
95,Körper::N,туша,махмуд
96,Körper::N,вывтыр,махмуд
97,Körper::N,miesa,махмуд
98,Körper::N,ķermenis,махмуд
99,Haut::N,ку,арсн
100,Haut::N,āda,арсн
101,Blut::N,вир,цусн
102,Blut::N,asins,цусн
103,Ader::N,сӧн,судцн
104,Ader::N,asinsvads,судцн
105,Sehne::N,вез,шүрүсн
106,Sehne::N,dzīsla,шүрүсн
107,Knochen::N,лы,ясн
108,Knochen::N,kauls,ясн
109,Gehirn::N,вем,экн
110,Gehirn::N,smadzenes,экн
111,Herz::N,сьӧлӧм,зүркн
112,Herz::N,sirds,зүркн
113,Magen::N,кынӧм,гесн
114,Magen::N,kuņģis,гесн
115,Leber::N,мус,элкн
116,Leber::N,aknas,элкн
117,Atem::N,лов,әмсхл
118,Atem::N,elpa,әмсхл
119,Hunger::N,тшыг,харһнлһн
120,Hunger::N,bads,харһнлһн
121,Hunger::N,izsalkums,харһнлһн
122,Träne::N,синва,нульмсн
123,Träne::N,asara,нульмсн
124,Geschmack::N,кӧр,амтн
125,Geschmack::N,чӧсмӧс,амтн
126,Geschmack::N,garša,амтн
127,Geruch::N,зын,үнр
128,Geruch::N,дук,үнр
129,Geruch::N,smaka,үнр
130,Schlaf::N,узьӧм,нөр
131,Schlaf::N,miegs,нөр
132,Traum::N,вӧт,зүүдн
133,Traum::N,вӧтасьӧм,зүүдн
134,Traum::N,sapnis,зүүдн
135,Himmel::N,енэж,теңгр
136,Himmel::N,debess,теңгр
137,Sonne::N,шонді,нарн
138,Sonne::N,saule,нарн
139,Mond::N,тӧлысь,сар
140,Mond::N,mēness,сар
141,Stern::N,кодзув,одн
142,Stern::N,zvaigzne,одн
143,Luft::N,сынӧд,аһар
144,Luft::N,gaiss,аһар
145,Wind::N,тӧв,салькн
146,Wind::N,vējš,салькн
147,Welle::N,гы,дольган
148,Welle::N,vilnis,дольган
149,Wasser::N,ва,усн
150,Wasser::N,ūdens,усн
151,Stein::N,из,чолун
152,Stein::N,akmens,чолун
153,Boden::N,му,Һазр
154,Boden::N,augsne,Һазр
155,Erde::N,му,Һазр
156,Erde::N,му-ва,Һазр
157,Erde::N,zeme,Һазр
158,Staub::N,бус,тоосн
159,Staub::N,putekļi,тоосн
