,Concept_ID,ko,ja
0,Auge::N,눈,目
1,Ohr::N,귀,耳
2,Nase::N,코,鼻
3,Mund::N,입,口
4,Zahn::N,이,歯
5,Zunge::N,혀,舌
6,Lippe::N,입술,唇
7,Wange::N,뺨,頬
8,Gesicht::N,얼굴,顔
9,Stirn::N,이마,額
10,Haar::N,털,髪
11,Schnurrbart::N,윗수몀,口髭
12,Schnurrbart::N,코밑수염,口髭
13,Bart::N,수엄,髭
14,Kinn::N,아래턱,顎
15,Kiefer[Anatomie]::N,턱,顎
16,Kehle::N,인후,喉
17,Hals::N,목,首
18,Genick::N,먹덜이,首
19,Kopf::N,머리,頭
20,Rücken::N,든,背中
21,Bauch::N,배,腹
22,Bauch::N,배,お腹
23,Nabel::N,배꼽,へそ
24,Busen::N,가슴속,乳房
25,Brust::N,가슴,胸
26,Schulter::N,어깨,肩
27,Arm::N,팔,腕
28,Ellenbogen::N,팔쿰치,肘
29,Hand::N,손,手
30,Handfläche::N,손바닥,手のひら
31,Finger::N,속가락,指
32,Fingernagel::N,손톱,爪
33,Nagel[Anatomie]::N,손톱,爪
34,Zeh::N,발가락,足の指
35,Fuß::N,발,足
36,Ferse::N,발꿈치,かかと
37,Knie::N,무릎,膝
38,Oberschenkel::N,허벅다리,上腿
39,Bein::N,다리,足
40,Körper::N,구간,体
41,Haut::N,살갗,皮膚
42,Blut::N,피,血
43,Ader::N,정맥,血管
44,Sehne::N,현,腱
45,Knochen::N,뼈,骨
46,Gehirn::N,뇌,脳
47,Gehirn::N,뇌수,脳
48,Herz::N,염통,心
49,Herz::N,염통,心臓
50,Magen::N,위,胃
51,Leber::N,간,肝臓
52,Atem::N,기식,息
53,Atem::N,기식,呼吸
54,Hunger::N,공복,空腹
55,Träne::N,눈물,涙
56,Geschmack::N,기호,味
57,Geruch::N,냄새,匂い
58,Schlaf::N,수면,睡眠
59,Traum::N,쿰,夢
60,Himmel::N,하늘,空
61,Sonne::N,해,太陽
62,Mond::N,달,月
63,Stern::N,별,星
64,Luft::N,동준,空気
65,Luft::N,가스채,空気
66,Wind::N,바람,風
67,Welle::N,물결,波
68,Wasser::N,물,水
69,Stein::N,돌,石
70,Boden::N,바닥,土地
71,Erde::N,흙,土
72,Staub::N,먼지,埃
73,Rauch::N,연기,煙
74,Funke::N,불티,火花
75,Feuer::N,불,火
76,Licht::N,불,光
77,Schatten::N,어스레함,陰
78,Wetter::N,기상,天気
79,Nebel::N,안개,霧
80,Wolke::N,구름,雲
81,Regen::N,비,雨
82,Schnee::N,눈,雪
83,Eis::N,얼음,氷
84,Frost::N,혹한,霜
85,Kälte::N,추위,寒さ
86,Kälte::N,차가움,寒さ
