,Concept_ID,ko,hi
0,Auge::N,눈,आँख
1,Auge::N,눈,चक्षु
2,Ohr::N,귀,कान
3,Ohr::N,귀,कर्ण
4,Nase::N,코,नाक
5,Nase::N,코,नासा
6,Mund::N,입,मुख
7,Mund::N,입,मुँह
8,Zahn::N,이,दंत
9,Zahn::N,이,दाँत
10,Zunge::N,혀,जीभ
11,Zunge::N,혀,ज़बान
12,Zunge::N,혀,जिह्वा
13,Lippe::N,입술,ओंठ
14,Lippe::N,입술,होंठ
15,Wange::N,뺨,गाल
16,Wange::N,뺨,कपोल
17,Gesicht::N,얼굴,मुँह
18,Gesicht::N,얼굴,चेहरा
19,Stirn::N,이마,माथा
20,Stirn::N,이마,मस्तक
21,Haar::N,털,बाल
22,Schnurrbart::N,윗수몀,मूँछें
23,Schnurrbart::N,코밑수염,मूँछें
24,Bart::N,수엄,दाढ़ी
25,Kinn::N,아래턱,चिबुक
26,Kiefer[Anatomie]::N,턱,जबड़ा
27,Kehle::N,인후,गला
28,Hals::N,목,गला
29,Hals::N,목,गरदन
30,Genick::N,먹덜이,गरदन
31,Genick::N,먹덜이,ग्रीवा
32,Kopf::N,머리,सिर
33,Kopf::N,머리,शीर्ष
34,Rücken::N,든,पीठ
35,Bauch::N,배,उदर
36,Nabel::N,배꼽,नाभि
37,Nabel::N,배꼽,ढोंढी
38,Busen::N,가슴속,कुच
39,Busen::N,가슴속,स्तन
40,Brust::N,가슴,वक्ष
41,Schulter::N,어깨,कंधा
42,Schulter::N,어깨,स्कंध
43,Arm::N,팔,बाँह
44,Arm::N,팔,बाज़ू
45,Ellenbogen::N,팔쿰치,कुहनी
46,Hand::N,손,हाथ
47,Hand::N,손,हस्त
48,Handfläche::N,손바닥,हथेली
49,Finger::N,속가락,उँगली
50,Finger::N,속가락,अँगुली
51,Fingernagel::N,손톱,नख
52,Fingernagel::N,손톱,नाख़ून
53,Nagel[Anatomie]::N,손톱,नख
54,Nagel[Anatomie]::N,손톱,नाख़ून
55,Zeh::N,발가락,उँगली
56,Zeh::N,발가락,पाँव की उँगली
57,Fuß::N,발,चरण
58,Fuß::N,발,पाँव
59,Ferse::N,발꿈치,एड़ी
60,Knie::N,무릎,जानु
61,Knie::N,무릎,घुटना
62,Oberschenkel::N,허벅다리,उरु
63,Bein::N,다리,टाँग
64,Körper::N,구간,तन
65,Körper::N,구간,देह
66,Körper::N,구간,शरीर
67,Haut::N,살갗,चर्म
68,Haut::N,살갗,त्वचा
69,Blut::N,피,लहू
70,Blut::N,피,ख़ून
71,Ader::N,정맥,रग
72,Ader::N,정맥,शिरा
73,Sehne::N,현,कंडरा
74,Sehne::N,현,स्नायु
75,Knochen::N,뼈,अस्थि
76,Gehirn::N,뇌,दिमाग़
77,Gehirn::N,뇌,मस्तिष्क
78,Gehirn::N,뇌수,दिमाग़
79,Gehirn::N,뇌수,मस्तिष्क
80,Herz::N,염통,दिल
81,Herz::N,염통,हृदय
82,Magen::N,위,मेदा
83,Magen::N,위,अमाशय
84,Leber::N,간,जिगर
85,Leber::N,간,यकृत्
86,Atem::N,기식,दम
87,Atem::N,기식,साँस
88,Atem::N,기식,श्वास
89,Hunger::N,공복,भूख
90,Hunger::N,공복,क्षुधा
91,Träne::N,눈물,आँसू
92,Träne::N,눈물,अश्रु
93,Geschmack::N,기호,स्वाद
94,Geschmack::N,기호,ज़ायक़ा
95,Geruch::N,냄새,बू
96,Geruch::N,냄새,गंध
97,Schlaf::N,수면,नींद
98,Schlaf::N,수면,निद्रा
99,Traum::N,쿰,सपना
100,Traum::N,쿰,स्वप्न
101,Himmel::N,하늘,आकाश
102,Himmel::N,하늘,आसमान
103,Sonne::N,해,रवि
104,Sonne::N,해,सूरज
105,Sonne::N,해,सूर्य
106,Mond::N,달,चाँद
107,Mond::N,달,चंद्र
108,Stern::N,별,तारा
109,Stern::N,별,सितारा
110,Luft::N,동준,हवा
111,Luft::N,동준,वायु
112,Luft::N,가스채,हवा
113,Luft::N,가스채,वायु
114,Wind::N,바람,पाद
115,Welle::N,물결,लहर
116,Welle::N,물결,तरंग
117,Wasser::N,물,जल
118,Wasser::N,물,पानी
119,Stein::N,돌,पत्थर
120,Boden::N,바닥,मिट्टी
121,Erde::N,흙,भूमि
122,Erde::N,흙,ज़मीन
123,Staub::N,먼지,धूल
124,Rauch::N,연기,धूआँ
125,Rauch::N,연기,धुम्र
126,Funke::N,불티,चिनगारी
127,Funke::N,불티,स्फुलिंग
128,Feuer::N,불,आग
129,Feuer::N,불,आतिश
130,Feuer::N,불,अग्नि
131,Licht::N,불,रोशनी
132,Licht::N,불,प्रकाश
133,Schatten::N,어스레함,छाया
134,Schatten::N,어스레함,परछाई
135,Wetter::N,기상,ऋतु
136,Wetter::N,기상,मौसम
137,Nebel::N,안개,धुँध
138,Nebel::N,안개,कुहरा
139,Wolke::N,구름,मेघ
140,Wolke::N,구름,अभ्र
141,Regen::N,비,मेंह
142,Regen::N,비,बारिश
143,Schnee::N,눈,हिम
144,Schnee::N,눈,बर्फ़
145,Eis::N,얼음,हिम
146,Eis::N,얼음,बर्फ़
147,Frost::N,혹한,ठंड
148,Kälte::N,추위,सर्दी
149,Kälte::N,추위,शीतलता
150,Kälte::N,차가움,सर्दी
151,Kälte::N,차가움,शीतलता
152,Hitze::N,고온,ताप
153,Hitze::N,고온,गरमी
154,Hitze::N,더위,ताप
155,Hitze::N,더위,गरमी
156,Regenbogen::N,무지개,इंद्र-धनुष
157,Donner::N,뇌명,गरज
158,Donner::N,뇌명,मेघ-गर्जन
159,Strömung::N,유동,बहाव
160,Strömung::N,유동,प्रवाह
161,Tropfen::N,물방울,बूँद
162,Schaum::N,포말,झाग
163,Schmutz::N,때,गंद
164,Schmutz::N,때,कीचड़
165,See::N,호수,झील
166,See::N,호수,सरोवर
167,Sumpf::N,습지,दलदल
168,Sumpf::N,습지,धँसान
169,Moor::N,저습지,झाबर
170,Moor::N,저습지,धँसान
171,Wiese::N,목초지,घास-स्थल
172,Wald::N,숲,जंगल
173,Hügel::N,언덕,टीला
174,Hügel::N,언덕,पहाड़
175,Anhöhe::N,언덕,टीला
176,Anhöhe::N,언덕,पहाड़ी
177,Berg::N,산,पहाड़
178,Gipfel::N,졀졍,शिखर
179,Höhle::N,공동,गुहा
180,Höhle::N,공동,गुफ़ा
181,Abhang::N,몰매,ढाल
182,Abhang::N,몰매,ढलान
183,Quelle::N,근원,चश्मा
184,Bach::N,내,सोता
185,Bach::N,내,नदिका
186,Fluss::N,강,नदी
187,Fluss::N,강,सरिता
188,Ufer::N,강변,तट
189,Ufer::N,강변,किनारा
190,Ufer::N,바닷가,तट
191,Ufer::N,바닷가,किनारा
192,Küste::N,해변,समुद्र-तट
193,Küste::N,해변가,समुद्र-तट
194,Festland::N,본토,महाद्वीप
195,Meer::N,바다,सागर
196,Meer::N,바다,समुद्र
197,Bucht::N,협만,खाड़ी
198,Insel::N,섬,टापू
199,Insel::N,섬,द्वीप
200,Blume::N,꽃,फूल
201,Blume::N,꽃,पुष्प
202,Gras::N,풀,घास
203,Wurzel::N,뿌리,मूल
204,Baum::N,나무,पेड़
205,Baum::N,나무,वृक्ष
206,Stamm::N,대,धड़
207,Rinde::N,나무껍질,छाल
208,Rinde::N,나무껍질,वल्कल
209,Ast::N,가지,डाल
